idEla,tema,concepto,acuerdo,fundamento
8,4,forma_de_estado__federalismo_autonomías_regionales,A,es importante discutir la administración y distribución de recursos empoderando el nivel regional como una manera de garantizar igualdad de desarrollo a lo largo del territorio.
9,4,forma_de_estado__federalismo_autonomías_regionales,P,Realidades regionales deber ser representadas y normas nacionales muchas veces perjudican a los ciudadanos de regiones distantes de la RM. La autonomía regional debe ser practicada en temas muy específicos y justificados.
13,4,forma_de_estado__federalismo_autonomías_regionales,A,"Forma de Estado Plurinacional; Para reconocer la soberanía de los pueblos originarios. Reconocer los poderes autónomos: ejecutivo, legislativo y judicial."
16,4,forma_de_estado__federalismo_autonomías_regionales,A,Mas presencia regional en las decisiones y leyes del país.
20,4,forma_de_estado__federalismo_autonomías_regionales,A,"El Estado debe ser unitario y no federal ni semi federal. Debe tener tres poderes y no tener Tribunal Constitucional, que es un cuarto poder."
55,4,forma_de_estado__federalismo_autonomías_regionales,A,Sin comentarios
59,4,forma_de_estado__federalismo_autonomías_regionales,A,Como país es necesario descentralizar las regiones. Cada región debe ser autónoma en las políticas de estado y que estas den cuenta de su propia realidad y geografía.
63,4,forma_de_estado__federalismo_autonomías_regionales,A,Para descentralizar el poder. para que la regiones puedan administrar mejor sus recursos.
70,4,forma_de_estado__federalismo_autonomías_regionales,A,autonomía en temas locales
77,4,forma_de_estado__federalismo_autonomías_regionales,P,"Creemos en la posibilidad de que las regiones puedan decidir por el bien común de su sector, con atribuciones legítimas para conseguir este objetivo. Proponemos una real descentralización del Estado y en el regionalismo."
79,4,forma_de_estado__federalismo_autonomías_regionales,A,"Descentralización, mayor independencia de regiones con decisiones basadas en sus particularidades."
80,4,forma_de_estado__federalismo_autonomías_regionales,A,xxxxx
82,4,forma_de_estado__federalismo_autonomías_regionales,A,Es una definición prioritaria para el desarrollo del país.
91,4,forma_de_estado__federalismo_autonomías_regionales,A,las regiones deben depender menos de los niveles centrales y tener autoridades que trabajen desde el conocimiento de la realidad local.-
94,4,forma_de_estado__federalismo_autonomías_regionales,A,Tendencia al federalismo entre los participantes. lo unitario es centralizado.
95,4,forma_de_estado__federalismo_autonomías_regionales,A,mayor poder a las regiones
98,4,forma_de_estado__federalismo_autonomías_regionales,A,Existe la necesidad actual de dar más autonomía a las regiones.
101,4,forma_de_estado__federalismo_autonomías_regionales,P,"Forma de Estado: Autonomías regionales. Se enfatizó la necesidad de descentralizar y de dar más autonomía a las regiones, manteniendo el carácter unitario de la República."
110,4,forma_de_estado__federalismo_autonomías_regionales,A,"Chile debe continuar siendo un Estado Unitario, atendido su tradición, su tamaño, y el costo que implicaría un sistema federal."
125,4,forma_de_estado__federalismo_autonomías_regionales,A,"Se plantea la necesidad de revisar la forma del estado, pero desde la autonomía regional para que puedan tener mayor toma de decisiones y se asegure su participación en el devenir del país."
126,4,forma_de_estado__federalismo_autonomías_regionales,A,"ESTADO UNITARIO, UN SOLO ESTADO, QUE RECONOZCA LA MULTICULTURALIDAD."
133,4,forma_de_estado__federalismo_autonomías_regionales,A,las regiones deben tener autonomía para la toma de decisiones y fortalecer la identidad
136,4,forma_de_estado__federalismo_autonomías_regionales,P,Preserva la identidad cultural de sus habitantes y permite la toma de decisiones según los valores e intereses propios de la localidad.
141,4,forma_de_estado__federalismo_autonomías_regionales,A,Federalismo.
142,4,forma_de_estado__federalismo_autonomías_regionales,A,En cada región exista un gobierno que ejerza planificación a nivel global en cada una de las regiones. Con cierta autonomía por la toma de decisiones a nivel local.
158,4,forma_de_estado__federalismo_autonomías_regionales,A,"Regiones autónomas en la decisión de utilización de sus recursos naturales, mayor participación de las riquezas generadas que atienda a las estrategias de crecimiento regional"
170,4,forma_de_estado__federalismo_autonomías_regionales,A,"La autonomía regional impide la concentración del poder, permita promover el desarrollo local y regional, y empodera a las comunidades."
187,4,forma_de_estado__federalismo_autonomías_regionales,A,Las regiones deben y necesitan mayor autonomía.
189,4,forma_de_estado__federalismo_autonomías_regionales,A,Chile debe disminuir su excesivo centralismo asociado al fuerte presidencialismo. Los talentos en regiones deben florecer y las soluciones ser adoptadas en los propios territorios.
194,4,forma_de_estado__federalismo_autonomías_regionales,A,Permite que el pais rezca y se desarrolle economicamente.
198,4,forma_de_estado__federalismo_autonomías_regionales,A,"Debemos abandonar el Estado Unitario, avanzando hacia un Estado Regional con mayor autonomía territorial, administrativa y financiera."
205,4,forma_de_estado__federalismo_autonomías_regionales,A,"Autonomía regional - Autonomía regional económica, política y social-cultural"
207,4,forma_de_estado__federalismo_autonomías_regionales,A,"Se apoya por unanimidad la creación de una federación, con gobiernos regionales absolutamente autónomos y electos por la ciudadanía."
226,4,forma_de_estado__federalismo_autonomías_regionales,P,Porque se necesita que se discuta la autonomía regional separándola del nivel central a objeto de lograr más eficacia para actuar sobre los cambios sociales.
230,4,forma_de_estado__federalismo_autonomías_regionales,A,Elección popular de autoridades como intendentes y gobernadores.
236,4,forma_de_estado__federalismo_autonomías_regionales,A,"ABSOLUTAMENTE LAS REGIONES NECESITAN AUTONOMIA EN LAS DECISIONES, OBJETIVOS, PLANES Y DISTRIBUCION DEL PRESUPUESTO."
239,4,forma_de_estado__federalismo_autonomías_regionales,A,-
243,4,forma_de_estado__federalismo_autonomías_regionales,A,"Autonomias regionales, las regiones debiesen decidir su futuro conforme a la voluntad de su gente."
246,4,forma_de_estado__federalismo_autonomías_regionales,A,Estado unitario con autonomía regional
253,4,forma_de_estado__federalismo_autonomías_regionales,A,"Que se considere la autonomía regional con carácter autónomo respecto de las decisiones que les afecten, así como presupuestos propios para cada región independiente del gobierno local. Asimismo, que hayan tributos cuya recaudación vaya dirigido a la región."
256,4,forma_de_estado__federalismo_autonomías_regionales,A,Deseamos hacer énfasis en que las regiones deben tener autonomía del poder central.
259,4,forma_de_estado__federalismo_autonomías_regionales,A,"La mejor forma la consideramos desde la autonomía regional de una descentralización de poderes, administración de recursos y uso-aplicación de ellos."
281,4,forma_de_estado__federalismo_autonomías_regionales,A,"Que se impulse la autonomía regional para mejores decisiones, mejorando la descentralización. Sin mini Congresos o leyes propias, dentro del Estado unitario."
289,4,forma_de_estado__federalismo_autonomías_regionales,A,Acercar la generación de decisiones públicas a sus destinatarios. Intendente elegido por voto popular
295,4,forma_de_estado__federalismo_autonomías_regionales,A,Se refiere una forma de estado que potencie la descentralización de los recursos y la identidad de las regiones.
299,4,forma_de_estado__federalismo_autonomías_regionales,A,Mejor distribución de los accesos en consideración del ordenamiento regional y geográfico de nuestro país.
309,4,forma_de_estado__federalismo_autonomías_regionales,A,"es algo fundamental que se debe consagrar a nivel constitucional, toda vez que de esto deriven muchas consecuencias."
313,4,forma_de_estado__federalismo_autonomías_regionales,A,El centralismo nos agobia Santiago no es chile mas atribuciones al CORE
326,4,forma_de_estado__federalismo_autonomías_regionales,P,El intendente deberá ser elegido por sufragio obligatorio universal
340,4,forma_de_estado__federalismo_autonomías_regionales,A,Que las instituciones importantes no solo se concentren en el gran santiago sino que cada región  sea autonomía para que cada ciudadano tenga en su territorio autonomía regionales . ademas autonomía para  administrar los recursos generados por cada región
344,4,forma_de_estado__federalismo_autonomías_regionales,A,"Esto le da autonomia a casa region, lo que genera descentralización y eficiencia en los recursos."
358,4,forma_de_estado__federalismo_autonomías_regionales,A,"el item "" forma de estado federal / autonomías regiones"" es confuso para el grupo. Se divide las opciones y se escoge""autonomías regionales"" regiones autónomas política y económicamente, jefe de gobierno regional elegido dramáticamente."
361,4,forma_de_estado__federalismo_autonomías_regionales,A,Se requiere descentralizar y empoderar a las regiones.
372,4,forma_de_estado__federalismo_autonomías_regionales,A,"Las regiones deben ser autónomas, tomar decisiones propias y promover un desarrollo dirigido hacia sus necesidades, conservando su identidad local."
375,4,forma_de_estado__federalismo_autonomías_regionales,A,gobierno regional y un congreso con dos cámaras: senadores y diputados.
