idEla,tema,concepto,acuerdo,fundamento
507,1,fraternidad,A,para tener y conservar el sentido de comunidad.
557,1,fraternidad,A,"Invoca a la familia, a la vecindad, los lugares de trabajo, al afecto, al cuidado.Como lo contrario al individualismo, como opuesto a varios países “desarrollados” que cada uno está en su mundo aislado."
643,1,fraternidad,A,ante cualquier situación que provoca calamidades o desastres de la naturaleza hay que responder con la debida prontitud hacia los que están sufriendo
1472,1,fraternidad,A,Establecer confianzas sociales que permitan establecer bases y avanzar.
2381,1,fraternidad,P,Reconocimiento de la construcción de presente y futuro como hermanos y donde existe plena validación de la alteridad.
2578,1,fraternidad,P,"Querernos es mejor que aceptarnos, nos hace iguales en espiritu"
3150,3,fraternidad,A,"Ya que entre todos nos debemos apoyar, vivir en comunidad implica ser fraternos."
3809,1,fraternidad,P,"Los seres humanos están destinados a vivir en sociedad,por ende debe existir  afecto y hermandad, creando vínculos"
5249,1,fraternidad,A,"Nos entendemos como miembros de una misma comunidad, hermanos, por lo que nuestras instituciones deben plasmar aquello."
5454,1,fraternidad,P,"creemos necesario ayudarnos entre todos, se llego a acuerdo parcial ya que dos personas mencionaron el Amor como un principio, pero el resto considero mas importante la fraternidad."
5642,1,fraternidad,A,La base de nuestra convivencia debe estar basada en involucrarse y ser parte junto a los otros
5779,1,fraternidad,A,vencer a la soberanía capitalista y neoliberak
6021,1,fraternidad,A,principio articulador de las relaciones humanas
6082,1,fraternidad,A,"Afecta y confianza propia de hermanos o personas que se tratan como hermanos, en la búsqueda del bien común."
6490,1,fraternidad,P,.
8516,1,fraternidad,A,"La relación entre los ciudadanos, dejando de lado la marginación e individualismo."
8851,1,fraternidad,A,Como lazo de unión entre los hombres basada en el respeto  a la dignidad de la persona humana en la igualdad de derechos de todos los seres humanos y en la solidaridad de unos por los otros.
9510,1,fraternidad,A,una comunidad mas fraterna sin duda es el cambio cultural y de constitución que necesitamos
9641,1,fraternidad,A,"Es sentir al compatriota como un hermano con el que me uno para construir Chile, para desarrollarnos en conjunto. Permite superar la visión individualista."
9761,1,fraternidad,A,"SE DIFERENCIA DE LA SOLIDARIDAD POR QUE ESTA ES DE CARÁCTER ASISTENCIAL, EL OTRO ESTA EN DESMEDRO Y YO SOY SOLIDARIO CON EL. EN CAMBIO LA FRATERNIDAD ES EL RECONOCIMIENTO DEL OTRO COMO UN IGUAL, NOS PERMITE COHABITAR Y CONVIVIR DE MANERA ARMÓNICA EN ESTE MARCO DE CAMARADERÍA."
9865,1,fraternidad,A,"valor y actuar colectivo inspirado en el afecto, solidaridad e interdependencia entre personas y colectividades e instituciones, orientado por la recíproca responsabilidad en el bienestar de todos.Este valor solo tiene lugar en un contexto en que no existen grupos excluidos u oprimidos en la socied"
10935,1,fraternidad,P,Es una valor que se debe considerar. Sirve para partir.
11184,1,fraternidad,A,"Tener un trato como hermanos, iguales."
11710,1,fraternidad,A,"La fraternidad es un principio que tiene como anhelo más profundo la UNIDAD- la unidad de la sociedad y de los pueblos. La fraternidad conlleva la idea del respeto, convivencia armónica y es la más noble de las obligaciones sociales.  La fraternidad implica ante todo reconocernos como hermanos, pertenecientes a una misma familia, iguales en dignidad y derecho."
12332,1,fraternidad,A,"Principio básico que convoca ideas bajo condiciones, poder lograr un común acuerdo. Es una forma de convivir con los demás.  Mucho más trascendental que la tolerancia al otro, es vivir juntos. Respetar a la otras personas independientes. Amar y respetar, dignificar al otro humano que convive con uno"
12789,1,fraternidad,A,"Convivencia amistosa y respetuosa entre ciudadanos, instituciones y ciudadnos, y entre instituciones."
13249,1,fraternidad,A,Es un principio fundamental para la convivencia que permite la construcción de una sociedad justa
13340,1,fraternidad,A,"Es la obligación de los hombres de tratarse con amor fraternal, este valor está incluso defendido en la Declaración Universal de los DDHH."
13532,1,fraternidad,A,Promueve la construccion de una sociedad donde las personas pueden reconocerse los unos a los otros
13687,1,fraternidad,P,"hermandad, respeto, tratarnos como hermanos  reparo: siendo una condición natural no debe estar explicitamente en la constitución"
14124,1,fraternidad,A,Expresión de los sentimientos de amor y cariño por el otro.
14385,1,fraternidad,A,Por un estado mas justo y unido
