idEla,tema,concepto,acuerdo,fundamento
8,4,fuerzas_armadas,A,"nos parece fundamental redefinir funciones, deberes y derechos de las Fuerzas Armadas en el sentido de recuperar la tradición de servicio público y de dependencia del poder civil.  Sin privilegios."
13,4,fuerzas_armadas,A,"Fuerzas armadas democratizadas, las que deben restringir su labor a la defensa del país frente a una agresión externa; no son garante del orden constitucional, por lo tanto, su actuación contra el pueblo jamás será legítima."
16,4,fuerzas_armadas,A,Que sigan conservando su autonomía por el bienestar del pais
19,4,fuerzas_armadas,P,Es necesario modificar el sistema opresivo que ejercen las fuerzas armadas contra el pueblo cuando se expresa libremente. Se debe afianzar la relación con el gobierno elegido legítimamente.
20,4,fuerzas_armadas,A,"La Constitución debe establecer claramente la subordinación al poder civil, la no deliberancia, que FFAA tengan financiamiento normal. Fin de Doctrina de Seguridad Nacional."
24,4,fuerzas_armadas,A,resguardan la soberanía nacional  defensa del país
31,4,fuerzas_armadas,A,en caso de guerra es muy necesario
36,4,fuerzas_armadas,A,Las fuerzas armadas es importante para asegurar la defensa del país y la seguridad nacional.
48,4,fuerzas_armadas,P,"Reguladas y consagradas en la Constitución, pero con control efectivo de sus actos y posibles abusos."
54,4,fuerzas_armadas,A,Es necesario que existan por el orden y seguridad del país para que nos ayuden en caso de catástrofe. Son importantes en nuestra historia.
56,4,fuerzas_armadas,A,"Sin estas según nosotros la nación no podría tener un grado de fuerza o defensa,"
58,4,fuerzas_armadas,A,"les da oportunidades a jóvenes a cambiar su cultura, además las fuerzas armadas son las primeras que están ayudando después de cualquier tragedia y siempre al tanto del cuidado del ciudadano común"
65,4,fuerzas_armadas,A,son necesarias para el resguardo del pais
76,4,fuerzas_armadas,A,con doctrina democrática y garantes de constitución representativa.
79,4,fuerzas_armadas,P,"Importantes en el orden y sentido de protección de la ciudadanía, con énfasis en el servicio público. Entendiendo como fuerza armada a todo quien cumple rol protector (desde militares hasta el conserje)"
86,4,fuerzas_armadas,A,"Necesarias para la seguridad territorial, no deliberantes, disciplinadas al poder democrático, no elitistas. La capacidad y poder para defender la soberanía nacional y de actuar capacitada mente en tiempo de emergencia."
87,4,fuerzas_armadas,A,Que dependan del gobierno y puedan ser fiscalizadas. Término de la ley reservada del cobre
91,4,fuerzas_armadas,A,deben ser abiertas y democráticas es decir que sus acciones deben ser conocidas por todo el país de forma transparente y su conformación  no debe ser elitizada
100,4,fuerzas_armadas,A,Asegura el correcto uso de su poder y evita abusos o politización.
104,4,fuerzas_armadas,P,"Darles mayor importancia, ya que la gente les tiene más respeto (resguarden el orden). Acuerdo parcial porque puede ser un arma de doble filo, las FFAA deberán ser controladas y se debe definir muy bien su función."
107,4,fuerzas_armadas,A,Importantes para mantener el orden en casos de Emergencia. Y muy necesarias para la defensa del país en conflictos internacionales.
110,4,fuerzas_armadas,P,Son muy importantes como fuerza disuasiva para garantizar la integridad del territorio nacional. Siempre supeditados al poder civil.
112,4,fuerzas_armadas,P,TIENEN QUE ESTAR REGULADAS
115,4,fuerzas_armadas,A,Nos dan garantías de respeto y seguridad
