idEla,tema,concepto,acuerdo,fundamento
9,4,gobierno_local_municipal,A,Los municipios son primordiales debido a las necesidades locales y la idiosincrasia de cada lugar.
17,4,gobierno_local_municipal,A,Hacer valer cada opinión y tener acceso más directo para poder expresarlas.
24,4,gobierno_local_municipal,A,administrador de los bienes públicos y debe actuar con autonomía pero conforme a la ley
29,4,gobierno_local_municipal,A,Es importante por que permite desarrollar acciones desde la cacha chica
48,4,gobierno_local_municipal,A,"Los gobiernos locales o municipales son los más cercanos a los ciudadanos y sus necesidades, por lo que se requiere mayor fiscalización de sus labores."
54,4,gobierno_local_municipal,A,Debe existir esta institución ya que es la más cercana a la gente para poder responder oportunamente a sus demandas.
56,4,gobierno_local_municipal,A,Cada comuna debe tener su municipalidad que la sostenga.
58,4,gobierno_local_municipal,D,existe corrupción igual que en el parlamento
61,4,gobierno_local_municipal,A,"Con un cogobierno; un gobierno más pluralista, que se valorice la opinión de las personas de cada pueblo."
65,4,gobierno_local_municipal,A,que las autoridades locales tengan la educacion correspondiente para dirigir. que vivan en la comuna
66,4,gobierno_local_municipal,A,"Se debe partir de una parte más pequeña y cercana a los pueblos, para llegar algo más grande."
68,4,gobierno_local_municipal,A,"El Gobierno local/municipal  es una de las Instituciones  con mayor importancia  por la cercanía  con los temas comunales y su conocimiento del entorno. Debe tener un  alto control, fiscalización y transparencia."
70,4,gobierno_local_municipal,A,"Que hagan su trabajo, que actúen, con transparencia, profesionalización de los cargos."
74,4,gobierno_local_municipal,A,- Permite compromiso de ciudadano común. - Permite decidir el uso local de recursos descentralizados.
76,4,gobierno_local_municipal,A,mayores atribuciones concejo municipal.
77,4,gobierno_local_municipal,A,Proponemos que las regiones tengan el poder de decisión sobre las problemáticas locales.
91,4,gobierno_local_municipal,A,que las municipalidades cuenten con mayores recursos y autonomía para resolver problemas locales.-
94,4,gobierno_local_municipal,A,Base para los ciudadanos. es la cara y las manos del gobierno.
107,4,gobierno_local_municipal,A,Fortalecer las municipalidades y con ellos hacer crecer cada comuna.
108,4,gobierno_local_municipal,A,con autonomía y recursos propios
117,4,gobierno_local_municipal,A,Cada Municipalidad debe ser más autónoma para el beneficio de su población. Es más cercana la autoridad y la resolución de los problemas comunales es más rápida.
126,4,gobierno_local_municipal,A,"NO SÓLO ADMINISTRACIONES LOCALES, SINO VERDADEROS GOBIERNOS LOCALES, CON MÁS PODER Y RECURSOS."
129,4,gobierno_local_municipal,A,Cercanía con las autoridades y preocupaciones por las problemáticas locales
130,4,gobierno_local_municipal,A,Que se promueva el gobierno local y tenga mayor autonomía.
133,4,gobierno_local_municipal,A,los municipios deben tener mayor autonomía y así mejorar sus procesos locales
136,4,gobierno_local_municipal,A,Es necesario un gobierno local que conozca las necesidades de la comunidad y se preocupe por su desarrollo sostenible.
151,4,gobierno_local_municipal,A,"Que sean con más opciones de áreas verdes, actividades para la comunidad"
166,4,gobierno_local_municipal,A,Debe existir autonomía local y descentralización ante el posible aprovechamiento e intervención  empresarial.
171,4,gobierno_local_municipal,P,el primer acercamiento de una comunidad con el gobierno es en su municipio por lo cual es importante que este se pueda mostrar en la constitución para que tenga las reglas claras y no se preste a cosas difusas
176,4,gobierno_local_municipal,A,Es crucial que existan gobiernos locales con autonomía y con participación vinculante de la comunidad local a la que corresponde el gobierno en la toma de decisiones estratégicas y presupuestarias.
178,4,gobierno_local_municipal,A,Aumentar  atribuciones de los Concejales. Limitar la duración de los alcaldes y concejales: 2  períodos
181,4,gobierno_local_municipal,A,Todos de acuerdo
197,4,gobierno_local_municipal,A,"Desarrollar políticas municipales de atención integral, coordinación de programas servicios y activar la participación comunitaria. Debido a que las comunas son el escenario natural privilegiado para la participación plena."
202,4,gobierno_local_municipal,A,Actor principal en el acceso de los vecinos al desarrollo y buena calidad de vida.
206,4,gobierno_local_municipal,A,Gobierno local con mayores atribuciones. Necesidad de autonomìa en decisiones y recursos
210,4,gobierno_local_municipal,A,Que las municipalidades puedan tener mayores facultades de decisión y autonomía.
213,4,gobierno_local_municipal,A,Es un nivel que permite una participación más directa. Es la instancia que revisa problemáticas entre los habitantes de una comuna. Participación más directa.
