idEla,tema,concepto,acuerdo,fundamento
8,4,gobierno_nacional_estructura_y_funciones_,A,se debe considerar en el debate por ser parte de la discusión sobre el tipo de estado.  Temas específicos son la duración de los períodos presidenciales y la reelección. En opinión del grupo la duración más conveniente es 6 años sin reelección.
35,4,gobierno_nacional_estructura_y_funciones_,A,"Deben regularse los 3 poderes del estado, asegurando la independencia y división de los mismos, estableciendo límites, roles y objetivos. Hay que definir la figura presidencial, y limitar o poner algunos contrapesos a la misma."
36,4,gobierno_nacional_estructura_y_funciones_,A,"La conducción política del poder ejecutivo debe respetar la institucionalidad democrática, por lo que sus funciones deben regularse mediante su respectivo marco legal y constitucional. Propenden a la descentralización."
54,4,gobierno_nacional_estructura_y_funciones_,A,"Un gobierno que nos gobierne a todos, que nos unifique para todos iguales, que piense en el bienestar de todo el país y de todos los ciudadanos."
81,4,gobierno_nacional_estructura_y_funciones_,A,sin comentarios
91,4,gobierno_nacional_estructura_y_funciones_,A,"que se debe revisar la cantidad de cargos,  que no exista desconocimiento  de su estructura y como se distribuyen sus recursos .- Gobierno descentralizado.-"
100,4,gobierno_nacional_estructura_y_funciones_,A,Establece el funcionamiento del país. Debe promover la descentralización.
117,4,gobierno_nacional_estructura_y_funciones_,A,"La distribución de funciones debe propender a ser más descentralizada, y con mayor poder de decisión en las regiones, para ser más resolutivas, en beneficio de las personas de cada región."
126,4,gobierno_nacional_estructura_y_funciones_,A,"UN GOBIERNO (EJECUTIVO) QUE ADMINISTRE EL PAÍS COMPLETO, PERO CON DESCENTRALIZACIÓN."
129,4,gobierno_nacional_estructura_y_funciones_,A,Por el interés de mantener el territorio unido
138,4,gobierno_nacional_estructura_y_funciones_,A,LEYES  POR IGUAL
169,4,gobierno_nacional_estructura_y_funciones_,A,"PRESIDENTE, PRIMER MINISTRO, PODER JUDICIAL Y LEGISLATIVO."
193,4,gobierno_nacional_estructura_y_funciones_,A,No hay fundamentos más allá de la discusión.
219,4,gobierno_nacional_estructura_y_funciones_,A,"Es organismo que asume las responsabilidades del poder ejecutivo y concentra el poder político para conducir nuestra sociedad. Creemos que tal como ahora debe existir un gobierno nacional, una república unitaria, no federal."
223,4,gobierno_nacional_estructura_y_funciones_,A,Debe ser una estructura de estado más que gobierno de turno. Los que componen el gobierno debieran ser personas con vocación
279,4,gobierno_nacional_estructura_y_funciones_,A,CON FACUTADES SOLIDARIAS
287,4,gobierno_nacional_estructura_y_funciones_,A,Regulación del poder ejecutivo.
297,4,gobierno_nacional_estructura_y_funciones_,A,"El gobierno integrado por su presidente de la República, sus ministros y demás integrantes de la administración  del Estado deben conducir a la nación , conforme a la constitución, las leyes y fomentando el desarrollo personal y social siempre con providad"
298,4,gobierno_nacional_estructura_y_funciones_,A,- Pilar fundamental en la marcha y administración de una nación - Indispensable para disponer del desarrollo sustentable de las regiones y las comunas - Entrega de proyectos para el crecimiento pais
319,4,gobierno_nacional_estructura_y_funciones_,A,"Chile debe mantenerse como nación unitaria, sin perjuicio de la descentralización."
368,4,gobierno_nacional_estructura_y_funciones_,A,"Se debe otorgar mayor libertad al Presidente para la propuesta y decisión sobre medidas nacionales. Debe ser transparente, con muy buenos mecanismos de comunicación para aclarar cualquier  duda en el funcionamiento del país. Su función es representar la soberanía del pueblo chileno y conciliar opiniones en favor del bien común y la democracia, en función del resguardo de los derechos humanos y la igualdad de clases.Senadores y Diputados deben estar al servicio de sus distritos, con contacto permanente en terreno, siempre evaluados por la sociedad para su reposición o juicio si fuese necesario.  SEREMIS y Gobernadores electos por votación popular, según sus cualidades , aptitudes y representación ciudadana."
387,4,gobierno_nacional_estructura_y_funciones_,A,Revisar las funciones y estructuras. Realizar cambios acordes a la realidad social y ajustes a las necesidades de los tiempos.
396,4,gobierno_nacional_estructura_y_funciones_,A,debe ser fuerte y corresponde a los ciudadanos
414,4,gobierno_nacional_estructura_y_funciones_,A,Necesaria jerarquía representativa sostiene la administración de un país. Aúna acuerdos políticos
486,4,gobierno_nacional_estructura_y_funciones_,A,"Consideramos que el gobierno está bien estructurado, con los tres poderes existentes."
514,4,gobierno_nacional_estructura_y_funciones_,P,Que entregue las directrices de la Administración del Estado.
527,4,gobierno_nacional_estructura_y_funciones_,A,Asegura la unidad territorial y la soberanía del país; promoción de políticas solidarias interterritoriales; con estructura federal en pleno reconocimiento de los gobiernos regionales; a cargo de los lineamientos de planificación territorial y urbana y marcos regulatorios integradora
535,4,gobierno_nacional_estructura_y_funciones_,P,"las tres instituciones son importantes que dirijan al país. se insiste en su lealtad, veracidad, compromiso"
553,4,gobierno_nacional_estructura_y_funciones_,A,Debe reconocerse un equilibro entre el gobierno central y regional y local.
557,4,gobierno_nacional_estructura_y_funciones_,A,"Debe existir una contraloría, independiente del ejecutivo."
572,4,gobierno_nacional_estructura_y_funciones_,A,"Se debe tener una estructura dentro de un gobierno y cada una de ellas debe cumplir una función, para así tener mayor organización."
592,4,gobierno_nacional_estructura_y_funciones_,A,de acuerdo y mantenga la forma de elección y gobierno elegido dramáticamente.
597,4,gobierno_nacional_estructura_y_funciones_,P,"No es buena Idea que sea unitario ya que esto produce desigualdades entre las regiones , las cuales se ven menoscabadas en todo respeto."
598,4,gobierno_nacional_estructura_y_funciones_,A,"Creemos que en temas de gobierno nacional debería haber un cambio de en la forma en que se eligen los ministros y que estos sean elegidos en el campo donde ellos han estado trabajando profesionalmente, ademas de haber mas relación al momento de trabajar"
