idEla,tema,concepto,acuerdo,fundamento
17,4,gobierno_provincial,A,Llegar de manera más profunda a las ideas y hacer que realmente todos los chilenos participemos de la constitución.
29,4,gobierno_provincial,A,"es importante darle mayores atribuciones , por que eso permite llegara a mas ciudadanos."
56,4,gobierno_provincial,A,Esto para poder tener una mayor autonomía provincial y así poder mandar nuestras posiciones
66,4,gobierno_provincial,A,Debería priorizarse ya que es el gobierno más cercano a la ciudad.
94,4,gobierno_provincial,A,Necesario para la equidad de la provincia
108,4,gobierno_provincial,A,con autonomía y recurso propios
129,4,gobierno_provincial,A,Para regular las acciones desde una mirada provincial
181,4,gobierno_provincial,A,Todos de acuerdo
226,4,gobierno_provincial,A,Porque la reestructuración debe ser llevada a conciencia de los derechos y deberes que afectan a los ciudadanos.
244,4,gobierno_provincial,A,4 de 10 participantes dan prioridad a reforzar esta institución.
261,4,gobierno_provincial,P,dependienpo que region
274,4,gobierno_provincial,A,Se necesita que haya Gobierno para que las cosas se hagan en orden y como deben hacerse.
293,4,gobierno_provincial,A,Descentralización real para dar desarrollo a  realidades distintas y desconcentrar el poder.
368,4,gobierno_provincial,A,"Se debe fortalecer su autonomía en la operacionalización de políticas locales, desde el nivel central y desde las municipalidades, recibiendo permanentemente diagnósticos locales oficiales y los alternativos, producto de cosmovisiones diferentes, para consolidar instrumentos que le permitan defender los derechos de la provincia, atraer recursos nacionales e internacionales según sea la naturaleza. Coordinar redes de intervención ciudadana según área temática como la infancia, la violencia, el medioambiente, etc. Preocuparse de planes de desarrollo sustentables para la provincia y colaborar en los de la región y el país. Supervisar junto con Contraloría el desempeño de municipalidades."
418,4,gobierno_provincial,A,"debiese relevarse mucho más el poder provincial, que en la actualidad"
435,4,gobierno_provincial,A,Debe ser un ente que regule la provincia. Al abarcar territorios más pequeños se puede supervisar de mejor manera. Descentralizar
442,4,gobierno_provincial,A,"juicio político, acusación constitucional, igualdad ante la ley, al momento de postular a cargos públicos, deben inhabilitarse ó renunciar a intereses personales ó sociedades."
446,4,gobierno_provincial,A,"Principalmente para que las decisiones se tomen de acuerdo a nuestra realidad, necesidades y situaciones emergentes."
465,4,gobierno_provincial,A,LOS RECURSOS DE LA PROVINCIA DEBIERAN EN SU MAYORÍA QUEDAR EN ELLA.
560,4,gobierno_provincial,A,es indispensable para que el gobierno provincial den equitativamente los recursos.
583,4,gobierno_provincial,A,Todo lo que podamos hacer por la des-centralización es poco.
590,4,gobierno_provincial,P,conocimiento local
605,4,gobierno_provincial,A,La autonomía en las decisiones es fundamental para el progreso de las Provincia
608,4,gobierno_provincial,A,que se le entregue mayor atribución.
626,4,gobierno_provincial,A,Determinar las obligaciones y responsabilidades con los cuidadanos
642,4,gobierno_provincial,A,Creemos que la autoridad provincial (gobernador) debiera ser elegido por votación popular y que forme parte de una organización junto con el intendente y el resto de los gobernadores de la región para que en conjunto definan los proyectos que ayuden a modernizar y mejorar las regiones.
666,4,gobierno_provincial,A,"Para fomentar la descentralización,"
700,4,gobierno_provincial,A,Elegir al Gobernador.
