idEla,tema,concepto,acuerdo,fundamento
17,4,gobierno_regional,A,Así combatimos la centralización haciendo en conjunto con la visión de cada región las bases de una constitución por completa enfocada a todo Chile.
29,4,gobierno_regional,A,se preocupara por los problemas de la región ( descentralizar)
31,4,gobierno_regional,A,un gobierno con más autonomía
36,4,gobierno_regional,A,"Con el objeto de asegurar la descentralización de las regiones, se requiere el fortalecimiento de esta institución, con la entrega de mayores facultades, y asegurar la equidad, eficiencia, y eficacia en la asignación y utilización de recursos públicos."
43,4,gobierno_regional,A,Autonomía para tomar decisiones
46,4,gobierno_regional,A,.
57,4,gobierno_regional,A,autonomía de la administración de los recursos de la nación
61,4,gobierno_regional,A,"Un gobierno más participativo, mayor presencia de las autoridades en las comunas y mayor dialogo con la ciudadanía con elecciones democrática."
63,4,gobierno_regional,A,Autonomía en las decisiones regionales.
65,4,gobierno_regional,A,que los consejeros que entreguen a los recursos a las comunas y no por coteos politicos
67,4,gobierno_regional,A,"Aunque tenemos actualmente esta división, en la práctica “Santiago sigue siendo Chile”. Las regiones carecen de la autonomía necesaria (política, económica, social, cultural) para dar respuesta más ágil a su propia realidad y necesidades, y para organizarse del modo que más beneficie esa realidad"
72,4,gobierno_regional,A,Como hoy en día pero elegidos democráticamente.
76,4,gobierno_regional,A,elecciones de autoridades.
77,4,gobierno_regional,A,Proponemos gobiernos regionales con el objetivo de otorgarle mayor opción y poder de decisión a las regiones del país. Se debe rediscutir y rediseñar la división territorial chilena.
80,4,gobierno_regional,A,xxxxxx
86,4,gobierno_regional,A,Capacidad de auto gestión local.   Autonomía gubernamental y de generación de recursos.
87,4,gobierno_regional,A,Creación de gobiernos regionales para mayor descentralización
94,4,gobierno_regional,A,"Autónomo del gobierno, no central y elegido democráticamente."
98,4,gobierno_regional,A,Es clara la necesidad de dar mayor autonomía a las regiones.
104,4,gobierno_regional,A,"Al ser Chile un país con diferentes regiones y cada una con diferentes necesidades, es importante implementar un gobierno regional."
107,4,gobierno_regional,A,Para fortalecer las regiones y sus culturas y desarrollo.
108,4,gobierno_regional,A,con autonomia y recursos propios
110,4,gobierno_regional,A,"Los Gobiernos Regionales deben ser elegidos popularmente, y dotados de mayor autonomía presupuestaria."
112,4,gobierno_regional,A,"HAY QUE AVANZAR EN LA DESCENTRALIZACIÓN, MAYOR AUTONOMÍOA, MÁS RECURSOS ADMINSITRADOS EN LAS PROPIAS REGIONES"
115,4,gobierno_regional,A,Se esta pidiendo hace rato
126,4,gobierno_regional,A,CON MÁS RECURSOS Y PODER PARA DECIDIR.
143,4,gobierno_regional,A,"Que las riquezas se queden en la región que las genera (invertir, repartir sólo un % a otras regiones)."
156,4,gobierno_regional,A,Promover la autonomía regional como forma de acercarse a la vida cotidiana de las personas y sus necesidades sentidas.
158,4,gobierno_regional,A,Con autonomía real. Adecuar las leyes a la realidad de cada región.
166,4,gobierno_regional,A,"Los intendentes deben ser elegidos por votación popular, asegurando el grado de autonomía e integración para todas las zonas del país."
168,4,gobierno_regional,A,"Mayor autonomía de la región, cuyos representantes sean elegidos popularmente."
171,4,gobierno_regional,P,creemos que la descentralización de una país que no pierda la unidad debe necesariamente permitir  una autonomía tanto política como económica para el desarrollo de las regiones
176,4,gobierno_regional,A,"Potenciar las facultades de los gobiernos regionales en la retroalimentación con un gobierno central. Los gobiernos regionales deben ser elegidos por sus habitantes, lo cual mejoraría su administración, jerarquizando adecuadamente sus necesidades locales y generando una des-centralización efectiva."
177,4,gobierno_regional,A,"No significa darle poder a las regiones sino establecer y definir la estructura orgánica de los gobiernos regionales, otorgándole mayor importancia. ¿Tal vez pensar en Estados federales? Se estima que los cargos más altos de la región deben ser elegidos por voto popular."
181,4,gobierno_regional,A,Todos de acuerdo
197,4,gobierno_regional,A,Cada región debe tratar temas propios basados en sus características ejemplo necesidades de los habitantes de la región.
202,4,gobierno_regional,A,"En una mirada nueva del territorio, el gobierno regional debe ser actor protagónico  del desarrollo."
206,4,gobierno_regional,A,Gobierno regional con mayores atribuciones. Necesidad de autonomìa en decisiones y recursos
213,4,gobierno_regional,A,Se debe profundizar más la idea de descentralización.
220,4,gobierno_regional,A,Deben ser elegidos en elección popular. Deben contar con atribuciones administrativas y presupuesto propio.
222,4,gobierno_regional,A,Evaluar el fortalecer la importancia de la autonomía en la toma de decisiones y fomentar la descentralización.
223,4,gobierno_regional,A,En el supuesto de elección popular no permitirá tal vez una buena coordinación y aplicación de los políticos públicos
226,4,gobierno_regional,A,"Porque se requiere una mayor obligatoriedad para  su rol, como por ejemplo en proyectos."
229,4,gobierno_regional,A,"Fortalecimiento tanto en atribuciones, autonomía y colaboración de los cargos de los gobiernos regionales. Intendente que no se más elegido por el presidente. Integración platas regionales, redistribución presupuestaria."
238,4,gobierno_regional,A,Que exista mayor autonomía respecto del nivel central. Autoridades electas en la región.
240,4,gobierno_regional,A,"Autoridades elegidas por voto popular, incluir nuevas formas de participación ciudadana en el gobierno, o a través de plebiscitos."
244,4,gobierno_regional,A,4 de 10 participantes dan prioridad a reforzar esta institución
250,4,gobierno_regional,A,"Postulamos que la Nueva Constitución de facultades y recursos a los gobiernos regionales (o zonales si se acepta una nueva división territorial como proponemos), para mayor autonomía y descentralización. Será deber de los gobiernos regionales (o zonales) ejercer el poder con participación ciudadana y satisfacer necesidades regionales (o zonales)."
252,4,gobierno_regional,A,Una forma de asegurar la descentralización del país es la generación de gobiernos regionales electos democráticamente y asegurar y promover el desarrollo de regiones.
253,4,gobierno_regional,A,Que las regiones tengan autonomía decisoria y presupuestaria.
255,4,gobierno_regional,A,"Los cargos de representación como intendentes, gobernadores/as y consejeros/as serán elegidos por voto popular, asegurando la inclusión de mujeres y representación proporcional de pueblos originarios."
261,4,gobierno_regional,P,"descentralizacion, hacercar el poder a la ciudadania"
266,4,gobierno_regional,A,la división regional (regiones) que tiene el país aun no ha funcionado por que seguimos funcionando de acuerdo a las decisiones del gobierno central.
270,4,gobierno_regional,A,"Como mecanismo para garantizar el progreso, equidad territorial e igualdad de todos los chilenos y potenciar las zoans de cada pais, es fundamental para el desarrollo de las regiones."
273,4,gobierno_regional,A,"Se deben buscar mecanismos que permitan tener + autonomía a las regiones, que a su vez, deberían ser menos."
274,4,gobierno_regional,A,En la región debe haber Gobierno. Las regiones son distintas unas de otras.
287,4,gobierno_regional,A,la constitución debe reconocer los gobiernos regionales con facultades y responsabilidades a nivel regional.
295,4,gobierno_regional,A,Potenciar formas de gobiernos regionales y locales de mayor autonomía.
311,4,gobierno_regional,P,"Cada región debería tener autonomía en sus decisiones y administrar presupuestos regionales, siempre considerando el bien común del país y parámetros de desarrollo nacional."
312,4,gobierno_regional,A,"Que dentro de su estructura, se incorporen a los gobiernos Regionales y comunales. con mayor independencia y descentralización del Gobierno Central y con su respectivo financiamiento en las respectivas materias de alcance territorial."
313,4,gobierno_regional,A,gobierno regional descentralizacion
318,4,gobierno_regional,A,Para satisfacer las necesidades de toda una comunidad.
320,4,gobierno_regional,A,Es un importante agente de descentralización y es necesario empoderarlo con mayor autonomía y recursos.
326,4,gobierno_regional,A,Las autoridades elegidas democráticamente tendrán mas atribuciones con presupuesto fiscal o finanzas públicas.
328,4,gobierno_regional,A,porque cada región tienen su cultura y forma de vida distintas en todo el país
335,4,gobierno_regional,A,Se debe acabar la centralización en pos de una mayor autonomía para las regiones al momento de solucionar sus problemáticas
337,4,gobierno_regional,A,Congruente con la Regionalización como valor
356,4,gobierno_regional,A,"Elegido democráticamente, descentralizado en todos sus niveles."
362,4,gobierno_regional,A,una efectiva regionalizacion  con facultades de decisión y recursos económicos necesarios y intendentes electos por la cuidadania .
364,4,gobierno_regional,A,"electos via elecciones, y que tengan poder de desicion en el uso de los recursos economicos de la region asignados desde el gobierno central"
375,4,gobierno_regional,A,"regiones autónomas, para descentralizar y atender mejor las necesidades de cada región ."
382,4,gobierno_regional,A,"Promover la autonomia de los pueblos originarios, con gobiernos propios, buscando la forma de relacionarse con gobierno central.  Valor 6."
383,4,gobierno_regional,A,Promueve la descentralización y la toma de decisiones a nivel más local. deberían contar con mayor autonomía para tener un gobierno más eficiente. deberían ser más representativos de las necesidades locales.
386,4,gobierno_regional,A,Cada región tiene su necesidad en particular y este se podrán solucionar las peticiones en un corto tiempo y de manera mas efectiva y eficaz.
389,4,gobierno_regional,A,Dar mayores atribuciones y presupuestos a los gobiernos regionales y que estos tengan como principal interés el fomento del desarrollo rural.
390,4,gobierno_regional,A,Con poder y elegido.
392,4,gobierno_regional,P,"Institución que debería estar liderada por un representante idóneo eligido por votación directa. El gobierno regional debe elaborar y aprobar las políticas, planes y programas de desarrollo armónico e integral de la región, así como su proyecto de presupuesto, los que deberá ajustar a la política nacional de desarrollo y al presupuesto de la Nación. Además, debe regular los asentamientos humanos de la región y decidir de una manera vinculante los usos del territorio."
404,4,gobierno_regional,A,"Autónomo, que la región gestione sus recursos y necesidades, que un porcentaje fijo de la tributación quede en la región, sin que esto evite que pague impuestos y reciba beneficios."
405,4,gobierno_regional,A,"La actual división política del país en regiones, provincias y comunas es adecuada. Sin embargo, es necesario mayor autonomía para que las regiones puedan impulsar proyectos con identidad regional y que responda a las necesidades de las comunidades indígenas"
406,4,gobierno_regional,A,0
408,4,gobierno_regional,A,Es importante que los gobiernos regionales sean elegidos por votación popular y así lograr la descentralización del país.
412,4,gobierno_regional,A,"La constitución debe dar mayor fuerza a ese gobierno, para apoyar la autonomía y descentralización. Intendente debe ser elegido popularmente."
418,4,gobierno_regional,A,"debe analizarse cuál es la mejor división regional para Chile (por ej, qué sucede con los husos horarios)"
419,4,gobierno_regional,A,"Mas poder y recurso a las regiones, el gasto fiscal se de debe decidir en las regiones."
423,4,gobierno_regional,A,mas poder y autonomía en base a condiciones particulares de cada región.
430,4,gobierno_regional,A,"PLANTEAR REFORMAS QUE PERMITAN LA ELECCIÓN POPULAR DE DICHA AUTORIDAD. ADEMÁS, QUE DEN CUENTA PÚBLICA E INCLUIR MECANISMOS DE REVOCACIÓN DEL CARGO."
441,4,gobierno_regional,A,Fundamental para garantizar una descentralización con un efectivo funcionamiento en su labor regional
442,4,gobierno_regional,A,"juicio político, acusación constitucional, igualdad ante la ley, al momento de postular a cargos públicos, deben inhabilitarse ó renunciar a intereses personales ó sociedades."
444,4,gobierno_regional,A,xx
468,4,gobierno_regional,A,Se debe poder elegir de manera popular al Intendente.
469,4,gobierno_regional,A,"los gobiernos regionales y provinciales, deben ser elegidos por el pueblo y que los candidatos cumplan ciertos requisitos y reestricciones"
476,4,gobierno_regional,A,descentralizar
481,4,gobierno_regional,A,Que estos cargos sean elegidos democraticamente y  sean ocupados por ciudadanos con residencia minima de dos años.
490,4,gobierno_regional,A,"Debe gobernar y administrar la región y conducir el desarrollo de ésta y sustentarse en los recursos humanos competentes del territorio regional, y con facultades y competencias efectivas y aseguradas por la Constitución y las leyes, y con recursos propios."
513,4,gobierno_regional,A,el gobierno regional debe estar coordinado con autoridades provinciales y comunales
514,4,gobierno_regional,D,Elegido por votación popular.  Cargo de confianza exclusivo de la Pdta.
516,4,gobierno_regional,A,"Autonomía administrativa de las regiones, con elecciones de intendentes con voto universal, con derecho a ser revocado."
524,4,gobierno_regional,A,Debería tener más poder para ser más acertadas las decisiones y gestionar más rápidamente.
527,4,gobierno_regional,A,"Asegura la planificación y gestión de los recursos y necesidades de la región; consta de un poder ejecutivo y otro legislativo; ambos electos; asegura la unidad territorial de la región, en función de las orientaciones nacionales; respeta la autonomía de los gobiernos locales y vela por transparenc"
528,4,gobierno_regional,A,"GOBIERNO REGIONAL Autónomo:  Debe establecerse para fortalecer el desarrollo (económico, social, educacional, cultural) de las regiones en equidad con el poder central. Se daría así un paso hacia la descentralización."
531,4,gobierno_regional,P,debe ser electo por la misma región sin intervención central
534,4,gobierno_regional,A,Elección de intendentes para el mayor empoderamiento de las regiones.
535,4,gobierno_regional,A,las regiones necesitan autonomía. no tanto centralismo
550,4,gobierno_regional,A,Debe existir punto de vista regional.
553,4,gobierno_regional,A,Es necesaria mayor autonomía regional.
