idEla,tema,concepto,acuerdo,fundamento
46,1,identidad_cultural,A,Queremos una país que promueva los rasgos culturales que nos identifican como sociedad.
48,1,identidad_cultural,A,"En la actualidad no nos aceptamos a si mismos, ni a nuestros propios orígenes. Aceptar qué somos y desde ahí construir sociedad, comunidad."
59,1,identidad_cultural,A,Reconocer todas las formas de habitantes y etnias que tiene el país donde se valore y respete la geografía de Chile con sus pueblos y culturas.
61,1,identidad_cultural,A,"Valoración del apellido, sangre, del pueblo al cual provienen; pensar y decir lo que se siente, contar con una igualdad de género y como persona."
65,1,identidad_cultural,A,"Pinto zona turística, queremos recursos para invertir en la cultura turistica y que no se pierda nuestra identidad"
85,1,identidad_cultural,A,"Identidad que es transversal a un estado, que explica la forma como nos entendemos, incluye la memoria histórica y el reconocernos como chilenos desde un lugar e historia en común, es la base o soporte de nuevas generaciones."
91,1,identidad_cultural,A,cuidar las tradiciones culturales de las zonas del país y fomentarlas por sobre las foraneas.-
96,1,identidad_cultural,A,Con nuestros pueblos étnicos.
107,1,identidad_cultural,A,"Para ir avanzando como país debemos siempre considerar nuestras tradiciones y de donde venimos. Es importante  fomentar el respeto por nuestra cultura, preservando cuidadosamente y con mucho cariño las tradiciones, los lugares patrimoniales y por sobre todo los pueblos originarios."
153,1,identidad_cultural,A,"Que seamos mas nacionalistas que nuestros mapudungun sea obligatorio en los colegios, también la cueca se debiera enseñar  desde la infancia"
161,1,identidad_cultural,A,Fomentar la más amplia identidad cultural chilena y que ésta sea de libre acceso o al menos acceso popular.
165,1,identidad_cultural,A,Asegurar y consagrar el respeto y reconocimiento a la diversidad de pueblos originarios.
166,1,identidad_cultural,A,"El pueblo chileno debiese valorar e identificarse con las diferentes etnias originarias de nuestro país, donde el estado reconozca su diversidad, carácter plurinacional y multicultural."
177,1,identidad_cultural,A,"Este término aborda el conjunto de diferencias que pueden existir entre los distintos grupos sociales, culturales más que temas de género; aborda un perspectiva social más amplia hacia la construcción de una sociedad más inclusiva desde la integración de pueblos y culturas originarias."
213,1,identidad_cultural,A,Proteger y valorar la cultura y tradiciones de los pueblos originarios. Valorar el aprendizaje que se puede obtener de ellos. Representación de los pueblos indígenas en las instituciones de poder.
214,1,identidad_cultural,A,Rescatar las costumbres y tradiciones de nuestros pueblos originarios ya que también son parte importante de la historia de nuestra nación.
226,1,identidad_cultural,A,"En muchos países la identidad está clara, incluso hasta ha servido para aumentar el turismo. En nuestro país se ha dado incluso que un niño que vive en el campo no sabe que es un arado y si continuamos así, muchas otras cosas se perderán definitivamente."
236,1,identidad_cultural,A,"RECONOCER QUE LA COMUNIDAD, ESTÁ COMPUESTA DE REALIDADES, HISTORIAS DISTINTAS Y SABIDURIA ANCESTRAL, QUE REQUIEREN PERMANECER COMO CONOCIMIENTO VIVO, TRASPASADO DE GENERACION EN GENERACION"
243,1,identidad_cultural,A,"La cultura y la identidad que poseamos es parte de nuestro ser, y nuestro país debe protegerla y lograr su crecimiento."
261,1,identidad_cultural,A,el respecto a la identidad cultural es un valor basico
263,1,identidad_cultural,A,"Mantener nuestras costumbres, velar por su promoción, cuidar y dar a conocer a las futuras generaciones nuestras costumbres."
309,1,identidad_cultural,P,en nuestro país hace falta que el estado promueva todo tipo de actividades para promover nuestra identidad cultural; plasmarlo en la constitución es el primer paso.
326,1,identidad_cultural,A,"Potenciar aquellos valores que nos identifican como chilenos, disminuyendo las influencias de la globalización."
353,1,identidad_cultural,A,"Valorar la identidad cultural , a través de la cultura , darle mas auje"
361,1,identidad_cultural,A,"Que exista la libertad individual para definir rol del individuo a partir de sus convicciones, en la sociedad  valorando el patrimonio cultural."
362,1,identidad_cultural,A,respeto a las diferentes culturas existentes . mapuches rapanui aymara
379,1,identidad_cultural,A,reconocimiento y respeto de los distintos agentes creadores y formadores de las identidades
401,1,identidad_cultural,A,Respetar nuestra cultura cambiando el sistema neoliberal
