idEla,tema,concepto,acuerdo,fundamento
8,1,igualdad,A,"es un principio fundante de una democracia. En términos formales se asegura la no discriminación arbitraria. Esto no significa considerar la igualdad como homogeneidad cultural o identitaria. Por el contrario, la igualdad debe sustentarse en el reconocimiento y respeto de la diversidad cultural."
11,1,igualdad,P,Un miembro del grupo prefiere equidad.
12,1,igualdad,A,"Este concepto fue acordado por todos los presentes, ya que es importante dentro de una constitución."
14,1,igualdad,A,Igualdad ante la ley. El estado debe asegurar la disminución de la desigualdad de ingreso económico. Igualdad laboral y de derecho.
17,1,igualdad,A,"Debemos poseer los mismos derechos para que podamos tener las mismas oportunidades y así vivir equitativamente con las mismas obligaciones para todos los estratos sociales, sin privilegios."
29,1,igualdad,A,"que se vea reflejado en la educacion, salud, trabajo y para todos los ciudadanos"
31,1,igualdad,A,igualdad para todos
35,1,igualdad,A,"Ser tratados con la misma dignidad y tener los mismos derechos, sin discriminación de género, orientación sexual, situación económica, credo, cultura, origen, edad, etc."
36,1,igualdad,A,Igualdad en el sentido en que las personas tienen los mismos derechos y las mismas oportunidades.
48,1,igualdad,A,"Igualdad en términos de tener los mismos derechos y deberes, tomando en cuenta las diferencias culturales, políticas, sexuales, de creencias. Medir igual a los iguales y distinto a los diferentes. Igualdad en el piso."
54,1,igualdad,A,Es importante para que todos los derechos y deberes que establecerá esta nueva constitución sea valida e igual para todos los ciudadanos sin importar clase social.
55,1,igualdad,A,Sin comentarios
56,1,igualdad,A,"Derecho de igualdad para todos, todos quieren igualdad"
57,1,igualdad,A,en base a este principio se puede conformar una nueva constitución mas igualitaria y permitir la realizacion de las personas como tal.
58,1,igualdad,A,"en chile no debe haber ciudadanos de 1°,  2° o 3° categoría. deben ser todos iguales"
59,1,igualdad,A,Es una herramienta para todas las personas de la sociedad y esto nos sitúa como seres humanos de igual derecho ante la sociedad.
59,2,igualdad,A,"Toda la persona debe tener un trato digno y no privilegiado, que al ser humano no se le discrimine por  su lugar donde habita, su color de piel, su apellido, su religión, etc."
61,1,igualdad,A,"Una igualdad para todos, ya sea de género, socio-económicas y de derechos."
63,1,igualdad,A,todos somos iguales ante el estado.
65,1,igualdad,A,Que todos los ciudadanos tengamos los mismos derechos
66,1,igualdad,A,"Debe favorecer en todos los aspectos, educación, género, salud. Sin tener una mirada superficial sino más bien una vista donde todos somos iguales."
67,1,igualdad,A,"• No porque alguien tenga más recursos merece ser tratada/o mejor que alguien que no los tiene. • Merecemos igualdad, vivamos donde vivamos. Muchos  jóvenes hoy mienten sobre su dirección para no ser discriminados. • Es un derecho que no se está tomando en cuenta. • No se trata de ser todas/os igua"
67,2,igualdad,A,"• Es la base de todo. Si fuéramos realmente iguales no existirían las diferencias que hoy existen en salud, educación, vivienda, trabajo, etc. Estas áreas además se cruzan y están interrelacionadas unas con otras, para mejorar una hay que mejorar las otras. • la Constitución actual declara igualdad"
70,1,igualdad,A,"Es necesario que todos tengamos derechos igualitarios a la educación, salud, justicia que la diferencia no la haga el dinero."
72,1,igualdad,A,Que se garantice la igualdad plena de derechos fundamentales en la carta magna. Dos personas eligen este principio.
75,1,igualdad,A,"Derecho a decidir (mujer). Ej: aborto, igualdad de sueldos, igualdad en trato y oportunidades de crecimiento."
76,1,igualdad,A,.
77,1,igualdad,A,"Entendemos por Igualdad el valor de que todos, en nuestra diversidad, seamos tratados con la misma dignidad y que tengamos los mismos derechos. Por esta misma razón, consideramos parte  fundamental de los valores la Equidad de género, la Tolerancia y que las personas son iguales en su dignidad."
77,2,igualdad,A,"Consideramos que dentro de una categoría más amplia, como lo es la del derecho a la igualdad, se integraran derechos fundamentales específicos asociados a esta: Derecho de igualdad ante la ley, derecho de igualdad de género, derecho de acceso a la justicia y de acceso a la información pública."
78,1,igualdad,P,"Es la base de la democracia, asegurando las igualdades de condiciones para todos los chilenos."
80,1,igualdad,A,xxxxx
81,1,igualdad,A,sin comentarios
81,2,igualdad,A,No a la discriminación
85,1,igualdad,A,POR CONTENER IDEA DE IGUALDAD SIN DISCRIMINACIONES Y PERMITIR EL ACCESO A LOS DERECHOS DE IGUALDAD SIN ATENDER A DIFERENCIAS.
86,1,igualdad,A,"El derecho de todas las personas a tener acceso a beneficios, pero a la vez tiene que ser equitativo y sin discriminación de ningún tipo."
91,1,igualdad,A,Porque este valor da lugar a muchos otros    Ejemplo : igualdad de genero- económica y social - trato respetuoso -acceso a la educación -salud   entre otras .-
91,2,igualdad,A,Que el estado debe asegurar la igualdad de oportunidades a todas las personas independiente del genero-condición socio económica -etnia originaria entre otros .-
94,1,igualdad,A,Necesario para el logro del bien común.
95,1,igualdad,P,"Igualdad, porque de las grandes falencias que tenemos en Chile es la falta de oportunidades."
95,2,igualdad,A,"Derecho a la igualdad de oportunidades, que haya igualdad de base."
96,1,igualdad,A,Diversidad Dignidad Respeto a las personas Educación  Justicia Social
101,1,igualdad,A,"Se consideró un valor fundamental, asociado a la justicia y a la democracia. Se planteó la necesidad de que las leyes sean para todos iguales, y en particular se discutió acerca del trato igualitario para con los jóvenes."
104,1,igualdad,A,"Todas las personas deben ser tratadas con los mismos derechos, sin discriminar sexo, cultura, raza, etc."
106,1,igualdad,A,Proveer de condiciones justas y equivalentes a todas las personas; además de propender al fin de las discriminaciones arbitrarias.
107,1,igualdad,A,Que todos tengan los mismos derechos. Igualdad ante la ley. Igualdad de derechos.
110,1,igualdad,A,Los ciudadanos somos iguales en dignidad y derechos que se nos reconocen por el hecho de ser persona. La igualdad se opone a la noción de privilegios.
112,1,igualdad,A,"EN EL SENTIDO AMPLIO DEL CONCEPTO, EN NUESTRA CALIDAD HUMANA, JURÍDICA, ETC."
112,2,igualdad,A,"AMPLIA: POQUE ENCIERRA IGUALDAD DE GÉNERO, ANMTE LA LEY, A LA JUSTICIA Y DEBIDO PROCESO"
114,1,igualdad,A,"Es un valor que nos da el mismo grado de importancia a todos, teniendo los mismos derechos dentro de la diversidad."
117,1,igualdad,A,"Es muy importante para el desarrollo de la juventud. Pero creemos que debe ser más específico, en relación a la igualdad que se defiende."
118,2,igualdad,A,"Todos somos iguales ante la ley, la justicia y los tributos"
125,1,igualdad,A,"La constitución debe velar porque todos seamos tratados con la misma dignidad. El desacuerdo está en que existen diferencias respecto a si todos deben tener los mismos derechos, lo anterior en atención a grupos particulares de la sociedad (niños, adultos mayores, personas con discapacidad"
130,1,igualdad,A,"Igualdad de derechos, trato digno y tratar que no existan diferencias."
130,2,igualdad,A,"Ser tratados de igual manera, no ser discriminados."
131,2,igualdad,A,Esto es fundamental para garantizar un trato justo. Es en todo el sentido de la palabra.
133,1,igualdad,A,la igualdad es para todas las personas y se deben incluir en todos los derechos.
133,2,igualdad,A,con la igualdad todas las personas pueden acceder a sus derechos ante cualquier situación.
139,1,igualdad,A,"Estamos viviendo en una sociedad donde el modelo económico de desarrollo ha tergiversado este principio, horadando l sana convivencia de toda la sociedad y poniendo la individualidad con sus éxitos como un patrón valido y  vigente, el estado debe velar porque este principio sea tracendente y angula"
140,1,igualdad,A,"Es el principio más importante, el cual debe orientar a los demás"
140,2,igualdad,A,Debe reconocerse la igualdad formal como material
141,1,igualdad,A,"Que todos puedan participar desde una base común (igualdad de oportunidades), que todos tengamos las mismas herramientas."
141,2,igualdad,A,Total.
143,1,igualdad,A,Sociedad igualitaria = sociedad más libre y sostenible.
144,1,igualdad,A,"Necesitamos que la igualdad esté garantizada atreves de la constitución política, que sea un hecho concreto. Igualdad de género y oportunidades."
148,2,igualdad,A,ASUMIMOS QUE LA IGUALDAD ES EL TRATO QUE EL ESTADO DEBE BRINDAR A LAS PERSONAS SIN NINGUN TIPO DE  REPARO.
151,1,igualdad,A,Que la mujer se le de valor que necesita (femicidios) y que se le de el reconocimiento ante la sociedad
151,2,igualdad,A,Derecho igualdad de género Integración ante la sociedad Derecho a la discriminación física
153,1,igualdad,A,"i gualdad de genero  repeto hacia la mujer , no discriminarla por ser madre igualdad de remuneraciones en el trabajo"
153,2,igualdad,A,"creemos que se puede lograr con buena educacion , cultura e inculcar desde  pequeño el respeto por los demas sean estos persons o animales"
154,1,igualdad,A,Todos somos iguales.
158,1,igualdad,A,"Entendida como la forma como cada una de las personas se relaciona con el colectivo y éste con el Estado. Somos iguales en cuánto somos personas que tenemos los mismos derechos, deberes. La igualdad es antagónica a la subsidiariedad. Implícita en la inclusión e integración. Abarca libertad, equidad"
162,1,igualdad,A,"Es la base de toda sociedad,en derecho y oportunidades, igualdad en salud,educación y justicia."
164,1,igualdad,A,"La igualdad debe ser la base sobre la cual el Estado actúe hacia sus habitantes: somos todos iguales ante la ley, independiente del origen o condición de cada uno."
165,1,igualdad,A,Construcción de espacio común a pesar de las diferencias. El Estado debe asegurar que la desigualdad no se produzca.
168,1,igualdad,A,"Consideramos que la igualdad es fundamental como un Macro Derecho, donde se incluye la igualdad de género, ante la justicia, ante las garantías fundamentales y otros."
170,1,igualdad,A,"Mas general que la equidad de genero, este principio permite el respeto, la tolerancia y la inclusión que deberían inspirar las políticas publicas."
171,2,igualdad,P,las mismas posibilidades para desarrollarnos como personas
176,1,igualdad,A,La igualdad de oportunidades de derecho y de los deberes es crucial para la convivencia en armonía y el bienestar de todos los integrantes de la comunidad.
176,2,igualdad,A,"Es necesario erradicar todo tipo de discriminación por sexo, género, orientación sexual, nivel educacional, ingresos, religión, nacionalidad, territorio u otras causas, ya que estas discriminaciones aumentan nuestros niveles de inequidad y segmentación."
177,1,igualdad,A,"Se habló sobre el tema de bienestar, asegurando un Estado de derechos y la igualdad de oportunidades. Hay reparos en este último, ya que se considera como algo “aspiracional”."
181,1,igualdad,P,Todos de acuerdo
189,1,igualdad,A,"Ausencia de discriminaciones arbitarias desde todo punto de vista. Resguarda y garantiza la inexistencia de cualquier tipo de diferenciación por raza, credo, etc. El Estado tiene la obligación de generar condiciones para la Igualdad (no es un valor ambiguo o genérico). La Igualdad permite el acceso"
194,1,igualdad,A,"Ante la Ley, de acceso a la informacion, de genero, de oportunidades."
197,1,igualdad,A,"El ser reconocidos como iguales ante la constitución pudiendo disfrutar las mismas políticas, civiles y oportunidades contando con idénticas posibilidades para acceder a una serie de bienes sociales."
197,1,igualdad,A,"Principio reconocer el derecho de cada persona, utilizando la equidad para adaptar a cada individuo con el fin de hacerlo más justo."
198,1,igualdad,A,Involucra todos los conceptos de igualdad.
198,2,igualdad,A,La igualdad  en sentido de considerar todos los derechos como persona.
205,1,igualdad,A,"- Garantice no discriminación de minorías - Equidad Ppio. de actuación del Estado - Especialmente igualdad de género, potenciar equitativa participación de mujer y minorías sexuales - Igualdad en acceso servicios y actuaciones del Estado y garantías constitucionales de manera material"
209,1,igualdad,A,"La igualdad debería ser aplicada en todas sus dimensiones, es decir; igualdad de derechos sin importar la edad, la clase social, la raza, el género o la situación de discapacidad en la que se puede encontrar la persona."
209,2,igualdad,A,"La igualdad debería ser aplicada en todas sus dimensiones, es decir; igualdad de derechos sin importar la edad, la clase social, la raza, el género o la situación de discapacidad en la que se puede encontrar la persona."
214,1,igualdad,A,Igualdad ante la ley sin ningún tipo de discriminación. Igualdad en beneficios y responsabilidades sin excepciones.
214,2,igualdad,A,Ser tratados de la misma forma sin discriminación.
219,1,igualdad,A,este principio es fundamental y como cristianos buscamos que cada día se equiparen  los derechos y obligaciones de todos los ciudadanos  sin hacer distinciones arbitrarias. Buscamos que se nos  trate en igualdad de condiciones tanto en forma individual como de manera institucional.
220,1,igualdad,A,Todos deben tener los mismos derechos y deberes. No debe haber discriminación entre personas.
222,1,igualdad,A,Todos los seres humanos somos iguales en dignidad y ante la ley.
223,1,igualdad,A,"Igualdad en la participación, ser parte de algo en igualdad de condiciones. La nueva constitución deberá garantizar o salvaguardar las mismas condiciones, la igualdad debiera estimularse y reforzarse desde la infancia"
226,2,igualdad,A,Si realmente  sintiéramos la igualdad todos tendríamos los mismos derechos  y habría mayor transparencia. Existen privilegios.
229,1,igualdad,A,Tratamiento equitativo a las personas respecto de derechos y deberes sin diferencias arbitrarias.
232,1,igualdad,A,"Igualdad es un concepto que en sí puede abarcar muchos otros conceptos. En este caso, se decide considerar la igualdad como igualdad resultados, el cual se considera como un elemento clave de la sociedad."
233,1,igualdad,P,.
238,1,igualdad,A,"Debemos todos y todas ser tratados como iguales, que no sean unos más que otros. Ogialdad en acceso a derechos y oportunidades."
239,1,igualdad,P,"Debió incluirse su antónimo diversidad continuación, pues al tratarse de valores opuestos, es más claro que vayan juntos y no intercalados a mucha distancia en la guía."
240,2,igualdad,A,"Igualdad salarial, social, al margen de toda discriminación por género sexo identidad de género, social, origen, garantizado por el estado."
243,1,igualdad,P,"Queremos que la justicia sea igual para todos, en donde no influya la clase social, el poder político y económico al momento de dictar una sentencia. Que todos los chilenos debamos pagar por los delitos que cometemos, sin importar quienes seamos o de donde venimos o del poder que tengamos."
244,1,igualdad,A,8 de 10 participantes votaron por esta opción
245,1,igualdad,A,Todas las personas somos iguales y no por ser de diferente clases sociales o distinto sexo debemos ser tratados diferente.
245,2,igualdad,P,Todos debemos aceptar a los demás tal y como son ya sea su discapacidad o su forma de ser.
247,2,igualdad,A,La igualdad de los ciudadanos es parte de la esencia de la Democracia. No es sólo un derecho sino una exigencia debido a que vivimos en un sistema económico social  que concentra la riqueza y los ingresos agudizando progresivamente la desigualdad. La institucionalidad y el sistema político que se derive de ella debe orientarse a contrarrestar y revertir esta tendencia permanente a la desigualdad del sistema económico social que nos rige.
253,1,igualdad,A,"Igualar las condiciones de partida (educación, acceso a la salud y alimentación digna), como así también las condiciones actuales de acceso a puestos públicos, a condiciones de equidad de género, etc."
255,1,igualdad,A,"Reconocimiento equitativo de las personas y sus diversidades, considerando las distintas etapas del ciclo vital, situaciones de discapacidad, etnias y pueblos, clase entre otros."
256,1,igualdad,A,"Trato igualitario, incluye respeto a la diversidad (genero, cultura, etnia, religión, etc.)"
261,1,igualdad,A,la justicia es funadmental para la democracia
263,1,igualdad,A,"Que somos todos iguales dentro de nuestro país, que se terminen las barreras sociales."
270,1,igualdad,A,"Concideramos que este principio lleva envuelto en si mismo a los principios o valores de diversidad, igualdad de genero, inclusion, integracion, por eso su vital importancia."
274,1,igualdad,A,"Todos somos iguales. Hay gente que abusa, se creen más que uno."
274,2,igualdad,A,Todos somos iguales. Todos deben tener oportunidades. Hay que respetar a todos.
279,1,igualdad,A,", SOCIALMENTE LA MUJER SIEMPRE PIERDE"
287,1,igualdad,A,es un valor que reconoce las diferencias y desde esa perspectiva trata a todos como iguales y garantiza la igualdad. Hay que implementar de forma activa el resguardo a la igualdad a través de políticas públicas. El estado tiene que trabajar de forma activa y transversal para que se superen las diferencias de tratos y condiciones.
287,2,igualdad,A,todas las personas tiene el derecho a ser tratadas en igualdad de condiciones reconociendo las diferencias.
289,1,igualdad,A,"Si bien somos naturalmente desiguales, debemos ser tratados como iguales por parte del poder del Estado y de los demás miembros de la sociedad."
293,2,igualdad,A,Fundamento de la democracia. Si no hay derecho a la igualdad no hay democracia.
