idEla,tema,concepto,acuerdo,fundamento
3,2,igualdad_ante_la_ley,A,El origen social o religioso no deben motivar la discriminación ante la ley
8,2,igualdad_ante_la_ley,A,"se debe consignar para garantizar la no discriminación de género,  de diferencias de sociales, culturales, y de cualquier otro tipo."
12,2,igualdad_ante_la_ley,A,"Este concepto fue acordado por unanimidad dentro de la asamblea, ya que pensamos que es importante destacar que todos somos iguales ante la ley, sin distinción."
14,2,igualdad_ante_la_ley,A,"- Sin importar la condición económica, todos somos iguales ante la ley. - Independencia respecto al cargo ocupado."
19,2,igualdad_ante_la_ley,A,"Es esencial la igualdad en términos judiciales, ya que seguimos en una sociedad de privilegios para ""algunos"". Que se releve y resguarde los DDHH"
20,2,igualdad_ante_la_ley,A,"Debe ser una igualdad real y no sólo teórica, como lo es hoy día."
24,2,igualdad_ante_la_ley,A,todos iguales ante la ley no importando el credo religioso estatus no hay nadie sobre la ley.
29,2,igualdad_ante_la_ley,A,Igualdad de derecho y deberes que no existan privilegios y que no exista la lucha de poderes
31,2,igualdad_ante_la_ley,A,derechos iguales para todos.
33,2,igualdad_ante_la_ley,A,"que la ley no distinga de clases sociales, que no ponga multas para que el imputado quede libre de cárcel. que los menores de edad también se hagan responsables de sus actos y sean juzgados como adultos, con opción de ir a la cárcel."
36,2,igualdad_ante_la_ley,A,"Asegurar este derecho, implica reconocer que todos los individuos de la especie humana son iguales ante la ley, sin que exista privilegios ni prerrogativas especiales. Asegurar este derecho conduce a una democracia más sólida."
46,2,igualdad_ante_la_ley,A,.
55,2,igualdad_ante_la_ley,A,Sin comentarios
56,2,igualdad_ante_la_ley,A,"Todos deben pagar por igual, no importa su clase social"
57,2,igualdad_ante_la_ley,P,"todos somos iguales ante la ley sin importar condición social, económica ni poder gubernamental."
58,2,igualdad_ante_la_ley,A,"todos son iguales ante la ley, ya sea politico o civil. ante la justicia somos todos iguales"
61,2,igualdad_ante_la_ley,A,Que contemos con una igualdad ante la ley; que el que tenga más tenga la misma pena que el que tiene menos.
67,2,igualdad_ante_la_ley,A,"• Por las mismas faltas se castiga de modo muy distinto a las personas, según su condición económica, etc. • La falta de esta igualdad favorece, avala y perpetúa la corrupción, y provoca discriminación. • Responde a nuestra igualdad esencial como seres humanos"
70,2,igualdad_ante_la_ley,A,Que no importe condición social económica o religiosa.
72,2,igualdad_ante_la_ley,A,Sin discusión en acuerdo
