idEla,tema,concepto,acuerdo,fundamento
1642,2,igualdad_ante_las_cargas_públicas,A,"TODOS DEBEMOS PAGAR IMPUESTOS EN RELACIÓN A LOS INGRESOS ,BUSCANDO LA MAYOR PROBIDAD Y  JUSTICIA SOCIAL EN LA APLICACIÓN DE ESTOS."
2003,2,igualdad_ante_las_cargas_públicas,A,La ley es fundamental en todos los países del mundo
2088,2,igualdad_ante_las_cargas_públicas,A,Transparencia en concruso publicos competencias en los cargos postulables
2241,2,igualdad_ante_las_cargas_públicas,A,Personas naturales y empresas deben respetar su carga pública
2393,2,igualdad_ante_las_cargas_públicas,A,Que exista la posibilidad de ser evaluados de manera equitativa para la ocupación de cargos públicos.
2850,2,igualdad_ante_las_cargas_públicas,A,Creemos en una equidad ante las cargas públicas
3645,2,igualdad_ante_las_cargas_públicas,A,"Es el derecho de cumplir con los compromisos asumidos y la cancelación por la igualdad, los mismos tributos que cobran a las empresas."
3793,2,igualdad_ante_las_cargas_públicas,A,es un deber cumplir con nuestros impuestos para que se puedan desarrollar políticas publicas que ayuden a la igualdad de los ciudadanos
4098,2,igualdad_ante_las_cargas_públicas,P,todo el que quiera postular a un cargo público tiene el derecho de poder hacerlo.
4111,2,igualdad_ante_las_cargas_públicas,A,.
4482,2,igualdad_ante_las_cargas_públicas,A,Pilares CChC
5067,2,igualdad_ante_las_cargas_públicas,A,.
6068,2,igualdad_ante_las_cargas_públicas,A,"Igualdad ante la ley implica igualdad de trato por el Estado a las personas, nadie puede soportar cargas fiscales o administrativas u otra superiores a las de cualquier otra persona. Igualdad ante los tributos, esto es, OPOSICIÓN ABSOLUTA AL IMPUESTO PROGRESIVO"
6237,2,igualdad_ante_las_cargas_públicas,A,para todos y todas. En cargas y tributos.
6453,2,igualdad_ante_las_cargas_públicas,A,"Que haya igualdad de salario  entre hombres y mujeres   y no se    discrimine por ser mujer, que no   se juzguen sus    capacidades y    conocimientos   solo por ser mujer.-"
6643,2,igualdad_ante_las_cargas_públicas,A,"Es la base para que florezca la solidaridad ya que condiciona la propiedad al bien público, obligando a introducir criterio de equidad tributaria."
6868,2,igualdad_ante_las_cargas_públicas,A,"Según lo debatido, todos los asistentes piden igualdad de condiciones en la sociedad."
8783,2,igualdad_ante_las_cargas_públicas,A,Que la distribución de los cargos públicos y tributos sea mirada en su justa dimensión de equidad fundamental
8989,2,igualdad_ante_las_cargas_públicas,P,"Pro: las nuevas personas, pueden generar ideas nuevas que estén de acuerdo a los tiempos actuales/ Contra: debería haber una discriminación más selectiva, la cual produzca mejores resultados a futuro."
9083,2,igualdad_ante_las_cargas_públicas,A,"Buscamos que el padre tenga los mismos derechos que la madre frente a sus hijo, la madre tiene mayores derechos sobre su hijo, aun sin ser evaluada sicológicamente, el padre tienen el derecho de cuidar a su hijo."
9494,2,igualdad_ante_las_cargas_públicas,A,"A un juicio justo para todos, y no sólo algunos."
10167,2,igualdad_ante_las_cargas_públicas,A,"que no por tener autoridad, tengan beneficios en la aplicación de las leyes."
10201,2,igualdad_ante_las_cargas_públicas,A,-Desaparecer las Isapres y Fonasa hacerse cargo.
12311,2,igualdad_ante_las_cargas_públicas,A,Todas las personas deberán ser sometidas bajo igualdad de criterios objetivos a las obligaciones que ley determine.  Las cargas públicas no podrán ser aplicadas de manera retroactiva.
13056,2,igualdad_ante_las_cargas_públicas,A,Impustos y excenciones iguales para todos.
13343,2,igualdad_ante_las_cargas_públicas,A,que todos tengamos loas mismas condiciones
14308,2,igualdad_ante_las_cargas_públicas,A,"No sólo somos titulares de derechos. Un nuevo modelo de desarrollo requiere la colaboración de todos. Por lo mismo, es necesario asumir las cargas que se puedan imponer, especialmente los tributos considerando su “progresión”."
14764,2,igualdad_ante_las_cargas_públicas,A,Todos tienen derecho a optar y recibir los productos y servicios que los servicios públicos están obligados a otorgar.
14925,2,igualdad_ante_las_cargas_públicas,A,que no sea por pituto Que no sólo por partido político
15328,2,igualdad_ante_las_cargas_públicas,A,"que exista igualdad en los ingresos por funciones administrativa, igualdad en la administración publica, igualdad en tributo."
15571,2,igualdad_ante_las_cargas_públicas,A,"TODO CIUDADANO TIENE DERECHO A CARGOS PUBLICOS, PERO CON UNA HOJA DE VIDA INTACHABLE"
15649,2,igualdad_ante_las_cargas_públicas,P,que las empresas paguen impuestos de acuerdo a sus ganancias
15737,3,igualdad_ante_las_cargas_públicas,A,IGUALDAD ANTE LAS CARGAS PÚBLICAS
