idEla,tema,concepto,acuerdo,fundamento
11,2,igualdad_de_acceso_a_la_justicia_debido_proceso,A,Garantía de acceso igualitario al debido proceso y a la justicia
36,2,igualdad_de_acceso_a_la_justicia_debido_proceso,A,"Este derecho se entiende como una garantía de igualdad ante la ley, y pretende acceder a la justicia en igualdad de condiciones y oportunidades, sin discriminación de ningún tipo. En consecuencia, se asegura también un debido proceso en todas las causas judiciales."
48,2,igualdad_de_acceso_a_la_justicia_debido_proceso,A,"Porque todos requerimos ser defendidos en nuestros intereses y un procedimiento conocido por todos. Y que ello sea en igualdad por el solo hecho de ser humano, sin distinción de clase."
65,2,igualdad_de_acceso_a_la_justicia_debido_proceso,P,Que la justicia se aplique a todos los ciudadanos de igual manera
76,2,igualdad_de_acceso_a_la_justicia_debido_proceso,A,igualdad de acceso sin diferencias de clases sociales.
108,2,igualdad_de_acceso_a_la_justicia_debido_proceso,P,debe existir el derecho de igualdad de acceso a la justicia debido proceso para todas las personas que habitan el territorio nacional y para las personas que lo visitan
131,2,igualdad_de_acceso_a_la_justicia_debido_proceso,A,Clave para garantizar muchos elementos
133,2,igualdad_de_acceso_a_la_justicia_debido_proceso,A,"este derecho es muy necesario para las mujer, ya que se necesita igualar los derechos y oportunidades."
189,2,igualdad_de_acceso_a_la_justicia_debido_proceso,A,"Posibilidad de acceder a un trato igualitario ante la Justicia, definiéndose garantías procesales para un efectivo ejercicio de los derechos de cada individuo."
193,2,igualdad_de_acceso_a_la_justicia_debido_proceso,A,No hay fundamentos más allá de la discusión.
206,2,igualdad_de_acceso_a_la_justicia_debido_proceso,A,Garantia de efectiva igualdad ante la sociedad
213,2,igualdad_de_acceso_a_la_justicia_debido_proceso,A,"Para todos: mujeres, hombres, infancia y tercera edad."
250,2,igualdad_de_acceso_a_la_justicia_debido_proceso,A,"Los individuos deben tener igual acceso a la Justicia y los procesos que se ventilen deben ser imparciales, equitativos y ecuánimes."
295,2,igualdad_de_acceso_a_la_justicia_debido_proceso,A,Auto-explicativo.
337,2,igualdad_de_acceso_a_la_justicia_debido_proceso,A,Base de la paz ciudadana y la certeza jurídica
418,2,igualdad_de_acceso_a_la_justicia_debido_proceso,A,"En línea con la protección judicial de los derechos, no debiese existir diferencia entre ninguna persona"
422,2,igualdad_de_acceso_a_la_justicia_debido_proceso,A,en este derecho se debe comprender también el derecho de acceso a la justicia
467,2,igualdad_de_acceso_a_la_justicia_debido_proceso,A,"Es fundamental para la protección judicial de todos los derechos, junto con el acceso a la justicia."
470,2,igualdad_de_acceso_a_la_justicia_debido_proceso,A,.
475,2,igualdad_de_acceso_a_la_justicia_debido_proceso,A,Permite la protección de otros derechos. Seguridad nacional. Igualdad.
494,2,igualdad_de_acceso_a_la_justicia_debido_proceso,A,"Fundamental como garantía jurídica, más aún que la mera igualdad ante la ley."
559,2,igualdad_de_acceso_a_la_justicia_debido_proceso,A,Como en el punto anterior queremos mayor acceso y de forma de calidad a un proceso donde no se vulneren libertad de derecho de respeto por las personas
608,2,igualdad_de_acceso_a_la_justicia_debido_proceso,A,"Que la justicia sea igual para todos las personas. no debe existir privilegios políticos, militares; ejemplo: en las condenas."
636,2,igualdad_de_acceso_a_la_justicia_debido_proceso,A,"que todas las personas sin excepción, políticos, congresistas, diputados, sacerdotes, todas y todos pobres y ricos, tengan un debido proceso y se garantice que las medidas serán tomadas desde la ejecución igualitaria del proceso penal, no queremos mas gente pagando por ""su"" justicia."
644,2,igualdad_de_acceso_a_la_justicia_debido_proceso,A,"Actualmente los medios de comunicación han evidenciado, a través de diversos casos emblemáticos que la justicia no es igual para todos. La Constitución debe garantizar el ejercicio equitativo de la justicia sin distinciones de índole política o socioeconómica."
652,2,igualdad_de_acceso_a_la_justicia_debido_proceso,P,Todos los chilenos somos iguales ante la ley
808,2,igualdad_de_acceso_a_la_justicia_debido_proceso,P,Derecho vinculado directamente a lo discutido con anterioridad en el principio de la Justicia y relacionándolo además con la accesibilidad de interposición de acciones de protección y amparo de los mismo Derechos y Garantías que se consagren en la CPR.
811,2,igualdad_de_acceso_a_la_justicia_debido_proceso,A,TODAS LAS PERSONAS TIENEN DERECHO A UN JUICIO JUSTO.
822,2,igualdad_de_acceso_a_la_justicia_debido_proceso,A,Que sea un cumplimiento de principio de igualdad y uso efectivo que rige la ley de la justicia.
824,2,igualdad_de_acceso_a_la_justicia_debido_proceso,A,"igualdad para el acceso a la justicia, todos debemos ser iguales ante la ley, no hacer diferencias, ni obtener beneficios distintos en temas de justicia."
828,2,igualdad_de_acceso_a_la_justicia_debido_proceso,A,"SOMOS TODOS IGUALES ANTE LA LEY.QUE ESTA FRASE SEA REAL Y APLICABLE DE IGUAL MANERA,SIN DISTINCIÓN DE CLASES."
886,2,igualdad_de_acceso_a_la_justicia_debido_proceso,A,Que se respete los principios de igualdad ante la Ley y se vele por procesos y sentencias justas.
