idEla,tema,concepto,acuerdo,fundamento
309,2,igualdad_de_genero,P,"debido a las circunstancias que se han dado, resulta de gran importancia asegurar la equidad de género y que no surgirán futuras diferencias arbitrarias."
313,2,igualdad_de_genero,A,"Mismos derechos en política, en cargos gerenciales y en los sueldos.  Todos ser humano debe ser respetado  Lenguaje de Genero  Solidaridad de genero"
679,2,igualdad_de_genero,A,"El machismo ya pasó, fin al patriarcado"
679,2,igualdad_de_genero,A,A vivir en un país honesto y solidario Recuperar la confianza entre todas y todos
842,2,igualdad_de_genero,A,Necesidad de contemplar el equiparar a hombres y mujeres
1278,1,igualdad_de_genero,A,Que haya igual acceso de derechos para hombres y mujeres
2604,2,igualdad_de_genero,P,"instancias de participación igualitaria junto con fortalecer las ya existentes, así como también el respeto permanente de ambos géneros tanto el ámbito público como en el privado. Implica a su vez, repensar las instituciones del Estado desde una mirada de equidad."
2613,1,igualdad_de_genero,P,"respetar los diferentes gustos ya sea lesbiana, gay, bisexual,etc."
3836,2,igualdad_de_genero,A,"Derecho a los distintos géneros, teniendo igual de oportunidades en todos los ámbitos, terminando con la discriminación y el machismo."
4478,2,igualdad_de_genero,A,"Se distingue de la Igualdad de Género por que apunta a una dimensión distinta.  El Estado debe garantizar, promover y proteger la equidad de geénero esté presente en todas las dimensiones humanas de acción de los ciudadanos"
4999,2,igualdad_de_genero,A,"Hombres y mujeres deben tener iguales oportunidades, teniendo en cuenta sus restricciones biológicas."
5905,2,igualdad_de_genero,A,Creemos muy necesario fortalecer el respeto a la mujer en una sociedad chilena que aun es muy machista
5933,2,igualdad_de_genero,A,"Derecho a las feminidades, igualdad de genero (mundo transasexual, homosexual y lesbico)"
7082,2,igualdad_de_genero,A,"Eliminar desde lo normativo el patriarcado y la heteronorma transversal y subyacente en nuestra sociedad, que se traduce en desigualdad de oportunidades y derechos y en la construcción de figuras prejuiciadas sobre los roles que las personas deben cumplir según su género y orientación sexual."
7673,2,igualdad_de_genero,A,Respetar los derechos de las minorías sexuales y garantizar su inclusión en la sociedad.
7875,3,igualdad_de_genero,A,respeto de derechos de hombres y mujeres.
7980,2,igualdad_de_genero,A,Igualdad de oportunidades entre hombres y mujeres
9000,2,igualdad_de_genero,P,Todas las personas merecen tener el mismo trato independiente si es hombre o mujer.
10157,2,igualdad_de_genero,A,"En Chile hay una tradición machista y es algo que debe cambiar para estos tiempos.  Apela a un tema de identidad, integrar a toda la diversidad."
10203,2,igualdad_de_genero,A,"La violencia aún está muy instalada en nuestra sociedad. La nueva constitución debe consagrar la equidad de los géneros, extinguiendo aquellas injusticias generadas por el sistema actual. No se trata solo de preservar la equidad entre hombres y mujeres, sino con otros géneros e identidades"
10600,2,igualdad_de_genero,A,"Los asistentes consideraron que la ""igualdad"" de género no es algo deseable, pues ignora las diferencias básicas de hombres y mujeres (por ejemplo, la actual discriminación) y que debería favorecerse más al desfavorecido (género femenino) de modo que se alcance una igualdad de condiciones."
10838,2,igualdad_de_genero,A,Porque queremos el mismo trato que los hombres (ej. salario).
11388,2,igualdad_de_genero,A,Tanto hombres y mujeres deben recibir los mismos beneficios ya que ambos contribuyen al desarrollo y bienestar de la sociedad.
12177,2,igualdad_de_genero,A,se debe incorporar a la figura masculina en las políticas públicas.
12315,2,igualdad_de_genero,A,"DERECHO A QUE SE RECONOZCA Y ADMITA LOS DISTINTOS GÉNEROS DE LA SOCIEDAD, PROMOVIENDO LA INTEGRACIÓN, EL RESPETO E IGUALDAD."
12881,2,igualdad_de_genero,A,"Creemos que implica un diseño transversal en las políticas públicas que lo incluya, esto puede llegar a requerir políticas puntuales de discriminación positiva."
12972,2,igualdad_de_genero,A,"Es un derecho no hacer diferencias de sexo, sin ningún tipo, pero también es necesario reconocer los derechos de la gente transexual. Hay que profundizar en una sociedad no sexista, desde sus instituciones."
13342,2,igualdad_de_genero,A,Respeto e igualdad de oportunidades e ingresos entre hombres y mujeres
13930,1,igualdad_de_genero,A,"Es importante que se termine la discriminación, especialmente a las mujeres. Hombres y mujeres tenemos los mismos derechos. Mujeres son igual de capaces en todo ámbito"
13951,2,igualdad_de_genero,A,"Que haya un punto de equilibrio, no un punto medio, en el que todos tengan igual acceso y oportunidades."
14840,2,igualdad_de_genero,A,"Una de las mayores desigualdades a nivel mundial y en la historia, siendo objeto de distintas manifestaciones de violencia."
15015,1,igualdad_de_genero,A,"igualdad entre hombres y mujeres, en el control y uso de los bienes y servicios de la sociedad, hasta abolir la discriminación por sexo."
15354,2,igualdad_de_genero,A,"Debe existir una igualdad de género, para así lograr una sociedad más igualitaria, tanto es así como en oportunidades y derechos, y poder acabar con el machismo que queda en Chile."
