idEla,tema,concepto,acuerdo,fundamento
35,2,igualdad_de_género,A,El derecho a que se reconozca la identidad de genero de cada uno(que puede no existir). El derecho a poder visibilizar la propia identidad de genero de la forma que cada uno estime conveniente.
43,2,igualdad_de_género,A,Es importante mantener la figura de la mujer como bastón de la sociedad
58,2,igualdad_de_género,A,hombres y mujeres tienen que tener las mismos derechos y deberes
75,2,igualdad_de_género,A,"A igual capacidad igual salario , respeto en trato."
76,2,igualdad_de_género,A,igualdad en derechos.
87,2,igualdad_de_género,A,Respeto a las minorías y diversidad de los distintos grupos humanos. NO a la violencia y discriminación hacia la mujer
101,2,igualdad_de_género,A,"Entendemos la igualdad de género como equidad, inclusión e igual acceso a oportunidades, y como base fundamental para la convivencia humana."
112,2,igualdad_de_género,A,"IGUALAR SALARIOS Y OPORTUNIDADES DE DESARROLLO PARA HOM,BRE, MUJERES, Y MINORÍAS SEXUALES"
114,2,igualdad_de_género,A,Todas las personas tienen la misma importancia.
117,2,igualdad_de_género,A,Por la vida de la mujer en Chile. Por su mejor desempeño y en calidad de ser humano con los hombres. Para evitar el machismo en Chile.
125,2,igualdad_de_género,A,Igualdad de hombres y mujeres.
141,2,igualdad_de_género,P,La definición de igualdad ante la ley no capta esta igualdad factica. La jurisprudencia y el legislador deben implementar este concepto. Otra postura señala que este concepto genera machismo. Las mujeres no tienen una condición diferente al hombre.
144,2,igualdad_de_género,A,"Fortalece un estado de derecho, tiene relación con estado solidario, esencialmente esto no esta considerado. Es importante resaltar que esto no es binominal (hombre – mujer) se debe considerar a transexuales y otras diversidades."
158,2,igualdad_de_género,A,"Hombre, Mujer, en sus derechos y deberes mismas garantías"
162,2,igualdad_de_género,A,"A nadie se le debe discriminar por su género y tampoco sancionar por ello (baja de sueldos, mayor cotización, etc)."
181,2,igualdad_de_género,A,Todos de acuerdo
202,2,igualdad_de_género,A,Fin a toda discriminación. Iguales en todo y ante todo.
245,2,igualdad_de_género,A,"Todos debemos ser tratados igualmente, ya seamos hombres o mujeres."
255,1,igualdad_de_género,A,Garantizar la igualdad de derechos y oportunidades de todos los géneros.
261,2,igualdad_de_género,A,derecho esencial
299,2,igualdad_de_género,A,un derecho que debe transversalizarse e instalarse en todo el cuerpo social
302,2,igualdad_de_género,A,"La Constitución debe consagrar los derechos de las mujeres a decidir sobre su cuerpo y ejercer sus derechos sexuales y reproductivos. Además, debe haber iguales derechos, acceso, oportunidades y beneficios para hombres y mujeres, en todos los ámbitos e independiente de sus diferencias."
340,2,igualdad_de_género,A,"Hombres y mujeres 100 % en igualdad de condiciones, sueldos, representaciones publica y trabajos"
370,2,igualdad_de_género,A,Apunta a la tolerancia y respeto mutuo.
390,2,igualdad_de_género,A,Todos somos iguales. El género no hace a ninguno superior o diferente a otro.
405,2,igualdad_de_género,A,"La Constitución debe considerar grupos prioritarios y consagrar derechos para ellos, entre ellos las mujeres, los adultos mayores. La igualdad entre hombres y mujeres debe ser un derecho garantizado en la Constitución, así como la no violencia en contra de mujeres, adultos mayores e indígenas"
414,2,igualdad_de_género,A,"Relevante en la sociedad machista, fomenta la paridad de responsabilidad, cargos, salarios y dignidad."
421,2,igualdad_de_género,A,Que hombres y mujeres tengan los mismos derechos como trabajo sueldos salud educación.
448,2,igualdad_de_género,A,"7. Equidad de género. En el acceso al trabajo a los cargos públicos, en los salarios, en la salud, etc."
469,2,igualdad_de_género,A,-por la discriminación del sistema del sistema hacia los géneros -abuso de poderes  -maximizar el desarrollo del país
471,2,igualdad_de_género,A,.
510,2,igualdad_de_género,A,"Corresponsabilidad, paridad, vida sin violencia"
552,2,igualdad_de_género,A,"Consideramos que tanto hombres como mujeres, tenemos el derecho a la igualdad en relación a nuestras oportunidades, necesidades, sin discriminación."
559,2,igualdad_de_género,A,Creemos con fundamento que los derechos humanos deben también involucrar la igualdad de condiciones contra el maltrato tanto a mujeres y hombres como niños y niñas con pena de cárcel
560,2,igualdad_de_género,A,"los participantes mencionan que los las mujeres y los hombres deben tener los mismos deberes y derechos, que el  estado garantice el respeto y la igualdad."
616,2,igualdad_de_género,A,Igualdad de Género: deseamos que nadie goce de privilegios ni sea víctima de cargas en razón de su género.
619,2,igualdad_de_género,A,"Igualdad de salario, tanto en hombres como mujeres. Acceso a una educación no sexista."
636,2,igualdad_de_género,A,"se hace necesaria la igualdad de genero tanto en roles como funciones, no  se puede seguir pagando a hombres un sueldo superior que a una mujer, ejerciendo el mismo cargo y responsabilidades, no se puede seguir invisibilizando el quehacer domestico,cuando es el que mas tiempo quita a una persona"
641,2,igualdad_de_género,A,"Tanto hombres y mujeres indígenas, tengamos acceso a las misma cosas, que los sueldos sean iguales, tanto hombre como mujeres."
666,2,igualdad_de_género,A,"Para recibir las mismas oportunidades, de acceso a cargos públicos y privados(remuneración). en la responsabilidad social, económica, familiar y cultural."
687,2,igualdad_de_género,A,"Es necesario que Chile avance de manera efectiva en esta materia, eliminando la brecha y desigualdad que existe entre hombres y mujeres, logrando un respeto mutuo."
693,2,igualdad_de_género,A,"Un estado promotor y garante de una sociedad democrática y equitativa con todas y todos, chilenas y chilenos."
702,2,igualdad_de_género,A,"Todos tenemos derecho a ser tratados de manera igualitaria, independiente de nuestro género."
704,2,igualdad_de_género,A,Porque las mujeres estamos en desmedro. Las oportunidades deben ser iguales para hombres y mujeres.
710,2,igualdad_de_género,P,Que sea incluido como concepto y acciones de una nueva o modificación de la constitución.
721,2,igualdad_de_género,A,Que se termine con la discriminación de género en todo ámbito.Social laboral y económico
746,2,igualdad_de_género,A,"no debe haber trato diferenciado para hombres y mujeres, salarios iguales a igual trabajo, a alcanzar cargos de jerarquía sí así lo dicen sus méritos. Que se respete a las mujeres en toda su dignidad"
752,2,igualdad_de_género,A,"Consideramos notoria la desigualdad entre los géneros, por ende pedimos igualdad política, social, económica, entre mujeres y hombres."
760,2,igualdad_de_género,A,debe ser un derecho garantizado en la nueva constitución. con una nueva mirada.
773,2,igualdad_de_género,A,No a la discriminación por Genero
824,2,igualdad_de_género,A,"Concordamos que estamos aún en déficit con el tema de géneros. Leyes que sean igualitarias en temas salariales, puestos de trabajos, altos cargos, etc. ya que no importa el genero, sino las capacidades que poseemos como personas."
859,2,igualdad_de_género,A,"La Constitución y todas las Leyes deben velar porque no exista diferencia alguna que se origine por el género, sea femenino, masculino u otro."
873,2,igualdad_de_género,A,"Es importante considerar tanto a la mujer como al hombre en igualdad de condiciones, en igualdad de trato, en igualdad de trabajo, etc. Ya que esto hoy se ve en nuestra sociedad que no se respeta cuando si debería hacerse."
876,2,igualdad_de_género,A,"El estado debe garantizar el cumplimiento de los tratados internacionales que aseguran la igualdad entre hombres y mujeres desde la equidad. Debemos reconocer y luchar contra el modelo patriarcal, buscando la paz en nuestra sociedad. El modelo debe girar hacia la horizontalidad y el respeto"
881,2,igualdad_de_género,A,"Especificar un derecho constitucional que garantice la igualdad de género en toda la legislación nacional, considerando mecanismos de garantía y protección al referido derecho"
886,3,igualdad_de_género,A,"Garantizar que ni hombres ni mujeres estén en desmedro de derechos, sólo por su condición sexual."
892,2,igualdad_de_género,A,"Es necesaria la igualdad en un país patriarcal, misógeno y que presenta diferencias en los salarios de hombres y mujeres."
906,2,igualdad_de_género,A,Nos hacemos parte de la visibilización de los derechos humanos fundamentales de la Carta de los Derechos Humanos y en la necesidad de otorgar iguales condiciones y oprtunidades para todos y todas.
922,2,igualdad_de_género,A,Ser tratados por igual hombres y mujeres
929,2,igualdad_de_género,A,En este país no debiera existir un género dominante debiendo existir una equidad en las oportunidades para ambos géneros.
932,2,igualdad_de_género,P,"Ampliar definicion de genero, libertad de genero. Somos todos iguales, independiente del genero."
949,2,igualdad_de_género,A,Respeto y leyes más duras por la violencia intrafamiliar.
961,2,igualdad_de_género,P,"en la toma de decisiones, soberanía sobre los propios cuerpos y respeto al acceso de oportunidades espirituales y materiales"
1034,2,igualdad_de_género,A,"De oportunidades(a igual trabajo igual sueldo), etc... T.A."
1099,2,igualdad_de_género,P,necesidad de visibilizar a las mujeres ya que han estado invisibilidades en la constitución.
1100,2,igualdad_de_género,A,QUE EXISTAN LOS MISMOS DERECHOS Y BENEFICIOS TANTO PARA HOMBRES COMO MUJERES
1102,2,igualdad_de_género,A,"Que exista una integración justa y que las personas por ser personas tengan dignidad, sin importar si es hombre o mujer."
1105,2,igualdad_de_género,A,ser elegidos para cargos publicos en forma igualitaria hombres y mujeres
1118,2,igualdad_de_género,A,derecho a recibir un trato digno y a que se brinden igualdad de oportunidades. Al hombre se le tiene que aumentar tiempo de posnatal sin sacrificar el tiempo de posnatal de la mujer.
1123,2,igualdad_de_género,A,"Que el Estado garantice la igualdad de oportunidades (laborales, educaciones, de salud, remunerarias) independientemente del género (incluyendo los derechos de los trans)."
1127,2,igualdad_de_género,A,"Se prioriza esta categoría de ""igualdad"" reconociendo las diferencias y brechas de género históricas en nuestro país."
1133,2,igualdad_de_género,A,"Equidad. A igual trabajo, igual salario"
1143,2,igualdad_de_género,A,"Absoluta igualdad de derechos entre hombres y mujeres, incluyendo el derecho de la mujer de disponer de su cuerpo; también a un derecho al  trabajo y a un salario equitativo.  La Constitución debe garantizar, además, los derechos de las minorías sexuales."
1164,2,igualdad_de_género,P,Que las mujeres tengan las mismas oportunidades a todo evento.
1167,2,igualdad_de_género,A,"ademas del reconocimiento de la igualdad entre hombre y mujer, el reconocimiento de minorías sexuales."
1176,2,igualdad_de_género,A,Igualdad en remuneraciones y cargos.
1184,2,igualdad_de_género,A,Respeto a todas y todos
1185,2,igualdad_de_género,P,No es relevante para que esté en la Constitución.
1196,2,igualdad_de_género,A,Se está pensando sobre todo en el caso de las mujeres.
1197,2,igualdad_de_género,A,No más diferencia de sueldos por género o sexos.
1199,2,igualdad_de_género,A,"Formando parte del  derecho a la no discriminación, consiste en un principio de carácter constitucional que busca resguardar la igualdad entre los sujetos que se identifiquen con el género femenino y los sujetos que se identifiquen con el género masculino."
1208,2,igualdad_de_género,A,"es necesario que el estado se desprenda de fortalecer conductas machistas en la administración del estado y además reconocer que la salud sexual de las mujeres debería ser decidida por las propias mujeres, ellas deben decidir que hacer con su cuerpo."
1210,2,igualdad_de_género,A,"Referida la igual ante cualquier acción y condición de los seres humanos, como por ejemplo la maternidad debe ser entendida como una responsabilidad de ambos padres, maternidad y paternidad."
1212,2,igualdad_de_género,A,"La Constitución debe asegurar los derechos y deberes para todos por igual, independientemente de su condición de género o sexual."
1257,2,igualdad_de_género,A,Derecho a la no discriminación
1280,2,igualdad_de_género,A,"condiciones iguales indistintamente del género, garantizados a nivel constitucional"
1281,2,igualdad_de_género,A,"Es fundamental la igualdad para poder avanzar en el desarrollo de un país, la democracia debe avanzar considerando la historia de grandes discriminaciones que hemos sufrido las mujeres, es por ello que es fundamental subsanar las grandes desigualdades en materia de género."
1300,2,igualdad_de_género,A,Nos remitimos a lo señalado en el principio. Debe ser consagrado expresamente.
1307,2,igualdad_de_género,A,"Ante la educación, el trabajo. A igual actividad económica un mismo salario. Cuotas de poder (paridad)"
1332,2,igualdad_de_género,A,"Los mismos derechos y respeto al género, no al maltrato al género, fortalecer la igualdad con los pares. Discriminación en trabajo, salud, derecho. Es defenderse en su propia dignidad como ser humano"
1335,2,igualdad_de_género,A,Igualdad de género y no discriminación con derechos y oportunidades para todos por igual.
1346,2,igualdad_de_género,A,que hombres y mujeres tienen los mismos derechos y deberes
1375,2,igualdad_de_género,A,en consecuencia a los valores este es un derecho fundamental para las mujeres y que debería considerar la Constitución.
1404,2,igualdad_de_género,A,"Por que los hombres, mujeres y personas con diferencias sexuales somos capaces a realizar las mismas tareas."
1408,2,igualdad_de_género,A,"La igualdad de derechos y oportunidades en relación al genero permite un  equilibrio en la sociedad en la que nos desarrollamos, como mujer u hombre."
1415,2,igualdad_de_género,A,"Derecho de todos a vivir y expresarnos a partir de nuestras particularidades, sin que esto afecte nuestro acceso a bienes y servicios, ni el ejercicio de nuestros otros derechos, tampoco nuestros ingresos. Distintas identidades de género pueden tener necesidades que deben ser satisfechas."
1424,2,igualdad_de_género,A,Que mujeres y hombres seamos iguales
1435,2,igualdad_de_género,A,Lo consideramos un derecho fundamental para alcanzar la igualdad entre los participantes de la sociedad.
1471,2,igualdad_de_género,A,"Si bien consideramos que la inclusión engloba este concepto,  el ELA encuentra necesario su manifestación explícita"
1482,2,igualdad_de_género,A,"Esto es fundamental que la nueva constitucion resguarde la iguald de genero en Chile y esto no es solo en la paridad de sueldo, si no en oportunidades y derechos"
1488,2,igualdad_de_género,A,"Igualdad de oportunidades de acceso a hombres y mujeres e igualdad remuneracional; a igual trabajo, igual remuneración."
1515,2,igualdad_de_género,A,"Discriminan a las mujeres y Gays, igualdad en sueldos y eliminar el ministerio de la Mujer para que seamos hombres y mujeres iguales"
1524,2,igualdad_de_género,A,hombres y mujeres el mismo compromiso frente a la sociedad y los mismos derechos
1546,2,igualdad_de_género,A,"Se debe velar porque hombres y mujeres tengan igualdad de derechos en temas tales como post-natal intransferible, en cuanto al cuidado personal de los hijos, igualdad de sueldos, planes de salud y jubilaciones."
1557,2,igualdad_de_género,P,Porque algunos preferían incluir libertad de enseñanza y/o seguridad social por sobre la igualdad de género
1582,2,igualdad_de_género,A,Respeto a las personas en su total dimensión: garantizando derechos de las personas de acuerdo a su identidad de género que su sexo.
1594,2,igualdad_de_género,A,derechos a que hombre y mujeres reciban igual salario e igual derecho de acceso a la salud (que las mujeres no sean discriminadas en las isapres)
1614,2,igualdad_de_género,A,"Equidad de género en relación a lo laboral, económico sexual y político. Necesidad de promover cambios culturales."
1615,2,igualdad_de_género,A,Derecho a la igualdad de género y el fin a toda discriminación. Fin a la violencia de género en todas sus formas.
1616,2,igualdad_de_género,P,"QUE REGULE LA IGUALDAD, EN EL TRABAJO, EL SALARIO, EN LA SALUD, LOGRANDO MAYOR RESPETO, SOBRE TODO EN LAS PUBLICIDADES."
1653,2,igualdad_de_género,A,"Creemos que es un derecho que se reconozca a todo ser humano, independiente de su género o orientación sexual, iguales en derechos y deberes y se tengan las mismas garantías sociales, judiciales y economicas.Educar y concientizar a la sociedad sobre la equidad de género, no-machismo e inclusión."
1723,2,igualdad_de_género,A,acuerdo de todos por esta opcion
1735,2,igualdad_de_género,A,"Que exista igualdad de ingresos, de prestaciones y no se discrimine por ser mujer"
1748,2,igualdad_de_género,A,No solo es necesario asegurar la igualdad entre hombres y mujeres sino que también entre todos los géneros. Como una formula de tolerancia y aceptación de la diversidad de opciones de género
1756,2,igualdad_de_género,P,Todos somos iguales en deberes y derechos independiente de su genero
1761,2,igualdad_de_género,A,• Tanto hombre y mujeres deben tener derechos iguales en todo momento.
1764,2,igualdad_de_género,A,"Todas las personas, no importando su género tengan acceso a las mismas oportunidades."
1802,2,igualdad_de_género,A,"QUE TODO CIUDADANO Y CIUDADANA SIN IMPORTAR SU SEXO, TENGA ACCESO AL PLENO DESARROLLO TANTO EN EL ÁMBITO PÚBLICO COMO EL PRIVADO."
1808,2,igualdad_de_género,A,"equidad de genero.El estado debe garantizar el cumplimiento de los tratados internacionales que aseguran la igualdad entre hombres y mujeres desde la equidad. Debemos reconocer y luchar contra el modelo patriarcal, buscando la paz en nuestra sociedad. El modelo debe girar hacia la horizontalidad"
1817,2,igualdad_de_género,D,"Se estima que le principio debe ser la igualdad, sin apellidos"
1824,2,igualdad_de_género,A,"Debe existir el derecho de expresarse sin ningún tipo de problemas, las diferentes opciones sexuales de las personas y que tengan respeto jurídico y social."
1920,2,igualdad_de_género,A,"Se considera relevante que este derecho sea garantizado por el Estado, debido a que en  la sociedad chilena aún persisten prácticas discriminatorias en materia de género como, por ejemplo, que las mujeres reciban en promedio un 30% menos del salario que perciben los hombres."
1928,2,igualdad_de_género,A,"Hacer una relación justa de la posición de las mujeres , homosexuales y transexuales y las minorías."
1930,2,igualdad_de_género,A,"Principio que reconoce  valor sin discriminación e sexo a hombre, mujeres, gays, lesbianas y trans en sus derechos."
1936,2,igualdad_de_género,A,Igualdad de género de be cruzar la legislación
1945,2,igualdad_de_género,A,ACUERDO UNANIME
1950,2,igualdad_de_género,A,"La constitución debe asegurar la igualdad de condiciones y oportunidades para todo habitante del país, ya sea hombre o mujer, velando porque no se vean discriminados por su género en el ámbito laboral, educacional, cultural ni ningún otro, permitiendo que todos y todas puedan acceder a iguales condiciones. Asimismo, es su deber educar a las futuras generaciones en torno a la igualdad de género, evitando que el sistema educativo valide y reitere estereotipos peyorativos u otras formas de violencia contra la identidad de hombres o mujeres."
1964,2,igualdad_de_género,A,Igualdad de oportunidad de trabajo y sueldos. Tener perspectiva de igualdad con minorías sexuales.
1985,2,igualdad_de_género,P,Por que todos debemos ser iguales en derechos y nadie debe ser excluído
2022,2,igualdad_de_género,A,que no se discrimine a las personas o reciban un trato diferente ´por ser hombre o mujer.
2030,2,igualdad_de_género,A,todos tenemos los mismos derechos y oportunidades.
2066,2,igualdad_de_género,A,"Lograr evolucionar como país en el ámbito de género para lograr eliminar los diferentes prejuicios tanto a los hombres como a las mujeres, haciendo este un cambio generacional, es decir que los niños y niñas aprendan a tratarse con respeto mutuamente."
2084,2,igualdad_de_género,A,"Todos deben tener derecho a vivir  y ser reconocido por el Estado, por el simple hecho de ser persona y cuidadano del país. Entendido desde la sexualidad misma de cada individuo, como de las oportunidades, de los beneficios, de las atribuciones, de las responsabilidades, etc."
2092,2,igualdad_de_género,A,Deben ser igualitario de acuerdo al mismo trabajo
2114,2,igualdad_de_género,P,"el concepto algo nuevo para algunos de los participantes, fue incorporado dada la importancia del tema y su transversalización"
2128,2,igualdad_de_género,A,Que todos los géneros sean iguales ante el resto. Esto no significa que todos son iguales. No es cuota de géneros.
2148,2,igualdad_de_género,P,"Si bien algunos creen que es un debate cultural, el resto pensó que el estado debería promover de manera extraordinaria igualdad en este ámbito."
2157,2,igualdad_de_género,A,con equidad
2159,2,igualdad_de_género,A,"Se requiere una constitución que garantice el derechos de todas las personas, independiente de su genero. No mas discriminación económica, previsional, o en el ámbito que sea por temas de genero, la tarea es construir una comunidad que respete y permita el desarrollo de todos y todas"
2173,2,igualdad_de_género,A,En las áreas de trabajo y salud.
2181,2,igualdad_de_género,A,"Derecho que representa una de las diversas formas y valores en que la Igualdad debe protegerse y garantizarse, en este caso, asegurando condiciones equitativas en todos los ámbitos a hombres y mujeres."
2195,2,igualdad_de_género,P,"Que toda persona independiente de su genero y/o identidad sexual, tenga los mismos derechos ante la ley, la sociedad y al estado."
2200,2,igualdad_de_género,A,consideramos que el estado debe fiscalizar la igualdad de género (leyes)
2206,2,igualdad_de_género,A,El Estado debe de garantizar  la igualdad de genero en todas las instancias de la sociedad.
2212,2,igualdad_de_género,A,"EL ESTADO DEBE GARANTIZAR QUE NADIE SERA DISCRIMINADO POR SU CONDICION, YA SEA GENERO, EDAD O ETNIA."
2245,2,igualdad_de_género,A,Igualdad de derechos independiente del genero o tendencia sexual.
2250,2,igualdad_de_género,P,Debe ser un tema reforzado y visibilizado en la vida pública. Se trata también de reivindicar el rol menoscabado que ha existido de la mujer.
2270,2,igualdad_de_género,A,Esta igualdad de genero garantiza el mejor aprovechamiento de los talentos para el desarrollo del pais
2308,2,igualdad_de_género,A,"Para garantizar una democracia legítima, es necesario establecer las mismas oportunidades, independiente del género. Esto implica un salario/cargo equitativo entre géneros, equilibrio entre la vida laboral, personal y familiar."
2310,2,igualdad_de_género,A,"Hombres y mujeres tienen igualdad de derechos, por lo tanto ninguno debe ser violentado, discriminado, ni su rol definido a causa de su género"
2311,2,igualdad_de_género,A,"En elecciones y funciones del Estado, que la participación sea equitativa."
2316,2,igualdad_de_género,A,Explicita e impulsa otros derechos. Estado no sexista al estar constitucionalmente consignado. Que garantice ejercicio de la maternidad y paternidad.
2351,2,igualdad_de_género,A,Chile no tiene este tema superado y no nos referimos solo a hombres y mujeres sino a toda la diversidad sexual. Es un simbolismo importante que debe expresarse en la constitución.
2367,2,igualdad_de_género,A,"Es necesario hacer cambios desde las instituciones para que la cultura de desigualdad vaya cambiando, las instituciones que se han creado han sido un avance (como el SERNAM) pero se avanza en el camino errado porque se considera a la población vulnerable que han vivido algún maltrato por parte de la sociedad. Consideramos que debiese haber un ministerio de equidad de género."
2369,2,igualdad_de_género,A,"si existe equidad en el esfuerzo es necesario que halla también igualdad en las labores, remuneraciones y derechos."
2372,2,igualdad_de_género,A,va de la mano con la no discriminación
2398,2,igualdad_de_género,P,"Las mujeres son una mayoría discriminada en nuestra sociedad, especialmente en el ámbito de la representación política. La nueva constitución debe abordar este tema de manera decidida."
2404,2,igualdad_de_género,A,el estado debe ser garante de realizar acciones concretas para que las mujeres se les respalde sus condiciones laborales y salariales no inferiores a los hombre sino en igualdad. Además de trato imparcial entre hombres y mujeres
2433,2,igualdad_de_género,A,"ENTENDIDA COMO IDENTIDAD DE GENERO, CON IGUALDAD DE OPORTUNIDADES, DE DERECHOS LABORALES, ECONOMICOS, POLITICOS Y SOCIALES."
2435,2,igualdad_de_género,A,Tiene que haber igual inclusiva entre todas las personas.
2446,2,igualdad_de_género,A,"i bien es un tema que ha comenzado a visibilizarse socialmente, no se han tomado acciones necesarias para disminuir la brecha de poder y cambiar la cultura machista imperante que existe en Chile, que se ha traducido en actos que van desde el menosprecio en el ámbito cotidiano hasta la violencia bru"
