idEla,tema,concepto,acuerdo,fundamento
79,2,igualdad_de_oportunidades,A,"No importa si somos hombres o mujeres, no importa nuestro nivel socioeconómico, no importa si mi apellido en Echeverría o Soto, no importa si soy de Santiago o de Cunco, todos nos merecemos igualdad/equidad de oportunidades"
464,1,igualdad_de_oportunidades,P,debe ser un principio inspirador de la constitución
995,1,igualdad_de_oportunidades,A,"Todas las personas tienen derecho a desarrollarse integramente sin consideración a su condición social, económica, de género, de raza, etc."
1050,2,igualdad_de_oportunidades,A,"Derecho a desarrollar las capacidades de cada uno, sin hacerlo homogéneamente.   No iguales, diversos, pero con las mismas oportunidades de decidir el futuro. Es la base de la equidad."
2166,1,igualdad_de_oportunidades,A,Debería haber igualdad de oportunidades para todos. Fuera de la cárcel necesitamos oportunidades y que no nos discriminen por tener antecedentes. Con igualdad de oportunidades nos podemos reintegrar a la sociedad.
2800,1,igualdad_de_oportunidades,D,"No son ""parejas"" para todos.  Existen personas con más ventajas que otros.  Desigualdad profundamente arraigada en nuestra sociedad."
3394,2,igualdad_de_oportunidades,A,"Todos los ciudadanos deben tener las mismas oportunidades para acceder a un sueldo digno mediante su trabajo, con límites mínimo y máximo."
3572,2,igualdad_de_oportunidades,A,"Se deben generar condiciones sociales, jurídicas, políticas y económicas para que  aquellos/as que se encuentran en una situación de desventaja  tengan las mismas oportunidades a la partida que los/as que no están en esa situación.  Esto incluye el derecho a participación en cargos públicos."
3873,2,igualdad_de_oportunidades,A,Derecho que orienta a la sociedad a procurar una disponibilidad de recursos donde todos puedan crecer y avanzar según sus capacidades. Condición básica para una sociedad meritocrática.
4111,1,igualdad_de_oportunidades,A,El Estado y los privados garanticen una sociedad meritocrática en base a una igualdad inicial en la calidad de la educación.
5440,2,igualdad_de_oportunidades,P,"Esta sería la base del progreso, solo así se logra la justicia."
5721,1,igualdad_de_oportunidades,A,"Se establece que el énfasis debe ser igualdad de oportunidades, y no de resultados, ya que esto último es contradictorio con la libertad"
5772,1,igualdad_de_oportunidades,A,Debe haber un piso básico desde donde avanzar y no que el lugar donde uno nace determine tu futuro
6194,1,igualdad_de_oportunidades,A,Acceso equitativo a todos los derechos y beneficios sociales
6238,2,igualdad_de_oportunidades,A,"Que independiente de su origen, raza, nacionalidad, orientación sexual, rango etareo y sexo cuenten con las potencialidades de vivir la vida que desean, en una cancha pareja. Garantizar un salario digno que permita al menos cubrir sus necesidades básicas."
6396,1,igualdad_de_oportunidades,A,"Que cada persona tenga las mismas oportunidades, garantizando educación, salud,  cancha pareja. De la mano con la libertad, este concepto, abarca a otros como inclusión, bien común, equidad, etc… Su falta genera vicios, todas las desigualdades en la sociedad."
6468,1,igualdad_de_oportunidades,P,Todos los Chilenos deberían tener una base de igualdad de oportunidades que desarrollen individualmente.
6553,1,igualdad_de_oportunidades,P,"Ideal de sentar bases igualitarias para el desarrollo de las personas. Igualdad de oportunidades en educación y otros derechos sociales, igualdad de oportunidades en términos de género, entre otros."
6722,2,igualdad_de_oportunidades,A,Creemos que este es un derecho básico en toda sociedad apra que sus individuos puedan desenvolverse de buena manera.
7823,1,igualdad_de_oportunidades,A,Igualdad ante la ley y todos los individuos.  Sin igualdad de oportunidades no podemos avanzar en la sociedad.
8245,1,igualdad_de_oportunidades,A,Todos debemos tener las mismas oportunidades de base y desde ahí desarrollar nuestros potenciales.
8495,2,igualdad_de_oportunidades,A,"Cada uno merezca las mismas oportunidades sin importar la étnica, sus ingresos, su pensamiento político o su  preferencia sexual sin la existencia de discriminación."
8820,1,igualdad_de_oportunidades,A,igualdad de oportunidades
9881,1,igualdad_de_oportunidades,D,Igualdad de oportunidades sin obstáculos para que las personas desarrollen su proyecto de vida.
10123,2,igualdad_de_oportunidades,A,"Libertad de realziar su vida en las mismas y equitativas condiciones que la sociedad y el resto, cuando además ha sido anulada la concentración de riquezas en un solo o en pocos grupos de la sociedad."
10257,1,igualdad_de_oportunidades,A,el estado y los privados ganan tienen una sociedad mas meritocracia en base a una igualdad en calidad de educación.
10731,2,igualdad_de_oportunidades,A,Generar las condiciones para garantizar que todas las personas tengan las mismas posibilidades de acceder al bienestar social y posean los mismos derechos políticos y civiles.
11007,2,igualdad_de_oportunidades,A,sin fundamento.
12509,1,igualdad_de_oportunidades,A,todos los chilenos independientes de su origen deben tener igualdad de condiciones de tal manera que se permita a este desarrollarse como persona.
12757,1,igualdad_de_oportunidades,P,"“Igualdad de oportunidades” va de la mano con la dignidad y también habla de justicia, que en el fondo, tengamos todos los mismos derechos. Si hay algo que nos separa es la desigualdad. Algunos no estuvieron de acuerdo porque las oportunidades se presentan en en un lugar y en otros no."
12757,2,igualdad_de_oportunidades,P,"Tener acceso a las mismas oportunidades. Personas somos iguales en dignidad, por lo tanto los derechos debieran ser iguales. Algunos no estuvieron de acuerdo argumentando que aunque somos iguales en dignidad, somos diferentes en otros aspectos, por lo tanto el derecho a la igualdad, encasilla."
13271,2,igualdad_de_oportunidades,A,"Garantizar estándares óptimos para el desarrollo individual y colectivo, sin importar las circunstancias ni dar cabida a la discriminación."
13609,1,igualdad_de_oportunidades,P,"El Estado debe garantizar las oportunidades o chances mínimas para el desarrollo de todos, sin solicitar para ello el sexo, raza, o condición cualquiera sea. Desarrollo de una meritocracia."
13836,1,igualdad_de_oportunidades,A,Importancia de garantizar que todas las personas puedan acceder a oportunidades de calidad.
