idEla,tema,concepto,acuerdo,fundamento
9,1,inclusión,A,"Integrar y escuchar a minorías, personas con necesidades especiales, etnias originarias y otros para dar las mismas posibilidades de participación a todos/as."
12,1,inclusión,A,"Estamos de acuerdo con incorporar este concepto, ya que debemos formar ciudadanos inclusivos para una mejor calidad de vida."
14,1,inclusión,A,"- Que todas las personas, independiente de sus condiciones, tengamos los mismos derechos y deberes. - Respeto por la diversidad."
56,1,inclusión,P,Debido a que los gustos de diferentes personas varían
58,1,inclusión,A,independiente de sus características físicas o mentales todos somos iguales
67,1,inclusión,A,"Nos permitiría construir un país y una sociedad en la que todas/os tengan lugar. Lógica opuesta a la del mercado, que excluye a las y los más débiles (del tipo que sean). Dinámica de integrar a otras/os diversos nos enriquece y fortalece como grupo humano, Es un deber de los más fuertes con respeto"
72,1,inclusión,A,"De las minorías, especialmente de los discapacitados que no está garantizado en las etapas de toda la vida, especialmente en niños. Se consensa que el concepto debe incluir a todos los discriminados."
79,1,inclusión,A,"Se entiende como un concepto en movimiento, de acuerdo a la realidad dad en el tiempo. Reconocer la particularidad de las personas con una respuesta atingente en diferentes áreas, desarrollo arquitectónico, educación, salud y acceso inclusivo."
87,1,inclusión,A,Todos los seres humanos tienen los mismos derechos y los mismos deberes. (Derechos Humanos)
95,1,inclusión,A,"Inclusión generar las oportunidades para las personas que están fuera de la norma, esto referido a todo ámbito de cosas educación, dinero, discapacidades físicas – no tienen las mismas oportunidades.  En Chile no nos hacemos cargo de esas personas, inclusión abarca esto."
107,1,inclusión,A,Que verdaderamente las personas con capacidades diferentes puedan ser parte de la sociedad sin tener que ser discriminados constantemente.
117,1,inclusión,A,Es un valor que evita la discriminación. Va de la mano con el respeto. Debe ser bien definida.
133,1,inclusión,A,"en este valor se considera a todas las personas con sus diferencias sexo, genero, raza, etc."
139,1,inclusión,A,"El país lo conforman todos los habitantes con sus derechos y deberes, por lo tanto tiene que existir una inclusión en los cargos , decisiones, representaciones, etc,de la gran diversidad étnica , cultural, económica, política , religiosa, sexual, y donde la participación ciudadana sea una realidad."
143,1,inclusión,A,Orientada a minorías principalmente / exclusión histórica. Si  bien existe el SENADIS hay temas que están en deuda: personas discriminadas por sus capacidades físicas; necesidades distintas de aprender. El sistema es débil en relación al nº de personas que requieren atención y acceso. Hay ausencia de información.
147,1,inclusión,A,Aceptar al otro como legítimo otro
161,1,inclusión,A,"Que en nuestro país tengan cabida todos los grupos de personas, teniendo todos la misma consideración."
168,1,inclusión,A,"Que nadie sea privado de sus derechos, responsabilidades y garantías fundamentales por ninguna causa arbitraria."
178,1,inclusión,A,"Implica generar  y garantizar oportunidades para todos sin diferencias económicas, sociales, físicas, étnicas, intelectuales, de género etc, de tal modo que cada uno y todos, a la vez , se sientan respaldados por las normas generadas por el Estado al respecto."
194,1,inclusión,A,permite el desarrollo individual y mejorar la experiencia de vida.
197,1,inclusión,A,Derecho fundamental de todo ser humano a ser reconocido como miembro de la sociedad de la que forma parte como ciudadanos activos de la misma.
209,1,inclusión,A,"Se espera que la sociedad se pueda transformar en inclusiva, pensar en todas las personas con sus diferentes particularidades. De esta forma las minorías no se verán discriminadas ni excluidas de la sociedad."
240,1,inclusión,A,"En un país inclusivo todos tienen participación, lo construyen para todas, todos y todes a través de políticas concretas de inclusión"
262,1,inclusión,A,Creemos que la inclusión debe ir acompañada con la diversidad
263,1,inclusión,A,Que todos seamos considerados.
266,1,inclusión,A,"todos los individuos deben ser parte de la sociedad sin importar su condición física, cultural o social."
298,1,inclusión,P,- Equilibrio - Derecho humano - Que exista inclusión étnica - Igualdad de condiciones - Relación directa con deberes y derechos  Acuerdo parcial : (Existen muchas aristas delicadas de tratar)
299,1,inclusión,A,Una sociedad que considere a todxs sus habitantes respetando y valorando su diversidad
302,1,inclusión,A,"Chile es un país discriminador por naturaleza. La Constitución debe garantizar el respeto e igualdad de oportunidades y acceso a todos, independiente de su credo, origen, raza, condición social o sexual."
309,1,inclusión,P,"dada la realidad en que vivimos, es necesario que la inclusión tenga algún reconocimiento constitucional, toda vez que como sociedad debemos promoverla en todo ámbito."
311,1,inclusión,A,"Reconocer, valorar y responder a la diversidad a través de la participación de todos"
313,1,inclusión,A,Nos da mas derecho a todos valor cristiano fundamental
318,1,inclusión,A,Porque no queremos que existan los prejuicios
353,1,inclusión,A,En forma global para que sea plena.
356,3,inclusión,A,Deber activo de construir una sociedad donde todos puedan participar con equidad.
364,1,inclusión,A,El principio de igualdad se plantea desde la perspectiva de igualdad ante la ley y derecho de desarrollo individual.
374,1,inclusión,A,"Espacio para que los individuos heterogéneos y diferentes interactúen y generen comunidad; poder ser arte de un todo, manteniendo a la vez su propia particularidad; constituye deber del estado proveer de los medios y condiciones para su existencia."
382,1,inclusión,A,Un sistema que integre como un legitimo otro a quien es diferente.  Valor 6.
402,1,inclusión,A,"No debe haber discriminación y debe haber oportunidades de desarrollo para todos los habitantes, en especial a la tercera edad, los niños en situación de abandono, los reos o ex reos, los discapacitados, entre otros."
404,1,inclusión,A,"Es necesario que todos cuenten con los instrumentyos para que puedan aportar a la sociedad, recibiendo el apoyo necesario para que puedan sentirse integrados y tratados dignamente."
405,1,inclusión,A,"Los adultos mayores, mujeres e indígenas requerimos ser integrados en condiciones que se nos respete nuestra diferencia. Un adulto mayor no debería trabajar en un segundo piso. Las personas en situación de discapacidad requieren trabajar en un lugar que tenga facilidades de acceso y movilidad"
406,1,inclusión,A,"Inclusión: es valor pues potencia las capacidades individuales en pos del desarrollo común, eliminando la discriminación."
412,1,inclusión,A,"Valoramos un país en que se incluye a todos, donde todos tienen un espacio, donde se valora y respeta la diversidad, las múltiples culturas, géneros, capacidades, etc."
414,1,inclusión,A,"Pertinente a los cambios sociales, conduce a una relación mutua de bienestar, evita el abuso de poder y promueve el respeto a las diferencias."
468,1,inclusión,A,"Se debe incluir a todos, es la base de la democracia, el respeto y la igualdad."
475,1,inclusión,A,"Establecer las condiciones de acceso, participación y difusión."
482,1,inclusión,A,Se estima que esta ligada a Integración y Seguridad Igualdad.
494,2,inclusión,A,"Se resguardará que se generen las condiciones para que todo ciudadano de este país pueda desarrollar su pleno potencial humano, disponiendo de instrumentos que permitan iguales oportunidades y la adaptación del entorno a las condiciones de sus habitantes."
533,1,inclusión,A,Permite que todos tengamos derecho a aportar desde sus propias capacidades.
550,1,inclusión,P,Todos los grupos debes estar considerados.
554,1,inclusión,A,"Educación con verdadera inclusión, no estamos preparados en ningún ámbito; educación, salud y laboral."
557,1,inclusión,A,Debe estar conectado con la INTEGRACIÓN. Interacción de la sociedad sin importar condición física intelectual o social.
562,1,inclusión,A,"Interacción de todas las personas sin diferencia alguna, buscando que cada persona  contribuya y se beneficie de lo que ofrece a sociedad."
574,1,inclusión,A,"Necesitamos políticas publicas que garanticen, fortalezcan e incentiven a las personas con capacidades diferentes, ejemplos : Acceso al área laboral, y mayor protección de derechos civiles de estas personas."
587,1,inclusión,A,"Se relaciona con los valores de respeto, igualdad, dignidad de todas las personas independiente de su condición política, sexual, étnica, religiosa, etaria, física, mental, etc."
590,1,inclusión,P,todos integrados en la sociedad que nos pertenece
602,2,inclusión,A,"Está la integración, pero no se incluye a las personas, no se respeta su derecho, mas bien se discrimina."
627,2,inclusión,A,Establecer instituciones  y políticas públicas para desarrollar el concepto de inclusión como algo real y no como una promesa propagandística.
629,1,inclusión,A,"Concepto total de respeto, dignidad y no discriminación. Espacio para todos, sin barreras."
633,1,inclusión,A,"Entendida como valor necesario para el entendimiento, la tolerancia y el respeto del ser humano en su diversidad y elecciones, más allá de su condición."
634,1,inclusión,A,Considerar a toda persona como igual. Igualdad de oportunidades. (Guarda relación con lo cognitivo)
654,1,inclusión,A,los chilenos necesitan que el gobierno le pregunte al pueblo al momento de tomar desiciones
665,1,inclusión,A,"Para que la constitución este compuesta por leyes que sean para todos y no que beneficien solo a algunos grupos determinados, que terminan por separarlos."
687,1,inclusión,P,"Se discute el concepto, en consideración a que este tiene relación con integración y multiculturalidad. Finalmente, luego de aclarar el concepto, en atención a que comprende un sentido más amplio y permite reconocer otras culturas y pueblos."
688,1,inclusión,A,para que todos podamos ser parte
752,1,inclusión,A,"Necesitamos una educación que genere inclusión desde pequeños, para así generar una sociedad que incluya de forma natural a toda la gente."
772,1,inclusión,P,no debe existoir discriminación entre las personas. se deben eliminar barreras de segregación de la comunidad. se debe incluir al resto de los seres vivos: flora y fauna.
778,1,inclusión,A,"Este valor es un tema país, capacidades desiguales, sin acceso y herramientas para recuperación de los discapacitados.  Instituciones  privadas compensan lo que debe estar a cargo del estado (ej.teleton).  Alta segmentación social."
779,1,inclusión,A,Somos una sociedad excluyente los espacios de discusión son selectivos. País segregado que no puede acceder a bienes y servicios de manera equitativa.
799,1,inclusión,A,Tener la responsabilidad de incorporar a los que hemos excluido siempre por ser distintos o diversos.
808,1,inclusión,P,"Elegido entre muchos participantes argumentándose en la falta de ésta en muchos espacios que pueden ser comunes para algunos como la educación, trabajo, salud, etc."
811,1,inclusión,A,TODAS LAS PERSONAS POR IGUAL TIENEN DERECHO A SER INCLUIDO EN LA DECISIONES IMPORTANTES DEL PAÍS Y ANTE LA LEY.  ESTA ES UNA IMPORTANTE INSTANCIA DE DONDE ESTAMOS SIENDO INCLUIDOS Y POR ENDE PARTICIPANDO DE  ESTE ENCUENTRO.
831,1,inclusión,P,"Fomentar la inclusión a todo nivel, todos los ciudadanos tenemos distintas capacidades que deben ser respetadas."
867,1,inclusión,A,Garantizar que todos los sectores de la sociedad esten incluido en el desarrollo socail
874,1,inclusión,A,Que las personas que tengan alguna diferencia tengan la misma accesabilidad
934,1,inclusión,A,"Integrar a la vida comunitaria a todos los miembros de la comunidad, independiente de su origen, su actividad, su condición social- socio económica o su pensamiento"
935,1,inclusión,A,"Inclusión:  Inclusión significa igualad de derechos sociales, económicos, legales y reproductivos. En el área de los discapacitados por ejemplo, realizar los cambios necesarios en la infraestructura habitacional o mobiliario común."
958,1,inclusión,P,Hubo acuerdo parcial en que sea la inclusion un ejercicio permanente de todos los órganos del Estado.
962,1,inclusión,A,"-Inclusión, incorporar a las diferente personas. -Al momento de considerar inclusión, delimitar claramente hacia una normativa concreta."
963,1,inclusión,P,"reconocer al otro como legitimo otro, como un igual. Inclusion de las minerias en todo ambito."
968,1,inclusión,A,Incluir la diversidad como parte de la riqueza de nuestra sociedad y no como una dificultad o deficiencia.
998,1,inclusión,A,pilar fundamental de una comunidad democrática. Convive la multiculturalidad. Evitar las desigualdades. Considera a las personas con capacidades diferentes
1012,1,inclusión,A,Al igual que la integración hacer parte a cada individuo de igual manera en la sociedad.
1022,1,inclusión,A,"Importante para corregir nuestra realidad social, donde aún hay muchos que no están del todo integrados en la sociedad. Hay que clarificar el concepto y no reducirlo refiriéndolo sólo a las minorías sexuales."
1026,1,inclusión,A,Aceptar la diferencia sin sesgos ni categorías.
1031,1,inclusión,A,integración de discapacitados/ Ley de autismo y otros síndromes o patologías
