idEla,tema,concepto,acuerdo,fundamento
14,4,iniciativa_popular_de_ley,A,Que todos los ciudadanos podamos organizar una iniciativa que permita ingresar un proyecto de ley al parlamento.
154,4,iniciativa_popular_de_ley,A,Presentación ciudadana de proyectos de ley.
370,4,iniciativa_popular_de_ley,A,incentivo a la participación.
483,4,iniciativa_popular_de_ley,A,"ES NECESARIO PARA FORTALECER LA DEMOCRACIA, QUE LAS PERSONAS COMUNES PUEDAN IMPULSAR DIRECTAMENTE INICIATIVAS PARA CREAR, MODIFICAR O DEROGAR LEYES."
594,4,iniciativa_popular_de_ley,A,"Este tipo de instrumento opera como propuestas de ley sobre cualquier materia, que tienen su gestación en la ciudadanía y es la misma la que se pronuncia sobre su aprobación."
717,4,iniciativa_popular_de_ley,A,"La soc civil maneja mejor los temas q/los parlamentarios, conocen aspectos técnicos, etc. por lo q/están en mejores condiciones de proponer proy. La sociedad es +dinámica, se adecúa a los cambios sociales +rápido y puede proponer proy acorde a ello, mientras q/el congreso es lento y va atrasado"
790,4,iniciativa_popular_de_ley,A,Hacer parte a los ciudadanos de las legislaciones
881,4,iniciativa_popular_de_ley,A,Mecanismo que permita que  personas o grupos puedan presentar de manera autónoma proyectos/iniciativas de ley ante el congreso
1234,4,iniciativa_popular_de_ley,A,Posibilidad de participación directa de la ciudadanía en el proceso de formación de la ley.
1271,4,iniciativa_popular_de_ley,A,Forma de democratizar el poder y de reconocer la facultad creadora del pueblo a la hora de crear las leyes
1310,4,iniciativa_popular_de_ley,A,Se debe establecer un mínimo de firmas del universo electoral que permita generar una IPL. El Defensor del pueblo debe recoger las IPL y presentarlas a Plebiscito para su validación por votación popular.
1470,4,iniciativa_popular_de_ley,A,El estado creará una institución que permita que los ciudadanos participen en la creación de leyes y políticas públicas.
1499,4,iniciativa_popular_de_ley,A,Acuerdo por unanimidad
1615,4,iniciativa_popular_de_ley,A,"Para que las instancias organizadas del pueblo puedan generar iniciativas legales acordes a sus intereses, a pesar de no contar con el apoyo presidencial o de parlamentarios."
1714,4,iniciativa_popular_de_ley,A,.
1748,4,iniciativa_popular_de_ley,A,Es una forma de hacer más participativa la democracia y devolver el poder soberano al pueblo
1799,4,iniciativa_popular_de_ley,A,Fomentar la participación y las buenas ideas.
2391,4,iniciativa_popular_de_ley,A,"Ya que es necesario realizar otra vez este tipo de encuentros locales donde sea informado de forma más masiva, para que sea una constitución donde participen más chilenos."
2461,4,iniciativa_popular_de_ley,A,"La participación ciudadana no se limita solo al sufragio, sino también en la participación activa en la creación de leyes, respaldada por un quórum mínimo de ciudadanos que apoyan la iniciativa."
2499,4,iniciativa_popular_de_ley,A,A partir de cierta cantidad de firmas el congreso debe discutir un proyecto de ley presentado por la comunidad.
2549,4,iniciativa_popular_de_ley,A,"Porque ante un desacuerdo importante entre las instituciones y/o representantes mandatarios del poder soberano, debiese dirimir el pueblo,  qué camino tomar, siempre por la democracia."
2752,4,iniciativa_popular_de_ley,A,"ESTE E.L.A. TIENE PLENA CONVICCION QUE LA SOCIEDAD EN SU CONJUNTO Y CADA GRUPO DE CIUDADANOS EN PARTICULAR, TIENE PLENAS FACULTADES Y DERECHOS NATURALES PARA CREAR, IDEAR, PLANTEAR Y DISCUTIR PROYECTOS DE LEY PARA SER PRESENTADOS EN EL CONGRESO NACIONAL"
2841,4,iniciativa_popular_de_ley,A,Fortalecer la participación ciudadana con la iniciativa de ley al congreso de la república
3234,4,iniciativa_popular_de_ley,A,"Que la ciudadanía pueda armar proyectos de ley, juntar firmas e ingresarlas al Congreso o a referéndums."
3671,4,iniciativa_popular_de_ley,A,3º. Los ciudadanos podemos proponer proyectos de Ley (por ej. recuperar el mar para todos)
3677,4,iniciativa_popular_de_ley,A,"Tener la posibilidad de levantar a nivel local, comunal, territorial y organizacional una iniciativa de Ley. Se debe establecer un procedimiento para canalizar esta iniciativa de Ley."
3693,4,iniciativa_popular_de_ley,A,Preguntarse sobre el uso de la herramienta de ideas legislativas ciudadanas de alta convocatorias como medio para promulgar nuevas leyes.
3767,4,iniciativa_popular_de_ley,A,La ciudadania en su conjunto puede crear proyectos de ley para su discusión en el parlamento.
