idEla,tema,concepto,acuerdo,fundamento
43,1,innovación_creatividad,A,Se necesita más cultura
75,1,innovación_creatividad,A,"Más oportunidades, recursos para lograr proyectos de emprendimiento."
78,1,innovación_creatividad,A,"Que se respete la diversidad de los tipos de géneros, sexo, raza, minorías sexuales, etnias, etc."
91,1,innovación_creatividad,A,"Incorporar cosas nuevas para mejorar el sistema de vida en el que estamos inmersos, no tener miedo a los cambios.-"
156,1,innovación_creatividad,A,"Faltan incentivos para la innovar y crear, vinculado a una vida mejor y la gestión del conocimiento e investigación (I+D)."
198,1,innovación_creatividad,A,Nos permite nos quedarnos atrás. Es fundamental para el desarrollo del derecho a la educación.
202,1,innovación_creatividad,P,La comunidad debe tener una mirada abierta permanentemente a la modernidad.
378,1,innovación_creatividad,P,Se discute y promociona por parte de 3 participantes la idea que este concepto debiese estar cautelado en programas y concurso y no necesariamente ser parte un principio en la constitución.
417,1,innovación_creatividad,P,"Hoy día nuestro modelo es la explotación de recursos. Somos muy inteligentes pero creamos muy poco. Tenemos potencial creativo enorme, lo cual debiese contar con respaldo del estado y apoyo a través de recursos."
418,1,innovación_creatividad,P,"Considerando la innovación/creatividad como principios intrínsecos, y no como herramientas de ingeniería o marketing, nos pareció muy importante que el país se proponga desarrollo, ser un referente, formar ciudadanos capaces de inventar y pensar críticamente"
508,1,innovación_creatividad,A,"Un país con innovación y creatividad dentro de sus valores nos asegura que las políticas desarrollarán una mejor oportunidad para todos y todas las personas que tienen capacidades sin importar su condición, creando más oportunidades de emprender con visión de futuro para todos y todas."
633,1,innovación_creatividad,A,"Como una crítica a la explotación depredadora de los recursos naturales, es  necesario la creación y la innovación científico-técnica para superar aquello"
639,1,innovación_creatividad,A,Mayor inversión en la innovación e investigación científica y tecnológica.
680,1,innovación_creatividad,A,Es fundamental ser creativo e implementar la imaginación para encontrar soluciones a cualquier problema y/o dificultad.
691,1,innovación_creatividad,A,"La creatividad es fuente de desarrollo humano. La constitución debería obligar al Estado a incentivar el conocimiento, el desarrollo tecnológico y la producción industrializada."
719,1,innovación_creatividad,P,"Requeriría mayor aporte del estado para la investigación e innovación, para las necesidades de nuestro país."
788,1,innovación_creatividad,A,"Debe existir el esfuerzo permanente de hacer las cosas de manera diferente, en base a herramientas que una sociedad posea, para ir adecuándose a las nuevas necesidades."
938,1,innovación_creatividad,A,CREAR COSAS NUEVAS PARA CHILE Y PARA LOGRAR UN CAMBIO
951,1,innovación_creatividad,A,fomentar y apoyar economicamente  a los jovenes
1167,1,innovación_creatividad,A,"generara innovación en todo ámbito cultural, ya que esta es copiadas por otros países, obedece a la privatización."
1210,1,innovación_creatividad,A,"Chile debe ser un país con capacidad de investigación, innovación y creatividad en cuanto a políticas publicas, ya sea en arte, cultura, infancia, entre otros."
1219,1,innovación_creatividad,A,Es el fomento de la investigación y desarrollo de las ciencias y la tecnología por parte del Estado.
1248,1,innovación_creatividad,A,Consideramos importante ya que debemos estar en constante actualización y que la constitución esté acorde al contexto histórico.
1382,1,innovación_creatividad,A,"Para garantizar una sociedad que promueva la innovación y la creatividad como manera de enfocar el desarrollo integral del ser humano. El Estado debe ocupar un rol central en el fomento y desarrollo del arte, la ciencia y la tecnología."
