idEla,tema,concepto,acuerdo,fundamento
3,1,integración,A,"Reconocernos como personas diversas, la diversidad existente y las leyes para ello."
11,1,integración,A,Distinguiéndolo de la asimilación respecto de los pueblos originarios.
43,1,integración,P,Chile debe ser un país más integrador
48,1,integración,A,"Que implica necesariamente la inclusión, pues entender que pensamos distintos y somos personas complejas debe motivarnos a ser tolerantes en nuestras diferencias, buscando relacionarnos con respeto entre seres humanos."
56,1,integración,A,Debido a que todos pensamos como personas y así una igualdad de derechos para todos
58,1,integración,A,la ley debe velar porque exista una integración independiente a sus cualidades o identidad de origen
138,1,integración,A,DE ACUERDO A LOS TIEMPOS QUE SE ESTAN VIVIENDO
142,1,integración,A,"El estado debiese garantizar la integración a través de la educación pública, ahí nos vamos a integrar, nos sentimos incompletos cuando no sabemos lo que le pasa al otro, no se siente que estamos compartiendo. La proposición de la idea de integración es la educación como lugar que integra."
197,1,integración,A,"Principio de integración el cual debe encontrarse en diferentes grupos sociales ya sea económico, culturales, religiosos, y nacionales, Pudiendo lograr que los estratos sociales mejoren su nivel de vida."
202,1,integración,A,Debemos reconocer las diversas fuentes de origen de habitantes y ciudadanos.
207,1,integración,A,Se lo entiende como algo mucho más relevante que la  simple inclusión
210,1,integración,A,"Justicia social, especialmente hacia el adulto mayor, personas con discapacidad, etc."
223,1,integración,A,"Integración transversalidad derecho de la satisfacción, que no sea segregadora que se integre el trabajo realizado que integre las necesidades de los chilenos"
289,1,integración,A,"Existe acuerdo en que hoy existen dos países distintos, con alternativas y posibilidades muy distintas. Es imperativo reunir a la sociedad en torno a los aspectos esenciales de la vida. Solo así se puede construir una vida en común."
298,1,integración,A,"- Equidad de género - Derecho a la convivencia - No segregar, Chile a un camino inclusivo"
328,1,integración,A,"se supone que la integración es aceptar, pero no se entregan las herramientas necesarias para que esto se lle a cabo de forma integral"
390,1,integración,A,Debemos vivir en paz todos juntos.
408,1,integración,A,"Entender que la integración acoge a todos los chilenos y chilenas, es decir, a los socialmente marginados, a quienes nacieron con alguna discapacidad física, a quienes la perdieron, a los indígenas y extranjeros. Que se encuentren dentro de una igualdad de condiciones para poder vivir y participar"
448,1,integración,A,"7.-Todos las personas que viven en el país son integradas a espacios comunes de participación,  recreación,  y convivencia en igualdad de condiciones y sin importar su credo, género, orígen social o nacionalidad."
476,1,integración,A,mejorar la socializacion del genero
550,1,integración,P,ES una forma de participar democraticamente.
560,1,integración,A,se manifiestan inquietudes por la falta de integración en las politicas sociales y publicas. subsidiando solo a una clase social.
603,1,integración,A,"Se plantea no como búsqueda de homogenización y que una cultura se integre y adapte a otra, sino como disposición y actitud que nace desde la aceptación e incluso de la valoración de la diversidad y multiculturalidad, teniendo claro que también existe el derecho a no integrarse."
609,1,integración,P,"El concepto Integración incluye la ""inclusión"" y ""multiculturalidad"" , ya que el estado debe generar los espacios necesarios para que las personas sean parte activa de la sociedad, este punto hay acuerdo parcial: 8 personas votaron por Integración,  2 por multiculturalidad y 1 por inclusión."
634,1,integración,A,Incorporar a la persona con capacidades diferentes a todo nivel. (Guarda relación con los medios
636,1,integración,A,"que la integración como tal se encuentre explicitamente en la constitución, de esta forma todas las leyes tendrán como base fundamental la integración de todas y todos."
652,1,integración,P,Que puedan cooperar y participar todos tanto extranjeros y los otros y ojala con habilidades
663,1,integración,A,Acuerdo en que la integración cultual (y la interculturalidad) debe inspirar la Constitución.
680,1,integración,A,Necesitamos integrar a todas las personas sin discriminación e incorporar a todos y todas.
745,1,integración,A,"Para así poder participar, pero antes de participar necesitamos estar integrados."
1027,1,integración,A,Proceso integrado que permite la participación
1078,1,integración,A,Integración de los distintos pueblos que existen en el estado chileno con respeto de la autoridades hacia los auto gobiernos.
1118,1,integración,P,"Lo que es distinto al hombre se considera diverso y eso es discriminatorio. Se tiene que consagrar como valor la integración y la inclusión por sobre la diversidad, ya que todo otro tiene que considerarse como un igual."
1171,3,integración,A,Recursos para que las personas con discapacidad pueden moverse libremente e integrarse laboralmente y socialmente.
1220,1,integración,A,"que todos tengan acceso a educación, trabajo, salud, pensiones dignas, sin importar si son inmigrantes o de escasos recursos"
1263,1,integración,A,una sociedad en que participen todos y no se reste ninguno. cada miembro de la sociedad tiene que aportar algo para construir una sociedad mas diversa
1313,1,integración,A,Que exista igualdad ante la ley.-
1328,1,integración,A,"Que todas las personas y grupos sociales se sientan parte de la sociedad chilena, respetando sus características propias, como en el caso de los pueblos originarios."
1451,1,integración,P,"Garantizar que vivamos en una sociedad que no discrimine a nadie por poder económico, creencias, etc. Personas distintas convivan en las mismas comunas, colegios, trabajos, etc. Terminar con la segregación."
1575,1,integración,A,integración de las regiones
1602,1,integración,A,"En el mundo de hoy existe mucho progreso y desarrollo, pero gran parte del país queda afuera de esto, y este sentirse desintegrado hace que se genere malestas social. Por lo tanto, es importante preocuparse de integrar a todos los sectores sociales."
1680,1,integración,A,esto es un tema bastante delicado para nosotros los migrantes. pues mas que integrarnos queremos igualdad y equidad en todo el sentido de la palabra. 6 de acuerdo 4 de acuerdo parcial 1 en desacuerdo
1737,1,integración,A,"Cuando la ciudadanía se siente participante integrada e identificada con la constitución fomenta en ellos el sentido de pertenencia, el saber que las leyes y normas son hechas para ellos y en favor de ellos porque fueron participes en la toma de decisiones."
