idEla,tema,concepto,acuerdo,fundamento
87,4,jefatura_de_gobierno,A,Aumento de atribuciones del presidente en ejercicio  sin tanta consulta al congreso
138,4,jefatura_de_gobierno,A,REGIONAL
280,4,jefatura_de_gobierno,A,Deben trabajar mas en terreno para estar al tanto de la realidad ciudadana y asi tomar decisiones.
319,4,jefatura_de_gobierno,P,No hubo conseso mayor.
466,4,jefatura_de_gobierno,A,Que el gobierno asuma responsabilidades del poder ejecutivo.
493,4,jefatura_de_gobierno,A,"Es el gobierno que asumen o el organismo que asume la responsabilidad del poder ejecutivo y concentra el poder político para conducir nuestra sociedad, creemos que tal como ahora debe existir un gobierno nacional, una república unitaria  no federal"
564,4,jefatura_de_gobierno,A,Es muy importante para el país
612,4,jefatura_de_gobierno,A,"El presidente(a) es el jefe(a) de gobierno y tiene a cargo la administración del estado con sus Ministros, Intendentes Gobernadores ..etc.."
705,4,jefatura_de_gobierno,A,Deber contemplar esta figura como gobernante de nuestro país.
722,4,jefatura_de_gobierno,A,"que se mas estricto, poner orden menos corrupcuon  hay mucha liviandad en el pueblo."
773,4,jefatura_de_gobierno,A,Régimen Presidencial
917,4,jefatura_de_gobierno,P,Debe haber alguien capacitado al mando del gobierno para ordenar el país
949,4,jefatura_de_gobierno,A,Respetar y relevar la jefatura de gobierno
979,4,jefatura_de_gobierno,A,Que este para reemplazar al presidente cuando o se encuentre en Chile o este enfermo
1029,4,jefatura_de_gobierno,A,"POLITICAS DE ESTADO Y NO DE GOBIERNO, VERIFICAR Y DELIMITACION DEL CARGO"
1084,4,jefatura_de_gobierno,A,"PARA TENER EN CUENTA QUE LOS SALARIOS DEL PAÍS DEBEN SER IGUALES EN TODO AMBITO, E IGUALES, PERO QUE SE CONSIDERE LA REALIDAD DE CADA REGIÓN"
1367,4,jefatura_de_gobierno,D,"Esta alternativa fue muy discutida y tuvo una votación dividida , que las decisiones las tome la presidencia de la Republica"
1374,4,jefatura_de_gobierno,A,"JEFATURA DE GOBIERNO Elegido por el Congreso, dura mientras conserva apoyo el Parlamento. Se necesitan quórum mayores para sacarlo (evitar la rotación excesiva y la inestabilidad de los programas de gobierno). Con capacidades técnica y de gestión. Un fuerte régimen de incompatibilidades. Fuerte principio de responsabilidad."
1465,4,jefatura_de_gobierno,A,Debe ser una institución de líderes y que guíe  el proceso de forma óptima.
1502,4,jefatura_de_gobierno,A,Creemos que el régimen de gobierno entrega estabilidad.
1613,4,jefatura_de_gobierno,A,Debe ser un presidente que represente a todos y sea elegido por votación popular. Se deben tomar en cuenta los plebiscitos por mayoría.
1657,4,jefatura_de_gobierno,A,Tengo el derecho a elegir al  presidente  del Gobierno.
1724,4,jefatura_de_gobierno,A,Esta bien
1824,4,jefatura_de_gobierno,A,Debe haber un jefe de estado y un jefe de gobierno.
1907,4,jefatura_de_gobierno,P,ESTÁN TODOS COLUDIDOS
1958,4,jefatura_de_gobierno,A,como resultado de elecciones generales
2040,4,jefatura_de_gobierno,A,Debe existir un orden para el cumplimiento de los tratados y acuerdos.
2199,4,jefatura_de_gobierno,A,"Figura fundamental, que asegura mayor conducción representativa"
2210,4,jefatura_de_gobierno,A,El gobierno debe administrar las instituciones gubernamentales.
2310,4,jefatura_de_gobierno,A,"Régimen presidencialista, 6 años sin reelección, con posibilidad de revocación mediante plebiscito."
2375,4,jefatura_de_gobierno,A,es importante tener un representante
2467,4,jefatura_de_gobierno,A,Para separar los estados de los gobiernos y se garanticen las necesidades del pueblo desde sus instituciones.
2544,4,jefatura_de_gobierno,A,es la base de la legislación que rige en nuestro país.
2613,4,jefatura_de_gobierno,P,el presidente es el que manda todo
2682,4,jefatura_de_gobierno,P,El jefe de gobierno debe ser el presidente de la Republica pero con poderes limitados y compartidos con las regiones.
2691,4,jefatura_de_gobierno,A,debe existir con sus atribuciones claras y limitaciones entregadas por los gobernados
2779,4,jefatura_de_gobierno,A,INSTITUCIÓN ESENCIAL EN UN SISTEMA PRESIDENCIALISTA EN DONDE EL JEFE DE GOBIERNO DETENTA UN ALTO PODER DE GESTIÓN Y ADMINISTRACIÓN
2797,4,jefatura_de_gobierno,A,Una jefatura de gobierno ayuda mucho en la función presidencial.
2824,4,jefatura_de_gobierno,A,Estructura fundamental para la dirección y control de una nación
2835,4,jefatura_de_gobierno,A,"La jefatura de gobierno debe ser discutida hacia sus poderes y sus incidencias dentro de los otros poderes del estado, asegurando con ello una total independencia ya autonomía de poderes."
2839,4,jefatura_de_gobierno,A,El Jefe de Gobierno debe ser una persona sabia
3095,4,jefatura_de_gobierno,A,Una cabeza es lo mejor cuando las decisiones son muy complicadas.
3163,4,jefatura_de_gobierno,P,"Solo deben estar en la constitución las instituciones correspondientes a cada poder: ejecutivo, legislativo y judicial.  No hay acuerdo sobre la necesidad de regular las instituciones en la Constitución."
3248,4,jefatura_de_gobierno,A,liderazgo y conducción escuchando las demandas de la ciudadania
3458,4,jefatura_de_gobierno,A,Debe existir un poder ejecutivo con facultades definidas.
3501,4,jefatura_de_gobierno,D,Algunos creen que es relevante a nivel constitucional.
3515,4,jefatura_de_gobierno,A,En acta adjunta
3623,4,jefatura_de_gobierno,A,aunque sea la jefatura máxima de un país debe ser fiscalizada
3639,4,jefatura_de_gobierno,A,"Debe de separarse el jede de Estado con el Jefe de Gobierno. Profesionalización de la carrera pública. Los cargos de confianza sólo en los dos primeros niveles del Gobierno. Lo otro, Administración Pública profesional."
3892,4,jefatura_de_gobierno,A,"Debe respetarse la jefatura de gobierno y esta a su vez, velar por el cumplimiento de todos los compromisos hechos antes de asumir."
3944,4,jefatura_de_gobierno,A,QUINTA MÁS VOTADA
4020,4,jefatura_de_gobierno,P,"Instancia que permita equilibrar recursos y esfuerzos. Que reciba y reparta recursos, no que reciba y concentre. El que está encargado de la administración del estado actualmente es el Ministro del Interior, la idea es que exista un Primer Ministro, para hacerse cargo de la política interna y que el Presidente de la República se libere de estas cargas."
4082,4,jefatura_de_gobierno,A,La jefatura de gobierno debe tener mayor control sobre los casos de corrupción.
