idEla,tema,concepto,acuerdo,fundamento
750,2,jubilacion_digna,A,que sea tripartita  eliminación de la AFP  tasa de reemplazo garantizado en un 70%  estado garante
980,2,jubilacion_digna,A,El estado debe garantizar una jubilación digna permitiendo una tranquilidad económica
2955,2,jubilacion_digna,A,"No mas AFP, ni estatal ni privada, que sea un fondo del trabajador y del estado .ara que esto sea efectivo necesitamos Asamblea Constituyente"
3825,2,jubilacion_digna,A,Debe haber un cambio al sitsema de AFP que asegure una jubilación digna
5510,2,jubilacion_digna,A,La Constitucion debe velar porque cada uno de los chilenos accedan a un sistema de jubilacion y pension que no le menoscabe como persona.
8812,2,jubilacion_digna,A,Se debe cumplir como derecho sin tener variaciones en el tiempo(planes) no debería existir una entrega de % si la misma cantidad de lo que ganabas por más
9453,2,jubilacion_digna,A,Para mantener la dignidad de las personas hasta sus ultimos dias.
11175,2,jubilacion_digna,A,Reformar el actual sistema y asegurar un monto de jubilacion digno al menos igualable al sueldo minimo y prestaciones crecimiento
11366,2,jubilacion_digna,A,"Se considera una Jubilacion Digna, que tenga una pension digna, que tenga atencion Medica, que tenga recreacion y desarrollo social."
11664,2,jubilacion_digna,A,el estado debe tener un sistema para administrar los recursos  que el sistema garantice un sueldo que permita vivir dignamente
14989,2,jubilacion_digna,A,5.  no mas AFP   fondo solidario estatal   jubilaciones acorde al sueldo que tuvieron al dejar de trabajar   aumento de jubilacion de gracia
