idEla,tema,concepto,acuerdo,fundamento
383,2,jubilación_digna,D,"La tercera edad debe jubilarse con pensiones que aseguren las necesidades básicas y  den autonomía económica en dignidad. El estado debe ser el responsable de proyectar una sociedad solidaria que está en proceso de envejecimiento, de modo que esta parte de la vida sea digna y humanizante."
1096,2,jubilación_digna,A,Esto sólo es posible por la vía de una Asamblea Constituyente.
1690,2,jubilación_digna,A,"porque las AFP no resultarón, solo mantiene pensiones miserables. Es necesario un sistema solidario tripartito"
1876,2,jubilación_digna,A,Para que los adultos mayores puedan vivir dignamente y puedan disfrutar después de haber trabajado una vida. Tiene que cambiar el sistema de AFP.
1880,2,jubilación_digna,A,"Después de haber trabajado toda una vida, recibir un sueldo que les permita vivir dignamente"
2974,2,jubilación_digna,A,Acuerdo de la asamblea
3266,2,jubilación_digna,A,"Después de entregar la vida y ser un aporte a la sociedad. ""Te lo mereces"""
4295,2,jubilación_digna,A,"Es un derecho, tras largos años de trabajo, duro, recibir una jubilación que permita vivir con dignidad en la vejez, y recibir la atención de salud necesaria."
4748,2,jubilación_digna,A,"El estado debe intervenir con mayor fuerza para mejorar la situación de los pasivos, modificando el sistema actual de pensiones por uno más solidario"
5474,2,jubilación_digna,A,"PORQUE EL ACTUAL SISTEMA DE PENSIONES CHILENO  NO PROTEGE NI GARANTIZA UNA CALIDAD DE VIDA DIGNA PARA LA TERCERA EDAD,PROMUEVE LA DESIGUALDAD, LA POBREZA, ROBA LEGALMENTE A SUS CONTRIBUIDORES, ES UN SISTEMA DEFICIENTE QUE NO TIENE FISCALIZACIÓN ALGUNA."
5909,2,jubilación_digna,A,Se debe a el incremento de gastos en la tercera edad y una pensión tan baja para suplirlos.
5961,2,jubilación_digna,A,Porque las pensiones son un insulto al trabajo de toda una vida.
6035,2,jubilación_digna,A,"Darle un tope a la jubilación, que sea más equitativa.  Considerar que con pensión solidaria no alcanza.  Poder retirar el ahorro de AFP."
6304,2,jubilación_digna,A,Cambio al sistema de Pensiones.
7535,2,jubilación_digna,A,Porque después de una vida de trabajo es justo descansar dignamente
7801,2,jubilación_digna,A,cambio del sistema previcional actual. Posibilidad real de administrar recursos de fondo de pensiones por parte de sus ahorrantes. 'Libertad de fondo de pensiones'.
8054,2,jubilación_digna,A,"Creemos que los cotizantes deben tener derecho  de dominio sobre sus cotizaciones y ahorros previsionales, una jubilación básica que no sea menor al 70% del sueldo mínimo vigente, acceder al portafolio de inversiones y derecho de retirar los fondos en su totalidad al momento de retirarse."
8217,2,jubilación_digna,A,"LA POBLACION JUBILADA RECIBE PENSIONES QUE NO SON DIGNAS, Y DEBE HABER MAS EQUIDAD YA QUE CHILE CUENTA CON ALTOS RECURSOS QUE SON EXPLOTADOS"
8966,2,jubilación_digna,A,"Teniendo como principio, que la etapa de la vejez, debe ser una etapa de “Júbilo”, la constitución debe garantizar la Jubilación Digna para todos los adultos mayores."
9427,2,jubilación_digna,A,"EL SISTEMA DE JUBILACIÓN NO PUEDE  ESTAR SUJETO AL MERCADO, DEBE SER ASEGURADO POR EL ESTADO"
9477,2,jubilación_digna,A,"Por medio de este derecho debe reconocerse el esfuerzo de los(as) ciudadanos y trabajadores, y el aporte que ellos hacen y se debe retribuir de manera justa."
10673,2,jubilación_digna,A,"Postulado por uno de los participantes, pues la Constitución debe garantizar un buen pasar a los adultos mayores que han trabajado y contribuido al país. No es posible la forma en que viven los jubilados y que las AFP determinen el ingreso de este. El estado debe hacerse cargo y no el mercado."
10734,2,jubilación_digna,A,"Después de una vida laboral, el trabajador debe recibir una renta digna que le permita financiar sus necesidades."
11506,2,jubilación_digna,A,Cambio de AFP a INP
11645,2,jubilación_digna,A,"No aumentar en años el periodo laboral tanto del hombre como de la mujer, garantizar por el estado un salario de jubilación digno (INP)"
12451,2,jubilación_digna,A,"Derecho a elegir qué hacer con MI dinero, una AFP Estatal."
13264,2,jubilación_digna,A,nuevo concepto
14629,2,jubilación_digna,A,Es un derecho fundamental el que el Estado asegure la NO usurpación de los recursos de cada persona destinados a su vejez. Creando una regulación NO empresarial que vele por el cuidado de estos recursos.
