idEla,tema,concepto,acuerdo,fundamento
12,4,juicio_político__acusación_constitucional,A,"Se acuerda elegir el concepto de juicio politico, en vez de acusación constitucional."
16,4,juicio_político__acusación_constitucional,A,Que siga existiendo juicio para las autoridades sin excepción de ninguna.
46,4,juicio_político__acusación_constitucional,A,"Es necesario un sistema de control para los ministros de estado, presidentes de la republica, intendente, alcaldes y parlamentarios."
55,4,juicio_político__acusación_constitucional,A,Sin comentarios
58,4,juicio_político__acusación_constitucional,D,"porque muchas veces se juzga a la gente inocente, además la aprobación de leyes idiotas como la pena de cárcel para la mama que amamanta a su bebe en la calle"
63,4,juicio_político__acusación_constitucional,A,No por ocupar un puesto de poder o de gobierno está sobre la Ley.  Si estuvo involucrado en ilícitos no  debe volver a ocupar una cargo jamás.
74,4,juicio_político__acusación_constitucional,A,- Debe ser bien definido para impedir uso político abusivo. - Es un mecanismo adicional de control de autoridades.
80,4,juicio_político__acusación_constitucional,A,xxxxxx
85,4,juicio_político__acusación_constitucional,A,"Que el poder político, será que tiene como contrapartida el control, la posibilidad que tiene de ser juzgado y cuestionado el poder."
98,4,juicio_político__acusación_constitucional,A,Es importante fortalecer  los mecanismos para hacer efectiva la responsabilidad de las autoridades políticas.
105,4,juicio_político__acusación_constitucional,A,sin observaciones
112,4,juicio_político__acusación_constitucional,P,DEBE HABER MAYOR REGULACIÓN DEL ACTUAR DE LAS AUTORIDADES
130,4,juicio_político__acusación_constitucional,A,Que se pueda juzgar a los políticos que no actúan conforme a la ley y a la moral.
151,4,juicio_político__acusación_constitucional,A,Que sean enjuiciados de la misma forma que todos
178,4,juicio_político__acusación_constitucional,A,"Contribuye al estado de Derecho, a la igualdad de las autoridades con la población"
213,4,juicio_político__acusación_constitucional,A,Medida que bien utilizada permite poner límite a los abusos de poder.
219,4,juicio_político__acusación_constitucional,A,"Es importante que esté determinado en la constitución este proceso. Para hacer efectiva la responsabilidad de los funcionarios públicos, particularmente de los más altos cargos o autoridades. Esta acusación se debe llevar a cabo mediante el tribunal constitucional."
