idEla,tema,concepto,acuerdo,fundamento
8,1,justicia,A,"La Justicia es un valor para la convivencia entre las personas, es la base de la equidad,  garantiza la igualdad"
9,1,justicia,A,Principio poco practicado en la actualidad pero necesario para mantener una buena convivencia y control de las malas prácticas de los ciudadanos e instituciones.
13,1,justicia,A,"Justicia social e igualdad, siendo la idea que cada persona reciba según sus necesidades y aporte según su capacidad. Todo debe ser justo."
14,1,justicia,A,- Cumplir las leyes y fortalecerlas.  - Que las sanciones sean iguales sin importar la condición socio económica o el cargo que ocupen.
17,1,justicia,A,"Justicia no solo en el ámbito jurídico sino tambien a la que alude a la sociedad, lo laboral y oportunidades. No más distinción de ningún tipo"
19,1,justicia,A,"Igualdad ante la ley paratodos, pues hoy en día se carece de ésto."
20,1,justicia,A,Este es un valor fundamental en toda sociedad.
29,1,justicia,A,Deber ser pareja para todos No debe existir calificacion Debe ser severa
31,1,justicia,A,justicia se necesita en este país
33,1,justicia,A,"regirnos por la justicia (leyes), ya que buscan proteger nuestra integridad moral y física."
36,1,justicia,A,"Obrar y respetar la verdad junto con dar a cada uno lo que le corresponde, permite legitimizar un Estado de Derecho."
46,1,justicia,A,Un sistema de justicia que sea equitativo y que resguarde las garantías de todos los ciudadanos.
54,1,justicia,A,"Necesaria para sentirse seguros, que la justicia me garantice todos los derechos que como ciudadanos queremos y que la constitución establece."
55,1,justicia,A,Sin comentarios
59,1,justicia,A,"La justicia debe ser un valor que ayude a salvaguardar la vida de las personas, donde aquellas que comentan alguna falta o delito puedan ser sancionadas acorde a esta.  Debe ser igual para todos independiente de la condición social o recursos económicos de las personas."
61,1,justicia,A,"Igualitaria para todos, que no tenga diferencia social; y que sea transparente y equitativa."
63,1,justicia,A,"valor fundamental para el ser humano, de be estar presente en todos los ámbitos, trabajo etc."
65,1,justicia,A,"queremos que las leyes se apliquen a todos por igual sin diferencias sociales, economicas."
66,1,justicia,A,"Es el principal valor para luego comenzar con los demás, ya que con la justicia todo se logra. Esto nos lleva directamente a la justicia en la información, ya que la opinión de una persona informada vale más que la de una que no lo está."
67,1,justicia,A,"• No hay justicia para todas/os por igual en nuestro país. • Hay personas con poder político, económico o de cualquier tipo que manejan las instituciones por detrás, ilegalmente. Falta justicia, transparencia, a todo nivel. • Cuando sucede algo, se discrimina a las personas por sus conocimientos."
