idEla,tema,concepto,acuerdo,fundamento
17,4,justicia_constitucional,A,"El fin de esta es respetar las leyes en el proceso constitucional y no se está cumpliendo. Consideramos que se están pasando por alto derechos inherentes de los ciudadanos, no se juzga de igual manera, dejando en evidencia la gran desigualdad en nuestro país."
24,4,justicia_constitucional,A,ente controlador independiente y que ejerza con fuerza su institucionalidad
54,4,justicia_constitucional,D,No hay acuerdo.
58,4,justicia_constitucional,A,trata de buscar el bien común para el pueblo e integrar a la sociedad independiente de su clase social
67,4,justicia_constitucional,A,"• Ente fiscalizador que garantice que se respeta la Constitución. • Que tenga autoridad sobre empresas, etc., tanto del ámbito público como privado"
79,4,justicia_constitucional,A,"Abogar por resguardar las leyes, nuestras propias leyes. Actualmente existen leyes fundamentales que no son respetadas, no existe fiscalización por parte del estado. Se centran en fiscalizar individuos y no instituciones."
82,4,justicia_constitucional,A,Velar por el cumplimiento de la nueva Constitución
98,4,justicia_constitucional,A,Pues permite asegurar que el ordenamiento jurídico sea acorde con los principios generales de la constitución.
100,4,justicia_constitucional,A,"Vela y resguarda el cumplimiento de la constitución, especialmente en minutos de conflicto entre los poderes del Estado y grupos políticos."
104,4,justicia_constitucional,A,Para darle mayor énfasis a cumplirla y que sea equitativa.
112,4,justicia_constitucional,P,PARA QUE SE RESPETE LA CONSTITUCIÓN
131,4,justicia_constitucional,A,"Un tribunal constitucional fuerte, independiente, estable y respetado es clave."
140,4,justicia_constitucional,A,"Mantener un tribunal constitucional, donde sus miembros sean elegidos de forma diferente a la actual, y sus competencias sean más expícitas"
141,4,justicia_constitucional,A,supervigila el respeto a la Constitución por parte de las instituciones.
189,4,justicia_constitucional,A,Los países requieren dotarse de una institucionalidad representativa de diferentes sectores de la sociedad como último árbitro entre dispuestas de los poderes del Estado y dirimaciones constitucionales.
194,4,justicia_constitucional,A,"Tribunal Constitucional, Se debiera su conformación, naturaleza y objetivos."
197,4,justicia_constitucional,A,Sistema de control mediante el cual se verifiquen el cumplimiento de las leyes a la constitución.
207,4,justicia_constitucional,A,Se entiende por unanimidad que debe quedar radicada en la Corte Suprema
229,4,justicia_constitucional,A,Se deben evaluar la elección de sus miembros para que no hayan conflictos de interés a la hora de fiscalizar las leyes. Se propone que sea por carrera constitucional. De forma meritocrática.
232,4,justicia_constitucional,A,La justicia constitucional ex post no está siendo cuestionada. Nos parece que es relevante que la integración del Tribunal Constitucional sea menos “binominalizada”. No nos procedente parece que el Tribunal Constitucional pueda pronunciarse respecto de una nueva constitución.
233,4,justicia_constitucional,A,.
242,4,justicia_constitucional,A,Transparencia y sistema penal efectivo con penas proporcionales y para todos los que cometan delitos.
243,4,justicia_constitucional,A,El tribunal constitucional debiese estar compuestos por juristas del poder judicial y no responder a los políticos de turno.
245,4,justicia_constitucional,P,Porque debe haber justicia.
265,4,justicia_constitucional,A,Eliminarlo.
302,4,justicia_constitucional,A,Se requiere contar con organismos e instituciones que velen por el respeto a las normas constitucionales y el correcto actuar de los organismos o instituciones regulados por la Constitución o del ámbito legislativo.
315,4,justicia_constitucional,A,"En este cabildo todos los puntos fueron discutidos y sometidos a votación, los que aqui se registran son los que obtuvieron las 7 primeras mayorías."
318,4,justicia_constitucional,A,Para defender la constitución.
328,4,justicia_constitucional,P,porque así se puede acusar a quienes infringen las normas de la constitución
340,4,justicia_constitucional,A,"eliminar poderes efacticos como el tribunal constitucional que generan empates , como un cuarto poder del Estado"
363,4,justicia_constitucional,A,una constitución que pueda cambiar y una organización que controle si se cumple adecuadamente.
379,4,justicia_constitucional,A,eliminar el tribunal constitucional por ser un organo dictatorial y no representativo
