idEla,tema,concepto,acuerdo,fundamento
66,4,justicia_electoral,A,"Los diputados, alcaldes, etc. No pueden estar tanto tiempo ejerciendo su cargo."
76,4,justicia_electoral,A,con atribuciones revocatorias.
100,4,justicia_electoral,A,Legitimiza y asegura la democracia.
105,4,justicia_electoral,A,sin observaciones
124,4,justicia_electoral,A,.
136,4,justicia_electoral,A,Se debe garatizar que el voto de los ciudadanos sea tomado en cuenta y no sea manipulado.
151,4,justicia_electoral,A,Que sea todo más transparente y sin uso de dinero del Estado
153,4,justicia_electoral,A,Para que todos tengan el mismo financiamiento y las mismas oportunidades
165,4,justicia_electoral,A,Crear órgano que asegura la transparencia en los procesos electorales.
187,4,justicia_electoral,A,que haya justicia a quienes rompen las reglas durante las elecciones.
202,4,justicia_electoral,A,Deben estar presentes órganos que cautelen y hagan efectiva la soberanía popular.
205,4,justicia_electoral,A,- Tribunales y fiscalización de los mecanismos de participación social en todos sus niveles
210,4,justicia_electoral,A,Que todo ciudadano tenga la obligación de ejercer el voto.
226,4,justicia_electoral,P,Porque  es un órgano que no tiene responsabilidad en este asunto el cual debería ser protagonista en relación a los hechos que se han visto envuelto en la política chilena.
245,4,justicia_electoral,P,Es importante porque todas las personas tienen derecho a votar.
274,4,justicia_electoral,A,"Las elecciones deben ser transparentes, alguien debe hacer cumplir esto."
283,4,justicia_electoral,A,...
298,4,justicia_electoral,A,- Trasparencia en los procesos electorales - Que no existan excesos en las campañas y publicidad en las elecciones políticas   (Gasto electoral el mínimo) - Sea sancionado el exceso en los gastos y no sean justificados
326,4,justicia_electoral,P,"El ciudadano tendrá derecho a un acceso electoral y el candidato a parlamentario será un representante directo de su localidad, con una antigüedad razonable de pertenencia. Será elegido mediante primarias abiertas para cargo público y parlamento."
335,4,justicia_electoral,A,"Es necesaria la transparencia durante procesos electorales, además de un mayor acceso para los ciudadanos comunes a los cargos públicos"
387,4,justicia_electoral,A,"Que cada una de las personas que habitan en nuestro país voten, tener una opinión con respecto a las políticas y mejorar la forma de elección de elección de los representantes de manera justa (no al sistema binominal)"
421,4,justicia_electoral,A,Que las elecciones sean limpias transparentes y universalesñ
430,4,justicia_electoral,A,QUE LOS TRICEL SEAN INSTITUCIONES QUE PUEDAN VELAR POR EL CORRECTO DESARROLLO DE LOS PROCESOS ELECTORALES.
447,4,justicia_electoral,A,transparencia y de facil vision
