idEla,tema,concepto,acuerdo,fundamento
82,1,justicia_social,A,"Que haya Justicia Social, que no haya algunos con privilegios por sobre otros."
170,1,justicia_social,A,Porque en la actualidad no hay en Chile acceso igualitario al bien común considerando las diferencias de cada quien.
554,2,justicia_social,A,Engloba los aspectos sociales como Trabajo-Salud-Vivienda-Educación-Vejez Digna.
692,1,justicia_social,A,"El estado debe resguardar y garantizar el acceso de la justicia social en todos los niveles de la sociedad sin hacer distinción por edad, raza, credo o condición socioeconomica"
1080,1,justicia_social,A,"El estado debe garantizar que las acciones públicas y privadas no generen daño ni vulnere socialmente a la ciudadanía, a través de normas y acciones reparatorias."
1278,1,justicia_social,P,Chile es un país muy desigual. Hay que avanzar en hacer justicia a los más pobres.
1529,2,justicia_social,A,"Es la forma de abarcar todos los derechos, inherentes a la persona, a la educacion, al trabajo digno, a la seguridad social, etc."
1685,1,justicia_social,A,"Entendemos este principio como fundamental para asegurar la justa aplicaciòn de los derechos y deberes , la aplicaciòn de las leyes y un reparte equitativo de los bienes sociales."
1714,1,justicia_social,A,"Asociado a la dignidad, a la provisión de bienes y servicios públicos. La justicia social nos pide involucrarnos como sociedad."
1778,1,justicia_social,A,Modificar el paradigma de a cada cual según su capacidad por el de a cada cual según sus necesidades.
2203,1,justicia_social,A,"En el orden social se tiene que dar la solidaridad, equidad, destino universal de los bienes con respeto a la propiedad, atención a los más débiles."
2594,1,justicia_social,A,"Es lo que le falta a la constitución, ya que es un principio fundamental y transversal a todos los otros.Creemos que es necesaria frente al momento crítico que estamos viviendo. Hay gente más favorecida que otra, hay desigualdades sociales y por eso no nos sentimos parte del todo aun"
2700,2,justicia_social,A,"Necesidades Básicas  Garantizar el acceso y dignidad en la satisfacción de las necesidades fundamentales como vivienda, salud, educación. En el mismo espíritu garantizar un salario mínimo como equidad social y económica"
2763,1,justicia_social,A,"distribución equitativa de los bienes sociales, no solo materiales, sino también de acceso, territorial, etc. tiene que ver con la equidad."
2874,1,justicia_social,A,La justicia social debe ir aparejada con la igualdad. Todas las personas deben tener un derecho a aprovechar las oportunidades que el Estado da.
3015,1,justicia_social,D,"El desacuerdo radica en que a una mayoría le parece bien, pero a una minoría le parece inadecuado que se establezca que las inequidades son consecuencia del mercado."
3153,1,justicia_social,A,"El estado debe garantizar su actuación bajo este principio, generando oportunidades para la redistribución de la riqueza, reparando injusticias históricas y buscando efectivamente disminuir las brechas entre grupos sociales."
3206,1,justicia_social,A,"Hemos determinado este valor, como un concepto macro y fundamental, dentro del cual consideramos contenida la justicia, el bien común, la igualdad, el respeto, la solidaridad, etc. Sólo teniendo como fin la Justicia Social podremos hacer de Chile un país más equitativo y justo."
3381,1,justicia_social,A,Igualdad de Oportunidades que sean consagradas por la propia Constitución
4518,1,justicia_social,A,"Terminar con pensiones indignas para la mayoría de nuestros ancianos, que ademas es un segmento en crecimiento. Sueldos minimos justos. Enfocarnos en generar y practicar la paz."
4791,2,justicia_social,P,"Es la suma de los derechos sociales. Vivienda, salud, educación, alimentación."
4846,1,justicia_social,A,En respeto al valor de la vida en comunidad y de la solidaridad.
4947,1,justicia_social,A,"Un valor en el cual nuestra sociedad sea igualitaria y obtenga los beneficios del estado de forma equitativa, como las pensiones de los adultos mayores, y la brecha salarial entre hombres y mujeres."
5179,1,justicia_social,A,"Estado debe garantizar la igualdad de oportunidades, favorecer los sectores excluidos y desposeídos por medio de mecanismos de mecanismos inclusivos y redistributivos de la riqueza"
5479,1,justicia_social,A,"A nuestro entender engloba el concepto de igualdad, diversidad, multiculturalidad, inclusión, equidad de género, incluso nivelar en función del costo de la vida las condiciones socioeconómicas del pueblo en general."
5602,1,justicia_social,A,"Repartición equitativa de los distintos bienes sociales como consecuencia de las desigualdades del mercado. Actividades privadas o públicas orientadas a fomentar el desarrollo, la dignidad humana, la no discriminación, el trabajo y el bienestar social."
5609,1,justicia_social,A,NUEVO SISTEMA PREVISIONAL. SUELDOS DIGNOS PARA LOS TRABAJADORES.
5675,1,justicia_social,A,Justicia nos parece un buen concepto de valor y principio pero debe estar acompañado de lo social.
5716,3,justicia_social,A,Exigir y luchar por una sociedad democrática con justicia Social.
5844,1,justicia_social,A,JUSTICIA SOCIAL.  VELAR POR LOS DERECHOS CIUDADANOS. EQUIDAD EN LOS DERECHOS
