idEla,tema,concepto,acuerdo,fundamento
219,2,libertad_ambulatoria,A,este derecho es importante y su protección aun más. debe seguir consagrado ya que no debiese existir motivo para limitarlo a no ser de estar frente a excepciones fundadas. Como personas se nos debe garantizar la libertad para desplazarnos de un lugar a otro.
466,2,libertad_ambulatoria,A,Es necesario tener la libertad personal y de poder aplazarnos libremente.
820,2,libertad_ambulatoria,A,Derecho de elegir como llevar nuestras vidas y construir nuestro futuro
948,2,libertad_ambulatoria,A,"No debiese existir motivo para limitarlo a no ser de estar frente a excepciones fundadas, como personas se nos debe garantizar la libertad para desplazarnos de un lugar a otro."
1314,2,libertad_ambulatoria,A,"El Estado, a través de la Constitución debe garantizar la libertad individual y el libre tránsito en todo el territorio nacional."
1327,2,libertad_ambulatoria,A,Cada ciudadano y ciudadana debe tener derecho al libre tránsito  a través del patrimonio material y cultural de la nación.
1392,2,libertad_ambulatoria,A,"Este derecho debe seguir consagrado, ya que no debe existir motivo para limitarlo, a no ser de estar frente a excepciones fundadas."
1513,2,libertad_ambulatoria,A,"Libertad y solidaridad, nadie puede ser detenido sin una causa expresa"
2155,2,libertad_ambulatoria,A,no debiese existir motivo para limitarla a no ser de esta frente a excepciones fundadas. Como personas se nos debe garantizar la libertad para desplazarnos de un lugar a otro.
2388,2,libertad_ambulatoria,A,- Libre para realizar todo acto. - Sólo se debe privar con arreglo de la ley.
2631,2,libertad_ambulatoria,A,"debe seguir este derecho y que no deba existir medidas para limitarlo, a no ser de estar en frente de excepciones fundadas"
2707,2,libertad_ambulatoria,A,Sin fundamento
3445,2,libertad_ambulatoria,A,debe seguir consagrado ya que nos permita la libertad de movernos en nuestro país.
4341,2,libertad_ambulatoria,A,Absolutamente .
4540,2,libertad_ambulatoria,A,no debe existir motivo para limitarlo.
4732,2,libertad_ambulatoria,A,"Desplazarse de un lugar a otro, residir en cualquier territorio de la república."
4786,2,libertad_ambulatoria,A,Tener la oportunidad de expresarse.
5081,2,libertad_ambulatoria,A,"Creemos que este derecho es importante y su protección aún más. Debe seguir consagrado , ya que no debiese existir motivo para limitarlo a no ser de estar frente a excepciones fundadas. Como personas se nos debe garantizar la libertad."
5483,2,libertad_ambulatoria,A,Derechos a ciudades con más espacios públicos de recreación deportes y vida social.
6349,2,libertad_ambulatoria,A,"Creemos que se nos debe dejar transitar por nuestro país, así mejorando los caminos públicos y los accesos a playas y sectores públicos."
6436,2,libertad_ambulatoria,A,creemos que este derecho es importante y su protección aún más.
6765,2,libertad_ambulatoria,A,Es
6943,2,libertad_ambulatoria,A,Tenemos derecho a andar libres por la vida
7131,2,libertad_ambulatoria,A,A la libre circulación y transito comercial con documentos propio del país de origen.
7259,2,libertad_ambulatoria,A,"El grupo la identificó como ""Libertad de Movimiento"", sin la cual no es posible convivir en paz ni lograr un desarrollo como país."
7263,2,libertad_ambulatoria,D,La segurar no es buena durante la noche (horario nocturno)
7411,2,libertad_ambulatoria,A,"Creemos que este derecho es importante y su protección aún más. Debe seguir consagrado , ya que no debiese existir motivo para limitarlo a no ser de estar frente a excepciones fundadas."
8180,2,libertad_ambulatoria,A,circular libremente
8784,2,libertad_ambulatoria,A,Como personas se nos debe garantizar la libertad para desplazarnos de un lugar a otro.
9035,2,libertad_ambulatoria,A,No debe existir motivo para limitarlo.
9096,2,libertad_ambulatoria,A,Es un derecho transitar donde cada uno quiera en vía pública sin distinción alguna.
9170,2,libertad_ambulatoria,A,"Libertad de expresión, reunión etc, respetando a los demás."
