idEla,tema,concepto,acuerdo,fundamento
16,2,libertad_de_enseñanza,A,el derecho  a  que los padres enseñen a sus hijos conforme a la visión que sus padres quieran transmitir.
24,2,libertad_de_enseñanza,A,el estado debe velar por la educación y yo decido donde estudiar
72,2,libertad_de_enseñanza,A,Dar la libertad de elegir a los padres el tipo de educación de sus hijos para permitir el mayor desarrollo personal de los niños. Este último en Desacuerdo de los integrantes. 1 a favor 9 en contra.
107,2,libertad_de_enseñanza,A,Derecho a elegir libremente la educación de los niños y jóvenes.
136,2,libertad_de_enseñanza,A,Permite elegir el tipo de enseñanza que quiero para mis hijos en función de valores personales.
219,2,libertad_de_enseñanza,A,es fundamental que toda persona sin importar su religión tenga ese derecho para participar en el proceso de enseñanza  y aprendizaje. es necesario  que esta libertad sea completa y sin restricciones antojadizas de manera que como cristianos tengamos plena libertad para actuar.
222,2,libertad_de_enseñanza,A,"Educación de calidad que forme de manera integral a las personas, en los valores de la sociedad."
310,2,libertad_de_enseñanza,A,Poder elegir la educación de manera equitativa y de calidad que no dependa del poder adquisitivo del educado.
315,2,libertad_de_enseñanza,A,"En este cabildo todos los puntos fueron discutidos y sometidos a votación, los que aqui se registran son los que obtuvieron las 7 primeras mayorías."
396,2,libertad_de_enseñanza,A,la educación iniciar en el hogar y todos debemos (como un derecho) optar a una buena educación y enseñanza
426,2,libertad_de_enseñanza,A,"Creemos fundamental resguardar el Dº de los padres, como 1er educadores de sus hijos, a elegir el proyecto educativo+acorde c/sus valoresyproyectos de vida. Debe haber diversidad deproveedoresdeeducac, c/autonomíaparagestionarestablecimientos educac.  El Eº no puede ser la única oferta en educación"
462,2,libertad_de_enseñanza,A,Es deber del Estado incluir  en la malla curricular del ministerio Educación para enseñar la verdadera historia y cosmovisión de los Pueblos Originarios.
466,2,libertad_de_enseñanza,A,Que logremos realizar también clases en colegios y a su vez no se nos obligue a hacerlo con otros pensamientos o religiones.
493,2,libertad_de_enseñanza,A,"Debe resguardar este derecho para participar en los procesos de enseñanzas y aprendizaje, es necesario que esta libertad sea completa y sin restricciones antojadizas"
555,2,libertad_de_enseñanza,P,"(opinión) Excepto, no debería permitirse enseñanza contra la ciencia.  Podría estar dentro del derecho a la educación.  Enseñanza, modo de vivir en este mundo.  Peligroso para enseñar cosas disimiles."
562,2,libertad_de_enseñanza,A,Cada persona natural pueda tomar la decisión de cómo y dónde educar a los integrantes de su familia
574,2,libertad_de_enseñanza,A,"Que los hijos sean formados conforme a la visión que sus padres quieran transmitirles y reforzarles a través del marco educacional, basado en valores y conocimientos."
586,2,libertad_de_enseñanza,A,facultad de impartir educación publica o privada en la forma que se estime conveniente.
592,2,libertad_de_enseñanza,A,de acuerdo porque todos tenemos el derecho a una mejor enseñanza y sin restriccion
597,2,libertad_de_enseñanza,P,Sin importar la religión se debe participar en el proceso de enseñanza o aprendizaje la libertad debe ser completa y sin restricciones. No debiera enseñarse ninguna religión en los colegios.
671,2,libertad_de_enseñanza,A,"Derecho fundamental porque está detrás de la familia, de traspasar los valores importantes a las siguientes generaciones."
