idEla,tema,concepto,acuerdo,fundamento
3,2,libertad_de_expresión,A,Es necesario para manifestar opinión
9,2,libertad_de_expresión,A,Poder expresar el parecer personal frente a cualquier temática sin sentir persecución u opresión por hacer uso de ésta.
11,2,libertad_de_expresión,A,Incluye el derecho a la información.
13,2,libertad_de_expresión,A,"Y  la información; que no exista la censura, ni la manipulación de la información; que tampoco exista persecución por las visiones diferentes. Un canal estatal"
19,2,libertad_de_expresión,A,Es importante poder expresar las opiniones y manifestarlas donde se estime conveniente sin ser coartadas ni oprimidos.
33,2,libertad_de_expresión,A,"decir, pensar y opinar lo que queramos, cuando queramos, sin miedo a reproches y siempre con respeto."
35,2,libertad_de_expresión,A,Sin libertad de expresión no existe democracia efectiva y permite que minorías manejen el rumbo del país en función de intereses particulares. Posibilita el acceso a la información.
43,2,libertad_de_expresión,A,Cada ciudadano chileno de ser escuchado cuando lo necesite
54,2,libertad_de_expresión,A,Poder decir y pensar lo que siento sin miedos.
55,2,libertad_de_expresión,A,Sin comentarios
67,2,libertad_de_expresión,A,"• Garantizar las condiciones para el derecho a decir lo que uno piensa, propone, etc. • Que se garanticen las condiciones para esta libertad de expresión, que se proteja judicialmente. • Que no se censuren ideas, posturas, hechos. • Los medios de comunicación ejercen mucha “censura”"
68,2,libertad_de_expresión,A,"Es el derecho  básico de una democracia  que permite la real participación, opinión e información de los ciudadanos."
74,2,libertad_de_expresión,A,"- Asegura la discusión de todas las ideas en la sociedad, evita autoritarismo e imposición dogmática. - Debe tener algunos límites (ej. Incitación al odio)."
82,2,libertad_de_expresión,A,Se regulan los 3 poderes del Estado a través de la información.
85,2,libertad_de_expresión,A,"Establecimiento, y reconocimiento de espacios donde exista la posibilidad de expresarse sin que grupos aparezcan amedrentando indispensable para una sociedad avanzada."
86,2,libertad_de_expresión,A,"No a las leyes mordaza y especial cuidado al libertinaje de expresión, cuidar la convivencia como factor fundamental e infranqueable, acción de respeto reciproco.  Independencia de los poderes del Estado de los medios de comunicación."
91,2,libertad_de_expresión,A,que se asegure el derecho de expresar opiniones libremente en cualquier lugar y nivel jerárquico no a la represión por pensar diferente  .-
94,2,libertad_de_expresión,P,Algunos piensan que basta el derecho a la información.
95,2,libertad_de_expresión,A,Libertad de expresión porque el derecho a tener opinión es básico para construir una democracia.
106,2,libertad_de_expresión,A,"Garantizar el derecho a la libertad de expresión en todos sus sentidos, siempre respetando el libre ejercicio de los derechos del pueblo."
107,2,libertad_de_expresión,A,"Derecho a expresar nuestras creencias libremente, sin tener que ser violentados ni discriminados."
115,2,libertad_de_expresión,A,Fundamental para una sociedad libre y participativa
124,2,libertad_de_expresión,A,.
129,2,libertad_de_expresión,A,Capacidad de expresar lo que se piensa sin temor a represalias con respeto a los demas
131,2,libertad_de_expresión,A,Incluso las autoridades deben aceptar una prensa molesta y a ratos desagradable con el fin de garantizar este derecho
136,2,libertad_de_expresión,A,"Posibilidad de que todos puedan expresarse sin temor a ser censurados, castigados ni perseguidos."
147,2,libertad_de_expresión,A,Que cada persona tenga la posibilidad de expresar lo que siente para si mismo u otros.
153,2,libertad_de_expresión,A,"ser libre para votar , ejercer  culto religioso objecion de conciencia y así tener un país mas democratico"
156,2,libertad_de_expresión,A,Porque es un derecho que debe velar que exista y es fácil de quebrantar
165,2,libertad_de_expresión,A,Asegurar el pluralismo de contenido y limitando la propiedad sobre los medios de comunicación. Consagrar e derechos a decir lo que se piensa.
166,2,libertad_de_expresión,A,"Debe ser un derecho resguardado como fundamental por el estado, que permita la expresión individual y colectiva. Las F.F.A.A. deben estar subordinadas a las autoridades elegidas democráticamente, eliminando la represión contra el pueblo."
168,2,libertad_de_expresión,A,"El Estado debe respetar la libertad de expresión de todas las personas, prohibiendo la censura arbitraria."
176,2,libertad_de_expresión,A,"El estado debe garantizar la libertad de pensamiento y opinión de tod@s y cada un@, asegurando la libertad de poder expresarlos, sin ser molestado, así como de difundirlas mediante el medio que prefiera sin censura previa, salvo las que inciten a la guerra, la violencia, el odio."
187,2,libertad_de_expresión,A,Fundamental para exigir nuestros derechos.
