idEla,tema,concepto,acuerdo,fundamento
56,2,libertad_de_trabajo,A,Todos pueden optar y luchar por su trabajo
61,2,libertad_de_trabajo,A,Poder contar con una libre expresión dentro de su trabajo; que puede desarrollar sus funciones libremente. De parte de los contratantes contar con un respeto hacia el trabajador como su horario y trato con el trabajador; conocer y ejercer derechos laborales.
291,2,libertad_de_trabajo,A,Consagrando la libertad de trabajo o profesional
297,2,libertad_de_trabajo,A,"Toda persona tiene el derecho y el deber de trabajar, siendo un derecho esencial y no pudiendo restringirse de forma arbitraria. El acceso a cargos públicos debe ser libre e igualitario"
442,2,libertad_de_trabajo,P,libre contratación y elección de un trabajo.
571,2,libertad_de_trabajo,A,Es un derecho esencial. Ningún grupo de interés o sector puede restringirlo. No se puede permitir el cuoteo político para la asignación de cargos públicos.
594,2,libertad_de_trabajo,A,derecho a que todos podamos tener un trabajo justamente remunerado que nos permita tener una vida digna. El trabajo debe elegirse con total libertad.
649,2,libertad_de_trabajo,P,pero este trabajo tiene que tener un sueldo equitativo sin distinción de genero y criterios arbitrarios sin distinción de genero y criterios arbitrarios
673,2,libertad_de_trabajo,P,Laborar sin presiones y poder elegir el trabajo.
896,2,libertad_de_trabajo,A,Que no tenga limitaciones para la busca de un trabajo
904,2,libertad_de_trabajo,A,"Todos los puntos fueron sometidos a votación, y los que aquí están seleccionados son aquellos que obtuvieron la mayoría."
910,2,libertad_de_trabajo,A,"eliminar el concepto de libertad de trabajo y modificarlo por derecho al trabajo, para garantizar calidad y eliminar la precarizacion que hoy va en avance"
959,2,libertad_de_trabajo,A,No hay fundamento
1012,2,libertad_de_trabajo,A,"Garantizar transparencia en las leyes, que esta no solo beneficien a los poderosos. Mejorar fiscalizaciones."
1105,2,libertad_de_trabajo,A,que todos tengan trabajos y no se priorice al extranjero pagando sueldos miserables
1108,2,libertad_de_trabajo,A,Todos tenemos derecho a la libertad de trabajo
1115,2,libertad_de_trabajo,A,"Por unanimidad creemos que este es el derecho fundamental, que permite la generación de muchos otros derechos."
1180,2,libertad_de_trabajo,A,"Derecho a un trabajo digno, por un salario equitativo para personas en situación de discapacidad, deteniendo los abusos sobre las capacidades personales de las personas. Empresas públicas y privadas deben garantizar cuotas de la fuerza laboral y de contratación para mejorar la equidad de acceso lab"
1265,2,libertad_de_trabajo,A,Sin Observaciones.
1303,2,libertad_de_trabajo,P,que cada uno tiene la libertad de elegir lo que quiere trabajar
1325,2,libertad_de_trabajo,A,RESPETO POR LAS ORGANIZACIONES DE LOS TRABAJADORES
1450,2,libertad_de_trabajo,A,"El estado debe patrocinar condiciones económicas para crear empresas productivas estatales o mixtas para la generación de empleos en igualdad de género seguridad social procurando un sistema provisional y de reparto Además la sindicalización debe ser obligatoria, con derecho a huelga sin reemplazo"
1486,2,libertad_de_trabajo,A,Sin fundamento
1525,2,libertad_de_trabajo,A,consagrando la libertad de trabajo o profesional
1555,2,libertad_de_trabajo,A,el trabajo dignifica a la persona y todos debemos tener esta posibilidad.
1559,2,libertad_de_trabajo,A,"Para todos y por igual ,digno y bien remunerado y con igualdad de genero"
1610,2,libertad_de_trabajo,A,"Reconocimiento del trabajo de dueñas y dueños de casa y pago de cotizaciones previsionales por parte del Estado, acceso a beneficios laborales."
1618,2,libertad_de_trabajo,A,MENOS EXIJENCIA EN LOS REQUISITOS. VALORE AL PROFESIONAL O CAPACIDAD DE LA PERSONA Y NO COLOR POLITICO
1715,2,libertad_de_trabajo,A,Es un derecho esencial. Nadie  puede restringirlo. No se  permitir el cuoteo político para  cargos públicos.
1819,2,libertad_de_trabajo,A,Cada persona puede optar libremente a las instancias laborales que estime pertinente según sus competencias.
1864,2,libertad_de_trabajo,A,Consagrando la libertad de trabajo o profesional
1876,2,libertad_de_trabajo,A,Nadie puede ser privado de su libertad en forma arbitraria.
1969,2,libertad_de_trabajo,A,PARA TODOS SIN DISCRIMINACIÓN
2003,2,libertad_de_trabajo,A,Todos deben tener derecho a trabajar
2115,2,libertad_de_trabajo,A,TODOS TENEMOS DERECHOS A TRABAJAR
2130,2,libertad_de_trabajo,A,Es un derecho esencial. Ningún grupo de interés o sector puede restringirlo. No se puede permitir el cuoteo político para la asignación de cargos públicos.
