idEla,tema,concepto,acuerdo,fundamento
74,2,libertad_personal,A,"- Autodeterminación, búsqueda personal de la realización. - Debe estar supeditada a derechos de otros y al bien común."
81,2,libertad_personal,A,Con derecho a pensar y a decidir Libre conciencia
96,2,libertad_personal,P,"Hubo acuerdo parcial, por cuanto algunos de los participantes creen que en algunas ocasiones las libertades colectivas tienen que ir sobre la libertad personal."
98,2,libertad_personal,A,Imprescindible para el ejercicio de todos los derechos constitucionales.
140,2,libertad_personal,A,"Que constituya un derecho a autodeterminarse en distintos ámbitos de la vida, o sea, libertad de conciencia, de expresión y ambulatoria"
162,2,libertad_personal,A,"No interferir en el desarrollo propio que la persona ha elegido para, sin hacer daño a sus pares, que logre realizarse como un individuo libre y pensante."
193,2,libertad_personal,A,No hay fundamentos más allá de la discusión.
236,2,libertad_personal,A,"PROTEGER Y RECONOCER AL INDIVIDUO COMO SER SOBERANO, EN EL SENTIDO DE QUE ES LIBRE DE DECIDIR SU PROPIO OBJETIVO/FIN."
270,2,libertad_personal,A,"Derecho Indispensable para poder desarrollarse como personas integralmente, esta en si misma incluye otras libertades como las ambulatorias o expresion."
273,2,libertad_personal,A,Es un derecho intrínseco al ser humano.
287,2,libertad_personal,A,Todas las personas tiene derecho a elegir libremente y a desarrollarse de forma libre. Autodeterminación.
326,2,libertad_personal,A,Derecho a elegir una forma que permita una muerte digna.
337,2,libertad_personal,A,Que termina donde comienza la libertad del prógimo
344,2,libertad_personal,A,"Libertad de expresión, conciencia, privacidad, de decisiones sobre la vida-aborto. No libertad a las armas."
347,2,libertad_personal,A,2.-Mayoría sin mayor discusión.
361,2,libertad_personal,P,La persona debe tener poder de decisión sobre su cuerpo V/S sin afectar los derechos de los demás.
441,2,libertad_personal,A,"Esencia de la persona de ser libre, sin pasar a llevar a otros"
463,2,libertad_personal,A,Libre albedrío
475,2,libertad_personal,A,"Garantizada constitucionalmente, protege diversas garantías.."
484,2,libertad_personal,A,acuerdo unànime
490,2,libertad_personal,A,"Permite que las personas puedan elegir entre diferentes cursos de acción previo discernimiento, lo que permite hacerlas responsables de sus actos"
493,2,libertad_personal,A,"debe seguir este derecho y que no deba existir medidas para limitarlo, a no ser de estar en frente de excepciones fundadas"
525,2,libertad_personal,A,Consideramos que es un derecho que debe estar en la constitución.
553,2,libertad_personal,A,Preexiste al Estado. Constituye ub límite al poder estatal. La libertad de las personas consiste en la autodeterminación consciente y responsable del propio proyecto de vida.
568,2,libertad_personal,D,"Resulta peligrosa su definición, puediendo ser malentendida y generando la violación de otros derechos esenciales."
592,2,libertad_personal,A,De acuerdo con los fundamentos dados.
597,2,libertad_personal,A,"No se puede limitar a no ser por excepciones fundadas, Libertad de desplazamiento , residencia en cualquier territorio y ser detenido o privado de libertad."
615,2,libertad_personal,A,Debe considerar la libertad pero sin atropellar los derechos de las demás personas.
663,2,libertad_personal,P,"Entendemos este derecho como aglutinador de muchos otros (libertad ambulatoria, libertad de expresión, libertad de prensa, etc.) pero esta libertad debe ser normada para no convertirse en libertinaje."
664,2,libertad_personal,A,"Porque es intrínseca al ser humano y la constitucion debe garantizar cosas básicas englobadas en este, como el derecho al libre desplazamiento, al culto, a la reunion, a no ser discriminado, etc."
717,2,libertad_personal,A,"Libertad personal y autonomía. Pensamos en libertad en sentido amplio (de expresión, culto, conciencia, movimiento, etc.). Libertad para autodeterminarse (desarrollar el proyecto de vida que cada uno ha elegido) y también libertad de los pueblos a autodeterminarse."
