idEla,tema,concepto,acuerdo,fundamento
375,2,libertad_religiosa,A,"derecho a creer o no creer, a mantener o cambiar de religión, de profesar libremente la propia creencia; respetar la decisión de los padres de educar a los hijos según su religión."
562,2,libertad_religiosa,A,El estado es laico sin otorgar preferencias a ninguna creencia
701,2,libertad_religiosa,A,"Importante en cuanto a la práctica de los cultos, manifestaciones y agrupaciones, enseñanza en los colegios, entre otros."
1078,2,libertad_religiosa,A,Respeto y garantía al normal desarrollo de los cultos ancestrales y cuidado de los centros religiosos ancestrales.
1215,2,libertad_religiosa,A,"Toda persona tiene derecho a profesar su fe, a congregarse, enseñar y manifestarla en lo privado, público, respetando la dignidad humana, sin coaccionar su libertad y el Estado debe garantizar este derecho."
1863,2,libertad_religiosa,A,"Pensamos que es importante ejercer nuestra creencia públicamente, sin opresión o discriminación alguna."
2271,1,libertad_religiosa,A,RESPETO A LA LIBERTAD DE CREDOS
2728,1,libertad_religiosa,A,"Respeto a las creencias. Acoger y valorar el aporte que éstas han hecho, hacen y harán al desarrollo de la sociedad."
2738,2,libertad_religiosa,A,El Estado debe asegurar y respetar la moral bíblica como fundamento de una entidad religiosa.
2772,2,libertad_religiosa,A,"COMO UNA OPCIÓN REFLEJADA EN EJERCER CREENCIAS RELIGIOSAS, SIN SER VÍCTIMA DE OPRESIÓN, DISCRIMINACIÓN O INTENTO DE CAMBIARLA."
3119,2,libertad_religiosa,A,Como cristianos queremos ejercer públicamente nuestros valores y principios sin ninguna discriminación.
4007,2,libertad_religiosa,A,.
4303,2,libertad_religiosa,A,"Este derecho no estaba en la lista, sin embargo apareció espontáneamente en otros, y se dejó de manera unánime."
4338,2,libertad_religiosa,A,"Se considera la Libertad de culto pero no la libertad religiosa, la que además debe considerar la cooperación del Estado con las entidades religiosas."
4601,2,libertad_religiosa,A,"Fundada en nuestra Libertad de conciencia, cada ser humano tiene derecho tener de manifestar su opción religiosa a través de los cultos que cada religión contempla."
5669,2,libertad_religiosa,A,"Una sana laicidad debe garantizar una efectiva libertada religiosa, la que implica más que la libertad de conciencia; abarcando el derecho a profesar una fe libremente, exteriorizando el hecho religioso en medio de la comunidad."
5875,2,libertad_religiosa,A,"Derecho a ejercer y practicar un credo, sin restricciones."
6274,2,libertad_religiosa,A,Derecho social fundamental a profesar un credo religioso según sus propias creencias de fe
6307,2,libertad_religiosa,A,"Libertad para que las personas expresen y cultiven su fe, sin coacciones, sin intervenciones ajenas, en forma pacífica y respetando las creencias de los demás."
6390,2,libertad_religiosa,A,OPCION DEL CREDO Y EXPRESARLO PUBLICAMENTE
6570,2,libertad_religiosa,A,Como cristianos queremos ejercer públicamente nuestro credo sin ningún tipo de opresión ni discriminación.
6577,1,libertad_religiosa,A,No ser coaccionados los Cultos permitidos por Ley en Chile.
7290,2,libertad_religiosa,A,COMO CRISTIANOS SE NOS DEBE ASEGURAR EL NO ACEPTAR LAS COSAS QUE ESTAN FUERA DE NUESTRA MORAL BIBLICA
10239,2,libertad_religiosa,P,"9 votos a favor y 1 en contra. libertad de creer y no creer, de mantener y cambiar de religion, y de profesar nuestra religiosidad."
10956,2,libertad_religiosa,A,el fundamento se dio por hecho
11503,2,libertad_religiosa,A,"Garantizar que todos los ciudadanos profesen su fe, cualquiera que ésta sea."
11645,2,libertad_religiosa,A,Vivir mi vida religiosa.  Que se respeto nuestro día de descanso.  Establecer libertad religiosa en virtud de la afinidad de credo.
11853,2,libertad_religiosa,A,"Se refiere a la libertad de creer o no creer, de mantener o cambiar religión y profesar estas convicciones en privado o en púbico libremente. El estado debe permitir a sus miembros vivir según sus creencias religiosas y respetar las diferencias.  Por unanimidad se elige."
12027,1,libertad_religiosa,A,Espacio necesario para el desarrollo de la persona
12249,2,libertad_religiosa,A,"La Constitución debe asegurar a todas las personas la libertad de conciencia, la manifestación de todas las creencias y el ejercicio libre de todos los cultos, tanto en público como en privado, sin ser discriminado. El Estado debe resguardar la creación y autonomía de las instituciones religiosas."
12391,1,libertad_religiosa,A,El ser humano desde siempre siente la necesidad de relacionarse con un ser superior a través de la religión.  Existen diferentes tipos de religiones y credos y creemos que todas deben  de ser respetadas y no coartadas.
13373,2,libertad_religiosa,P,"la religion fortalece al ser humano. compartir amor, comunicar"
13435,1,libertad_religiosa,A,"Fuente de espiritualidad, toca lo más profundo del ser humano; lo más trascendental, lo más hermoso del sentido de la vida, vida comunitaria sin atropellos a nuestros símbolos."
13435,2,libertad_religiosa,A,El Estado debe privilegiar la libertad de culto y permitir a sus miembros vivir según sus creencias religiosas y respetar las diferencias. La dimensión espiritual es parte de nuestra identidad.
15233,2,libertad_religiosa,A,Cada persona puede creer y tener la religión que desee sin que nadie se lo impida.
15569,2,libertad_religiosa,P,"Llama la atención que no está como ejemplo., existiendo tanta muerte a causa de la religión en el mundo, sin embargo, se se;ala que algunas practicas religiosas pueden estar en contra de derechos fundamentales. Esta libertad debe desenvolverse en el marco legal."
