idEla,tema,concepto,acuerdo,fundamento
95,2,libre_iniciativa_económica___libre_empresa,P,"Derecho a desarrollar cualquier actividad económica… que puedas emprender, pero que no afecte a otros.  Porque ahí se basa el crecimiento y desarrollo de un país"
118,2,libre_iniciativa_económica___libre_empresa,A,Fomentar el emprendimiento y el desarrollo económico.
265,2,libre_iniciativa_económica___libre_empresa,A,Libre empresa asegura la libre iniciativa económica en el sector pesca artesanal.
297,2,libre_iniciativa_económica___libre_empresa,A,"Siendo la empresa la industria, los gremios y en general los grupos intermedios un motor fundamental en el desarrollo de la sociedad. Es deber del estado garantizar el emprendimiento y desarrollo a traves de la creacion de valores."
442,2,libre_iniciativa_económica___libre_empresa,P,libertad para iniciar cualquier actividad económica que no sea contraria a la moral.
525,2,libre_iniciativa_económica___libre_empresa,A,Consideramos que es un derecho que debe estar en la constitución.
534,2,libre_iniciativa_económica___libre_empresa,A,"El emprendedor, a todo nivel, genera empleo."
566,2,libre_iniciativa_económica___libre_empresa,A,todos tenemos derecho a la libre empresa
571,2,libre_iniciativa_económica___libre_empresa,A,Ha permitido a millones de personas en todo el mundo desarrollarse a través de la creación de valor.  Es el motor del desarrollo.
668,2,libre_iniciativa_económica___libre_empresa,P,Una sociedad democrática debe respetar las iniciativas de desarrollo empresarial    que darán trabajo y aportará en el desarrollo del país.
680,2,libre_iniciativa_económica___libre_empresa,A,"Que quien decida emprender tenga las opciones y el acceso de igual manera, independientemente de su condición. En especial en el caso de los pequeños productores. Sin discriminación de ninguna índole."
802,2,libre_iniciativa_económica___libre_empresa,A,"desarrolla la creatividad e innovacion, permite avance del pais"
807,2,libre_iniciativa_económica___libre_empresa,D,Permite fomentar la iniciativay creatividad.  Ligado a la libertad y autonomía.  Hay àreas en donde el privado no puede estar y deben ser administradas por el Estado.
956,2,libre_iniciativa_económica___libre_empresa,A,EL ESTADO DEBE GARANTIZAR LA POSIBILIDAD DE PODER EMPRENDER EN TODAS LAS ÁREAS DE LA ECONOMÍA.
987,2,libre_iniciativa_económica___libre_empresa,A,"Acceso a mayores y mejores oportunidades para la creación de empresas, postulación de proyectos y a generar ingresos de manera independiente y responsable."
998,2,libre_iniciativa_económica___libre_empresa,P,el Estado debe velar y proteger las iniciativas de pequeños y medianos emprendimientos
1057,2,libre_iniciativa_económica___libre_empresa,A,para permitir el desarrollo privado
1107,2,libre_iniciativa_económica___libre_empresa,A,"Protección de iniciativa privada, desarrollar cualquier actividad económica"
