idEla,tema,concepto,acuerdo,fundamento
139,1,medio_ambiente,A,"El desarrollo económico actual basado en la sobre explotación de los recursos naturales no se sustenta mas dado a los daños ambientales que a generado.  sus uso racional es un factor clave de desarrollo económico pero también humano, en el sentido que somos parte del medio y no que estamos sobre el."
601,1,medio_ambiente,A,medio ambiente
1241,1,medio_ambiente,A,El cuidado medioambiental debe estar instituto como principio sine qua non en todos los aspectos de la civilidad ciudadana. Apelamos a su enseñanza desde la educación inicial para el fortalecimiento de este principio.
1320,1,medio_ambiente,A,Siempre en pos del desarrollo sustentable del país.
1781,3,medio_ambiente,A,la responsabilidad con el medio ambiente es la que garantizará la sobrevivencia de la especie y la posibilidad de que quienes vienen después puedan disfrutar de un medio ambiente sano.
2207,3,medio_ambiente,A,"No sólo tenemos derecho a disfrutar de un entorno ambiental seguro y sano para nuestro desarrollo, como contrapartida, tenemos el deber de conservarlo y la obligación de velar por una utilización racional de los recursos naturales"
2496,2,medio_ambiente,P,Se entiende como una responsabilidad el deber mantener el equilibrio del ecosistema.
2579,2,medio_ambiente,A,"Que la sociedad tenga acceso a un medio ambiente sano y no explotado, que las decisiones sean colectivas y se cambie el sistema extractivista."
3485,1,medio_ambiente,A,"El Estado tiene obligaciones y responsabilidad de proteger y administrar los recursos naturales, que son de todos los chilenos, rechazando la subsidiaridad."
3752,1,medio_ambiente,A,"Protección de la vida natural en general, por sobre el interés económico."
4529,1,medio_ambiente,A,como Estado debemos respetar el medio ambiente.
5015,1,medio_ambiente,A,- Respeto y conservación por la naturaleza como bien común y desde la necesidad imperante de cuidar este bien por supervivencia básica del ser humano y otras especies.
5742,2,medio_ambiente,A,Se debe garantizar un medio ambiente saludable para las personas
5786,1,medio_ambiente,A,"Desarrollo económico sustentable que evite que haya zonas de sacrificios. Respeto a los derechos de los animales y semillas autóctonas. Cuidado: espacio, aire, agua y tierra."
6666,1,medio_ambiente,A,El Estado y la población del país deben garantizar y promover su conservación priorizando el bien común por sobre los intereses privados.
7173,1,medio_ambiente,A,"Necesario para un prospero desarrollo del país, debe ser garantizado por el estado ya que todos tenemos el derecho a respirar un aire limpio y de cuidar de nuestra naturaleza enorme que poseemos en nuestro país"
9371,1,medio_ambiente,A,Es necesario incorporar el valor al medio ambiente ya que es fundamental en nuestros tiempo tener una buena relación con nuestro entorno
9409,1,medio_ambiente,A,Todos vivimos en el mismo planeta y debe ser cuidado.
10278,2,medio_ambiente,A,A conocer y vivir en un medio ambiente sustentable.
10556,1,medio_ambiente,P,Protección y conservación. Explotación sustentable.
10587,3,medio_ambiente,A,EL ESTADO DEBE GARANTIZAR EL MEDIO AMBIENTE
11092,3,medio_ambiente,A,clave para nuestro futuro
11563,1,medio_ambiente,P,Nosotros somos responsables de dejar a nuestras futuras generaciones un Medio Ambiente óptimo.
12896,1,medio_ambiente,A,Respeto al medio ambiente  Preservación del medio ambiente   No a la explotación abusiva de los recursos naturales   No a la privatización de los recursos naturales del país   Garantizar los derechos del medio ambiente
13132,3,medio_ambiente,A,Esencial en una sociedad en desarrollo
13575,4,medio_ambiente,A,Protección al M.A.
13764,2,medio_ambiente,A,La protección del medio ambiente es especialmente importante para las generaciones de hoy y las próximas.
14280,3,medio_ambiente,A,hace tangible y sancionable el ejercicio al ser un deber. No es el ideal el ejercicio punitivo de un deber.
14410,1,medio_ambiente,A,"• Como conjunto de elementos abióticos y bióticos que nos rodea y sustenta, debe cuidarse y defenderse de la depredación y el aniquilamiento por parte de las transnacionales y del propio ser humano, cautelando con ello la calidad de vida de la comunidad nacional."
15268,3,medio_ambiente,A,"Hay que cuidar y respetar el medio ambiente, haciendo todo lo posible por preservar la naturaleza (desde lo micro a lo macro)."
