idEla,tema,concepto,acuerdo,fundamento
1061,4,ministerio_de_educacion,:Acuerdo,"la educación que sea del estado (municipales), gratuidad en la educación superior, control y rol fiscalizador, a los colegios y universidades particulares, mejorar su rol y función."
2360,4,ministerio_de_educacion,A,"Debe velar por entregar educación de calidad, exigiendo que las leyes se cumplan , ademas de realizar una  supervision real de los programas de fortalecimiento de la educación publica."
3653,4,ministerio_de_educacion,P,Apoyo a las familias y niños en general
5050,4,ministerio_de_educacion,P,"EDUCACION EN CHILE QUE SEA DEPENDIENTE DEL ESTADO, QUE GARANTICE LA EQUIDAD Y EL DEBIDO FINANCIAMIENTO"
5273,4,ministerio_de_educacion,A,"Implementar planes y programas de estudio acordes a la realidad nacional, basados en estándares de calidad integral. Reforzar educación cívica."
8128,4,ministerio_de_educacion,A,"Se espera que el Ministerio de Educación  tenga como principio primero, ser garante  de la educación pública de calidad,  inclusiva y gratuita para todos los  niños, niñas y jóvenes del país."
11001,4,ministerio_de_educacion,A,Que se de prioridad a la educación y que se comience a escuchar a los estudiantes para hecer los cambios que se necesiten
11143,4,ministerio_de_educacion,A,la educación es un pilar fundamental
11687,4,ministerio_de_educacion,A,"Es donde debería estar el deporte, el arte y la cultura de un pais en forma transversal."
13642,4,ministerio_de_educacion,A,QUE SEA IGUALITARIO E INCLUSIVO
14856,4,ministerio_de_educacion,A,QUE LA EDUCACIÓN SEA IGUALITARIA PARA TODOS Y QUE NO DEPENDE DEL FACTOR SOCIOECONÓMICO
