idEla,tema,concepto,acuerdo,fundamento
790,4,ministerio_de_educación,A,Que tenga un rol más preponderante en el desarrollo del país
828,4,ministerio_de_educación,A,"PRIVILEGIAR LA EDUCACIÓN,POR SOBRE LOS INTERESES ECONÓMICOS.EDUCACIÓN REAL PARA EL PUEBLO,NO SÓLO OBREROS CALIFICADOS (NO EXISTE REPITENCIA,PRIMA LÑA SUBVENCIÓN ESCOLAR)."
1110,4,ministerio_de_educación,A,Un Ministerio Capaz de llevar la educación a un nivel de excelencia en lo público y particular. La educación de Excelencia promover a individuos capaces de generar estabilidad y crecimiento al país.
3809,4,ministerio_de_educación,A,"Reafirma y redefinir su papel, pues se ve frágil en este momento. Debe ser garante de la educación pública,"
4659,4,ministerio_de_educación,A,"Pese a que ya existe, consideramos esencial la formación de un departamento de educación cívica, para garantizar que todas las personas tengan acceso a conocer el funcionamiento de la sociedad, y puedan ser partícipes de ella."
5179,4,ministerio_de_educación,P,"el ministerio debe realizar una adecuada planificación y control educacional que permita el respeto al medio ambiente, al prójimo y al bien común."
5200,4,ministerio_de_educación,A,"Esta es una institución que debe reestructurarse para garantizar una educación de calidad y abierta a la ciudadanía, y que no esté condicionada al estatus social.  Por otra parte, los programas educacionales de integración como PIE son muy valorables y deberían ser potenciados."
5490,4,ministerio_de_educación,A,Es el principal responsable de entregar educación de calidad para todos los habitantes la cual debe ser actualizada e integral.
6066,4,ministerio_de_educación,A,"La institución en si misma es insuficiente, deberá tener mayores atribuciones y facultades."
6389,4,ministerio_de_educación,A,Para garantizar que haya una educación de calidad.
7375,4,ministerio_de_educación,A,"que exista fiscalización pertinente, transparente e inclusivo, participativo e igualitarios"
7805,4,ministerio_de_educación,D,"Se propone dar más autonomía para lograr continuidad y respetar los cambios , procesos y proyectos.  No hay consenso. Creemos que hay mejores formas de dar continuidad, sin otorgar autonomía a un ministerio.  Se podría optar por un ente regulador extra-ministerial."
8567,4,ministerio_de_educación,A,Educación cívica obligatoria en los colegios
8659,4,ministerio_de_educación,A,para que todas tengamos una educación de calidad.
8850,4,ministerio_de_educación,A,"debe tener la mayor importancia ya que el movimiento social es por medio de la educación, la educación es la base de la sociedad y de los cambios sociales, económicos, culturales, etc."
9238,4,ministerio_de_educación,A,velar por la gratuidad en la educación y la formación de nuevos docentes
9429,4,ministerio_de_educación,A,Debe fortalecerse para asegurar el derecho a la educación
10033,4,ministerio_de_educación,A,Sabemos que con educación de calidad los niños y los jóvenes podrán desarrollar sus talentos y ser personas más felices que finalmente podrán ayudar más a la sociedad.
10161,4,ministerio_de_educación,A,"Porque la educación, está en crisis, es un ministerio que debería reformarse."
10941,4,ministerio_de_educación,A,El ministerio de educación debe  tener facultades sobre todas las instituciones de educación del  País.
11043,4,ministerio_de_educación,A,"Importancia de la educación para el desarrollo de todo el país. Tener un paraguas con objetivos a largo plazo. Acoger las propuestas de estos años para que sea de calidad y para todos, tanto en contenidos como infraestructura."
11428,4,ministerio_de_educación,A,Es necesario administrar la educación desde el ministerio
11795,4,ministerio_de_educación,A,"El ministerio de educación debe ser autónomo, también debe entregar presupuestos justos, es decir, con una mejor administración de los recursos. Debe haber un mejor manejo de las demandas de los estudiantes. Hay que hacer transformaciones paulatinas que permanezcan en el tiempo."
11833,4,ministerio_de_educación,A,Toda la educación debe depender de este ministerio
13435,4,ministerio_de_educación,A,Hacerse cargo de educar y formar con valores a los alumnos y profesores. Mayores exigencias de responsabilidad a los padres y apoderados en el proceso educativo de sus hijos. Que devuelvan el grado de dignidad y profesionalismo a los profesores. Que vuelvan la educación cívica en las escuelas.
13808,4,ministerio_de_educación,A,"que exista un replanteamiento en el que se lo considere más bien como una entidad autónoma con respecto al gobierno político, en el que los programas y objetivos sean discutidos por personas expertas en educación y que puedan sostener un proyecto a largo plazo."
14499,4,ministerio_de_educación,A,"- Falta de vocación de los profesores, mínimo puntaje en la PSU  - Profesores más profesionales y de calidad  - Los prpfesores son quienes nos entregan herramientas educativas, no puede ser que las personas con menos puntaje en la PSU., estudien para profesor"
