idEla,tema,concepto,acuerdo,fundamento
334,4,ministerio_de_salud,A,que este Ministerio sea más eficiente en la calidad de la atención y del acceso a la salud para familias más vulnerables.
643,4,ministerio_de_salud,A,La salud para nosotros es un derecho no es un bien de consumo. Este ministerio es el principal cuando haya que que asignar los recursos
790,4,ministerio_de_salud,A,Una institución re formulada y con mejoras en su burocracia por una vida más digna de los chilenos
1061,4,ministerio_de_salud,A,": mejores políticas de salud que eliminen las listas de esperas realmente, mediante el apoyo a la salud pública (profesionales, servicios, hospitales entre otros)."
1110,4,ministerio_de_salud,A,"Un Ministerio capaz de llevar al sistema de salud al alcance transversal de todos. Gratuito y de calidad. Esto dará estabilidad país, con personas sanas física y emocionalmente."
2360,4,ministerio_de_salud,A,El  Estado a través de la Constitución debe asegurar el derecho a una salud digna que realmente vele por el cuidado de la vida en  condiciones humanas.
3150,4,ministerio_de_salud,A,"Ya que la salud es fundamental, hoy no hay buena atención y el Estado debe hacerse cargo de esto como prioridad."
3160,4,ministerio_de_salud,A,"Que tengan una influencia no solo sobre el sistema de salud , sino que atraviese esa barrera formando partes de decisiones como ambiente de trabajo saludable , se asocia con el ministerio del medio ambiente asegurando ambientes seguros ,entre otras cosas"
5050,4,ministerio_de_salud,P,"DARLE MAYOR RELEVANCIA, TRANSPARENCIA Y DEMOCRATIZACION DE LOS CARGOS"
5273,4,ministerio_de_salud,A,Debe garantizar el acceso y equidad de la salud para todas las personas.
6389,4,ministerio_de_salud,A,"La salud es algo fundamental en la vida de todo ser humano, tiene que haber una institución encargada de gestionar la calidad de esta."
6931,4,ministerio_de_salud,A,"Más especialistas para Collipulli, más equipamiento para la farmacia de la comuna."
7375,4,ministerio_de_salud,A,"sea mejor la calidad y oportuna en relación al contingente, cambiar el modelo a uno mas familiar y mas profesionales de calidad y comprimimos"
8659,4,ministerio_de_salud,A,para que toda persona tenga una salud digna.
8850,4,ministerio_de_salud,P,"Es clave para el país, debe estar establecido que debe existir libertad para atenderse en centros médicos, de manera oportuna y con una atención de calidad."
9238,4,ministerio_de_salud,A,deben ser guiadas por el estado y otorgar tratamientos gratuito.
9429,4,ministerio_de_salud,A,Debe fortalecerse para asgurar el derecho a la salud
10033,4,ministerio_de_salud,A,Pensamos que si la gente recibiera salud de calidad y a tiempo. Tendríamos personas más felices que serían de mayor provecho para la sociedad.
10161,4,ministerio_de_salud,A,"La salud no se asegura para los sectores vulnerables, hay que esperar años muchas veces para esperar atención que por lo demás no es de calidad"
10565,4,ministerio_de_salud,A,Burocracia en cuanto a la atencion primaria   Calidad de vida
10941,4,ministerio_de_salud,A,El Ministerio de Salud debe tener mayor inclusión. Y además tener más facultades sobre todo el sistema de salud.
11428,4,ministerio_de_salud,A,salud de calidad a todos los ciudadanos por igual
11795,4,ministerio_de_salud,A,"Que el ministerio de salud garantice una salud de calidad, la atención en los centros públicos es muy precaria. Debe tener mayor autonomía y mayor protagonismo en las decisiones que se toman en el país en el ámbito de la salud."
11833,4,ministerio_de_salud,A,De dependencia del Estado con mayores recursos para cubrir las necesidades de los chilenos
12832,4,ministerio_de_salud,A,Que se dote los sistemas operativos se adapten a la demanda presente en la ruralidad y sistema de vida cultura.
12900,4,ministerio_de_salud,A,La Salud es un derecho fundamental para el desarrollo de las personas
13355,4,ministerio_de_salud,A,"Que sean profesionales con vocación de servicio a todos los ciudadanos, que hayan profesionales de distintas especialidades."
13435,4,ministerio_de_salud,A,"Proveer mayores recursos a los consultorios, que sean consultorios que tengan médicos especialistas y comprometidos con la vida de las personas, que cumplan su juramento de salvar vidas."
13642,4,ministerio_de_salud,A,ESTE PARA QUE RESGUARDE LA VIDA Y SALUD DE LAS PERSONAS
14499,4,ministerio_de_salud,A,"- Mejora e igualdad en la calidad de la salud  - Buen trato al paciente  - Qué el ministerio de salud cumpla con el Gobierno y los ciudadanos  - Qué se implementará una ley, para que los médicos recien egresados, cumplan con su país, y trabajen almenos cinco años en el servicio público."
14856,4,ministerio_de_salud,A,IGUALDAD DE OPORTUNIDADES Y ACCESO EN LOS CENTROS DE ATENCIÓN
