idEla,tema,concepto,acuerdo,fundamento
3,4,ministerio_público__defensoría_pública,A,"Para que haya justicia , se necesita sujetos profesionales que defiendan el estado de derecho."
33,4,ministerio_público__defensoría_pública,A,que se escojan por votación.
36,4,ministerio_público__defensoría_pública,A,"Ambas instituciones son importantes para acceder a la justicia de una manera igualitaria, por lo que el fortalecimiento en recursos, técnico, etc., permitiría una justicia eficaz y rápida con respeto a los derechos."
46,4,ministerio_público__defensoría_pública,A,"Ministerio Publico como organo encargado de las investigaciones penales, que garanticen la seguridad de la ciudadania."
61,4,ministerio_público__defensoría_pública,A,Debe tener una mayor potencia.
87,4,ministerio_público__defensoría_pública,A,Fiscalizacion rigida en cargos de representación pública y sobre todo aquellos en cargos de finanzas y pagos de impuestos
104,4,ministerio_público__defensoría_pública,A,Por la necesidad de contar con un sistema de justicia que proteja los derechos humanos buscando la verdad para ambas partes.
118,4,ministerio_público__defensoría_pública,A,Fiscales y defensores responsables
125,4,ministerio_público__defensoría_pública,A,"Defensoría penal pública de carácter autónoma, para asegurar un equilibrio en el sistema penal y un adecuado derecho a la defensa basado en los intereses de las personas  y no del Estado. Aplica también para defensa en temas de carácter civil."
129,4,ministerio_público__defensoría_pública,A,Por la necesidad de acceder en igualdad de condiciones a la justicia
138,4,ministerio_público__defensoría_pública,A,DEFENSA DE TODO CIUDADANO
140,4,ministerio_público__defensoría_pública,P,"Que la defensa de las personas sea más eficaz, y que el defensor público no tenga que ser licitado"
144,4,ministerio_público__defensoría_pública,A,Debe ser transparente y tratar a todos por igual
159,4,ministerio_público__defensoría_pública,A,que exista alguien que los pueda defender.
164,4,ministerio_público__defensoría_pública,D,El sentimiento de inseguridad de la sociedad en gran parte se debe a un mal funcionamiento de estas instituciones. Es importante hacerle los cambios necesarios para que puedan enfretar delincuentes del siglo XXI.
193,4,ministerio_público__defensoría_pública,A,No hay fundamentos más allá de la discusión.
198,4,ministerio_público__defensoría_pública,A,Ambos con mayor autonomía.
233,4,ministerio_público__defensoría_pública,A,.
244,4,ministerio_público__defensoría_pública,A,5 de 10 participantes dan prioridad a reforzar esta institución.
245,4,ministerio_público__defensoría_pública,P,Es importante porque ayudar a resolver los problemas de las personas.
256,4,ministerio_público__defensoría_pública,P,Esta institución es fundamental para dirigir las investigaciones de los hechos que constituyen delitos y debe ser independiente de otros poderes.
279,4,ministerio_público__defensoría_pública,A,PARA EL AGRESOR Y EL OFENDIDO. MAYOR SANCION PARA EL REINCIDENTE
283,4,ministerio_público__defensoría_pública,A,...
289,4,ministerio_público__defensoría_pública,A,reconocimiento a la función de persecución penal con pleno respeto de los derechos garantizados por la constitución. Nadie puede investigar hechos punibles.
299,4,ministerio_público__defensoría_pública,A,Defensa de derechos ciudadanos
338,4,ministerio_público__defensoría_pública,A,"Esta institución es fundamental, sin embargo la designación de sus autoridades debe ser entregada a la corte suprema y deben mejorarse los procedimientos para el desempeño de los funcionarios."
363,4,ministerio_público__defensoría_pública,A,Rebajas de sueldos de los ministros con ministros que provengan de la comunidad
374,4,ministerio_público__defensoría_pública,A,.
378,4,ministerio_público__defensoría_pública,A,Considerado por todos como una institución que debiese ser parte indiscutida mente de la nueva constitución
383,4,ministerio_público__defensoría_pública,A,Aseguran que todo ciudadano tenga derecho a un juicio justo y adecuada defensa.
387,4,ministerio_público__defensoría_pública,A,Que sea un ente independiente para poder funcionar de manera autonoma y tomar decisiones de acuerdo a las situaciones.
