idEla,tema,concepto,acuerdo,fundamento
20,1,multiculturalidad,A,Es una realidad que en el país hay diversas culturas. Deben todas tener reconocimiento.
36,1,multiculturalidad,A,Es fundamental la existencia y reconocimiento de diferentes culturas en el territorio nacional.
56,1,multiculturalidad,A,Porque y solo si las culturas de nuestro país se respetan podremos respetar las extranjeras.
67,1,multiculturalidad,A,"• No está asegurada en nuestro país. No se toma en cuenta la opinión de las diferentes culturas. • Al contrario, está amenazada, se nota en lo que vivimos • No se respetan los DDHH básicos de las personas en estos contextos, no vemos cómo vive el pueblo mapuche: condiciones de vida, trabajo, educac"
79,1,multiculturalidad,A,"Una constitución en Chile debe reconocer que somos de más de 1 origen, reconociendo pueblos indígenas de forma institucional defendiendo también sus derechos."
104,1,multiculturalidad,A,"Para aceptar y respetar a cada miembro del país, velando que tengan el espacio de desarrollar libremente su propia identidad cultural."
108,1,multiculturalidad,A,"debe garantizar la coexistencia de diversos grupos étnicos, sociales, culturales en nuestro territorio nacional pues ellos constituyen la riqueza y la diversidad de la diversidad de la cual está formado el pueblo chileno, es asi como la multiculturalidad se deben establecer como valores y principios en los que se fundamente la futura carta magna y más aun la Interculturalidad"
140,1,multiculturalidad,A,Reconocimiento y promoción en un trato igualitario en derechos y oportunidades
144,1,multiculturalidad,A,Debemos ser un país que incluya las diversidades culturales y étnicas.
169,1,multiculturalidad,A,UNANIMIDAD DE TODOS LOS PARTICIPANTES EN QUE ESTE PRINCIPIO DEBE SER PARA TODOS LOS PUEBLOS INDÍGENAS.
187,1,multiculturalidad,P,Debe ir con el plurinacionalismo para que se reconozcan y se les den derechos a todas las etnias.
244,1,multiculturalidad,A,6 de 10 participantes votaron por este concepto.
247,1,multiculturalidad,A,Es reconocer la diversidad y entender que uno está inserto y forma parte esa diversidad. Es la base de la integración y la inclusión. Además de reconocer las diferencias culturales de los pueblos indígenas deben considerarse el aporte cultural de culturas inmigrantes y de otros grupos o comunidades sociales.
253,1,multiculturalidad,A,Entender que una base de la democracia es el respeto por las diferentes culturas e identidades presentes en todas nuestras comunidades. El plurinacionalismo es una respuesta institucional que recoge los principios de la multiculturalidad.
281,1,multiculturalidad,P,"Respeto e incorporación de los pueblos originarios e integración de personas de culturas extranjeras. Acuerdo parcial pues se buscaría ampliar concepto, además, a subculturas urbanas, por ejemplo."
283,1,multiculturalidad,A,...
294,1,multiculturalidad,P,No existe claridad respecto de las implicancias y alcances de los conceptos Muti y Pluricultural. En lo que existe acuerdo es en que se debe resguardar los derechos de los pueblos originarios y migrantes y otros
318,1,multiculturalidad,A,Porque no queremos discriminación
335,1,multiculturalidad,A,El Estado chileno debe reconocer la autonomía de los pueblos indígenas junto con su consagración
337,1,multiculturalidad,A,Somos un país multicultural
353,1,multiculturalidad,A,"Inclucion de las diferentes culturas existentes ,hoy en nuestro país."
372,1,multiculturalidad,A,"Chile es un país cada día más diverso, sobretodo con la llegada de inmigrantes, pero los niveles de discriminación también son altos, esto debe cambiar. La constitución debe reconocer y valorar la multiculturalidad, asegurar mecanismos de respeto y valoración especial, no sólo pensando en ""etnias""."
374,1,multiculturalidad,A,"El estado debe reconocer la existencia y proteger la convivencia de diferentes grupos y culturas, sin menoscabo de una frente a la otra; valoración de las identidades y particularidades de cada uno por medio de la educación, el regreso de la tierra a los pueblos nativos."
386,1,multiculturalidad,A,"Es importante, ya que toda persona independiente de su cultura tiene algo que aportar desde diferentes puntos de vista y así poder unirse una cultura con otras."
392,1,multiculturalidad,A,"Es esencial el reconocimiento de Chile como un país multicultural por la gran variedad de culturas y etnias que coexisten en su territorio.  Las diversas  tendencias, creencias, orígenes, pueblos y nacionalidades, merecen el reconocimiento y respeto por parte de todos los conciudadanos."
404,1,multiculturalidad,A,"Las leyes consideran que Chile está compuestyo por múltiples etnias, las que tienen cosmovisiones y necesidades propias, las que deben reconocerse para que sus integrantes puedan desarrollarse plenamente."
405,1,multiculturalidad,A,"El valor que reconoce la convivencia pacífica entre personas de diferentes creencias y valores, entre personas que entienden que todos y cada uno de nosotros contribuimos con nuestras creencias a mejorar la calidad de vida de los otros."
419,1,multiculturalidad,A,"Respetar y valorar las culturas originarias, considerándolas como partes esenciales del país."
424,1,multiculturalidad,A,"Como todos son respetables, valoramos la diferencia"
441,1,multiculturalidad,A,Reconocer las culturas que existen en el país con los mismos derechos y respeto
462,1,multiculturalidad,A,"Reconocer a todos los Pueblos Originarios existentes, fomentar su idioma, cultura  y costumbres."
494,1,multiculturalidad,A,"Reconocemos cultural y políticamente las diversas culturas que habitan en Chile. En el centro de este principio se encuentra el deber de romper con las formas hegemónicas de imposición de una cultura sobre otra, dando paso al respeto por la diversidad cultural y el desenvolvimiento conforme a ..."
507,1,multiculturalidad,A,reconocer y valorar la existencia de diversidad cultural.
508,1,multiculturalidad,A,"El estado debe reconocer las múltiples culturas que existen dentro de nuestro país, es así como también el estado debe respetar y velar por la conservación de su patrimonio cultural, histórico, arquitectonico y natural propio de cada cultura."
528,1,multiculturalidad,A,"La nueva Constitución politica debe considerar la existencia y legado de los pueblos originarios, reconociéndolos como ciudadanos con acceso a todas las instituciones del Estado. También debe reconocer los aportes culturales traídos por los inmigrantes."
531,1,multiculturalidad,A,"todos los sectores culturales como sociales, religiosos etc, se deben incluir en su expresiones,merecen respeto y ser i integrados,porque Chile es muy diverso"
564,1,multiculturalidad,A,Es muy importante para la convivencia de las personas
583,1,multiculturalidad,P,Propiciar el dialogo entre grupos de personas que pertenecen a diferentes culturas y fortalecer el respeto a ellos.
616,1,multiculturalidad,A,"Multiculturalismo: dentro de un Estado conviven múltiples culturas que merecen reconocimiento, respeto y protección en la medida que respeten los derechos fundamentales del resto."
627,1,multiculturalidad,A,"El estado debe reconocer una sociedad multicultural donde se interrelacionen las distintas culturas, etnias, pueblos autodeterminados  como naciones y población migrante que habitan en el  territorio y garantiza a estos su derecho a autodeterminación ;  Este debe proteger el agua, el subsuelo, bos"
675,1,multiculturalidad,P,"Que los pueblos indígenas sean parte de la constitución, pero que no exista aprovechamiento de ellos."
693,1,multiculturalidad,A,Reconocer todas las formas de expresiones y costumbres culturales que existan en el país.
706,1,multiculturalidad,A,.
723,1,multiculturalidad,A,"Reconocimiento y respeto a la diversidad cultural, religiosa y de creencias, sexual y étnica"
737,1,multiculturalidad,A,"Un país como el nuestro donde descendemos de raíces indígenas, españolas y de inmigrantes, requiere cultivar el respeto,conservar y apoyar la identidad cultural que permita reconocernos y participar desde la perspectiva de las diferencias y particularidades hacia la globalidad cultural."
749,1,multiculturalidad,A,"en un pais largo y diverso se deben identificar las particularidades de cada cultura y enaltecer su reconocimiento , otorgándoles espacios de expresion"
797,1,multiculturalidad,A,Educación universal para todos. Mapuchezugun idioma oficial del Estado.
821,1,multiculturalidad,A,Todos los pueblos merecen equidad y actualmente se sienten desarraigados de la nación. Debe considerarse la interacción entre las comunidades.
837,1,multiculturalidad,A,El Estado debe respetar las distintas culturas y fomentar su desarrollo.
839,1,multiculturalidad,A,"base para identificarnos como chilenos, como parte de una comunidad que tiene historia. La constitución debe garantizar el respeto a los pueblos originarios y su autonomía."
867,1,multiculturalidad,A,respeto a todas las culturas e idiosincracias que exiten en el pais
897,1,multiculturalidad,A,"Buscar un preoyecto que integre la diversidad de etnia y/o culto al país que formamos, grantizando sus derechos y deberes"
904,1,multiculturalidad,A,"Todos los puntos fueron sometidos a votación, y los que aquí están seleccionados son aquellos que obtuvieron la mayoría."
905,1,multiculturalidad,A,El Estado reconoce y ampara las distintas culturas existentes a lo largo del territorio nacional.
953,1,multiculturalidad,A,"Se deben respetar todas las culturas que integren nuestro país, asegurándoles derechos, deberes y oportunidades."
959,1,multiculturalidad,A,No hay fundamento
1006,1,multiculturalidad,A,El estado chileno se debe reconocer como mestizo y multicultural
1050,1,multiculturalidad,P,"Relacionado con la Identidad cultural, independiente, no homogénea. Respeto a la cultura de cada comunidad o grupo(mapuche) y el reconocimiento a nivel nacional y validación y legitimidad.  Aceptación parcial porque compartimos el concepto de identidad cultural .  Reconocimiento de las com. indigenas"
1072,1,multiculturalidad,A,"en este punto subyacen los valores como el respeto, la tolerancia y la diversidad, y se refiere a la convivencia de un chile inclusivo con sus diferentes origenes"
1080,1,multiculturalidad,A,Debe atender en forma igualitaria a todas las identidades culturales que habitan y habitarán el territorio nacional.
1099,1,multiculturalidad,P,"se genera un debate entre este valor y el Estado plurinacional, sin embargo fue definido este valor como un esfuerzo por respetar y garantizar igualdad a todos los que integran el país, independiente de sus orígenes"
1101,1,multiculturalidad,A,Se debe respetar y valorar la herencia que nos han dejado los pueblos originarios y convivir con las culturas que hoy confluyen.
1123,1,multiculturalidad,A,"Visión conjunta de la chilenidad, que está integrada en diferentes identidades (pueblos originarios, inmigrantes, religión, identidades sexuales, entre otras)."
1129,1,multiculturalidad,P,Reconocemos que tenemos diferentes razgos culturales definidos por características geográficas. Se deben reconocer los pueblos originarios y garantizar su participación en decisiones políticas mediante cupo en el Congreso. Faltan políticas públicas migratorias.
1142,1,multiculturalidad,A,"Chile está compuestos por muchos pueblos y culturas, por lo mismo, debemos reconocerlos y respetarlos, que se les dé la importancia que merecen y su autodeterminación."
1153,1,multiculturalidad,A,"Hacer parte de la nación a los pueblos originarios y a los migrantes en todo su ser persona, ya sea con sus culturas y costumbres, haciendo que el país las respete y las haga parte de la idiosincrasia de las personas"
1168,1,multiculturalidad,A,"Reconocimiento de la existencia de diversas culturas, naciones y pueblos que componen nuestro territorio nacional, incluyendo además a la población migrante en materia de derechos y deberes. Considerando como horizonte un estado plurinacional"
1185,1,multiculturalidad,P,Los disidentes no le otorgan relevancia para que esté en la Constitución.
1197,1,multiculturalidad,A,"respeto al otro, al pueblo originario y a los demás.  Apropiarse del conocimiento. Auto-gobierno del pueblo originario. Salud y medicina. Inmigrantes."
1208,1,multiculturalidad,A,"reconocimiento constitucional a nuestros pueblos originarios, reconocimiento a las diferentes formas de vida ancestrales que existen en el país."
1225,1,multiculturalidad,A,Al interior de nuestro país existen diferentes etnias culturales
1228,1,multiculturalidad,A,Aceptar una nueva ciudadanía extranjera en sus derechos y obligaciones. No excluirla de la sociedad.
1265,1,multiculturalidad,A,Poniendo el acento en la importancia de Chile como nación de inmigrantes y los 9 pueblos originarios.
1303,1,multiculturalidad,A,que nos respetemos todas las culturas existentes en el país
1327,1,multiculturalidad,A,"Reconocimiento , protección, cuidado e inclusión de las culturas y pueblos originarios. Reconocer a los pueblos originarios como soberanos sobre su territorio."
1335,1,multiculturalidad,A,Garantizar el respeto y el reconocimiento de su cultura en sus distintos territorios.
1375,1,multiculturalidad,A,el estado debe reconocer la diversidad de las culturas poniendo equidad e igualdad para todos.
1397,1,multiculturalidad,A,Por constitución se reconozca a los pueblos originarios y el aporte de las distintas culturas existentes en el país.
1409,1,multiculturalidad,A,"Es importante hacerse responsable de cómo hoy se conforma el país, resguardando todas las culturas. Se relaciona con respeto y promoción pueblos originarios, como inmigrantes. También se relaciona con ESTADO LAICO para que haya espacios para distintas creencias y que ninguna esté sobre la otra."
1458,1,multiculturalidad,A,Porque se reconoce la diversidad de culturas.
1479,1,multiculturalidad,A,Entendiendo en este punto que es clave que se declare  un estado plurinacional reconociendo a los pueblos originarios avanzando hacia el respeto de su cultura y tradiciones.
1482,1,multiculturalidad,A,Hay que asumir que en chile no solo hay una cultura y que debemos respetarnos con nuestras diferencias
1494,1,multiculturalidad,P,"La base de una sociedad igualitaria, inclusiva y diversa, valorando el aporte de los pueblos originarios e inmigrantes en la construcción de nuestro patrimonio cultural, creando políticas públicas de conservación, respeto y transmisión generacional del mismo."
1501,1,multiculturalidad,A,Que el Estado reconozca y respete y apoye la existencia de las diferentes culturas existentes en el país.
1517,1,multiculturalidad,A,Reconocimiento y respeto de las distintas culturas que son parte de nuestro país.
1525,1,multiculturalidad,A,"debe reconocerse a Chile comoun pais conformado por una nacion multicultural e intercultural, estableciendo el deber del estado de promover la unidad nacional y cuidar la diversidad. Nuestra diferencias son fuente de riqueza. pero nonos hacen menos chilenos ni chilenos especiales."
1538,1,multiculturalidad,P,"Preferimos este concepto antes que multiculturalidad o plurinacionalismo, ya que nos parece más amplio y que apunta a la posibilidad de construir en conjunto desde las diferencias que tenemos."
1546,1,multiculturalidad,P,Entendemos que este valor debe estar incluido en la constitución como el respeto y valorización de los distintos conjuntos de creencias y costumbres de nuestros compatriotas; la constitución debe garantizar que las distintas culturas se desarrollen dentro de un marco regulatorio pertinente.
1555,1,multiculturalidad,A,Necesario en nuestro país y reconocer la realidad nacional.
1570,1,multiculturalidad,A,Todos somos chilenos
1577,1,multiculturalidad,P,"el estado debe garantizar la convivencia, integración e intercambio entre los diversos saberes de las culturas que viven en el territorio."
1585,1,multiculturalidad,A,"Hoy en día Chile no está concentrado solo en los chilenos, sino también en los extranjeros, hay que abrirlo para todos.-"
1612,1,multiculturalidad,A,"Reconocimiento, respeto por la existencia de las diferentes culturas dentro del estado chileno. Involucra a los valores de igualdad, dignidad, justicia."
1614,1,multiculturalidad,A,"La constitución tiene que reconocer y valorar que tenemos una diversidad de pueblos, identidades y culturas."
1620,1,multiculturalidad,A,"Reconocer que habitamos un país de diferentes etnias, reconocimiento constitucional a los pueblos originarios . La diversidad enriquece."
1630,1,multiculturalidad,A,LA NUEVA CONSTITUCIÓN TIENE QUE SER CAPAZ DE ACEPTAR Y DAR PROTECCIÓN A LAS DIVERSAS CORRIENTES CULTURALES QUE EXISTEN EN EL PAÍS.
1642,1,multiculturalidad,A,"CONSIDERAMOS EL RESPETO A LAS DIFERENTES ETNIAS Y GRUPOS CULTURALES DE NUESTRO PAÍS , TENIENDO ESPECIAL PREOCUPACIÓN POR MANTENER VIVAS SUS COSTUMBRES Y SU IDENTIDAD CULTURAL, PERMITIENDO ASI UNA CONVIVENCIA PACÍFICA ENTRE LAS DIVERSAS CULTURAS QUE CONFORMAN NUESTRA NACIÓN."
1647,1,multiculturalidad,A,Nos asumimos a priori como multiculturales. Debemos reconocernos también como multinacionales
