idEla,tema,concepto,acuerdo,fundamento
9,2,no_discriminación,A,"Igualdad en lo posible, aceptación social, horizontalidad en el trato social."
31,2,no_discriminación,A,ley zamudio
33,2,no_discriminación,A,"todo tipo de discriminación se penalizada, ya sea por raza, por orientación sexual, etc."
35,2,no_discriminación,A,"Hay realidades que son totalmente invisibilizadas. Implica que te reconozcan como persona independiente de tus condiciones sociales y fisicas, genero, orientación sexual, u otro, y que mereces mismo trato y mismos derechos. Ninguna institución, persona, particular o el estado te puede discriminar."
43,2,no_discriminación,A,Se debe enseñar respeto entre todos
48,2,no_discriminación,A,"Relacionado con la igualdad por el solo hecho de ser humanos. No discriminación arbitraria. Somos una sociedad diversa, y ello enriquece nuestra comunidad, por lo que discriminar genera quiebres y segregación social."
72,2,no_discriminación,A,"A las minorías, los niños, condiciones de pobreza, minorías sexuales, mujeres, ancianos etc. Acuerdo unánime"
85,2,no_discriminación,A,Siguiendo idea de valor o principio de igualdad de oportunidades una forma de hacerlo efectiva es estableciéndolo como derecho.
95,2,no_discriminación,A,Porque aplica a los distintos ámbitos de accesos
104,2,no_discriminación,A,"Debemos aprender a aceptar, no discriminar por el físico, o condición social de las personas"
117,2,no_discriminación,A,Va de la mano con la igualdad para todos.
147,2,no_discriminación,A,Considerar a los otros como iguales.
159,2,no_discriminación,A,"sector donde vive, social y fisica"
166,2,no_discriminación,A,"El estado debe ser unitario y descentralizado, reconociendo su diversidad, carácter multicultural y plurinacional."
176,2,no_discriminación,A,"El gobierno debe procurar una política de inclusión y diversidad en la educación, reforzando la identidad de un estado laico, que ofrezca espacios educativos diferenciados de calidad, con el propósito de mantener las libertades individuales de los grupos familiares."
177,2,no_discriminación,A,Debe garantizarse el que nadie sea discriminado por alguna característica en ningún ámbito de su vida.
193,2,no_discriminación,A,No hay fundamentos más allá de la discusión.
197,2,no_discriminación,A,"Derecho a la no distinción o exclusión o preferencia por motivo de raza, genero, origen o condición que afecte al goce completo de sus derechos fundamentales. Asegurar una mejor calidad de vida para todos sin discriminaciones de ningún tipo."
209,2,no_discriminación,A,"Este derecho va unido a lo anterior, ya que si existiera una igualdad de derechos, no habría discriminación. Nuestro ideal de sociedad es que no se discrimine  por ningún motivo (ni por ingresos económicos, raza, género, tramo de edad, entre otros)."
210,2,no_discriminación,A,"No discriminar a las personas por su condición física, religiosa, etc."
233,2,no_discriminación,P,.
236,2,no_discriminación,A,"DERECHO A NO SER DISCRIMINADO BAJO NINGUNA FORMA NI CIRCUNSTANCIA, PORQUE TODOS SOMOS IGUALES EN LIBERTAD Y SOBERANIA."
238,2,no_discriminación,A,"tratados todos por igual, no por ser viejo o tener menos educación o condicion social distinta, hay que ser tratados de forma diferente."
245,2,no_discriminación,A,"Las personas con discapacidades mentales o físicas deben tener atención especial, pero no por eso deben ser discriminados."
259,2,no_discriminación,A,"Dentro de una concepción valórica y moral, el Estado debe proveer una sana convivencia."
274,2,no_discriminación,A,"No hay que discriminar a nadie. Ni por sus creencias, ni por su situación económica. Ni por su pensamiento sexual."
280,2,no_discriminación,A,"No discriminar entre hombres y mujeres,no discriminar por nivel educacional,sexualidad y por niveles socio-económicos."
302,2,no_discriminación,A,"Todos tenemos derecho a igualdad de oportunidades, acceso, trato y respeto, sin importar nuestras características, condiciones, origen, raza o credo."
318,2,no_discriminación,A,Porque muchas veces por ser como somos nos discriminan.
327,2,no_discriminación,A,"Nadie puede discriminar a otros por condiciones que son ajenas a las personas.  Ejemplo: Orientación sexual, raza, condiciones físicas, etc."
386,2,no_discriminación,A,Es importante que forme parte de la constitución ya que es un derecho el cual nos hace personas sin distinción
408,2,no_discriminación,A,"Involucra a todos los ámbitos sociales (ideología, raza, extranjeros, religión, etc) todos somos iguales y nadie tiene el derecho sobre otra persona. El Estado se tiene que hacer responsable de los discapacitados y debe hacer algo para la no discriminación de estos (inversiones). Profundizar en la"
417,2,no_discriminación,A,"Todos deben ser tratados por igual, independiente de su origen socioeconómico, procedencia, religión, etc."
418,2,no_discriminación,D,"Se discute en extenso sobre este derecho redactado ""en negativo"", que resulta difícil de hacer operativo. Pensamos que en efecto es importante aludir a este concepto, pero en un marco de bien colectivo, equidad,  y respeto por los derechos de los otros no debiese existir discriminación arbitraria"
428,2,no_discriminación,A,Que no exista una discriminación para sus semejantes.
435,2,no_discriminación,A,Es un derecho tener igualdad de trato sin importar cualquier condición. Igualdad de derechos.
