idEla,tema,concepto,acuerdo,fundamento
9,1,participación_ciudadana,A,"Los ciudadanos del país, a través de la participación se funcionalizan y desarrollan para hacer avanzar el colectivo."
66,1,participación_ciudadana,A,Es un bien para el país que todos estemos de acuerdo.
77,1,participación_ciudadana,A,"Fue concebido por el grupo como un valor estrechamente ligado en su esencia con el de la Democracia, pues se valora la Participación como el modo de demostrar respeto por las decisiones de las mayorías.  Se concordó en que entendemos que este valor debe tener su base en la educación."
77,3,participación_ciudadana,A,Creemos que la Participación está en directa relación con todos los derechos y deberes y valores elegidos por este grupo. Sin ella es imposible lograr los anteriores.
108,1,participación_ciudadana,A,"debe estar presente como principio fundamental en la Constitución política de Chile, pues todas las personas deben estar conscientes de las decisiones del país y desde pequeños  se debe inculcar la participación en las escuelas como una responsabilidad ciudadana."
125,1,participación_ciudadana,A,"La constitución debe asegurar la participación de los ciudadanos, tanto en sus derechos, como en sus deberes."
125,3,participación_ciudadana,A,Ejercicio de las responsabilidades cívicas para involucrase en el devenir y decisiones del país. De la mano de este deber debe ir el del derecho a la participación lo cual involucra educación cívica e información oportuna y eficiente para ser parte de los procesos democráticos de forma activa.
139,3,participación_ciudadana,A,Todas las personas que forman parte del país deben participar en todos los procesos que tengan alcance en la vida de las mismas.
142,1,participación_ciudadana,A,"Es el estado y la constitución es llamado a promover la participación, para fomentar la ciudadanía, ya que, por ejemplo esta constitución actual no presenta mecanismos de participación a través de referendums y plebiscitos vinculantes."
189,1,participación_ciudadana,A,Inclusión de los ciudadanos en la generación y decisión de las  políticas públicas
197,3,participación_ciudadana,A,"Deber de participar en las áreas políticas, cívica y comunitaria."
209,1,participación_ciudadana,A,"En la actualidad existen muchas instancias de participación. Es algo fundamental, ya que se relaciona además con la libertad que cada ser humano tiene para expresarse y realizar las actividades que más le gustan. Al participar podemos dar a conocer nuestra opinión, intereses e ideologías."
221,1,participación_ciudadana,A,unanime Para una real democracia participativa e  involucramiento activo de los ciudadanos y  ciudadanas en aquellos procesos de toma de decisiones públicas que tienen repercusión en sus vidas.
238,3,participación_ciudadana,A,"Es el pilar fundamental para generar los principales cambios que el país necesita. Diferentes materias, voto, activismo político."
265,1,participación_ciudadana,A,"Que todas la comunidades y organizaciones deben participar como forma de desarrollo, la participación debe incorporarse en la toma de desiciones de manera vinculante y resultados concretos."
283,1,participación_ciudadana,A,...
289,1,participación_ciudadana,A,Las personas debemos conservar nuestro derecho a decidir sobre las materias que nos afectan.
291,3,participación_ciudadana,P,"Se debe consagrar el deber de participar en los procesos políticos y electorales, más allá de la obligatoriedad o no del voto. Cada vez que dejamos de involucrarnos en la política, estamos dejando el poder en manos de menos personas."
293,1,participación_ciudadana,A,"La generación de las políticas publicas a partir de la base ciudadana, a todo nivel, no solo voto."
