idEla,tema,concepto,acuerdo,fundamento
295,4,partidos_políticos,A,"Revisar rol, funciones, financiamiento, representatividad y legitimidad."
509,4,partidos_políticos,A,"Son agrupaciones necesarias; que deben someterse a la Constitución y a  las respectivas doctrinas  que les dieron origen, conforme a la leyes vigentes."
690,4,partidos_políticos,A,Necesarios para un régimen democrático
1308,4,partidos_políticos,A,profunda reestructuración que impida que sean capturados por poderosos y velen por el bien común
2052,4,partidos_políticos,A,"Institución fundamental de la democracia, que impide el caudillismo, y que debe ser regulado en su financiamiento."
2099,4,partidos_políticos,A,"Puente entre la ciudadanía y el estado. Fortalecer el rol de los partidos. Transparencia, autonomía, financiamiento público."
3036,4,partidos_políticos,A,"Es fundamental que nuestra Constitución incorpore normas que entreguen mandatos precisos para regular la actividad de los Partidos Políticos, sobretodo en el cumplimiento de sus funciones, la elección de cargos de representación popular y  fundamento para elección de autoridades políticas."
3156,4,partidos_políticos,A,El sistema está concebido en torno a la figura de los partidos políticos los cuales han mostrado conductas cercanas a la corrupción política por cuales se hace necesario replantear su rol y funcionamiento dentro del sistema.
5769,4,partidos_políticos,A,"Mayor control, transparencia y responsabilidad (accountability) de parte de sus miembros y ejercicio del cargo siresulta elegido. Garantizar participación y democracia interna."
5848,4,partidos_políticos,A,"promoción de los partidos políticos por parte del Estado, tanto en su financiamiento (que implique una auditoría o la posibilidad de consultar a través del Consejo de Transparencia por su funcionamiento)"
6318,4,partidos_políticos,A,"Sistema Público de Financiamiento. Fondo Especial, con aumento de impuestos, si es necesario. Se deben prohibir los aportes de empresas. No debe ser que los dueños de mayores recursos económicos manejen el financiamiento de la dirección política del país, que es lo que aspiran y hacen los partidos."
7373,4,partidos_políticos,A,"Que la Constitución establezca que hayan partidos políticos, los norme, y cumplan ciertos principios de transparencia, democracia, etc."
7772,4,partidos_políticos,A,Para que conozcan las necesidades verdaderas de los ciudadanos.
9441,4,partidos_políticos,A,Los padrones deben ser revisados y actualizados periódicamente.  En comunas y circunscripciones donde haya más de un candidato deben haber primarias obligatorias.   Regulación de financiamiento por parte del estado.
9621,4,partidos_políticos,A,Re inscribir militantes de todos los partidos y re formular su participación en la política
10253,4,partidos_políticos,A,"Instituciones democráticas, con registros actualizados periódicamente, transparentes, representativos, éticos y probos."
10691,4,partidos_políticos,A,Debe existir un sistema multipartidista que exprese las distintas visiones de sociedad y fomente la cultura política de la sociedad
11486,4,partidos_políticos,A,Financiamiento estatal de partidos políticos mediante un sistema único. Transparencia en ingresos y egresos. Determinación mediante la ley de presupuestos.
11674,4,partidos_políticos,A,"Debemos tener más control y los derechos y deberes. Se debe profundizar la ley de partidos políticos, para separar la política de los negocios. Democratizar, Fiscalizar."
13624,4,partidos_políticos,:Acuerdo Parcial,Partidos Políticos: Debiesen contar con financiamiento estatal y proporcional (en cuanto a la votación obtenida y/o las militancias registradas.
15153,4,partidos_políticos,A,Debe existir una reglamentación e institución que regule el funcionamiento de los partidos políticos.
