idEla,tema,concepto,acuerdo,fundamento
56,1,patriotismo,P,Debido a que a todos no les convence el concepto de patriotismo
95,1,patriotismo,D,"Patriotismo: que como ciudadanos no haya diferencia entre migrantes, pueblos indígenas, da lo mismo cuál sea la descendencia. Que seamos todos chilenos, y que las oportunidades se den en base a eso."
131,3,patriotismo,A,Chile lo vamos construyendo todos. Debemos defenderlo con el alma.
159,1,patriotismo,A,nacionalismo
213,1,patriotismo,D,Se rechaza la presencia de este concepto en la Constitución por estar familiarizado con conceptos como el nacionalismo.
801,1,patriotismo,A,En la Participación y la defensa de un chile más justo
1149,1,patriotismo,P,no hay respeto para nuestro himno nacional para nuestros chilenos
1313,1,patriotismo,A,Que la educción cívica se un derecho constitucional.-
1447,2,patriotismo,A,"RESPETAR  A NUESTROS  SIMBOLOS  PATRIOS Y CULTURALES  DE NUESTRA NACION, Y DIVERSIDAD CULTURAL."
1488,1,patriotismo,P,Respeto por los valores de la patria.
1502,1,patriotismo,A,Se reconoce la falta de patriotismo en los actos públicos.
1657,1,patriotismo,A,El amor a la Patria es un compromiso.
2086,1,patriotismo,D,"Las personas se deben sentir orgullosas del país donde nacen, sentirse identificado y respetar la patria."
2210,1,patriotismo,A,Es uno de los temas de mayor importancia en el presente cuestionario.  Amor a la patria y respeto a sus leyes.
2236,1,patriotismo,A,"Evitar el chovinismo. Para eliminar la discriminación hacia los pueblos originarios, reconociéndolos e incorporándolos y fomentar el aprecio por nuestra cultura desde la educación preescolar.  Evitar la discriminación hacia quienes manifiesten patriotismo."
2572,1,patriotismo,A,"El patriotismo es un pilar fundamental en la union de un pueblo. Por eso, nuestra constitución debe fomentar ello."
2577,1,patriotismo,A,Ley de inclusión para pueblos originarios
2839,1,patriotismo,A,Protección de la Patria
3204,1,patriotismo,A,Pérdida de los valores patrios.
3403,1,patriotismo,D,"Algunos de los integrantes de nuestro grupo piensan que es importante amar al pais, sus costumbres y sus personas, sin embargo, otros no lo encontraron del todo necesario."
3725,1,patriotismo,A,"Querer nuestro país, cada uno es constructor de nuestras realidades independiente del origen."
3878,1,patriotismo,A,Sentido de identidad por nuestra patria.
4080,1,patriotismo,A,acuerdo unanime
4105,1,patriotismo,A,.
4130,1,patriotismo,A,Valorar la cultura e idiosincrasia del chileno.
4275,1,patriotismo,A,"Se entabla la discusión a partir de la necesidad de poder re significar nuestros valores como sociedad. Para el grupo de discusión es indispensable poder discutir y poder definir nuestra identidad cultural, a partir de nuestras tradiciones populares y no de la cultura impuesta por un sector reducido de nuestro país."
