idEla,tema,concepto,acuerdo,fundamento
67,1,paz_convivencia_pacífica,A,"• Situaciones de mucha violencia, en lo cotidiano: femicidios, balazos en nuestras poblaciones, narcotráfico, enfrentamientos entre carabineros y estudiantes, represión por parte de distintos grupos de poder… Nadie merece vivir así. • Nos preguntamos por las raíces de la violencia, que se manifiest"
126,1,paz_convivencia_pacífica,A,LA PAZ SOCIAL GARANTIZA EL DESARROLLO TRANQUILO Y SEGURO DE LA SOCIEDAD.
130,1,paz_convivencia_pacífica,A,"Vivir en tranquilidad, evitar conflictos bélicos dentro y fuera del territorio, promover el diálogo en la resolución de conflictos."
162,1,paz_convivencia_pacífica,A,Vivir tranquilos para que las personas puedan tener un desarrollo grato en todas las áreas de su incumbencia .
214,1,paz_convivencia_pacífica,A,Resolver los problemas de manera pacifica y sobre todo con respeto entre la comunidad y las diferentes instituciones que conforman al estado.
226,1,paz_convivencia_pacífica,A,Si hubiera paz y las cosas se conversaran y resolvieran de manera pacífica sería todo tan distinto. También con esto habría seguridad.
274,1,paz_convivencia_pacífica,A,"Las peleas, los conflictos nos perjudican a todos. Se vive asustado cuando no hay Paz."
295,1,paz_convivencia_pacífica,A,"Promoción de una convivencia pacífica y ármonica entre las distintas personas, grupos, visiones e intereres."
297,1,paz_convivencia_pacífica,A,"Todas las personas tienen el derecho y deber  de vivir en un estado que garantice la seguridad individual, la unidad nacional y la paz social, condenando y sancionando cualquier forma de violencia, delincuencia y terrorismo"
310,1,paz_convivencia_pacífica,A,es un valor que se considera ausente dentro de la sociedad actual.
312,1,paz_convivencia_pacífica,A,Evitar l violencia EXISTENTE. eL eSTADO DEBE GARANTIZAR LA ESTABILIDAD SOCIAL Y LA paz.
318,1,paz_convivencia_pacífica,A,Porque no queremos guerra
412,1,paz_convivencia_pacífica,P,"Asegurar la vida en condiciones pacíficas, donde todas las personas puedan desarrollarse en sus ámbitos emocionales, espirituales y sociales. Diferenciamos paz de pasividad y de evitar conflictos. Las instituciones actúan en función de asegurar la paz."
426,1,paz_convivencia_pacífica,A,Porque es la forma de Estado en el que queremos vivir en uno donde exista respeto a la diversidad y mecanismos pacíficos de resolución de conflictos reservando el uso de la fuerza cuando no haya otro camino posible.
435,1,paz_convivencia_pacífica,A,Se refiere a la forma de convivir como ciudadanos.
450,1,paz_convivencia_pacífica,A,Que no haya guerra
465,1,paz_convivencia_pacífica,A,REQUERIMOS DE UNA SOCIEDAD ARMÓNICA QUE DEBE INICIARSE DESDE NIÑOS. IMPORTANTE EL ROL DE LA EDUCACIÓN.
476,1,paz_convivencia_pacífica,A,igualdad de dewrechos y mejoras para el bien comun del pais
502,1,paz_convivencia_pacífica,A,Sin paz no hay avance
521,1,paz_convivencia_pacífica,A,Base para la Convivencia Social.
552,1,paz_convivencia_pacífica,A,"Como ciudadanos, consideramos que nuestro país debiese estar sustentado en la paz y el Estado considerar que todos debemos tener la paz como sustento social, con esto se evitaría situaciones de violencia que nos afectan diariamente."
571,1,paz_convivencia_pacífica,A,"Es deber central del Estado resguardar la seguridad individual, la unidad nacional y la paz social. Si no podemos ejercer la auto defensa, es precisamente por el hecho que el Estado asume ese deber."
583,1,paz_convivencia_pacífica,P,"Porque creemos que es un valor que engloba otros principios como tolerancia, respeto, entre otros."
673,1,paz_convivencia_pacífica,P,"Con principios democráticos claros, por el bien común de la comunidad."
676,1,paz_convivencia_pacífica,A,"Como principio básico, esta NO debe imponerse; se debe escuchar las distintas posiciones"
682,1,paz_convivencia_pacífica,A,"Vivir juntos con respeto entre los distintos individuos y grupos, con integración y libres de discriminación."
690,1,paz_convivencia_pacífica,P,Fundamental para el desarrollo del país
764,1,paz_convivencia_pacífica,A,"Genera bienestar en la sociedad, va de la mano con la amistad cívica y produce una sociedad que cumple sus metas a futuro."
805,1,paz_convivencia_pacífica,A,PERMITE LA ARMONÍA DENTRO DE LA CIUDADANIA
828,1,paz_convivencia_pacífica,A,"PROCURAR MANTENER LA ARMONÍA Y EL DIÁLOGO. NO GENERAR CONFLICTOS, DEBIDO A PRIVILEGÍOS ECONÓMICOS (CONFLICTO MAPUCHE)."
880,1,paz_convivencia_pacífica,A,Para buscar la convivencia armónica en nuestra sociedad.
883,1,paz_convivencia_pacífica,A,Para que no haya guerra.
906,1,paz_convivencia_pacífica,A,Es un derecho humano el tener acceso y vivir una vida tranquila no interrumpida por situaciones beligerantes ni odiocidades innnecesarias.
925,1,paz_convivencia_pacífica,A,NECESARIA PARA LA CONVIVENCIA. VALORAR LA NO VIOLENCIA PARA LA CONSECUCIÓN DE LA SEGURIDAD.
939,1,paz_convivencia_pacífica,A,Es la opción constructiva  para la resolución de conflictos y el compromiso con evitar la violencia. La base para una convivencia pacífica.
956,1,paz_convivencia_pacífica,A,"QUE PODEMOS CONVIVIR EN ARMONÍA Y UNIDAD TODOS LOS CIUDADANOS DEL PAÍS, PERMITIENDO A LOS CIUDADANOS EXPRESAR SUS DIFERENCIAS CON RESPETO."
998,1,paz_convivencia_pacífica,A,"Promover el espacio para la paz, de modo tal que los problemas de la sociedad se solucionen por esta vía"
1029,1,paz_convivencia_pacífica,D,"RELACIONADO CON EL CONCEPTO DE CONVIVENCIA, SI HAY JUSTICIA HAY PAZ, PAZ POR IGUALDAD, GARANTIZAR EL BIEN COMUN, INCLUIR A LA FAMILIA, PAZ CIUDADANA Y AUTORIDADES"
1036,1,paz_convivencia_pacífica,A,Garantizar la paz pemitira una sana convivencia entre las personas que integran una sociedad
1057,1,paz_convivencia_pacífica,A,basado en el respeto y la tolerancia
1070,1,paz_convivencia_pacífica,A,tener relaciones sociales interpersonales constructivas y pacificas
1075,1,paz_convivencia_pacífica,A,"No hay paz, ni convivencia, tranquilidad cada dia menos y no hay comunicación"
