idEla,tema,concepto,acuerdo,fundamento
3,4,plebiscitos__referendos_y_consultas,A,Para ejercer nuestros derechos ante las autoridades
8,4,plebiscitos__referendos_y_consultas,A,nos parece relevante discutir la presencia de estos mecanismos en la constitución por ser instancias de participación directa y por ende de legitimación de la opinión de los ciudadanos desde el nivel local y nacional.
9,4,plebiscitos__referendos_y_consultas,A,"Instancias obligatorias que los presidentes de la república deben promocionar para que determinadas decisiones transversales sean tomadas por la ciudadanía en pleno, no sólo en 4 paredes."
12,4,plebiscitos__referendos_y_consultas,A,Esto importante al momento de tomar decisiones en torno a una problemática de interés masivo.
13,4,plebiscitos__referendos_y_consultas,A,La soberanía debe radicarse en el pueblo; democracia participativa de decisiones importantes.
14,4,plebiscitos__referendos_y_consultas,A,Que exista mayor participación de los ciudadanos en la toma de decisiones.
16,4,plebiscitos__referendos_y_consultas,A,Debe entregar las herramientas para el correcto desarrollo de las actividades constitucionales.
19,4,plebiscitos__referendos_y_consultas,A,Relevar instancias que permitan que la ciudadanía exprese su opinión de acuerdo a la importancia de temas sociales.
31,4,plebiscitos__referendos_y_consultas,A,nos llama al sentir del pueblo
33,4,plebiscitos__referendos_y_consultas,A,"Herramienta para el pueblo, que les permita dar a conocer sus opiniones y puedan tomar decisiones."
35,4,plebiscitos__referendos_y_consultas,A,Que puedan ser convocadas por un conjunto de personas (no necesariamente representantes) y que puedan ser vinculantes. Establecer dentro de la constitución un catalogo no taxativo de temáticas obligatorias que requieran consulta.
36,4,plebiscitos__referendos_y_consultas,A,"La soberanía reside esencialmente en la nación, por lo que estos instrumentos son los medios más idóneos para que el pueblo se pronuncie acerca de lo que es lo que quiere o desea."
43,4,plebiscitos__referendos_y_consultas,A,Una nueva reforma se necesita
46,4,plebiscitos__referendos_y_consultas,A,La ciudadania debe estar más involucrada de las decisiones politicas.
48,4,plebiscitos__referendos_y_consultas,A,Que sean obligatorios y vinculantes cuando sean temas controvertidos o en que haya gran debate. Asamblea Constituyente.
54,4,plebiscitos__referendos_y_consultas,A,Es fundamental para nosotros y que nos hagan participe de la toma de decisiones para nuestro país.
55,4,plebiscitos__referendos_y_consultas,A,Sin comentarios
59,4,plebiscitos__referendos_y_consultas,A,"Son una forma de participación donde la ciudadanía se empodera, participa y es protagonista."
61,4,plebiscitos__referendos_y_consultas,A,"Lograr grandes adelantos, para la toma de decisiones."
63,4,plebiscitos__referendos_y_consultas,A,Asegura la democracia en las decisiones.
65,4,plebiscitos__referendos_y_consultas,A,que temas importantes del pais puedan ser consultados a kas ciudadania a traves de plebiscitos o consultas
66,4,plebiscitos__referendos_y_consultas,A,"Va de la mano con la reforma, en el sentido de que es la causa para que se produzca el efecto. La reforma."
68,4,plebiscitos__referendos_y_consultas,P,Son necesarios para definir  de una manera democrática y más rápida y efectiva el parecer del pueblo ante algún asunto que lo amerite.
74,4,plebiscitos__referendos_y_consultas,A,- Necesario para legitimar decisiones que superan al poder legislativo. - Constituye balance de poder entre el Estado y los ciudadanos.
75,4,plebiscitos__referendos_y_consultas,A,"Vinculantes a nivel comunal, regional, nacional."
76,4,plebiscitos__referendos_y_consultas,A,vinculantes en toma de desiciones.
77,4,plebiscitos__referendos_y_consultas,A,"Entendida como la opción de dejar en manos de la ciudadanía la decisión de temas fundamentales para el país, como la posibilidad de realizar asambleas constituyentes o utilizar plataformas tecnológicas para realizar consultas a la ciudadanía."
78,4,plebiscitos__referendos_y_consultas,A,Que los temas país sean consultados al pueblo.
79,4,plebiscitos__referendos_y_consultas,P,"En necesario para quienes gobiernan, conocer la sociedad, mediante la consulta ciudadana, consulta hacia las bases."
80,4,plebiscitos__referendos_y_consultas,A,xxxxxxxxxxx
81,4,plebiscitos__referendos_y_consultas,A,"Que sea vinculante y con el mismo valor que los siguientes poderes del Estado (los que se nombran mas abajo en el acta escrita: Legislativo, Ejecutivo y Judicial)"
82,4,plebiscitos__referendos_y_consultas,A,Fomenta la participación e informa sobre las necesidades de las personas y sus intereses.
85,4,plebiscitos__referendos_y_consultas,A,Excelente herramienta para tomar decisiones a partir de vías de participación Real.
87,4,plebiscitos__referendos_y_consultas,A,Que la constitución contemple los plebiscitos de consultas a los ciudadanos sobre los proyectos de ley
91,4,plebiscitos__referendos_y_consultas,A,se debe integrar de forma activa a la ciudadanía en las decisiones de los grandes temas y debates del país.-
94,4,plebiscitos__referendos_y_consultas,A,Escuchar y hacer representativa la participación soberana del pueblo o nación
95,4,plebiscitos__referendos_y_consultas,P,Herramientas de participación ciudadana
96,4,plebiscitos__referendos_y_consultas,A,Debe ser vinculante
98,4,plebiscitos__referendos_y_consultas,A,Estos sistemas aseguran la participación ciudadana en la toma de decisiones.
101,4,plebiscitos__referendos_y_consultas,A,Están asociados al valor de democracia participativa. Son un mecanismo de consulta que debe ser vinculante.
104,4,plebiscitos__referendos_y_consultas,A,"El pueblo, la ciudadanía, tiene que formar parte de la toma de decisiones que se realizan en el país."
108,4,plebiscitos__referendos_y_consultas,A,participación real y efectiva en todos los niveles de decisión derechos de revocación de autoridades
112,4,plebiscitos__referendos_y_consultas,A,"PLENA COINCIDENCIA EN QUE, A MAYOR CONSULTAS CIUDADANAS VINCULANTES, MÁS DEMOCRACIA Y MÁS EFICIENCIA EN LA FORMULACIÓN DE PROGRAMAS/POLÍTICA PÚBLICA Y DECISIONES"
114,4,plebiscitos__referendos_y_consultas,A,Para que hayan más mecanismos de participación democrática.
124,4,plebiscitos__referendos_y_consultas,A,.
125,4,plebiscitos__referendos_y_consultas,A,"Concita uno de los mayores apoyos, como medio de ser parte de las decisiones del país y ejercer el deber de participación."
129,4,plebiscitos__referendos_y_consultas,A,Por la necesidad de participación de las acciones institucionales
133,4,plebiscitos__referendos_y_consultas,A,el estado debe tomar en cuenta la opinión de las personas y legitimarlas
136,4,plebiscitos__referendos_y_consultas,A,Se requiere que existan canales de participación para recoger la opinión de los ciudadanos de manera directa. Deben ser vinculantes.
140,4,plebiscitos__referendos_y_consultas,A,"Dar legitimidad, y hacer efectiva la participación ciudadana, y que tenga carácter vinculante tanto para decisiones locales como nacionales"
142,4,plebiscitos__referendos_y_consultas,A,"La idea de la permanente posibilidad de adaptarse a los cambios sociales y culturales que se van enfrentando, aceptar el dinamismo y que existan mecanismos para poder ir modificando sus prácticas, lo que permite mayor involucramiento y participación a nivel local y nacional."
143,4,plebiscitos__referendos_y_consultas,A,"Ausentes en los últimos 25 años, instalando el concepto de la democracia delegada (sistema binominal), alienación entre ciudadano y política. Consecuencia = clase política “se siente intocable”. Se tiene que preguntar a la base por las decisiones"
144,4,plebiscitos__referendos_y_consultas,A,"Instancias como estas al pueblo son fundamentales, las leyes deben ser consultadas al pueblo para que no tengamos un transantiago 2, etc."
147,4,plebiscitos__referendos_y_consultas,A,Nos permite expresarnos en democracia .
148,4,plebiscitos__referendos_y_consultas,A,"LA ASAMBLEA CONSTITUYENTE ES LA UNICA HERRAMIENTA PARA LA NUEVA CONSTITUCION EN CHILE Y DEBE CONTEMPLAR MECANISMOS DE CONSULTA COMO EL PLEBISCITO, REVOCATORIA, REFERENDUN VINCULANTES."
153,4,plebiscitos__referendos_y_consultas,A,"Debemos utilizar todos estos comicios para que cada cierto tiempo se modernicen tanto normas como la constitución, en forma mas democratica"
154,4,plebiscitos__referendos_y_consultas,A,"Se contempla cambio constitucional a través de opciones tales como asamblea constituyente o congreso bicameral. También otros procesos consultivos relevantes a nivel nacional, regional y local."
156,4,plebiscitos__referendos_y_consultas,A,Considerar la consulta como opción democrática.
158,4,plebiscitos__referendos_y_consultas,A,Como ciudadanos ejercer nuestro derecho a participar. El proceso participativo debe ser desde la ciudadanía.
159,4,plebiscitos__referendos_y_consultas,A,opiniones del pueblo.
161,4,plebiscitos__referendos_y_consultas,A,"Es necesario quizás contemplar los plebiscitos, referendos y consultas como instancias de la representatividad democrática nacional."
164,4,plebiscitos__referendos_y_consultas,A,Es de gran importancia poder contar con procesos definidos que le permita a la ciudadanía participar y tener el poder de decisión sobre las propias leyes y políticas públicas.
165,4,plebiscitos__referendos_y_consultas,A,Herramienta que permita revisar materias vinculadas a los derechos de la ciudadanía.
168,4,plebiscitos__referendos_y_consultas,A,Consideramos necesario que existan mecanismos de expresión ciudadana VINCULANTES y que puedan ser AUTO CONVOCADOS por los mismos ciudadanos.
169,4,plebiscitos__referendos_y_consultas,A,PARA LA FIRMA DE ACUERDOS INTERNACIONALES Y PARA REFORMAR CONSTITUCIÓN.
170,4,plebiscitos__referendos_y_consultas,A,"Es importante que se discuta la inclusión ciudadana, y en especial que hayan canales de participación continua."
171,4,plebiscitos__referendos_y_consultas,A,mientras mas posibilidades de decidir tenga el pueblo en las cosas importantes mejor.
176,4,plebiscitos__referendos_y_consultas,A,"Resulta fundamental que todos podamos decidir de igual manera cual será nuestra constitución, pues no solo es importante lo que dice el texto de ésta, sino que también la manera en que se llevó el proceso en que se redactó. El que todos podamos formar parte me le da validez."
177,4,plebiscitos__referendos_y_consultas,A,"Hay acuerdo en que deben existir estas instancias. Se acuerda agregar ""proyectos de ley ciudadanos"""
181,4,plebiscitos__referendos_y_consultas,A,Todos de acuerdo
187,4,plebiscitos__referendos_y_consultas,A,Se debe exigir mayor participación y que pueda decidir la nación en temas fundamentales.
189,4,plebiscitos__referendos_y_consultas,A,Las personas tienen el derecho de exigir mecanismos intermedios durante el período inter-elecciones para corroborar o rechazar propuestas del gobierno que afecten intensamente la convivencia del país.
197,4,plebiscitos__referendos_y_consultas,A,mecanismo de democracia que tiene por finalidad someter a consideración del país acciones o decisiones importantes antes de ser ejecutadas.
198,4,plebiscitos__referendos_y_consultas,A,Generan mayores grados de participación.
200,4,plebiscitos__referendos_y_consultas,A,Se solicita agregar procesos revocatorios de mandatos de las autoridades.
205,4,plebiscitos__referendos_y_consultas,A,"- Se deben contemplar mecanismos de participación directa, tanto nacional, regional, provincial y comunal.  - Contemplar el mecanismo del plebiscito en materias sensibles e importantes para la nación toda o el país"
206,4,plebiscitos__referendos_y_consultas,A,Principio basico de una verdadera democracia
207,4,plebiscitos__referendos_y_consultas,A,"La soberanía recae únicamente en los ciudadanos, por lo que el plebiscito es la herramienta más eficaz para dirimir conflictos políticos, revocar el mandato de las autoridades electas democráticamente y orientar las políticas públicas"
213,4,plebiscitos__referendos_y_consultas,A,No están institucionalizados como herramientas que permitan cambios más concreto.
214,4,plebiscitos__referendos_y_consultas,A,Para permitir que la ciudadanía se manifieste.
226,4,plebiscitos__referendos_y_consultas,A,Porque es la única forma de lograr una reestructuración a la constitución  de una forma democrática que intervengan todos los ciudadanos.
