idEla,tema,concepto,acuerdo,fundamento
17,1,pluralismo,A,"Respetar todas las diferentes cultural, religiones, opiniones, etc. Aceptar a todos y así vivir en un país libre y en base a respeto"
48,1,pluralismo,A,"En el entendido que todos tenemos distintas realidades, concepciones de vida, por lo que nadie puede imponer alguna forma de actuar, pensar, vestirse."
82,1,pluralismo,A,Reconocimiento de la Sociedad y de todas sus diferencias.
247,1,pluralismo,A,"Una convivencia pacífica y armoniosa requiere del reconocimiento de las diferencias sociales, económicas, religiosas, de género, edad, nacionalidad, gustos, ideas, intereses, preferencias e identidades entre sujetos y grupos sociales. La aceptación del pluralismo significa el respeto a la libertad de expresión y la existencia de una voluntad transversal para resolver diferencias mediante métodos acordados."
507,1,pluralismo,A,dar cabida a todas las expresiones socio-culturales.
526,1,pluralismo,A,Por el reconocimiento de la diversidad cultural y los pueblos originarios.(.)
702,1,pluralismo,A,"En tanto diversos, debemos  incentivar que el pluralismo se promueva y se asegure."
764,1,pluralismo,A,Favorece Integración de la sociedad que hace de la participación ciudadana una herramienta para una sociedad justa.
916,1,pluralismo,A,"Creemos en la pluralidad como el respeto a la diversidad, reconociéndonos como iguales dentro de nuestras diferencias (personales, étnicas, culturales, sociales). Se debe fortalecer la integración de los habitantes de nuestro territorio, y se debe poner especial atención en la equidad de género."
980,1,pluralismo,A,Es el derecho de opinar diferente
1005,1,pluralismo,P,El Estado debe garantizar la participación e integración de todos los individuos
1041,1,pluralismo,A,• Respeto por la diversidad • Inclusión • Valorar las diferencias • Equidad
1127,1,pluralismo,A,Reforzado por el concepto de respeto hacia todos los grupos.
1219,1,pluralismo,A,Reconocimiento de las diversas naciones o pueblos dentro de un mismo Estado.  Se refiere a la existencia de múltiples comunidades políticas naciones  dentro de un mismo marco institucional.
1463,1,pluralismo,A,"Permitir la diversidad de opiniones, de etnia, de participación, de identidad cultural, el libre desarrollo de la personalidad, libertad sexual, desarrollo a un proyecto de vida individual etc."
1479,1,pluralismo,A,Entendido como el concepto básico que debe incluir la tolerancia de ideas en la sociedad actual
1568,1,pluralismo,P,Se debe generar integración. No se debe olvidar a las regiones.
1631,1,pluralismo,A,Conservar el derecho a opinar con respeto a todas las ideas.
1694,1,pluralismo,A,"Diversidad, Tolerancia, Respeto e Inclusión. Todos estos conceptos deben ser incluidos en la constitución."
1771,1,pluralismo,A,septima prioridad. incluye multiculturalidad
2034,1,pluralismo,A,"Creemos que el estado debe reconocer la multiculturalidad y la  diversidad, para construir una sociedad que vivan en el marco de la tolerancia y la paz."
2050,1,pluralismo,A,Encuentro afectuoso para todos. Engloba más de un valor.
2080,1,pluralismo,A,para todos
2086,1,pluralismo,A,El pluralismo incluye a todas las personas.
2172,1,pluralismo,A,Integración de todas las culturas.
2206,1,pluralismo,A,las distintas instituciones deben de asegurar la representatividad y participación de todos los sectores.
2268,1,pluralismo,D,Busca realizar el igual reconocimiento a las distintas formas de vida. Es una condición previa y esencial del sistema.
2408,1,pluralismo,A,"Representado en todos los ámbitos, tales como: política, social medios de comunicación, etc.."
2515,1,pluralismo,A,El respeto a la dignidad a pesar de cualquier tipo de diferencia
2516,1,pluralismo,A,Una sociedad pluralista es la base de una constitución respetuosa de la diversidad del país que termine con la discriminación.
2521,1,pluralismo,A,"Entendido como el reconocimiento de proyectos individuales y colectivos distintos a los propios, acotado a la vida en comunidad."
2594,1,pluralismo,P,"Creemos que es un principio que debe asegurarse en la Constitución, pero debe dejar afuera a grupos como Neonazis o Colonia Dignidad que se puedan constituir a partir de una idea de nación Los límites tienen que ver con las culturas ancestrales Los límites tienen que ver con la idea de futuro"
2670,1,pluralismo,A,"aceptar, reconocer y tolerar la existencia de diferentes posiciones y pensamientos."
2743,1,pluralismo,A,Respetar las ideas ajenas nos permite enriquecernos como sociedad
2774,1,pluralismo,A,"El reconocimiento de diferentes etnias en nuestro territorio deben ser respetadas por igual, ahondando más en nuestra democracia."
2940,1,pluralismo,A,Que asegure descentralización política y garantice el derecho a la autonomía de los pueblos y las naciones.
3217,1,pluralismo,A,Respeto a las ideas del otro y considerarlo como un legitimo otro.
3231,1,pluralismo,A,Básico y muy necesario para educar el respeto a la diferencia y la no discriminación.
3261,1,pluralismo,A,porque no tiene que haber problemas por su religión
3426,1,pluralismo,A,Reconocimiento e igualdad de derechos  de todas las etnias y culturas.
3457,1,pluralismo,A,es necesario que no todos pensemos igual se deben acoger todas las posturas e ideologías o movimientos
3508,1,pluralismo,A,Principio fundamental de tolerancia y respeto de opiniones que vivan vinculadas e incluidas en la nación
3592,1,pluralismo,A,Es importante para garantizar la participación  independiente de la situación económica.
3748,1,pluralismo,A,Incluyendo el valor de la diversidad.
3765,1,pluralismo,P,"El reconocimiento de las diferencias en general. El estado acoge y defiende las diferencias sociales, económicas y religiosas."
4105,1,pluralismo,A,.
4460,1,pluralismo,P,"La mayoría  valora  necesario el reconocimiento  jurídico  del Estado a pueblos  originarios , que  no existe  en Chile. El  Estado  está en deuda  con este   grupo que tiene territorio, lengua y cultura y quiere ser respetado como tal. La minoría  lo considera un concepto difícil de comprender."
4582,1,pluralismo,A,"Permite la coexistencia pacífica de los distintos intereses en una sociedad. Comprende el respeto por las distintas formas de ver el mundo, la multiculturalidad, tolerancia, inclusión y diversidad."
4622,1,pluralismo,A,"Reconocer y respetar la diversidad racial, social, de género, sexual, étnica."
4629,1,pluralismo,A,Principio que garantiza el no ser excluido y nos da señales de participación en todos los ámbitos.
4775,1,pluralismo,A,"Es importante este concepto ya que Chile es una sociedad que se formó por una unión de diversos pueblos, y que en el curso de la historia se ha intentado colonizar  y es por esto que esta constitución debe aceptar que en Chile existen diversas naciones que son des legitimadas como nación."
4837,1,pluralismo,P,"Asegurar reconocimiento, participación y representatividad de las etnias originarias."
4908,1,pluralismo,A,SE ESPERA QUE SEA UN GOBIERNO PLURALISTA DONDE TODOS PUEDAN TOMAR DECISIONES.
5199,1,pluralismo,A,"reconocer y respetar otras naciones  o pueblos, autonomía, convivencia pacifica, tolerancia y diversidad"
5205,1,pluralismo,P,El Estado y la Iglesia deben hacerse responsables de la reivindicación de las diversas culturas
5217,1,pluralismo,A,La pluralidad nos enriquece como sociedad
5238,1,pluralismo,A,"queremos que se reconozca como nación a nuestros pueblos originarios y se respeten sus creencias y se garantice una convivencia pacifica e igualitaria entre pueblos, naciones, etc. en un mismo estado"
5240,1,pluralismo,A,"Reconocimiento de las diversas naciones que conviven en un Estado: mapuche, rapa nui, atmara, etc."
5311,1,pluralismo,A,"Contrarresta la idea de lo unitario, Chile es uno, un tipo de nación, una persona.  Como principio Diferencias de género Género como una construcción."
5323,1,pluralismo,A,como aceptación absoluta de las legitimas diferencias que existen en la ciudadanía.
5423,1,pluralismo,A,"Entendido como un concepto más amplio que el de tolerancia, pues permite dar espacio a las diversas miradas existentes en una sociedad, en un sentido verdaderamente inclusivo."
5483,1,pluralismo,A,"asegurar una convivencia en donde todos participen, más que una multiculturalidad, cuidando las políticas de inmigración y tolerancia."
5522,1,pluralismo,A,"Lo que conlleva multiculturalidad, diversidad y tolerancia entre los ciudadanos."
5643,1,pluralismo,A,"reconocimiento pleno de los pueblos originarios, otorgándoles autonomía y autodeterminación, reconociendo su derecho originaio y jurisdicción para resolución de controversias."
5803,1,pluralismo,A,"La aceptación de las etnias , reconocer a los Mapuches como pueblo independiente"
5805,1,pluralismo,A,"GARANTICE Y VALORE LA COEXISTENCIA PACIFICA DE LOS DISTINTOS INTERESES, ESTILOS DE VIDA, CULTURAS, GENERO, RELIGION, Y RAZA DE TODOS LOS SERES HUMANOS, CONFORME A SUS DIFERENCIAS Y PARTICULARIDADES."
5882,1,pluralismo,A,"Que se respeten las distintas culturas y etnias que existen en Chile, se le de la importancia que tienen, al igual que la gente extranjera que busca oportunidades en Chile."
6003,1,pluralismo,A,"Es importante que la constitución reconozca las diferencias de todo tipo dentro de nuestro país, así se garantiza la paz, la igualdad, la justicia y la participación de todos en las decisiones de la autoridad."
6021,1,pluralismo,A,un valor trascendental para la vida humana y la construcion social
6202,1,pluralismo,P,"Se debate en torno al alcance de la palabra pluralismo. Se tiene un acuerdo en cuestión de pluralismo político, además de darse otras acepciones de pluralismo que queda en la duda si incluirlas o no en la próxima Constitución."
6284,1,pluralismo,A,La constitución debe proteger el pluralismo y la diversidad que los ciudadanos representamos.
6327,1,pluralismo,P,"Reconocimiento de las diferencias sociales, culturales y religiosas."
6329,1,pluralismo,P,"El reconocimiento de la diversidad de culturas, etnias"
6384,1,pluralismo,A,Todas las naciones deben ser econocidas y protegidas por la constitucion
6559,1,pluralismo,P,chile es el encuentro de varias culturas y pueblos y es necesario resguardar mediante la carata fundamental no solo los derechos como ciudadanos de un pais si no los derechos como habitantes de una nacion que por escencia tiene calidad  plurinacional.
6578,1,pluralismo,P,"Estado debe buscar integrar e incluir a los distintos tipos de tendencias, políticas, culturales, sociales. Debe coexistir una pluralidad de tendencias en una sociedad."
6816,1,pluralismo,A,"y Tolerancia. claves para convivir en diferencia, acoge la diversidad. El respeto necesario para vivir en sociedad."
6835,1,pluralismo,A,"Valor/principio que nos permite englobar a los demás tópicos presentes en encuentro local, generando igualdad para todas las personas en todos los ámbitos."
7022,1,pluralismo,A,Paricipación de todos los grupos y sectores sociales; donde exista la igualdad social y la diversidad cultural.
7159,1,pluralismo,A,Porque habla de una sociedad inclusiva que reconoce todas las culturas y condiciones.
7327,1,pluralismo,A,"Debe ser guía que nos permita la coexistencia pacífica de los distintos intereses, convicciones y estilos de vida de nuestro país."
7458,1,pluralismo,A,Impulsar una agenda de desarrollo indígena ya no es utopía como tampoco su propia autonomía.
7478,1,pluralismo,A,"Contiene otros valores como respeto, diversidad y multiculturalidad. Significa integrarse en la diferencia."
7500,1,pluralismo,A,"Donde se consideran todas las opiniones, donde existe la tolerancia, el respeto y la diversidad. Concepto que abarca a muchos más tales como multiculturalidad, equidad, inclusión e integración."
7531,1,pluralismo,A,Hay múltiples realidades y culturas que deben ser consideradas en la República
7607,1,pluralismo,A,Porque todos tienen derecho a pensar libremente y expresar sus ideas y el estado debe ser garante de esto.
7625,1,pluralismo,A,"Se debe asegurar que todas las ideas se puedan promover, organizar y difundir"
7863,1,pluralismo,P,Valorar diferencias y aprender del otro.
7977,1,pluralismo,A,"LA PARTICIPACIÓN DEBE SER IGUALITARIA, RESPETANDO CULTURA U OTRO."
8008,1,pluralismo,A,"Garantizar y respetar las diferencias ideológicas, religiosas, culturales, territoriales, etc."
8129,1,pluralismo,A,"Reconoce las diferencias sociales, económicas, étnicas, de género, orientación sexual dentro de una misma sociedad y conviven de forma armónica con los mismos derechos y deberes."
8163,1,pluralismo,A,en Chile existen pueblos preexistentes al estado chileno y deben ser reconocidos como nación
8378,1,pluralismo,A,"Considerado como una actitud que implica el respeto, reconocimiento a la diversidad y diferencias, e inclusión de tal diversidad dentro del desenvolvimiento de la sociedad."
8401,1,pluralismo,A,Reconoce la diferencia de todos y permite la integración. El pluralismo es un principio que debemos garantizar para asegurar la participación de todos.
8521,1,pluralismo,A,"Reconocer, respetar, proteger y cultivar las plurinacionalidades, la autodeterminación de los pueblos y la diversidad cultural (etnia, raza, género, religión, etc.). Fomentando el diálogo, reconocimiento, interacción, convivencia, autonomía y respeto."
8566,1,pluralismo,A,"Consideración de todas las expresiones de la vida, respeto por la diversidad, (género, etnia, naciones)"
8605,1,pluralismo,A,"somos muchos y muchas, diferentes en raza, edad, sueños y debemos respetar esa diversidad."
8710,1,pluralismo,A,Tenemos que asegurar el reconocimiento y el respeto a todas la naciones que existen dentro de nuestro estado.
8711,1,pluralismo,A,"necesario el reconocimiento de los pueblos integramente, adopcion e instituciones fomentando su participación garantiza distintas culturas, formas de gobierno y economías"
8835,1,pluralismo,A,Los pueblos originarios deben ser reconocidos como nación.
8880,1,pluralismo,A,Reconocemos la diversidad del pueblo chileno y consideramos que ésta es expresión de la riqueza cultural del país. El Estado debe proteger y fomentar la identidad nacional prestando atención a la diversidad del pueblo chileno.
8974,1,pluralismo,A,"Porque la realidad está compuesta de un sin fin de realidades diferentes, por tanto, debemos estar siempre abierto a lo diverso."
8989,1,pluralismo,A,"Respeto, democracia, dignidad."
9200,1,pluralismo,P,Creemos que este concepto incorpora elementos propios de cada cultura al interior del territorio nacional.  Por ejemplo favorecer la incorporación de las lenguas y tradiciones indígenas.
9266,1,pluralismo,A,Reconocimiento y respeto de las diferencias. Asegurar el máximo desarrollo de las personas.
9267,1,pluralismo,A,Diversidad  social de nuestras actividades.
9334,1,pluralismo,A,respeto por las distintas ideas
9371,1,pluralismo,A,"Es el derecho a tener diferentes ideas sobre las formas de gobernar, políticas y religiosas"
9423,1,pluralismo,P,El Estado debe reconocer la existencia de distintas naciones dentro de su constitución. Para ello debe garantizar una descentralización política y administrativa que vele por el desarrollo armónico de múltiples comunidades políticas dentro del Estado-Nación.
9465,1,pluralismo,A,Diversidad
9473,1,pluralismo,A,"Enriquecimiento de todo si se respeta ideas, cultos, nacionalidad, sexo, etc. Todos somos distintos, por lo tanto, es inherente el pluralismo a ésta diversidad."
9522,1,pluralismo,A,"Debemos, como ciudadanos, involucrarnos primero internamente y aceptar a nuestros antepasados y nuestras culturas originarias."
9565,1,pluralismo,P,"tener claridad de como deben de ser los procesos, para que estos sean mas igualitarios. ( para nosotros probidad, igualdad y claridad)."
9603,1,pluralismo,A,-Acuerdo
