idEla,tema,concepto,acuerdo,fundamento
3,1,plurinacionalismo,A,Reconocer a los diferentes pueblos y sus problemáticas planteando las bases de unas posibles soluciones.
13,1,plurinacionalismo,A,"Que exista un respeto a la diversidad, autonomía, autodeterminación y soberanía de  los pueblos."
67,1,plurinacionalismo,A,"Coexistencia de varios grupos que forman un cuerpo organizado, que se respetan entre sí, buscando el bien común y no el propio. Permitiría que cada pueblo (sobre todo pueblos originarios) se desarrollara y organizara de acuerdo a su propia forma de ser. Solo eso podría garantizar una convivencia"
72,1,plurinacionalismo,A,Concepto donde todos estemos presentados. RESPETAR LAS DIFERENTES IDEAS Y PUNTOS DE VISTA Y ser respetados. NO deben ser coaccionadas.
85,1,plurinacionalismo,A,Nuestro país se compone de diferentes naciones que requieren reconocimiento y respeto.
141,1,plurinacionalismo,A,"Somos un país diverso y hay que hacerse cargo de la inmigración que existe en Chile. Deben integrarse las distintas cosmovisiones que existen, muchas de ellas que son anteriores a la fundación del Estado de Chile."
148,1,plurinacionalismo,A,"ASUMIMOS QUE CHILE ES UN ESTADO PLURINACIONALDONDE COEXISTEN VARIAS NACIONALIDADES ENTRE ELLA LOS COYA, DIAGUITAS, MAPUCHE, ETC."
200,1,plurinacionalismo,A,"Respeto a los conflictos con nuestros pueblos originarios, respetar su autonomía cultural. los inmigrantes que sean tratados como iguales y no como animales."
207,1,plurinacionalismo,A,Se lo entiende como esencial atendida la realidad cultural y política del país
221,1,plurinacionalismo,A,"unanime Coexistencia de varias nacionalidades diferentes que se reconocen mutuamente para  evitar la división y exclusión de sociedades en el país, favoreciendo  la descentralización, la autonomía y solidaridad de las diversas naciones"
243,1,plurinacionalismo,P,"Implica que nuestra carta fundamental deberá recoger las distintas naciones que existen en nuestro país, entendiendo estas como un conjunto de características , identidad cultural y religiosa."
246,1,plurinacionalismo,A,"RESPETO A LOS PUEBLOS DESPOJADOS DE DERECHO, SIN IDENTIDAD. EDUCACION NO CONTEMPLA SUS LENGUAS. JUSTICIA POR SUS TIERRAS Y SUS VALORES"
255,1,plurinacionalismo,A,Reconocimiento de la autodeterminación de los diversos pueblos y naciones coexistentes en el territorio nacional
270,1,plurinacionalismo,A,"Aspiramos como grupo, que se reconosca como nacion al pueblo mapuche, como pago a la deuda historica con este pueblo."
294,1,plurinacionalismo,A,No existe claridad respecto de las implicancias y alcances de los conceptos Muti y Pluricultural. En lo que existe acuerdo es en que se debe resguardar los derechos de los pueblos originarios y migrantes y otros
299,1,plurinacionalismo,A,En estado que reconozca a todos los pueblos originarios como estados reconocidos como tal por el Estado de Chile
346,1,plurinacionalismo,A,"Reconocer y validar la existencia de otros conceptos de estados, otros pueblos originarios dentro de la nación."
356,1,plurinacionalismo,A,Respeto y reconocimiento de todos los pueblos originarios.
358,1,plurinacionalismo,P,"reconocimiento y participación  activa de los pueblos originarios. Se plantea la dificultad del reconocimiento de las naciones originarias, pero es necesario por el contexto de Chile."
377,1,plurinacionalismo,A,Reconocemos la diversidad de culturas como la mapuche; Rapa Nui ; aimaras etc. y creemos que deben ser incluidos en sus demandas.
378,1,plurinacionalismo,A,Considerado por todos como principio fundamental
379,1,plurinacionalismo,A,respeto y autonomia de los diferentes pueblos originarios
424,1,plurinacionalismo,A,"Reconocimiento y respeto a inclusión de todos los pueblos originarios, junto a nuestra propia nacionalidad"
434,1,plurinacionalismo,A,"Más allá de la consanguinidad de los territorios y pueblos, se debe reconocer el derecho  a la tierra."
483,1,plurinacionalismo,A,"QUEREMOS UN ESTADO PLURINACIONAL, QUE RESPETE Y DÉ AUTONOMÍA A SUS PUEBLOS ORIGINARIOS, A LA VEZ QUE RECUPEREN LA SOBERANÍA DE SUS RECURSOS NATURALES."
498,1,plurinacionalismo,A,Base para la solución de grandes problemas con los pueblos originarios que no tienen cabida bajo el marco actual.  Considerar propuesta Comisión Asesora Descentralización para regiones plurinacionales.
505,1,plurinacionalismo,A,"Porque en Chile existen pueblos distintos que tienen derecho su autonomía, identidad y autodeterminación."
510,1,plurinacionalismo,A,Multiculturalidad. Somo un pais con diversas estnias y con inmigrantes. Reconocimiento de pueblos originarios. Identidad Cultural
520,1,plurinacionalismo,A,Pleno reconocimiento de los pueblos originarios y sus derechos
542,1,plurinacionalismo,A,Es un valor que reconoce la existencia y la representación de varias naciones dentro de las delimitaciones de la organización político- administrativa chilena.
579,1,plurinacionalismo,P,Inclusión e independencia de todas las naciones.
602,1,plurinacionalismo,A,"Pueblos originarios, no tienen participación REAL Y NO ESTA amparado en la constitución, que se amplié para ellos."
606,1,plurinacionalismo,A,"Reconocimiento Constitucional de las distintas nacionalidades del país. ej mapuchesm pascuenses, aimaras, etc"
619,1,plurinacionalismo,A,Respeto por la pluralidad cultural existente en el país.
638,1,plurinacionalismo,P,"Estado tiene obligación de representar pluralidad. En la Constitución no se aplica a la realidad. Se deben reconocer pueblos indígenas y la diversidad de razas. Se debe alentar la participación de los pueblos originarios y su autonomía. Estado debe ser plurinacional, multicultural y multipartidista"
639,1,plurinacionalismo,A,Aceptar y respetar las diferentes étnias en un mismo Estado.
705,1,plurinacionalismo,A,"Como nación, respetar todos los pueblos originarios del país e incluirlos."
746,1,plurinacionalismo,A,Debe reconocer el estado de Chile la existencia de varias naciones o pueblos dentro del estado de Chile
764,1,plurinacionalismo,A,"Importante en reconocer a todos los pueblos habitantes de nuestro país, fomentando la identidad cultural inclusiva prolífica."
786,1,plurinacionalismo,A,"Queremos que se reconozcan  a nuestros pueblos originarios, y se cumpla con su demanda histórica."
810,1,plurinacionalismo,A,"Necesidad de reconocimiento constitucional de los grupos-nación por parte del Estado, considerando su permanencia histórica, política y cultural en el territorio nacional."
831,1,plurinacionalismo,A,Respeto y reconocimiento a las otras naciones presentes y que conviven en el territorio.
892,1,plurinacionalismo,A,"Reconocer que en el estado de Chile coexisten pueblos originarios y que estos tienen su propia organización, justicia, idioma y modelo de gestión territorial."
906,1,plurinacionalismo,A,Una característica notoria  de nuestra región y país es su condición  multicultural y Pluricultural innegable y donde la heterogeneidad  es una de sus características singulares.
924,1,plurinacionalismo,A,El largo conflicto entre el Estado y el pueblo mapuche debe ser resuelto por la vía de reconocernos como un país plurinacional y multicultural.
933,1,plurinacionalismo,A,"Los asistentes consideraron importante separar la nocion de estado de la de nación, y reconocer constitucionalmente a los pueblos originarios sin homogeneizarlos ."
961,1,plurinacionalismo,A,validar y garantizar  las naciones que contiene el estado. Naciones legítimas
970,1,plurinacionalismo,A,Para involucrar todos los aspectos del ser Pueblo Mapuche.
1006,1,plurinacionalismo,A,Garrantizar la representacion de los pueblos originarios en los estamentos del estado
1021,1,plurinacionalismo,A,"El estado debe reconocer otras nacionalidades y pueblos originarios como ciudadanos que  detentan otras estructuras sociales, políticas y culturales. Que diferenciados garantizando el  respeto a su dinámica social, derechos consuetudinario y territorial."
1027,1,plurinacionalismo,A,Coexistencia y reconocimiento de los distintos grupos existentes en nuestro país.
1047,1,plurinacionalismo,A,Reconocimiento de cultura y territorio de pueblos originarios
1058,1,plurinacionalismo,A,Los pueblos originarios deben considerarse nacion y que tomen sus propias decisiones y que se les devuelvan sus territorios
1078,1,plurinacionalismo,A,"Donde las autoridades reconozcan los derechos, tradiciones y autonomía territorial de los pueblos."
1096,1,plurinacionalismo,A,"Reconocer la autonomía de los pueblos a sus territorios, diversidad, cultura y nacionalidad. Sólo será por la vía de una Asamblea Constituyente."
1110,1,plurinacionalismo,A,Esto permitirá una mejor convivencia con las etnias al reconocer su cosmovisión de la vida y el derecho de estos a intervenir y tratar sus temas de acuerdo a sus métodos.
1144,1,plurinacionalismo,A,"El estado debe garantizar que los pueblos tengan posibilidad conservar  su memoria  e identidad cultural,armonizando su rol y participación en todas las esferas públicas."
1150,1,plurinacionalismo,A,El plurinacionalismo debe estar establecido de manera que reconozca que existen varias naciones en Chile y que tienen derechos que el Estado debe respetar.
1156,1,plurinacionalismo,P,"Para los convocados es muy importante este principio. Sin embargo algunos creen que cada nación (entendida como cultura, ejemplo: mapuche), debería tener su propia carta institucional y no regirse por una sola."
1159,1,plurinacionalismo,A,que sean reconocidos todos los pueblos originarios del país. que se respeten los derechos  de los pueblos ancestrales.
1169,1,plurinacionalismo,A,"Que el estado garantice a los pueblos originarios sus derechos en lo social, político, religioso, económico. cultural. A ser autodeterminantes en la administración de sus tierras. Que se le garantice el derecho de proteger su medio ambiente y al de usar sus recursos de acuerdo a sus necesidades."
1176,1,plurinacionalismo,A,Reconocimiento a las diversas naciones que componen nuestro territorio. Autonomía de pueblos originarios.
