idEla,tema,concepto,acuerdo,fundamento
3,4,poder_judicial__estructura_y_funciones_,A,"Es la aplicación y garante del cumplimiento de las leyes , además de resolver conflictos sociales."
8,4,poder_judicial__estructura_y_funciones_,A,"la importancia de este poder como agente regulador de las leyes, nos hace considerar la necesidad de debatir la duración de cargos y procesos de elección de autoridades de modo que garantizar igualdad ante la ley."
9,4,poder_judicial__estructura_y_funciones_,P,La aplicación de las leyes debe estar bajo la forma de un poder autónomo e independiente de las otras instituciones del estado para garantizar justicia.
31,4,poder_judicial__estructura_y_funciones_,A,se necesitan 3 poderes del estado
33,4,poder_judicial__estructura_y_funciones_,A,que la corte suprema sea escogida por votación. todo aquel que tome un caso sean un abogado titulado y no un pasante. mayor apoyo a la familia de la victima en vez de la familia del imputado.
35,4,poder_judicial__estructura_y_funciones_,A,"Deben regular los 3 poderes del estado, asegurando independencia y división de los mismos, estableciendo límites, roles y objetivos. Garantizar carrera judicial enlazada al mérito y no solo a edad. Se debe revisar ascenso dentro de carrera judicial para permitir el espacio a los jueces jóvenes."
68,4,poder_judicial__estructura_y_funciones_,A,Para que la Institución vuelva a entregar equilibrio  es prioritario que recupere el contacto y cercanía con las personas  en mérito de que estamos  en un nuevo siglo  y otra época  que necesitas estamentos  y leyes renovadas  a la época.
72,4,poder_judicial__estructura_y_funciones_,A,En acuerdo
81,4,poder_judicial__estructura_y_funciones_,A,sin comentarios
82,4,poder_judicial__estructura_y_funciones_,A,Que responda a las necesidades de hoy.
86,4,poder_judicial__estructura_y_funciones_,A,"Columna vertebral del Estado de Derecho, ya que es independiente de los demás poderes del Estado, y no debiera ser influenciado para fallar en justicia, facultativos."
87,4,poder_judicial__estructura_y_funciones_,A,Que dependa del gobierno y no sea autónomo
89,4,poder_judicial__estructura_y_funciones_,A,Un país democrático debe tenerlo
95,4,poder_judicial__estructura_y_funciones_,A,debe estar regulado por la constitución
96,4,poder_judicial__estructura_y_funciones_,A,"- Independiente y autónomo, no asociado a poderes económicos. - Con evaluación ciudadana. - Comprometido con los DD.HH."
107,4,poder_judicial__estructura_y_funciones_,A,Importante que sepan aplicar las leyes de manera justa para todas las personas.
108,4,poder_judicial__estructura_y_funciones_,A,"autonomía de los poderes del estado, independiente en funciones y financiamiento"
110,4,poder_judicial__estructura_y_funciones_,A,"Fundamental tercer poder del Estado, incluido el Ministerio Público y la Defensoría."
115,4,poder_judicial__estructura_y_funciones_,A,Muy necesario
117,4,poder_judicial__estructura_y_funciones_,A,"Repetimos que la separación de los poderes es fundamental, y la autonomía del poder judicial, más aún, ya que se asegura la sensación de justicia e igualdad en toda la población."
118,4,poder_judicial__estructura_y_funciones_,P,"Jueces que aplican la ley, la interpretan."
124,4,poder_judicial__estructura_y_funciones_,A,.
138,4,poder_judicial__estructura_y_funciones_,A,CUMPLIR ESTRUCTURALMENTE
140,4,poder_judicial__estructura_y_funciones_,A,Que la estructura del poder judicial sea autónoma de los demás poderes y que se regule la forma de la carrera judicial
143,4,poder_judicial__estructura_y_funciones_,A,"Un pilar fundamental en el estado y hay ausencias… pensando en el bien común, la constitución, hay ciertas estructuras anquilosadas en materia de derechos humanos, historia y la negación de aplicación de leyes vigentes. Poder judicial saludable, con mejores leyes, ligado a un parlamento saludable y el derecho a tener justicia plena (todos)."
148,4,poder_judicial__estructura_y_funciones_,A,REAFIRMAMOS QUE LA JUSTICIA CIVIL ES EL SISTEMA DE DERECHOS DE LOS CIUDADANOS
159,4,poder_judicial__estructura_y_funciones_,A,"queremos mas justicia, leyes mas duras."
162,4,poder_judicial__estructura_y_funciones_,A,Acabar con la puerta giratoria y darle mayor responsabilidad penal a los menores.
164,4,poder_judicial__estructura_y_funciones_,P,"El Poder Judicial debe estar al día con los avances tecnológicos, agilizando de esta forma los procesos judiciales. La cantidad de personal debe ser el necesario para que el sistema sea viable, justo y expedito."
166,4,poder_judicial__estructura_y_funciones_,A,El poder judicial es necesario como parte de los tres poderes del estado.
171,4,poder_judicial__estructura_y_funciones_,A,sabiendo que se necesita una institución que administre la justicia
187,4,poder_judicial__estructura_y_funciones_,A,Para que no sigan las injusticias y desigualdad de criterios.
193,4,poder_judicial__estructura_y_funciones_,A,No hay fundamentos más allá de la discusión.
194,4,poder_judicial__estructura_y_funciones_,A,"Estructura y funciones, en especial Fiscales."
202,4,poder_judicial__estructura_y_funciones_,A,"Debemos contar con un poder judicial moderno, probo, profesional y eficiente."
205,4,poder_judicial__estructura_y_funciones_,A,"- Agregar Tribunales contenciosos administrativos. - Que se establexcan los mecanismos constitucionales para imponer el imperio del derecho, en situaciones urgentes (Recursos de protección y amparo)"
206,4,poder_judicial__estructura_y_funciones_,A,Garantiza una justicia mas igualitaria y transparente
219,4,poder_judicial__estructura_y_funciones_,A,Para una debida administración de justicia. Creemos que este órgano debe seguir siendo independiente a otros órganos o poderes del Estado. Debe además asegurarse que todos los tribunales dependientes de él sometan su actuar conforme al debido proceso.
222,4,poder_judicial__estructura_y_funciones_,A,"Hacer más eficiente y efectivo el poder judicial, mejorar las gestiones."
