idEla,tema,concepto,acuerdo,fundamento
79,4,poderes_del_estado,A,"Ejecutivo, legislativo y judicial. Coordinación de los poderes de gobierno de forma armónica en post y con el pueblo"
85,4,poderes_del_estado,A,"Deben ser establecidos y regulados  en su mínimo por la Constitución Su establecimiento, no puede depender de una ley."
441,4,poderes_del_estado,A,"La figura del presidente, parlamento y contraloria general de la República son necesarios para un orden y liderazgo de nuestros representantes"
505,4,poderes_del_estado,A,Solo dando su opinión.
516,4,poderes_del_estado,:Acuerdo,"Ejecutivo: Presidente(a), ministros, gobernador e intendente (seremis elegidos por alta dirección)  Legislativo: Parlamento unicameral.  Judicial: Elegidos por alta dirección. Máximo de edad 75 años."
1041,4,poderes_del_estado,A,re formular los poderes del estado en sus estructuras y funciones  incorporación del 4 poder: los medios de comunicación   cautelar la independencia entre poderes
1786,3,poderes_del_estado,A,Deben trabajar para el bien común de los ciudadanos.
1908,4,poderes_del_estado,A,deben estar presente los 3
2205,4,poderes_del_estado,A,Regular los 3 poderes del Estado.
2641,4,poderes_del_estado,P,"Descripción de la estructura y funcionamiento de los tres poderes del Estado, en todas sus instancias y niveles. Proponemos modernizar los procedimientos del poder legislativo. Acuerdo parcial sobre tener un un congreso unicameral."
3662,4,poderes_del_estado,A,"(Ejecutivo, legislativo, judicial y ciudadanía) como parte del proceso constituyente (asamblea)."
4022,4,poderes_del_estado,A,"Revisar el régimen de gobierno y las atribuciones de la Presidencia y el Parlamento, su estructura y su duración así como también establecer controles al poder judicial"
4673,4,poderes_del_estado,A,Los poderes del estado son fundamentales.
5163,4,poderes_del_estado,A,"(Ejecutivo, Legislativo, Judicial)  Evidentemente es fundamental la regulación constitucional de los tres poderes del Estado, las atribuciones de cada uno y cómo se relacionan.  Concretamente, proponemos que el Presidente de la República dure 6 años en el cargo sin posibilidad de reelección."
5241,4,poderes_del_estado,A,"Regular los 3 poderes del estado. Presidente, Congreso y Poder judicial"
6196,4,poderes_del_estado,P,Todos los poderes del Estado deben ser electos por votación popular incluido el ministerio público
8594,4,poderes_del_estado,A,regular los 3 poderes del estado con sus atribuciones y separación de poderes
9143,4,poderes_del_estado,A,"Debe existir división de poderes; ejecutivo, legislativo y judicial."
9570,4,poderes_del_estado,A,"Ejecutivo, legislativo y judicial. Tienen que estar para que se sustenten las instituciones nuevas que estamos poniendo. En el fondo las instituciones nuevas que pensamos se sustentan en estos tres poderes."
9719,4,poderes_del_estado,A,Presidente  Congreso  Poder Judicial
9750,4,poderes_del_estado,A,"Los Poderes serán Ejecutivo , Legislativo , Judicial , siendo estos autónomos e independientes entre si ."
10181,4,poderes_del_estado,A,se debe regular los 3 poderes del estado
10643,4,poderes_del_estado,A,Regular atribuciones de los 3 poderes del estado
12249,4,poderes_del_estado,A,"Mantener los tres poderes del Estado (Ejecutivo, Legislativo y Judicial), con su autonomía y funciones actuales"
14014,4,poderes_del_estado,A,"3 poderes del Estado, separados y autónomos."
14546,4,poderes_del_estado,A,Regular los 3 poderes del Estado
14761,4,poderes_del_estado,A,El grupo enfatiza nuevamente la necesidad de garantizar el Estado de Derecho a través de la consagración expresa del principio de separación de poderes y la regulación general de las facultades y atribuciones exclusivas de cada uno de ellos.
14858,4,poderes_del_estado,A,presidente  congreso  poder judicial    regular atribuciones
15709,4,poderes_del_estado,A,Se considera particularmente relevante las independencias que debe existir entre los tres poderes.
