idEla,tema,concepto,acuerdo,fundamento
9,4,presidencia_de_la_república,A,Siempre debe haber un representante de la mayoría del pueblo para dirigir el país.
16,4,presidencia_de_la_república,A,"Que siga existiendo un Presidente a cargo de la nación, Por democracia."
29,4,presidencia_de_la_república,A,tiene que existir una jefatura maxima que ordene y dirija
31,4,presidencia_de_la_república,A,así debe ser
33,4,presidencia_de_la_república,A,que solo puedan ser presidentes una sola vez en la vida y por 4 años. que la edad mínima para ser candidato sea de 35.
54,4,presidencia_de_la_república,A,"Para el orden del país debe ser una persona integra, ya que nos representa aquí y en el extranjero, una persona comprometida con los ciudadanos."
55,4,presidencia_de_la_república,A,Sin comentarios
56,4,presidencia_de_la_república,A,Todos concluimos que esto es importante y estamos de acuerdo que es necesario para que el país surja.
63,4,presidencia_de_la_república,A,Debe existir alguien responsable de llevar la dirección de los destinos de la nación.
66,4,presidencia_de_la_república,A,"La presidencia debe ser más apagada a los pueblos en general, no sólo en la capital."
72,4,presidencia_de_la_república,A,En acuerdo
80,4,presidencia_de_la_república,A,xxxxx
82,4,presidencia_de_la_república,A,Hay que discutir si el/la presidencia debe tener todas las atribuciones.
86,4,presidencia_de_la_república,A,Ejercer la facultad de Administración como detentador del poder ya que este (el poder) radica en la voluntad soberana del Pueblo.  Que esa facultad no sea obstaculizada por el tribunal constitucional.
101,4,presidencia_de_la_república,A,Esta institución está naturalmente asociada a un régimen de Gobierno presidencial.
105,4,presidencia_de_la_república,A,que sean seis años con reelección por un periodos mas si que lo ha echo bien
115,4,presidencia_de_la_república,A,Es la que conocemos
117,4,presidencia_de_la_república,A,"En Chile se respeta y se obedece a la figura del Presidente. Si es elegido por mayoría ciudadana, mucho mejor."
124,4,presidencia_de_la_república,A,.
126,4,presidencia_de_la_república,A,GOBIERNO EJERCIDO POR UN PRESIDENTE.
131,4,presidencia_de_la_república,A,Se deben limitar las atribuciones del presidente.
138,4,presidencia_de_la_república,A,GOBIERNO PRESIDENCIAL
141,4,presidencia_de_la_república,A,Importancia en nuestra tradición. Es el órgano ejecutor de políticas públicas decididas principalmente en el Congreso.
144,4,presidencia_de_la_república,A,"Se debe revisar el periodo de legislación del presidente, creemos que en cuatro años no se alcanzan a lograr los cambios que se necesitan y mucho menos se puede hacer una evaluación correcta."
151,4,presidencia_de_la_república,A,Que no está haciendo las cosas bien en nuestro país
161,4,presidencia_de_la_república,A,"La Presidencia de la República ha sido históricamente la institución más importante del país, por ende es necesario mantenerla en un sitio de privilegio en nuestra Constitución."
165,4,presidencia_de_la_república,A,Limitar algunas de sus facultades.
166,4,presidencia_de_la_república,A,"El mandato presidencial debe ser de 4 a 5 años con posibilidades de reelección. Donde el mandato poseído pueda ser revocado por sus electores, a quienes además se debe rendir cuenta periódica."
177,4,presidencia_de_la_república,P,"Se sugiere bajar la edad obligatoria para ser presidente. También quitarle poderes para tener un régimen menos presidencialista. Otra sugerencia es aumentar los gobiernos de  4 a 5 años, ya que se estima que con la duración actual, sólo habría 2 años para implementar el programa de  gobierno, y los dos años restantes serían dedicados a la campaña política para las próximas elecciones."
181,4,presidencia_de_la_república,A,Todos de acuerdo
194,4,presidencia_de_la_república,A,hasta ahora a funcionado bien para Chile.
