idEla,tema,concepto,acuerdo,fundamento
16,2,privacidad_e_intimidad,A,"Tenemos el Derecho a mantener en reserva nuestros antecedentes, tanto personales como profesionales."
80,2,privacidad_e_intimidad,A,xxxxxx
81,2,privacidad_e_intimidad,A,en el hogar a la intimidad
105,2,privacidad_e_intimidad,A,que nuestros datos no sean publicos
110,2,privacidad_e_intimidad,A,"Las personas tenemos derecho a que se nos reconozca y proteja nuestra esfera de privacidad, y el derecho a no ser vigilados."
222,2,privacidad_e_intimidad,A,Resguardo de la vida privada frente a las redes sociales sin dejar de lado la transparencia que pueda involucrar daño para otros.
320,2,privacidad_e_intimidad,A,La consitución debe establecer las herramientas para proteger la vida privada de cada persona (protección de acceso a información privada por parte de los privados y el estado).
375,2,privacidad_e_intimidad,A,"en el ejercicio de la libertad de expresión, respetar la honra de las personas; protección de la privacidad e intimidad, especialmente al usar las tecnologías, los medios de comunicación y las redes sociales."
413,2,privacidad_e_intimidad,A,"En un mundo donde cada día el acceso a la información y la expansión de las comunicaciones, es progresivo es vital que se proteja nuestro espacio personal"
425,2,privacidad_e_intimidad,A,"""resguardo a la informacion personal"" asi lo pusimos nosotros, entendiendo que se desprende de la intimidad y privacidad de cada persona."
525,2,privacidad_e_intimidad,P,Consideramos que es un derecho que debe estar en la constitución.
574,2,privacidad_e_intimidad,A,"Este es un derecho fundamental dentro de la nueva carta : a la privacidad y a la intimidad. La protección a la vida privada, va en directa relación a la protección de la persona humana y su familia."
627,2,privacidad_e_intimidad,A,"Establecer parámetros desde donde la privacidad de las personas e intimidad son resguardados por el estado, incluyendo el derecho que tienen las personas  a la diversidad sexual,  expresión  de la sexualidad,  tomar  decisiones sexuales y reproductivas  sin coerción, incluida la maternidad voluntaria."
671,2,privacidad_e_intimidad,A,Porque es el respeto básico a la individualidad sin caer en modelos impuestos por otros. Promueve la seguridad en un mundo que amenaza con destruir la intimidad de las personas.
673,2,privacidad_e_intimidad,P,Que no se violen los espacios privados domiciliarios. Por la honra de las personas.
692,2,privacidad_e_intimidad,A,"La vida privada es aquella que comprende la vida familiar de esposo, padres e hijos. Asi como todas aquellas actividades propias intimas de las personas. Siendo de la exclusiva decisión de la persona exteriorizar o no sus actividades."
701,2,privacidad_e_intimidad,P,Importante la limitación de las bases de datos y protección de la información personal
706,2,privacidad_e_intimidad,A,.
823,2,privacidad_e_intimidad,A,"La Intimidad es la parte de la vida de una persona que no ha de ser observada desde el exterior, y afecta sólo a la propia persona. Se incluye dentro del ""ámbito privado"" de un individuo cualquier información que se refiera a sus datos personales, relaciones, salud, correo, comunicaciones electrónicas privadas, etc. Es el derecho que poseen las personas de poder excluir a las demás personas del conocimiento de su vida personal, es decir, de sus sentimientos y comportamientos. Una persona tiene el derecho a controlar cuándo y quién accede a diferentes aspectos de su vida personal.La Privacidad es la parte más profunda de la vida de una persona, que comprende sus sentimientos, vida familiar o relaciones de amistad."
905,2,privacidad_e_intimidad,A,"El Estado debiera garantizar el derecho a la privacidad, salvo aquellas excepciones expresamente establecidas por ley."
939,2,privacidad_e_intimidad,A,"Resguardar el espacio, tiempo, imagen e información privados."
1026,2,privacidad_e_intimidad,P,Derecho que actualmente es transgredido y no respetado.
1123,2,privacidad_e_intimidad,A,"Que se garantice la invulnerabilidad de la integridad personal, salvo en caso de delitos o daños hacia otros."
1247,2,privacidad_e_intimidad,A,"En relación a redes informáticas , hackeos etc."
1575,2,privacidad_e_intimidad,A,"Para Evitar el Mal uso de los datos Personales, de las Empresas del Retrail."
1601,2,privacidad_e_intimidad,A,RESPETOS A LOS PRINCIPIOS Y SENTIMIENTOS MAS PROFUNDOS DE LA PERSONA.
1613,2,privacidad_e_intimidad,A,Debemos tener acceso a todo ya que en todo ámbito debe haber una transparencia hacia los demás.
1631,2,privacidad_e_intimidad,A,La falta de polìticas sociales.
1641,2,privacidad_e_intimidad,A,.
1665,2,privacidad_e_intimidad,P,"deben tener todos derecho a la privacidad, incluso en estos centros de régimen cerrado. Intimidad para las necesidades básicas de las personas."
1721,2,privacidad_e_intimidad,A,"las personas necesitan proteger su vida intima familiar, en algunos casos se vulnera por otros con mayor poder, poniendo en peligro a los hijos, o exponiéndoles públicamente."
1851,2,privacidad_e_intimidad,A,"Derecho a que nuestra vida privada, datos, imagen sean protegidos por parte del Estado frente a el mismo y a terceros."
1859,2,privacidad_e_intimidad,A,que terceras personas ni el estado se metan en la vida de otras personas
1889,2,privacidad_e_intimidad,A,RESPETO A LOS DATOS SENSIBLES DE CADA PERSONA.RESTRINGIR EXIGENCIA DE ENTREGAR FOTOCOPIAS DE CÉDULA DE IDENTIDAD ANTE CUALQUIER ORGANISMO O ENTIDAD O EMPRESA
1894,2,privacidad_e_intimidad,A,"Coincidimos en el respeto a la vida privada de las personas, o dentro de su área espiritual y cuya exteriorización, es de su exclusiva decisión, así como el respeto a la vida familiar, tanto entre los cónyuges, como los padres con sus hijos en su relación."
2010,2,privacidad_e_intimidad,P,Resguardar los datos y actividades privadas
2068,2,privacidad_e_intimidad,A,"“Nadie sera objeto de injerencias arbitrarias en su vida privada, su familia, su domicilio o su correspondencia, ni de ataques a su honra o a su reputación."
2162,2,privacidad_e_intimidad,A,Respecto a la información personal y la vida privada
2396,2,privacidad_e_intimidad,A,"La tecnología y sus avances son rápidos y no pararán, y los individuos permanentemente ven amenazada su integridad como intimidad, y al tratarse de cambios descontrolados que ni las leyes ni la sociedad a veces los alcanza y ya están funcionando. Es necesario cuidar siempre la privacidad."
2428,2,privacidad_e_intimidad,A,"derecho a tener un espacio de comportamiento personal e invulnerable, mientras no atente contra la ley."
2493,2,privacidad_e_intimidad,A,"Mientras no se quiebre la integridad física, psíquica y emocional. Educación sobre los límites respecto de la información que se manipula en el sistema."
2499,2,privacidad_e_intimidad,A,- Privacidad e intimidad física y para los datos personales. - Debe existir un espacio íntimo que no esté normado.
2519,2,privacidad_e_intimidad,A,"respetar el derecho a la privacidad y a la intimidad de la familia, cónyuges, de padres con sus hijos, respetando las convicciones espirituales de cada individuo"
2643,2,privacidad_e_intimidad,P,por providad y transparencia
2680,2,privacidad_e_intimidad,A,Espacio a desarrollar actividades en nuestro espacio privado e íntimo.
2815,2,privacidad_e_intimidad,A,"Las personas deben tener los espacios privados e íntimos en los que se puedan desenvolver,  y que los medios de comunicación tengan el respeto frente a ello."
2879,2,privacidad_e_intimidad,P,"7. Privacidad e intimidad: entendiendo la importancia de resguardar los ámbitos de la vida privada de las personas, el foco de este derecho debería estar en establecer  los límites de acceso respecto la información personal, que no pueda ser vulnerada sin el consentimiento explícito de las personas aludidas."
2897,2,privacidad_e_intimidad,A,"Que se garantice constitucionalmente el derecho al ámbito privado de las personas y de  cualquier información sobre sus datos personales, relaciones,salud,dirección,comunicaciones electronicas privadas etc. Garantizar su respeto ante cualquier tipo de ataque o injerencias."
2948,2,privacidad_e_intimidad,A,Se debe respetar la privacidad de todas las personas y no falsificar información confidencial.
2950,2,privacidad_e_intimidad,P,En éstos días avasallados por la prensa amarillista y el rumor infundado debe vincularse a la honra
3028,2,privacidad_e_intimidad,A,Algo que los ciudadanoshemos perdido
