idEla,tema,concepto,acuerdo,fundamento
3,1,probidad,A,Para favorecer la transparencia de los que ejercen la autoridad en diversos cargos públicos
13,1,probidad,A,Se necesita una conducta intachable de los funcionarios públicos y las empresas privadas. Se necesitan elementos para realizar seguimientos y fiscalización ciudadana.
16,1,probidad,A,"Por que se necesita Probidad para ejercer las funciones Publicas con honradez, transparencia e integridad, poniendo el interés general hacia los demás por sobre el propio."
17,1,probidad,A,"Forjar a Chile y hacer que una de las bases del gobierno y la nueva constitución sea la honradez, honestidad en las acciones, no más mentiras y que la ética y la moral vayan siempre por delante."
19,1,probidad,P,"La clase política carece de probidad, se debe fortalecer este principio para poder sentirnos representados en el parlamento."
48,1,probidad,P,"Se mira la probidad como un principio aplicable al Estado, a la Administración Pública, pero debiese aplicarse a los privados también. Se entiende como actuar rector u honradez. Desacuerdo porque no se cumple o fiscaliza"
58,1,probidad,A,"igualdad entre la persona millonaria y las pobres, todos deben ser igual ante la ley"
63,1,probidad,A,"Debe aplicarse en mayor medida a las personas que ostentan cargos públicos sin dejar de incluir a los privados, la probidad es a todo ente y  nivel."
74,1,probidad,A,- Su ausencia o su inverificabilidad genera crisis de confianza. - Permite asegurar autoridades competentes.
80,1,probidad,A,xxxxxxx
82,1,probidad,A,Valor que deben tener todas las personas en especial aquellos que rep. a Comunidad y Empresas.
86,1,probidad,A,"Actuar de manera honrada y mantener una ética, tanto en lo publico y lo privado, para evitar el alto nivel de corrupción actual.  Disminuir los salarios de los parlamentarios."
100,1,probidad,P,"El Estado debe preocuparse de que haya transparencia y probidad en TODO ámbito, incluyendo a los ciudadanos y a las autoridades. De esta forma se debiese evitar nuevos casos de corrupción."
106,1,probidad,P,"Idoneidad para el ejercicio de cargos públicos, asegurándola con mecanismos de transparencia y publicidad."
161,1,probidad,A,"Es necesario eliminar la corrupción del país, sobre todo en sus políticos y autoridades."
168,1,probidad,A,"Consideramos que la conducta probo es una conducta que debe estar presente en todos los ámbitos, tanto de lo público como de lo privado, entendiendo su origen en la familia y fortalecido a través de la educación cívica y la imposición de sanciones."
187,1,probidad,A,Transparencia en general en un gobierno sincero.
193,1,probidad,A,No hay fundamentos más allá de la discusión.
202,1,probidad,A,"Todas las autoridades deben regirse en sus funciones, al principio de probidad."
207,1,probidad,A,Debe ser considerada base fundamental de la administración del estado
214,1,probidad,A,Que nuestros representantes sean ejemplos a seguir y entreguen su apoyo a la comunidad siendo rectos en su conducta
233,1,probidad,P,.
244,1,probidad,A,6 de 10 participantes votaron por este concepto
247,1,probidad,A,"La probidad nos permite o garantiza  la transparencia, confiabilidad, credibilidad de las instituciones. Al mismo tiempo, fortalece las actuaciones de las instituciones, potenciando un mejor uso de los recursos. Un desempeño integro, honesto y legal de las actividades a realizar aplicado tanto a funcionarios públicos como a los sectores empresariales, políticos y a la ciudadanía en general."
250,1,probidad,A,"Entendida como rectitud e integridad en el actuar, es un valor que debe inspirar la conducta en sociedad y por eso debe estar contemplado en la Nueva Constitución. A través de las leyes respectivas debe internalizarse desde la primera infancia a través de la educación, exigirse en el actuar de tutores y profesionales e imponerse a las autoridades."
259,1,probidad,A,"Como un valor que debe ser enseñado desde la escuela, familia y las instituciones y/o personas que ejercen el poder son las que deben demostrar el respeto por este valor."
278,1,probidad,A,Que para todos los funcionarios publicos la falta a la probidad sea sancionada con carcel.
279,1,probidad,A,VALOR ESCASO EN TODO ORDEN HOY.RECOMPONER CUANDO NOS EQUIVOCAMOS Y CUANDO TOMAMOS ALGO QUE NO NOS HEMOS GANADO.
291,3,probidad,A,Deber del Estado de actuar con transparencia y probidad en todos sus ámbitos.
309,1,probidad,P,"actualmente la clase política se encuentra muy desacreditada frente a la ciudadanía, es por esto que resulta necesario asegurarle a las personas que los actos de las autoridades se harán con probidad."
313,1,probidad,A,"Para exigir transparencia, para exigir derechos, para recuperar confianzas."
334,1,probidad,A,"la probidad como un valor de honestidad, tanto en el sistema politico como empresarial, que exista transparencia."
337,1,probidad,A,Honestidad ante todo
347,1,probidad,A,7.-Mayoría sin mayor discusión.
370,1,probidad,A,Como condición para cualquier ciudadano.
371,1,probidad,A,DEBERÍA EXISTIR MÁS TRANSPARENCIA Y CLARIDAD  CON LAS IDEAS
385,1,probidad,A,"En el contexto actual es importante tener valores como la honradez, transparencia y la moral"
392,1,probidad,P,"Es un valor importante garante de la rectitud, honradez y ética a la que debe ajustarse la conducta humana, observándose en el ejercicio de sus acciones públicas y privadas."
411,1,probidad,A,"Mayor transparencia, que una vez obtenido un cargo de importancia Pública, ingresen su patrimonio inicial, para evitar corrupción."
417,1,probidad,A,"Hoy día se observan situaciones que demuestran falta de integridad en hacer las cosas, este principio apunta a hacer las cosas en forma correcta."
419,1,probidad,A,Mayor transparencia en las acciones del Estado y de las autoridades
425,1,probidad,A,"en los puestos gubernmentales, cargas publicas, servidores publicos,etc"
471,1,probidad,A,Toda la sociedad lo promueve en la madurez
481,1,probidad,A,Se debe garantizar que la probidad sea transversal para cualquier organismo publico o privado y quien no cumpla sea inhabilitado de por vida para ocupar Cargos publicos.
486,1,probidad,A,"• SE CASTIGA CON PENAS MAYORES A LOS QUE SE COLUDEN, ESTAFEN Y A LOS CORRUPTOS."
494,1,probidad,A,"busca evitar vicios ligados a la corrupción como cohecho, tráfico de influencias, nepotismo, que hoy vemos. El principio de probidad debe hacerse extensible especialmente a los partidos políticos y a privados cuyas actividades tengan incidencia en el ámbito público. Para esto es fundamental ..."
504,1,probidad,A,Todo funcionario público y ciudadano debe actuar de manera intachable
