idEla,tema,concepto,acuerdo,fundamento
48,2,proteccion_judicial_de_los_derechos,P,"Que no sea una declaracion de principios, sino que se materialice en instituciones y mecanismos. Que sea una protección igualitaria y no segregada."
54,2,proteccion_judicial_de_los_derechos,A,Que si no se respetan los derechos individuales o de una comunidad la justicia pueda garantizar su respeto y protección para todos.
105,2,proteccion_judicial_de_los_derechos,A,igualdad en pobres y ricos
111,2,proteccion_judicial_de_los_derechos,A,"Tener el derecho a ejercer ante los tribunales, todas las acciones destinadas a proteger los derechos consagrados en la Constitución y los Tratados Internacionales vigentes. Es fundamental terminar con la desigualdad derivada de los recursos económicos para acceder a la justicia."
136,2,proteccion_judicial_de_los_derechos,A,Evita la vulneración de los derechos por parte de individuos e instituciones.
207,2,proteccion_judicial_de_los_derechos,A,Es la herramienta más elemental para garantizar los derechos reconocidos por la constitución
213,2,proteccion_judicial_de_los_derechos,A,Que todos tengan la posibilidad de tener un abogado para defender sus derechos.
263,2,proteccion_judicial_de_los_derechos,A,"El gobierno debe velar para que se cumplan y respeten todos nuestros derechos, otorgando las herramientas necesarias para que ello se cumpla."
279,2,proteccion_judicial_de_los_derechos,A,ASEGURARSE QUE MIS DERECHOS SON LOS MISMOS PARA TODOS Y RESPETARLOS
289,2,proteccion_judicial_de_los_derechos,A,La declaración formal de los derechos debe contar con medios de protección legal efectiva.
291,2,proteccion_judicial_de_los_derechos,A,Se debe reforzar el derecho a un acceso a igualitario y pronto a la justicia. Los juicios prolongados constituyen en sí mismos una forma de injusticia.
296,2,proteccion_judicial_de_los_derechos,A,al bien público y los derechos de los trabajadores
297,2,proteccion_judicial_de_los_derechos,A,"Toda persona tiene el derecho a que sus garantías y derechos individuales (derecho a la vida, a la propiedad, a la libertad, etc) sean amparados y protegidos por las leyes y los estamentos judiciales."
317,2,proteccion_judicial_de_los_derechos,A,Para asegurar los Derechos
387,2,proteccion_judicial_de_los_derechos,A,"Garantizar los derechos (por ejemplo) salud; poder denunciar cuando algo no funciona (cuando no se está cumpliendo con un derecho). A su vez activar otros sistemas, ya que alguien debe hacerse cargo (para garantizar el ejercicio de los derechos)."
396,2,proteccion_judicial_de_los_derechos,A,es la garantia de cada ciudadano (a) de la protección de sus derechos y de ejercer libremente sus necesidades
418,2,proteccion_judicial_de_los_derechos,A,Esencial para hacer efectivo el ejercicio de derechos
482,2,proteccion_judicial_de_los_derechos,A,para que las personas se encuentren protegidas en todos sus derechos
507,2,proteccion_judicial_de_los_derechos,A,como una forma de abolir el abuso de poder.
527,2,proteccion_judicial_de_los_derechos,A,"Garantía legal y vinculante con legislación y normativa referidas a suelo, territorio y ciudades con la institucionalidad para garantizar y proteger los derechos urbanos, habitacionales, territoriales y al uso sostenible de los recursos naturales. Garantía legal y vinculante de reparación."
553,2,proteccion_judicial_de_los_derechos,A,Se deben proteger judicialmente todos los derechos.
644,2,proteccion_judicial_de_los_derechos,A,Para el ejercicio efectivo de los derechos se requieren mecanismos judiciales de protección al alcance de todos.
653,2,proteccion_judicial_de_los_derechos,A,"Con información transparente, educación cívica e integral tendríamos una ciudadanía informada y consiente de sus derechos."
669,2,proteccion_judicial_de_los_derechos,A,Todas las personas deben sentir el resguardo de sus derechos y que las personas que vulneren esto deben recibir su sanción.
714,2,proteccion_judicial_de_los_derechos,A,Garantía de que todos los derechos sean exigibles.
717,2,proteccion_judicial_de_los_derechos,A,Todos estos derechos no tendrían sentido si no podemos exigirlos. Por eso es necesario poder pedirle a un juez que haga valer mis derechos.
732,2,proteccion_judicial_de_los_derechos,A,"Es necesario considerar el DERECHO A RECLAMO, consideramos que es necesaria la correcta protección judicial para que los derechos garantizados en la Constitución y las leyes no se transformen o sean en el peor de los casos sólo ""aspiraciones sociales""."
733,2,proteccion_judicial_de_los_derechos,A,"garantizar el cumplimiento de los derechos de los ciudadanos, que exista una real justicia para con ellos."
745,2,proteccion_judicial_de_los_derechos,A,A
778,2,proteccion_judicial_de_los_derechos,A,"Respaldo legal de los derechos, que sean garantizados y puedan ser exigidos por todos los ciudadanos, protección del estado."
799,2,proteccion_judicial_de_los_derechos,A,"Si no hay garantías por parte del Estado del respeto de los derechos, debe existir un garante, que debe ser el poder judicial."
851,2,proteccion_judicial_de_los_derechos,A,Los derechos de las personas deben ser avalados por un marco legal.
868,2,proteccion_judicial_de_los_derechos,A,Hubo acuerdo total entre los participantes.
