idEla,tema,concepto,acuerdo,fundamento
3,3,protección__promoción_y_respeto_de_los_derechos_humanos_y_fundamentales,A,Son inalienables y garantizan la protección del ser humano
8,3,protección__promoción_y_respeto_de_los_derechos_humanos_y_fundamentales,A,El establecimiento de los derechos humanos como deberes ciudadanos implica la formación y/o consolidación de una cultura de respeto y convivencia. En el debate se hace énfasis en el reconocimiento de la Historia y en la necesidad de establecer un NUNCA MÁS de manera explícita. La constitución debe consignar la memoria histórica  de un país en el que se violaron de manera sistemática  los derechos humanos.
9,3,protección__promoción_y_respeto_de_los_derechos_humanos_y_fundamentales,A,Los derechos humanos siempre deber ser parte inherente a los deberes como sociedad y ciudadanos.
12,3,protección__promoción_y_respeto_de_los_derechos_humanos_y_fundamentales,A,"Estamos de acuerdo con este concepto, pensamos que como sociedad es importante prevalecer los derechos de todas y todos los ciudadanos."
13,3,protección__promoción_y_respeto_de_los_derechos_humanos_y_fundamentales,A,Lo que incluye el respeto por los derechos de los otros; el ejercicio legítimo y no abusivo de los derechos; protección y promoción de los derechos humanos.
14,3,protección__promoción_y_respeto_de_los_derechos_humanos_y_fundamentales,A,El estado debe asegurar el respeto de los derechos humanos.
17,3,protección__promoción_y_respeto_de_los_derechos_humanos_y_fundamentales,A,"Estos son las bases de todos los derechos que existen, por esto la protección y promoción de estos de se suma importancia."
19,3,protección__promoción_y_respeto_de_los_derechos_humanos_y_fundamentales,A,esta carente de politicas publicas existiendo un alto indice de vulnerabilidad.
20,3,protección__promoción_y_respeto_de_los_derechos_humanos_y_fundamentales,A,"Esta es una necesidad primordial. No sólo asegurar el respeto a los derechos humanos, sino promover este respeto constantemente desde la educación del niño y del ciudadano."
29,3,protección__promoción_y_respeto_de_los_derechos_humanos_y_fundamentales,A,se debe respetar a todos los ciudadanos solo por el hecho de ser personas
31,3,protección__promoción_y_respeto_de_los_derechos_humanos_y_fundamentales,A,derechos humanos para que no pasen las atrocidades del pasado.
33,3,protección__promoción_y_respeto_de_los_derechos_humanos_y_fundamentales,A,inculcar a los niños desde pequeños a valorar cuan importante son nuestros derechos en la vida.
35,3,protección__promoción_y_respeto_de_los_derechos_humanos_y_fundamentales,A,"Para que se reconozca con jerarquía constitucional y sea directamente aplicable, no quede al arbitro de ningún juez si lo es o no."
36,3,protección__promoción_y_respeto_de_los_derechos_humanos_y_fundamentales,A,"El propósito de toda Constitución es velar por el cumplimiento de este derecho. En efecto, estos derechos son inherentes a la persona, por lo tanto, el Estado los debe reconocer, difundir, proteger y garantizar, así como, toda persona, institución, o grupo."
43,3,protección__promoción_y_respeto_de_los_derechos_humanos_y_fundamentales,A,Se debe respetar la vida y obra de todos los chilenos
46,3,protección__promoción_y_respeto_de_los_derechos_humanos_y_fundamentales,A,.
54,3,protección__promoción_y_respeto_de_los_derechos_humanos_y_fundamentales,A,Que cuidemos los derechos de todos. Tenemos que conocerlos y sobre todo la nuevas generaciones aprendan a respetarlos para nunca más sentir miedos y el terror nos someta.
55,3,protección__promoción_y_respeto_de_los_derechos_humanos_y_fundamentales,A,Sin comentarios
58,3,protección__promoción_y_respeto_de_los_derechos_humanos_y_fundamentales,A,tiene que respetar la vida y derechosde cada persona
59,3,protección__promoción_y_respeto_de_los_derechos_humanos_y_fundamentales,A,Se debe velar por el cumplimiento de los Derechos y que las personas tengan la educación y claridad frente a lo que son los derechos humanos y en que se basan.
61,3,protección__promoción_y_respeto_de_los_derechos_humanos_y_fundamentales,A,"Tenemos el deber como ciudadanos ayudar a la protección de las personas, a la promoción y respeto de todos, tener respeto hacia las personas de diferente sexo, etnia, sexualidad, etc."
63,3,protección__promoción_y_respeto_de_los_derechos_humanos_y_fundamentales,A,"Cada ciudadano debe asegurar en su entorno el conocimiento sobre la Protección, promoción y respeto de los derechos humanos y fundamentales, de esta forma aseguramos que se respete y se cumpla."
66,3,protección__promoción_y_respeto_de_los_derechos_humanos_y_fundamentales,A,"Se debe dejar una buena herencia, no sólo de carácter económico, sino de carácter valorico, de cómo fuimos como personas."
68,3,protección__promoción_y_respeto_de_los_derechos_humanos_y_fundamentales,A,"El Estado debe garantizar  a todas  las personas  el respeto  a los Derechos Humanos fundamentales, fomentando la educación, información y promoción  de los Derechos Humanos."
70,3,protección__promoción_y_respeto_de_los_derechos_humanos_y_fundamentales,A,Respeto a los derechos humanos
72,3,protección__promoción_y_respeto_de_los_derechos_humanos_y_fundamentales,A,"En todas las instituciones y actos, el Estado tiene la obligación de proteger los derechos humanos, siendo reconocidos como derechos fundamentales en el país, para poder asegurar a cada persona que sus derechos deben ser protegidos para que todas las personas pueden exigirlos, promovidos para que todos los conozcan y respetados por todos para asegurar un bienestar social general. En acuerdo."
74,3,protección__promoción_y_respeto_de_los_derechos_humanos_y_fundamentales,A,- Engloba múltiples derechos de gran consenso internacional. - Limita y protege del uso abusivo de la fuerza por parte del Estado.
76,3,protección__promoción_y_respeto_de_los_derechos_humanos_y_fundamentales,A,fortalecer rol INDH
77,3,protección__promoción_y_respeto_de_los_derechos_humanos_y_fundamentales,A,"Nos parece relevante y de vital importancia, que esta declaración aparezca en la futura carta constitucional."
78,3,protección__promoción_y_respeto_de_los_derechos_humanos_y_fundamentales,A,Que se refuerce la declaración universal de los derechos humanos resguardando este deber.
79,3,protección__promoción_y_respeto_de_los_derechos_humanos_y_fundamentales,A,"Entendiéndose esto como un deber activo, dado que no hace mucho tiempo en nuestra historia, los derechos humanos fueron masivamente violados."
80,3,protección__promoción_y_respeto_de_los_derechos_humanos_y_fundamentales,A,xxxxxx
81,3,protección__promoción_y_respeto_de_los_derechos_humanos_y_fundamentales,A,sin comentarios
82,3,protección__promoción_y_respeto_de_los_derechos_humanos_y_fundamentales,A,Para que nunca mas se repitan los atropellos y violaciones a la dignidad de las personas.
85,3,protección__promoción_y_respeto_de_los_derechos_humanos_y_fundamentales,A,"Es la forma que los derechos humanos y fundamentales tengan soporte, así se alcanza también el respeto y la tolerancia."
86,3,protección__promoción_y_respeto_de_los_derechos_humanos_y_fundamentales,A,"Connaturales a la existencia, toda persona tiene el deber y la responsabilidad de proteger, promover y respetar los derechos humanos y fundamentales.   Debe ser el centro de todo."
87,3,protección__promoción_y_respeto_de_los_derechos_humanos_y_fundamentales,A,"Derecho a la defensa a un juicio justo, a no quedar incomunicado"
91,3,protección__promoción_y_respeto_de_los_derechos_humanos_y_fundamentales,A,en nuestro país por mucho tiempo se vieron vulnerados nuestros derechos y se debe garantizar  que no vuelva a suceder .somos y debemos garantizar que esto no vuelva a suceder .-
94,3,protección__promoción_y_respeto_de_los_derechos_humanos_y_fundamentales,A,Nunca más detenidos desaparecidos o derechos humanos sobrepasados por el poder.
95,3,protección__promoción_y_respeto_de_los_derechos_humanos_y_fundamentales,A,"Protección, promoción y respeto a los DDHH y fundamentales. Para que no se pase a llevar la dignidad de las personas"
96,3,protección__promoción_y_respeto_de_los_derechos_humanos_y_fundamentales,A,"Respeto a los DD.AA en todas sus expresiones, tanto por nuestra historia, como en la actualidad."
98,3,protección__promoción_y_respeto_de_los_derechos_humanos_y_fundamentales,A,El estado debe  asumir un rol fundamental y protagónico en esta materia.
100,3,protección__promoción_y_respeto_de_los_derechos_humanos_y_fundamentales,A,"Si exigimos el respeto a nuestros propios derechos, debemos respetar, proteger y velar porque no se pasen a llevar los de los demás. Para esto, hay que ser tolerante."
101,3,protección__promoción_y_respeto_de_los_derechos_humanos_y_fundamentales,A,Se considera una condición mínima de convivencia.
104,3,protección__promoción_y_respeto_de_los_derechos_humanos_y_fundamentales,A,Es importante brindar seguridad a todo ser humano en cualquier parte del mundo para que se respeten en mismas condiciones.
105,3,protección__promoción_y_respeto_de_los_derechos_humanos_y_fundamentales,A,sin observaciones
106,3,protección__promoción_y_respeto_de_los_derechos_humanos_y_fundamentales,A,"Corresponde, para el Estado y las personas, el respeto y promoción de DDFF a través de la ""acción de protección"" y el ""Habeas Corpus"". La ONU lo incluye como deber del Estado."
107,3,protección__promoción_y_respeto_de_los_derechos_humanos_y_fundamentales,A,Que la protección de los derechos humanos sea para todas las personas.
108,3,protección__promoción_y_respeto_de_los_derechos_humanos_y_fundamentales,A,"todas las personas deben respetar los derechos  humanos, promover el respeto y los derechos de todas las personas sin distinción de ningún tipo."
111,3,protección__promoción_y_respeto_de_los_derechos_humanos_y_fundamentales,A,"Que al resolver conflictos en la sociedad o controversias, tengan como límite los DD.HH y Tratados Internacionales."
112,3,protección__promoción_y_respeto_de_los_derechos_humanos_y_fundamentales,A,COMPLETO ACUERDO DE QUE SE DEBE CUIDAR Y ADEMÁS PROMOVER Y EDUCAR SOBRE DERECHOS HUMANOS
114,3,protección__promoción_y_respeto_de_los_derechos_humanos_y_fundamentales,A,Porque es una seguridad básica.
115,3,protección__promoción_y_respeto_de_los_derechos_humanos_y_fundamentales,A,Siempre se debe velar por este deber fundamental
117,3,protección__promoción_y_respeto_de_los_derechos_humanos_y_fundamentales,A,"Desde que se proclamaron en Francia, en 1789, es muy necesario que se sigan protegiendo y defendiendo por el bienestar y seguridad social, y tranquilidad de la población."
125,3,protección__promoción_y_respeto_de_los_derechos_humanos_y_fundamentales,A,En conformidad a tratados y derechos internacionales.
126,3,protección__promoción_y_respeto_de_los_derechos_humanos_y_fundamentales,A,"PORQUE ESTOS DERECHOS EMANAN DE LA NATURALEZA DE LOS SERES HUMANOS, QUIENES SON DIGNOS EN ESENCIA."
129,3,protección__promoción_y_respeto_de_los_derechos_humanos_y_fundamentales,A,El estado debe garantizar los derechos de los ciudadanos
133,3,protección__promoción_y_respeto_de_los_derechos_humanos_y_fundamentales,A,los derechos humanos deben ser respetados ante cualquier situación y no deben ser violados
139,3,protección__promoción_y_respeto_de_los_derechos_humanos_y_fundamentales,A,"Es deber de cada ciudadano el respetar el derecho de nuestros semejantes, ya que se tiene que construir una sociedad segura , sana, desarrollada y con visión de futuro, sin rencores ni enfermedades sociales."
140,3,protección__promoción_y_respeto_de_los_derechos_humanos_y_fundamentales,A,Darle realce a los DD.HH. y consagrarlos en el derecho interno. Que exista una verdadera protección
141,3,protección__promoción_y_respeto_de_los_derechos_humanos_y_fundamentales,A,Total. Contempla toda la constitución sus instituciones y derechos.
142,3,protección__promoción_y_respeto_de_los_derechos_humanos_y_fundamentales,A,"Incluir la dignidad humana de forma amplia en todo el ciclo de vida, incluyendo la idea sobre el respeto del otro de forma no abusiva, que no sea una imposición."
143,3,protección__promoción_y_respeto_de_los_derechos_humanos_y_fundamentales,A,"fundamentales como base para el avance de cualquier sociedad, disminuyendo las brechas existentes. El concepto de dºº hºº es reciente, existe cierta confusión y tergiversación perversa en ocasiones del concepto."
144,3,protección__promoción_y_respeto_de_los_derechos_humanos_y_fundamentales,A,"Es la base del respeto y la convivencia, es el deber más importante dentro de la nueva constitución."
147,3,protección__promoción_y_respeto_de_los_derechos_humanos_y_fundamentales,A,Que el gobierno se preocupe por lo que necesita cada persona
148,1,protección__promoción_y_respeto_de_los_derechos_humanos_y_fundamentales,A,CREEMOS QUE DEBE EXISTIR FEHACIENTEMENTE EL MAS AMPLIO RESPETO POR LOS DERECHOS HUMANOS Y EL ESTADO DEBE GARANTIZAR SU EJERCICIO.
151,3,protección__promoción_y_respeto_de_los_derechos_humanos_y_fundamentales,A,Que se baje una información transparentes para todas las personas
153,3,protección__promoción_y_respeto_de_los_derechos_humanos_y_fundamentales,A,"Debemos proteger este derecho . No liberando a los que han  violado, cometiendo delitos de lesa humanidad  y no dejando que esto pase nunca mas."
154,3,protección__promoción_y_respeto_de_los_derechos_humanos_y_fundamentales,A,.
156,3,protección__promoción_y_respeto_de_los_derechos_humanos_y_fundamentales,A,"Fomentar la Educación de estos derechos, de tal modo de incorporarlos individualmente como un deber irrenunciable."
158,3,protección__promoción_y_respeto_de_los_derechos_humanos_y_fundamentales,A,Ya el concepto habla por sí solo
161,3,protección__promoción_y_respeto_de_los_derechos_humanos_y_fundamentales,A,"Para evitar los problemas del pasado, en nuestro país a los Derechos Humanos debiera ser fundamental."
162,3,protección__promoción_y_respeto_de_los_derechos_humanos_y_fundamentales,A,Para que los DD.HH sean una real base de las instituciones y acciones que el Estado ejerza para con nosotros.
164,3,protección__promoción_y_respeto_de_los_derechos_humanos_y_fundamentales,A,Debemos proteger y garantizar todos y cada uno de los derechos humanos reconocidos a nivel mundial. Es lo que nos define como seres humanos.
165,3,protección__promoción_y_respeto_de_los_derechos_humanos_y_fundamentales,A,"Garantizar la protección de los Derechos Humanos sin distinción en todos los niveles, generando una cultura permanente de promoción y defensa."
166,3,protección__promoción_y_respeto_de_los_derechos_humanos_y_fundamentales,A,"Se deben proteger los derechos humanos básicos, como la vida, la integridad física, la libertad en todos sus aspectos de expresión, pensamiento, información y comunicación, a vivir en un medio ambiente sano y en paz entre las naciones."
168,3,protección__promoción_y_respeto_de_los_derechos_humanos_y_fundamentales,A,"Protección, promoción y respeto de los derechos humanos y fundamentales en todas sus áreas."
170,3,protección__promoción_y_respeto_de_los_derechos_humanos_y_fundamentales,A,"Es la base de los derechos, y engloba a todo el resto."
171,3,protección__promoción_y_respeto_de_los_derechos_humanos_y_fundamentales,A,"como eje fundamental para una sociedad moderna, justa e inclusiva"
176,3,protección__promoción_y_respeto_de_los_derechos_humanos_y_fundamentales,A,"Para la sana convivencia es fundamental que la constitución y el estado promuevan de modo irrestricto de los Derechos  Humanos. El Estado es la principal institución garante del reconocimiento, respeto, promoción y protección de estos derechos, que son de todos los habitantes del país."
177,3,protección__promoción_y_respeto_de_los_derechos_humanos_y_fundamentales,A,Es especialmente importante en un país con la historia de nuestro país.
178,3,protección__promoción_y_respeto_de_los_derechos_humanos_y_fundamentales,A,"Fundamental en todo Estado, tanto por el actuar de sus integrantes y, muy especial, por el Estado."
181,3,protección__promoción_y_respeto_de_los_derechos_humanos_y_fundamentales,A,Todos de acuerdo
187,3,protección__promoción_y_respeto_de_los_derechos_humanos_y_fundamentales,A,Por lo establecido a nivel mundial.
189,3,protección__promoción_y_respeto_de_los_derechos_humanos_y_fundamentales,A,"Obligación que deben contraer los individuos en el sentido que cada uno debe velar por el cumplimiento, promoción, defensa y respeto de los derechos más fundamentales e inalineables de cada ciudadano."
193,3,protección__promoción_y_respeto_de_los_derechos_humanos_y_fundamentales,A,No hay fundamentos más allá de la discusión.
194,3,protección__promoción_y_respeto_de_los_derechos_humanos_y_fundamentales,A,Para que nunca mas.
197,3,protección__promoción_y_respeto_de_los_derechos_humanos_y_fundamentales,A,"El respeto y garantía de los derechos humanos es uno de los propósitos de una constitución por lo que resulta importante que el Estado y los ciudadanos los reconozcan, difundan, protejan y garanticen."
198,3,protección__promoción_y_respeto_de_los_derechos_humanos_y_fundamentales,A,Es la base del Estado de Derecho. No hay Estadio de Derecho sin Derechos Humanos.
200,3,protección__promoción_y_respeto_de_los_derechos_humanos_y_fundamentales,A,"con esto garantizamos que el Estado anteponga el valor de las personas, respetando sus derechos."
