idEla,tema,concepto,acuerdo,fundamento
74,1,república,A,- Engloba derechos políticos tradicionales de la sociedad. - Instituciones probadas y aceptadas.
126,1,república,A,TODOS DEBEMOS OCUPARNOS DE LOS ASUNTOS PÚBLICOS (RES PUBLICATA)
164,1,república,A,"Chile debe ser una República basada en un Constitución Política y con Estado de derecho para sus ciudadanos, con periodicidad en los cargos políticos, sin secretos de Estado, con separación de poderes de Estado e Igualdad ante la ley."
171,1,república,A,para sentir que no existen ciudadanos con mayor o menor valia
266,1,república,A,nuestro país debe tener  un sistema de gobierno republicano
273,1,república,A,Porque con los derechos y deberes republicanos da fundamento a toda la Sociedad.
353,1,república,A,Valorización de lo nuestro.
413,1,república,A,La República tiene que ver con la memoria y la cosa pública. Consideramos que el sentido de este concepto es básico para visualizar hacia dónde queremos ir como sociedad.
486,1,república,A,• UNA FORMA DE GOBIERNO EN QUE LA CIUDADANIA EXPRESE SU VOLUNTAD ATRAVEZ DEL VOTO.
525,1,república,P,Consideramos que es un valor o principio que debe estar en la constitución.
586,1,república,A,"Chile es una república democrática, gobernado por un presidente elegido en forma democrática y que ejerce por un periodo determinado establecido en la constitución."
609,1,república,A,"Cuando se incluye el concepto República como base de nuestra constitución, se garantiza que existirá un sistema democrático en la elección de representantes, para que no existan dinastías ni dictaduras que gobiernen nuestro país."
613,1,república,A,participación ciudadana plena  estado democratico
692,1,república,A,"Forma de Gobierno Republicano, con un jefe de estado elegido por elecciones regulares. Democratico. Derecho del pueblo a gobernarse por autoridades temporales elgidas mediante eleccion popular"
842,1,república,P,Como forma de Gobierno/ Estado en que el poder de los gobernantes emana de la voluntad popular conforme a la ley. Algunos participantes lo consideraron como un mecanismo.
873,1,república,A,"La repartición de poderes es necesaria, y quizá no solo un sistema presidencialista."
936,1,república,A,"Si bien el estado es una república con participación indirecta, debe expresar en los principios y valores de la nueva constitución el camino hacia una república con participación directa, entendiendo esta como el fomento de plebiscitos, voto electrónico, cabildos y otras instancias de participación"
979,1,república,A,Para que el poder lo tengan las autoridades electas por el pueblo y no un rey que hereda su poder.
1332,1,república,A,Crea las estructuras por la cual se construye todo el resto
1334,1,república,A,"es la base de la constitución, la constitución debe definirnos como república"
1451,1,república,A,No debe atacar temas puntuales. Debe ser flexible. Fundamento de las leyes. Separación de los poderes.
1491,4,república,A,La Constitución debe garantizar la iniciativa legal parlamentaria en aspectos tales como la institucionalidad y recursos.
1534,1,república,A,"En este concepto, está incluido entre otros, el Estado de Derecho y la democracia. Las personas tienen el ejercicio y la facultad mediante la elección de las autoridades y se rige por leyes."
