idEla,tema,concepto,acuerdo,fundamento
9,1,respeto,A,Es un valor fundamental y que está en el seno de muchos otros principios. Representa la consideración para con los demás.
12,1,respeto,A,"El respeto es importante en un pais, ya que demuestra que todos los ciudadanos comparten y toleran las opiniones desde distintos puntos de vistas."
16,1,respeto,A,"Necesitamos un respeto que nazca del seno familiar que vaya dirigida hacia la misma, las autoridades, e instituciones. También el respeto a lo establecido anteriormente por leyes y costumbres sanas de sociedad."
29,1,respeto,A,Debe existir un respeto mutuo entre el estado y los ciudadanos y entre los ciudadanos
31,1,respeto,A,respeto para todos los ciudadanos
36,1,respeto,A,"Relacionado con otros principios y valores, lo que conlleva a acatar las diferentes instituciones, y no causar perjuicio a terceros."
43,1,respeto,A,Sentimos que el respeto es lo principal en este proceso.
54,1,respeto,A,"Total acuerdo, porque el respeto es fundamental, porque todos somos diferentes y pensamos diferente."
56,1,respeto,A,Debido a que todos les es importante el respeto en todo aspecto.
58,1,respeto,A,"para recibir respeto, primero uno debe respetar y cumplir con los deberes y obligaciones de cada ciudadano"
61,1,respeto,A,"No más intervenciones de forestales, menos plantaciones; contar con un marco de respeto hacia el agua o vertientes naturales y la tierra y sus nutrientes."
66,1,respeto,A,"Debido a que este valor se está perdiendo, y es el pilar para poder lograr la democracia, justicia, etc."
74,1,respeto,A,- Requisito de relación armónica de la sociedad. - Respeto entre ciudadanos (horizontal) y autoridad-ciudadano (vertical).
81,1,respeto,A,sin comentarios
82,1,respeto,A,Base esencial para vivir en Sociedad.
86,1,respeto,A,"Debe ser un valor fundamental e intrínseco de la persona que el Estado debe cautelar , para así establecer diferencia para cada condición (diferente) de la Sociedad."
89,1,respeto,A,Debe velar por el respeto a todos los chilenos.
94,1,respeto,A,Obtuvo mayor consenso. De este valor el grupo piensa que se deriva todo.
96,3,respeto,A,Constitución  A las leyes  A escuchar  A los otros
100,1,respeto,P,"El respeto en todos los ámbitos da cabida a una sana convivencia en la sociedad, promueve la tolerancia y por tanto lleva al bien común. Este respeto debe considerarse al momento de ejercer la libertad."
104,1,respeto,A,"Es un prisma valórico que nos permite el desarrollo de todos, además que es la base del bien común."
105,1,respeto,A,a la vida en general
111,1,respeto,A,"Por distintas identidades, formas de vivir, relaciones sociales. No privilegiar ciertas formas de vida sobre otras."
112,1,respeto,A,ELEMENTO ESCENCIAL PARA RELACIONARNOS Y CONSTRUIR PAIS
115,1,respeto,A,Porque es un valor basico
117,1,respeto,A,"Debe ser intrínseco al ser humano. Lo brinda la familia y debe ser consagrado, ya que actualmente hay una tendencia a las faltas de respeto. A la Ley, a la norma vigente y al otro."
125,1,respeto,A,Respetar las diferencias y derechos de los otros.
129,1,respeto,A,Condición a los derechos de otros y su condición.
130,1,respeto,A,Para vivir mejor y en tranquilidad y tener seguridad respetando como humanos.
138,1,respeto,A,RESPETAR A CADA CIUDADANO. VALORES IMPORTANTES
144,1,respeto,A,Se requiere que el respeto esté garantizado tanto entre ciudadanos como entre estado y ciudadanía.
147,1,respeto,A,"El respeto no debe ser solo personal, sino que además se respete el entorno donde vivimos"
151,1,respeto,A,Respeto en comunidad mutuamente en la sociedad
156,1,respeto,A,"El respeto es un valor fundamental, es aceptar a un otro como legítimo otro (ser vivo), sobre el que se construye la sociedad"
171,1,respeto,P,"independiente de nuestras creencias, etnias y posiciones politicas"
176,1,respeto,A,Es la base de la vida en comunidad y la democracia y su relación con el entorno.
197,1,respeto,A,"Derecho que reconoce el valor de las personas como seres únicos, con sus intereses y necesidades de cada individuo."
200,1,respeto,A,Basado en el respeto a las personas a las diferentes culturas a los inmigrantes y a nuestra flora y fauna.
209,1,respeto,A,"El respeto es la base de todo, ya que si partimos desde aquí podremos vencer otros obstáculos como la discriminación o la exclusión. El respeto debería existir por el solo hecho de que somos seres humanos."
210,1,respeto,A,"Que el adulto mayor sea respetado, y también respeto en general a las personas."
222,1,respeto,A,"A la vida, a las diferentes cultural, al medioambiente, a la diversidad de género."
226,1,respeto,A,"El respeto es algo que se ha perdido partiendo desde el hogar, continuando en la escuela y luego en donde estemos ya de adultos. El respeto es el pilar de otros valores fundamentales, si este existe, habrá tolerancia y empatía."
233,1,respeto,A,.
236,1,respeto,A,"TRATA DEL PRINCIPIO BASICO DE RELACIONARNOS Y RECONOCERNOS DESDE NUESTRA INDIVIDUALIDAD CONSIDERANDO QUE COMPARTIMOS UN LUGAR, UNA ACCION, UNA VIDA QUE REQUIERE INTEGRARSE EN ARMONIA BAJO LOS PRINCIPIOS DE CONVIVENCIA SANA."
238,1,respeto,A,"Se ha perdido el respeto en distintas materias. Igual con el adulto mayor. Tenemos que respetarnos unos a otros, como ciudadanos y como personas."
245,1,respeto,A,Es muy importante porque todos merecemos respeto el uno del otro.
246,1,respeto,A,COMPRENDE A LOS QUE NO PIENSAN IGUAL
259,1,respeto,A,"Proteger y conservar los recursos naturales, educando y formando políticas que resguarden el medio ambiente sin permitir la explotación a favor de intereses minoritarios y capitalista. Consideramos esto un signo vital de respeto por las futuras generaciones."
273,1,respeto,A,Engloba todos los conceptos relacionados com los otros.
274,1,respeto,A,"Se necesita respetar a los adultos mayores. El respeto es muy importante, para todo."
279,1,respeto,A,"POR LAS PERSONAS.INSTITUCIONES,QUE SEA TRANSVERSAL."
280,1,respeto,A,"Respeto entre la ciudadanía ,en todo orden de temas ,ideales ,sexualidad y político."
289,1,respeto,A,"Todos somos distintos, pero debemos tener en consideración las expectativas, sensibilidades y visiones de los demás. El respeto debe ser recíproco. Amor, como legitimo otro en la convivencia."
295,1,respeto,A,Actitud a la base de la relación entre sujetos como límite a la libertad.
298,1,respeto,A,- Sentimiento positivo - Reconocimiento al ser humano por ser persona - Convivencia y armoníá con el otro y con Dios
302,1,respeto,A,"Sin respeto, la sociedad no funciona. Es la base de toda acción y relación humana: respeto al medio ambiente, la diversidad, las instituciones, entre las personas, etcétera."
310,1,respeto,A,se considera como un valor esencial  para convivencia con nuestro prójimo.
312,1,respeto,A,"Respeto por las personas, cualquiera sea su naturaleza, origen, edad, raza, clase social."
318,1,respeto,A,Porque sin respeto no hay amor
320,1,respeto,A,EL respeto es un valor/principio esencial que emana de la naturaleza humana y debe ser uno de los principios fundamentales de la constitución
328,1,respeto,A,respecto va unida con varios conceptos en general
335,1,respeto,A,Tanto el respeto a los Derechos como entre las personas es fundamental dentro de la comundad
338,1,respeto,A,"Actualmente existe la sensación colectiva que el respeto debe ser reclamado por la ciudadanía, porque el estado no lo entrega. Toda la legislación debe fundamentarse en el respeto, así como también el actuar de la administración y los grandes inversionistas nacionales y extranjeros."
344,1,respeto,A,"Respeto es la base de la convivencia. Respeto a las personas, seres vivos, medio ambiente, instituciones, estado de derecho, culturas y religiones."
356,3,respeto,A,A los demás y a las leyes.
363,1,respeto,A,"Sin respeto no tenemos inclusión , respeto entre nosotros y no solo las autoridades y asi tendremos igualdad."
373,1,respeto,A,"El respeto se basa, en integridad, en responsabilidad, en transformación."
375,1,respeto,A,"en el trato a las personas, reconocer sus derechos fundamentales, como también la diversidad de sus culturas. Tolerancia hacia las diferencias, mayor escucha y respeto por las ideas de los demás."
382,1,respeto,A,"A los otros, como ser úinico y en relación con el/la otro/otra.  Valor 2."
387,1,respeto,A,"Respetar la diversidad en las persona y en las creencias que presentan, para el funcionamiento de la vida en sociedad."
392,1,respeto,P,Valor social fundamental para mantener una sociedad armónica y una convivencia pacífica entre sus miembros y entorno físico y natural.
