idEla,tema,concepto,acuerdo,fundamento
13,2,respeto_a_la_naturaleza_medio_ambiente,A,"Derecho de todo el pueblo a disfrutar, gozar de nuestros recursos naturales, existiendo protección del medio ambiente con prácticas de desarrollo sustentable; eliminar el uso y abuso de privados ante los recursos naturales de todos."
17,2,respeto_a_la_naturaleza_medio_ambiente,A,Cuidar de nuestros glaciares ya que son nuestra reserva de agua de la misma manera el ambiente en general. No a las hidroeléctricas que contaminan y destrozan nuestro medio ambiente.
19,2,respeto_a_la_naturaleza_medio_ambiente,A,Es importante convivir equilibradamente con la naturaleza a fin de que no seamos perjudicados nosotros mismos ni la naturaleza.
43,2,respeto_a_la_naturaleza_medio_ambiente,A,Se debe respetar los recursos naturales
48,2,respeto_a_la_naturaleza_medio_ambiente,A,"Porque somos parte de la tierra, de un mismo universo, por lo que proteger el medio ambiente implica proteger la vida humana, de calidad y en cantidad."
55,2,respeto_a_la_naturaleza_medio_ambiente,A,Sin comentarios
77,2,respeto_a_la_naturaleza_medio_ambiente,A,"Como los otros componentes esenciales de nuestra constitución, se trata de un valor de nuestro país que por lo mismo debe ser considerado también un derecho fundamental básico, tanto en su ejercicio como en el respeto que se le debe merecer. Además se trata de un deber fundamental."
85,2,respeto_a_la_naturaleza_medio_ambiente,A,"Preservación del medio ambiente siguiendo criterios científicos, definidos a partir de una mirada técnica, incluye protección y garantía de los recursos naturales."
86,2,respeto_a_la_naturaleza_medio_ambiente,A,"El Estado debe considerar este derecho al crear políticas públicas para dejar  una herencia a las futuras generaciones, el resguardo al medio ambiente, ayudar a que no se agoten nuestros recursos naturales."
89,2,respeto_a_la_naturaleza_medio_ambiente,P,Derecho a la conservación de las riquezas medio ambientales.
91,2,respeto_a_la_naturaleza_medio_ambiente,A,todos merecemos el derecho a vivir y crecer en un ambiente natural y sin contaminación . Basta de contaminación  y destrucción por las empresas .-
108,2,respeto_a_la_naturaleza_medio_ambiente,P,"se debe resguardar la preservación de la naturaleza, el uso razonable de los recursos naturales y el cuidado del medio ambiente"
138,2,respeto_a_la_naturaleza_medio_ambiente,A,RESPETO A LA NATURALEZA
147,2,respeto_a_la_naturaleza_medio_ambiente,A,Que no se exploten los recursos naturales de manera indebida.
156,2,respeto_a_la_naturaleza_medio_ambiente,A,"Garantizar la sustentabilidad de los recursos naturales más allá de las generaciones actuales y velar por un equilibrio entre explotación de los recursos naturales y el cuidado del medioambiente, porque es un condicionante de la calidad de vida de las personas."
158,2,respeto_a_la_naturaleza_medio_ambiente,A,"Hemos visto cómo el país ha sido saqueado en estos últimos años, en sus recursos naturales que no consideran ningún resguardo en los equilibrios de los ecosistemas."
161,2,respeto_a_la_naturaleza_medio_ambiente,A,"Promover y asegurar el respeto y cuidado a la Naturaleza y el Medio Ambiente, entendiéndolo como una herencia para las generaciones futuras de habitantes de nuestro país."
166,2,respeto_a_la_naturaleza_medio_ambiente,A,"El estado debe tener el dominio de todos los recursos naturales. Además, la utilización de nuestros recursos no debe arriesgar el goce de las futuras generaciones."
169,2,respeto_a_la_naturaleza_medio_ambiente,A,EL AGUA DEBE SER UN RECURSO NACIONAL ADMINISTRADO POR EL ESTADO.
170,2,respeto_a_la_naturaleza_medio_ambiente,A,"Los ciudadanos deben tener derecho a un medio ambiente protegido, equilibrado e instituciones que respeten el ecosistema, pues es parte del desarrollo humano, colectivo e individual."
