idEla,tema,concepto,acuerdo,fundamento
3,1,respeto_conservación_de_la_naturaleza_o_medio_ambiente,A,Debe haber una política de conservación ya que Chile es un país dependiente de sus materias primas.
8,1,respeto_conservación_de_la_naturaleza_o_medio_ambiente,A,"el medio ambiente es central para que pueda existir cualquier ser vivo; por lo tanto es previo a la existencia de los seres humanos, la vida y todo lo que existe en el planeta.  El respeto hacia el medio ambiente es el respeto hacia nosotros mismo en cuento somos parte constitutiva de él."
11,1,respeto_conservación_de_la_naturaleza_o_medio_ambiente,A,Se entiende el medio ambiente como recursos naturales en tanto bien público.
16,1,respeto_conservación_de_la_naturaleza_o_medio_ambiente,A,"Crear leyes efectivas en la conservación de la naturaleza y el medio ambiente minimizando el impacto endémico y autóctono del lugar, cielo, suelo y subsuelo."
17,1,respeto_conservación_de_la_naturaleza_o_medio_ambiente,A,"Nunca olvidar que la naturaleza es la que nos entrega todo para vivir, respeto y cuidado ya que de ella extraemos lo necesario para surgir. Seamos un país no solo reconocido por sus logros económicos o culturales sino también por la alta conciencia ambiental que debemos poseer."
20,1,respeto_conservación_de_la_naturaleza_o_medio_ambiente,A,"Es muy importante este respeto no sólo ahora, sino para el futuro, para las generaciones venideras."
33,1,respeto_conservación_de_la_naturaleza_o_medio_ambiente,A,valorar los recursos naturales. crear conciencia para terminar con la contaminación y respetar el medio ambiente.
46,1,respeto_conservación_de_la_naturaleza_o_medio_ambiente,A,Que garantice la preservación de nuestra flora y fauna para las futuras generaciones.
55,1,respeto_conservación_de_la_naturaleza_o_medio_ambiente,A,Sin comentarios
59,1,respeto_conservación_de_la_naturaleza_o_medio_ambiente,A,Como sociedad estamos agotando los recursos naturales se necesitan políticas que protejan adecuadamente lo que afecta al medio ambiente necesitamos ir construyendo una verdadera conciencia en el cuidado y protección del medio ambiente crecer en la reutilización de los recursos para generar energia.
68,1,respeto_conservación_de_la_naturaleza_o_medio_ambiente,A,"Preservar y velar por la integridad  de la biosfera y establecer leyes de control. Tener empatía con la naturaleza , legitimar las opiniones de la comunidad y velar por los intereses del contexto cultural cuando se interviene la naturaleza y la explotación de recursos."
72,1,respeto_conservación_de_la_naturaleza_o_medio_ambiente,A,Con énfasis en el respeto de los recursos naturales como bienes de derecho público.
75,1,respeto_conservación_de_la_naturaleza_o_medio_ambiente,A,"Hacia el medio ambiente, a la persona, tolerancia, comunidades rurales, indígenas."
