idEla,tema,concepto,acuerdo,fundamento
3,3,respeto_de_derechos_de_otros,A,Es un deber básico asociado al bien común.
8,3,respeto_de_derechos_de_otros,A,el respeto por el otro como sujeto de derechos es la base de la creación de una cultura de derechos humanos y de una sociedad basada en el bien común.
12,3,respeto_de_derechos_de_otros,A,Concordamos en que esto es fundamental dentro de una constitución.
14,3,respeto_de_derechos_de_otros,A,Respetar la integridad y el espacio de los demás.
17,3,respeto_de_derechos_de_otros,A,"Respeto entre nosotros y por los derechos de otros, es algo que se debe dar en toda sociedad como base fundamental, el respeto."
24,3,respeto_de_derechos_de_otros,A,es una obligación de tratar con dignidad a los demás
33,3,respeto_de_derechos_de_otros,A,"si practicamos esto, los demás también nos respetaran nuestros derechos y sera algo mutuo."
35,3,respeto_de_derechos_de_otros,A,Por reciprocidad. Es necesario y crítico para el cumplimiento de derechos. Facilita la vida pacífica en comunidad.
43,3,respeto_de_derechos_de_otros,A,El respeto es fundamental
48,3,respeto_de_derechos_de_otros,A,"Este derecho está asociado al pluralismo que entendemos tiene nuestra sociedad, pensando y respetando la dignidad humana."
55,3,respeto_de_derechos_de_otros,A,Sin comentarios
56,3,respeto_de_derechos_de_otros,A,Debido a que todos merecen toda la igualdad que puedan merecer y el respeto entre ellos
57,3,respeto_de_derechos_de_otros,A,respetar el derecho del otro sin importar su opinión o ideología.
58,3,respeto_de_derechos_de_otros,A,"deben respetarse los unos a los otros, nadie es superior al otro, sin importar su condición"
61,3,respeto_de_derechos_de_otros,A,"Buena convivencia con los otros, de respeto hacia nosotros mismos, y de otros a nosotros."
63,3,respeto_de_derechos_de_otros,A,Básico y fundamental para asegurar el respeto y  buena convivencia.
66,3,respeto_de_derechos_de_otros,A,Nos debemos respetar mutuamente. Ya que si me respetan yo respetaré.
70,3,respeto_de_derechos_de_otros,A,debemos respetar los derechos humanos
72,3,respeto_de_derechos_de_otros,A,Sin discusión acuerdo unánime.
74,3,respeto_de_derechos_de_otros,A,- Garantiza amistad cívica. - “El respeto al derecho ajeno es la paz”. - Sentido de reciprocidad.
76,3,respeto_de_derechos_de_otros,A,.
77,3,respeto_de_derechos_de_otros,A,"En sintonía con el valor del Bien Común, uno de los deberes con mayor cantidad de votos fue este."
80,3,respeto_de_derechos_de_otros,A,xxxx
81,3,respeto_de_derechos_de_otros,A,sin comentarios
82,3,respeto_de_derechos_de_otros,A,Es esencial para vivir el Sociedad.
91,3,respeto_de_derechos_de_otros,A,"es un deber fundamental para preservar la vida comunitaria . Comprensión de nuestros pares ,compromiso de respeto mutuo y no pasar a llevar al otro.-"
94,3,respeto_de_derechos_de_otros,A,Para hacer efectivo el respeto entre todos.
98,3,respeto_de_derechos_de_otros,A,Este deber permite la convivencia armónica.
101,3,respeto_de_derechos_de_otros,A,"Se opone al individualismo que reina. Esto considera empatizar con los otros, es parte de la cultura cívica y permite la convivencia."
104,3,respeto_de_derechos_de_otros,A,"No podemos ""pasar por encima de los demás"". El respeto tiene que ser recíproco para mantener la armonía."
107,3,respeto_de_derechos_de_otros,A,Es importante que respetemos el derecho de los otros para que también respeten los nuestro y fortalezcamos la convivencia social en el país y contribuyamos a la paz.
110,3,respeto_de_derechos_de_otros,A,"Más allá del estricto cumplimiento de las leyes, debemos respetar el derecho de los demás."
115,3,respeto_de_derechos_de_otros,A,Para poder relacionarnos civilizadamente
117,3,respeto_de_derechos_de_otros,A,Es para evitar conflictos sociales mayores y revueltas. Para vivir en paz.
118,3,respeto_de_derechos_de_otros,A,Respetarnos
124,3,respeto_de_derechos_de_otros,A,.
129,3,respeto_de_derechos_de_otros,A,No pasar a llevar las libertades del otro
130,3,respeto_de_derechos_de_otros,A,Respeto a los DDHH de todos.
131,3,respeto_de_derechos_de_otros,A,Incluye el concepto de derecho por el prójimo.
136,3,respeto_de_derechos_de_otros,A,Permite una convivencia de mejor calidad y busca la armonía dentro de la sociedad.
138,3,respeto_de_derechos_de_otros,A,RESPETAR A TODO CIUDADANO
139,3,respeto_de_derechos_de_otros,A,"Todos tenemos que respetar el derecho de los otros, en todos los ámbitos como lo son social, económico, religioso, político, sexual, étnico, etc, ya que esto asegura contar con una sociedad en paz."
142,3,respeto_de_derechos_de_otros,A,"Muy ligado al derecho a la diversidad del otro, Chile es un país que va avanzando hacia la acogida de muchos migrantes, por lo que garantizar esos derechos es fundamental. Es un cambio social y cultural profundo que no se termina o empieza en una ley, sino que también es un proceso cultural."
144,3,respeto_de_derechos_de_otros,A,"Es fundamental para la convivencia en paz con el resto de la ciudadanía, se debe garantizar los derechos de todos los habitantes del país sin importar sus diferencias."
147,3,respeto_de_derechos_de_otros,A,Respeto a los pares sin hacer distinción Todos somos iguales
148,3,respeto_de_derechos_de_otros,A,ASUMIMOS QUE EL NUEVO MAROC JURIDICO DEBE ALENTAR SIEMPRE EL RESPETO POR LOS INTERESES DE OTROS TANTO A NIVEL GRUPAL COMO PERSONAL.
151,3,respeto_de_derechos_de_otros,A,Respetarte en todo ámbito tanto en lo psicológico y físico
153,3,respeto_de_derechos_de_otros,A,Para  que nuestros derechos sean respetados  también debemos respetar los derechos de los demás sin olvidar que los nuestros terminan donde empiezan los del otro.
158,3,respeto_de_derechos_de_otros,A,"En este derecho está incluido el cumplimiento de las obligaciones fiscales, que es la gran falla que tiene Chile. Para asegurar el derecho del otro, se necesita que el fisco cuente con el cumplimiento de las obligaciones fiscales."
159,3,respeto_de_derechos_de_otros,A,"respeto. compañerismo, tolerancia. menos egoismo"
162,3,respeto_de_derechos_de_otros,A,"Deber respetar a nuestros semejantes para así crear una sociedad más justa, solidaria y empatica"
165,3,respeto_de_derechos_de_otros,A,Regular con mayor rigor las acciones que vulneren los derechos de otros.
168,3,respeto_de_derechos_de_otros,A,La consigna es “respeta si quieres ser respetado”.
171,3,respeto_de_derechos_de_otros,P,"respeta y seras respetado, eso queremos."
176,3,respeto_de_derechos_de_otros,A,"Promover, fortalecer y practicar el vínculo social es fundamental para lograr una sociedad sana y democrática que busca el bien común, valora las diferencias propias de nuestra comunidad y potencia de manera efectiva la solidaridad, el respeto, la protección y la colaboración."
178,3,respeto_de_derechos_de_otros,A,Propio del sistema democrático y esencial en el Estado de Derecho.
181,3,respeto_de_derechos_de_otros,A,Todos de acuerdo
187,3,respeto_de_derechos_de_otros,A,Porque el respeto se exige respetando a todos.
189,3,respeto_de_derechos_de_otros,A,Resguardar y promover las condiciones de expresión de los demás.
194,3,respeto_de_derechos_de_otros,A,Basico para el funcionamiento de la sociedad
198,3,respeto_de_derechos_de_otros,A,Es fundamental para vivir en democracia.
207,3,respeto_de_derechos_de_otros,A,Es un principio básico de convivencia social
209,3,respeto_de_derechos_de_otros,A,"El respeto es la base de todo, ya que si partimos desde aquí podremos vencer otros obstáculos como la discriminación o la exclusión. El respeto existe por el solo hecho de que somos seres humanos."
219,3,respeto_de_derechos_de_otros,A,"A nuestro parecer todas las personas deben respetar los derechos de otros, creemos que si bien tenemos libertad de actuar y pensar seguir nuestra propia creencia. Esta no debe transgredirlos derechos fundamentales que son los principales que debemos resguardar."
220,3,respeto_de_derechos_de_otros,A,El respeto de los derechos de otros debe ser exigido a todos los ciudadanos.
221,3,respeto_de_derechos_de_otros,A,"UNANIME en base a los derechos humanos proteger a todo individuo contra el abuso  de poder, dicriminación y exclusion por parte  del estado o ciudadano."
223,3,respeto_de_derechos_de_otros,A,"Respetar los espacios y derechos en común de la ciudad. Resguardar que el respecto, derechos de personas distintas, no altere el equilibrio, los mismos derechos a los que aspiramos debe ser respetado por los demás"
226,3,respeto_de_derechos_de_otros,P,"Respetar al otro y sus derechos. Si no se respeta esto, cualquier persona pasaría a llevar al otro discriminando. Todos somos iguales."
233,3,respeto_de_derechos_de_otros,A,.
236,3,respeto_de_derechos_de_otros,P,"DEBER DE CONVIVIR DE MANERA INTEGRADA Y RESPETUOSA DEL OTRO, RECONOCIENDO EN ELLO EL VALOR DE VIVIR EN COMUNIDADES EN FORMA ARMONIOSA"
239,3,respeto_de_derechos_de_otros,A,-
244,3,respeto_de_derechos_de_otros,A,5 de 10 participantes votaron por esta preferencia.
245,3,respeto_de_derechos_de_otros,A,Todos sabemos respetar los derechos de los otros para que así respeten los nuestros
246,3,respeto_de_derechos_de_otros,A,Chile país multicultural
247,3,respeto_de_derechos_de_otros,A,"Se exige la práctica de la tolerancia y comprensión para la aceptación de los valores, principios y derechos de cada persona, ponderando el resguardo de las diferencias existentes."
250,3,respeto_de_derechos_de_otros,A,"La Nueva Constitución debe promover la consideración hacia los otros, el deber de respeto de derechos de otros debe inspirar las relaciones humanas."
252,3,respeto_de_derechos_de_otros,A,"Es muy importante que los ciudadanos  aprendan a convivir socialmente y a ser respetuosos de los demás, sin interferir o impedir el libre ejercicio de sus derechos."
256,3,respeto_de_derechos_de_otros,A,"Es fundamental para el desarrollo de la vida en comunidad, respetar al otro"
