idEla,tema,concepto,acuerdo,fundamento
3,3,respeto_por_la_constitución,A,Es la columna vertebral del sistema político del estado
8,3,respeto_por_la_constitución,A,"Toda colectividad debe respetar el marco regulatorio que se ha dado.  Este respeto se sustenta en la legitimidad de su origen, es decir, en ser el resultado de un proceso participativo."
9,3,respeto_por_la_constitución,P,El marco de principios y normas que nos rigen como país debe ser respetada pero también justificadamente cuestionada cuando no representa a la mayoría (1980).
12,3,respeto_por_la_constitución,A,"Uno de los principales deberes, es generar respeto por la constitución, ya que de esta manera se forman ciudadanos que den peso a lo que se plantea actualmente."
13,3,respeto_por_la_constitución,A,"Respeto por la NUEVA constitución, emanada de la asamblea constituyente."
14,3,respeto_por_la_constitución,A,"Que la carta fundamental que surja en democracia, a través de una asamblea constituyente, sea respetada por todos."
16,3,respeto_por_la_constitución,A,Todos tenemos obligación como ciudadanos a respetar y hacer cumplir la constitución.
17,3,respeto_por_la_constitución,A,"Al ser nosotros parte de la creación de esta, debe si o si existir un respeto por ella y acatarla."
20,3,respeto_por_la_constitución,A,Es un deber fundamental de todo ciudadano y de todos los dirigentes de las instituciones.
24,3,respeto_por_la_constitución,A,"deber ciudadano, es norma fundamental que es la base para todas las normas del país"
29,3,respeto_por_la_constitución,A,Como ciudadanos debemos respetar las leyes que nos rigen para mantener el orden
31,3,respeto_por_la_constitución,A,si estamos en esto es para respetar nuestra nueva constitución.
33,3,respeto_por_la_constitución,A,"es la que nos rige y nos dicta que hacer y que no, para el cuidado de nuestra integridad."
36,3,respeto_por_la_constitución,A,"Es primordial este respeto por cuanto permite asegurar las bases de un Estado de Derecho y porque fija los límites y define las relaciones entre los poderes del Estado, permitiendo el gobierno y organización de las instituciones. Asimismo, garantiza al pueblo derechos y libertades."
46,3,respeto_por_la_constitución,A,"Se debe respetar la constitución asi como las demás leyes y normas. El respeto a la constitución, garantizará la unidad nacional y una estabilidad política."
48,3,respeto_por_la_constitución,A,"Es la carta fundamental, plantea las reglas del juego y es absolutamente necesario respetarla."
54,3,respeto_por_la_constitución,A,Nosotros como adultos mayores pensamos que sea cual sea el veredicto hay que respetarlo igual y hay que hacerse participe y cumplir todas las normas establecidas.
55,3,respeto_por_la_constitución,A,Sin comentarios
56,3,respeto_por_la_constitución,A,"Porque todos debemos respetar, familia, políticos y ciudadano por igual"
58,3,respeto_por_la_constitución,A,la constitución se respeta y tiene que regir para todos igual sin importar el cargo que tenga en la sociedad
61,3,respeto_por_la_constitución,A,"Si se quiere mejorar la situación hay que respetar la Constitución con un compromiso y valorarla, pero esta no debe ser desigual."
63,3,respeto_por_la_constitución,A,Cada ciudadano debe respetar lo plasmado en la constitución.
65,3,respeto_por_la_constitución,A,los ciudadanos debemos respetar la constitucion
66,3,respeto_por_la_constitución,A,"Si se respeta la constitución, se respetarán todo lo que hemos implantado."
68,3,respeto_por_la_constitución,A,Con el respeto a la constitución  legitimamos los derechos  y deberes comprometidos  a todas las personas (validamos  esta mención  para la nueva constitución).
70,3,respeto_por_la_constitución,A,Asegurar vivir en estado de derechos. Nos asegura una buena convivencia con las personas.
74,3,respeto_por_la_constitución,A,- Constitución marca precedencia y jerarquía sobre otras leyes y normas. - Permite existencia del Estado en el tiempo. - Debe ser un norte permanente
78,3,respeto_por_la_constitución,A,Es lo que nos resguarda los derechos y deberes.
79,3,respeto_por_la_constitución,A,"Una constitución debiese ser fundamentada y consultada con las bases. Una vez realizada una constitución, ésta debería ser respetada, en señal de respeto a nosotros como sociedad. El conflicto actual, es que la constitución vigente es basada en la opinión de una minoría, en beneficio de esta misma."
80,3,respeto_por_la_constitución,A,xxxxx
86,3,respeto_por_la_constitución,A,"Asegurar a todas las personas los derechos y obligaciones que allí se mencionan, ya sea para Gobernantes y Gobernados.   Establecer  e implementar los conceptos fundamentales para una nueva Constitución."
87,3,respeto_por_la_constitución,A,Respeto a las leyes constitucionales
91,3,respeto_por_la_constitución,A,"que para la nueva construcción de la constitución que nos regirá como país ,debe ser respetada por todos los ciudadanos , sean empresarios ,políticos,trabajadores o niños .-"
98,3,respeto_por_la_constitución,A,"Siendo la constitución la norma fundamental, es básico que la ciudadanía parta por acatarla."
100,3,respeto_por_la_constitución,A,"Todo lo establecido en ella pierde legitimidad si el pueblo no la respeta, no se puede vivir en comunidad sin respetarla."
104,3,respeto_por_la_constitución,A,Al respetar la constitución podríamos respetar y cumplir todas las leyes establecidas en ella.
105,3,respeto_por_la_constitución,A,sin observaciones
107,3,respeto_por_la_constitución,A,"Respetar la constitución que nos rige a todos y así poder vivir en una sociedad justa, sin altercados."
108,3,respeto_por_la_constitución,A,si esta constitución la construimos todos juntos es nuestra responsabilidad respetar lo que estamos realizando  en democracia lo que jamás habíamos tenido oportunidad de hacer.
115,3,respeto_por_la_constitución,A,Sin este deber se complica todo
117,3,respeto_por_la_constitución,A,Es indispensable para mantener el Estado de Derecho y vivir con apego a la ley.
124,3,respeto_por_la_constitución,A,.
125,3,respeto_por_la_constitución,A,Cuyo reguardo radique en instituciones elegidas democráticamente (no como funciona hoy el TC).
126,3,respeto_por_la_constitución,A,PORQUE ES LA NORMA FUNDAMENTAL QUE ORDENA LA VIDA EN SOCIEDAD.
129,3,respeto_por_la_constitución,A,Contar con una norma general que rija a todos los ciudadanos
130,3,respeto_por_la_constitución,A,"Por las leyes, normas, derechos y deberes."
131,3,respeto_por_la_constitución,A,"Es clave que esta se respete, sea estable y sea la guía fundamental de nuestra convivencia."
133,3,respeto_por_la_constitución,A,xx
138,3,respeto_por_la_constitución,A,RESPETAR
140,3,respeto_por_la_constitución,A,Deber que retroalimenta el fin de la misma Constitución
141,3,respeto_por_la_constitución,A,Total.
143,3,respeto_por_la_constitución,A,Mayores quiebres democráticos en el país dicen relación con el quebrantamiento de la constitución.
144,3,respeto_por_la_constitución,A,"Si esta nueva constitución será construida en democracia, como mínimo, se debe respetar en su totalidad."
147,3,respeto_por_la_constitución,A,Derecho fundamental que nos permita tener buena convivencia.
148,3,respeto_por_la_constitución,A,LA CONSTITUCION DEBE PERMITIR LA CONVIVENCIA DE LOS CIUDADANOS EN PAZ Y RESPETO QUE GRANTICEN LOS DERECHOS HUMANOS DE TODOS.
153,3,respeto_por_la_constitución,A,"Siendo esta nuestra carta fundamental debemos respetarla y enseñar a nuestros hijos  a hacerlo  esta deberá ser muy clara  y transparente, que no de pie  a malas interpretaciones"
161,3,respeto_por_la_constitución,A,"Si estamos discutiendo por la nueva Constitución y su importancia, debe ser el texto legal más respetado del país, por regular nuestra vida cívica."
164,3,respeto_por_la_constitución,P,"El respeto por la constitucion es un deber fundamental para el buen funcionamiento de las leyes, las institucionnes y la sociedad chilena."
166,3,respeto_por_la_constitución,A,"Debe ser respetada por la institucionalidad, la ciudadanía y las fuerzas armadas."
168,3,respeto_por_la_constitución,A,Sujeción absoluta a la nueva constitución que nos representará.
171,3,respeto_por_la_constitución,A,"al ser democrática en su concepción, el mayor compromiso"
176,3,respeto_por_la_constitución,A,"Una sociedad libre y democrática se basa en el respeto la estructura de valores y principios que la propia ciudadanía se ha impuesto. Esto implica el respeto irrestricto a la constitución por parte de toda la ciudadana, el estado y sus instituciones."
178,3,respeto_por_la_constitución,A,"Porque es la Ley fundamental del país y, más aún, si esta surge del consenso democrático de la población y no como la del 80."
181,3,respeto_por_la_constitución,A,Todos de acuerdo
187,3,respeto_por_la_constitución,A,Se respeta la constitución hecha por todos.
198,3,respeto_por_la_constitución,A,Es la norma más importante.
200,3,respeto_por_la_constitución,A,"respeto a la constitución soberana, tanto en su elaboración como en sus posibles ajustes. Que sea posible su modificación por parte del Soberano."
202,3,respeto_por_la_constitución,A,La estabilidad de una nación debe asentarse en el pleno respeto a la Constitución.
209,3,respeto_por_la_constitución,A,El respeto por la constitución debe ser igualitario para toda la ciudadanía.
210,3,respeto_por_la_constitución,A,Es la norma más importante y fundamental que regula un país.
219,3,respeto_por_la_constitución,A,"Creemos que debe ser uno de los servicios a promover. Toda persona, grupo e institución debe respetar los preceptos consagrados en la constitución, ya que ésta es la máxima norma jurídica de un Estado."
222,3,respeto_por_la_constitución,A,"Da las bases para la vida en comunidad, rige las relaciones de la sociedad y debe respetarse."
226,3,respeto_por_la_constitución,P,Debemos respetar la Constitución.
228,3,respeto_por_la_constitución,A,SE TRABAJARON SOLO DERECHOS POR ACUERDO DE LOS PARTICIPANTES
232,3,respeto_por_la_constitución,A,"Hemos elegido los conceptos en función de las carencias que hoy tiene nuestra sociedad, entendiendo que existen otros que la disposición institucional actual ya contempla."
233,3,respeto_por_la_constitución,A,.
239,3,respeto_por_la_constitución,P,"Respeto por la ""nueva"" Constitución."
240,3,respeto_por_la_constitución,A,"Respetar la constitución, los procesos constituyentes, que en ella están plasmados los derechos de todos, una constitución que respete la diversidad e igualdad."
242,3,respeto_por_la_constitución,A,Para ser escuchados y respetados individual y colectivamente.
243,3,respeto_por_la_constitución,A,Cada chileno tiene que respetar la constitución ejerciendo los deberes y reconociendo sus derechos.
244,3,respeto_por_la_constitución,A,4 de los participantes votaron por esta opción
245,3,respeto_por_la_constitución,A,Porque todas las leyes fueron hechas para cumplirlas y así poder mantener la paz entre las personas.
246,3,respeto_por_la_constitución,A,Cumplimiento de normas
247,3,respeto_por_la_constitución,A,Cada chileno debe acatar lo dispuesto en la carta magna siempre y cuando esta sea representativa por ser producto de un proceso democrático y participativo.
250,3,respeto_por_la_constitución,A,Es deber de todo ciudadano el respeto por la Nueva Constitución redactada en Democracia y legitimada por la participación ciudadana voluntaria.
252,3,respeto_por_la_constitución,A,"Los ciudadanos en todos sus ámbitos de la vida en sociedad deben ser respetuosos de la constitución, en especial si esta es generada por la sociedad misma."
261,3,respeto_por_la_constitución,A,para cuidar a la democracia
262,3,respeto_por_la_constitución,A,Es fundamental inculcar esto en los jóvenes
263,3,respeto_por_la_constitución,A,"Es fundamental respetar la constitución, para velar por el cumplimiento de los derechos y deberes de las personas y las autoridades que nos gobierna."
265,3,respeto_por_la_constitución,A,Respetar los derechos de todas las personas y comunidades reconocidas por la constitución.
266,3,respeto_por_la_constitución,A,todo individuo debe conocer y respetar la constitución que rige a la nación
274,3,respeto_por_la_constitución,A,"La constitución hay que respetarla, cumplir con lo que manda."
278,3,respeto_por_la_constitución,A,todos los ciudadanos la respetemos
279,3,respeto_por_la_constitución,A,CREEMOS QUE LA NUEVA CONSTITUCION ES EL NUEVO SER QUE ES CHILE
283,3,respeto_por_la_constitución,A,...
289,3,respeto_por_la_constitución,A,Significa respeto por la nueva constitución generada de este proceso participativo.
291,3,respeto_por_la_constitución,A,"Se debe establecer el deber de todos de conocer y ser garantes de las instituciones democráticas. Si bien los partidos políticos son importantes, nosotros no podemos dejar de preocuparnos por las cosas que importan al país, como son nuestras leyes e instituciones."
296,3,respeto_por_la_constitución,A,"que todos los principios, valores, derechos alcancen un rango constitucional"
297,3,respeto_por_la_constitución,A,"Toda persona y todo órgano del Estado debe dar fiel cumplimiento a lo dispuesto por la constitución y las leyes, no pudiendo vulnerar dichas disposiciones y garantías fundamentales para la vida en sociedad"
