idEla,tema,concepto,acuerdo,fundamento
3,3,responsabilidad,A,El estado debe ser responsable de sus actos . El órgano solo puede hacerse cargo de lo que le corresponde por ley.
12,3,responsabilidad,A,"Debemos generar mayores responsabilidades en cada uno de los ciudadanos, atribuyendo que generen mas conciencia en cada uno de los actos."
13,3,responsabilidad,A,Cumplimiento de los acuerdos; responsabilizarse de los actos y del valor de lo colectivo.
17,3,responsabilidad,A,Esta debe ser recíproca entre ciudadano y Estado. Además estamos conscientes que como ciudadanos debemos ser sumamente responsables y aumentar nuestra participación.
19,3,responsabilidad,A,Acuerdo especialmente a los jovenes quienes deben generar conciencia civica e incorporarlo al sistema educacional.
24,3,responsabilidad,A,en cuanto a mis derechos y el entorno donde vivimos
29,3,responsabilidad,A,"cada ciudadano debe ser responsable de sus actos, asi como tambien el gobierno"
31,3,responsabilidad,A,debemos ser responsables con nuestras acciones
33,3,responsabilidad,A,"la responsabilidad es la base de la vida, y esta se puede incluir en cualquier ámbito, debemos hacer de la responsabilidad una forma de vivir"
36,3,responsabilidad,A,"La existencia de deberes supone la existencia de responsabilidad, en el caso de infringir la constitución y las leyes. En tal sentido, se debe garantizar el cumplimiento de este deber."
48,3,responsabilidad,A,Hacernos cargo de nuestros hechos y de sus consecuencias.
56,3,responsabilidad,A,Somos todos responsable ya que somos ciudadanos
58,3,responsabilidad,P,toda persona debe hacerse responsable de sus hechos o los errores que cometa
61,3,responsabilidad,A,"Para contar con responsabilidad, primero hay que educar esta responsabilidad, de la cual todos tenemos el deber de colaborar con esta educación."
66,1,responsabilidad,A,"Todos tenemos responsabilidades, tanto las personas de cargos altos, como la gente común, y todos deberíamos cumplirlas."
66,3,responsabilidad,A,"Debemos ser responsables tanto el respetarnos, respetar la naturaleza, y respetar nuestras leyes."
72,3,responsabilidad,A,"Con las siguientes características cívica, social y participativa. En acuerdo"
74,1,responsabilidad,A,- Es necesaria para la confianza mutua (horizontal y vertical). - Promueve funcionamiento fluido sin necesidad de fiscalización.
74,3,responsabilidad,A,- Garantiza funcionamiento incluso en ausencia de fiscalización. - Medida personal de la contribución a la sociedad.
77,3,responsabilidad,A,Deber que al grupo le parece fundamental para el cumplimiento y desarrollo de los otros puntos discutidos en este encuentro local.
91,3,responsabilidad,A,incentivar este deber para el cumplimiento de las leyes y asumir las consecuencias cuando estas se quebrantan .-
94,1,responsabilidad,A,Permite el avance de Chile.
94,3,responsabilidad,A,"Si todos somos responsable, Chile crece y se desarrolla."
95,1,responsabilidad,A,"Responsabilidad en 2 ámbitos, 1. Que los ciudadanos tenemos la responsabilidad con el país de participar en las instancias que evadimos y 2. Responsabilidad del Eº para generar mayor igualdad, inclusión y mayor acceso, que sea un gestor. Responsabilidad de instituciones que te hagan rendir cuenta f"
95,3,responsabilidad,P,"responsabilidad, empresarial, tiene que ver con deberes cívicos, se puede extrapolar a muchas cosas por ejemplo, al medio ambiente. Hacerse cargo de lo que uno hace."
96,3,responsabilidad,A,Educarse Sufragar / cívica Conocer sus derechos y ejercerlos.
98,3,responsabilidad,A,Debe ser un compromiso de la sociedad y de cada uno de sus miembros de involucrarse en el quehacer del país.
