idEla,tema,concepto,acuerdo,fundamento
516,3,responsabilidad_cívica,A,Inscripción automática y voto obligatorio asumiendo la responsabilidad cívica.
1382,3,responsabilidad_cívica,A,"La población, especial los jóvenes, debe tener una formación cívica de mejor calidad para cumplir con el anhelo de que todo ciudadano participe en elecciones y demás procesos de consultas ciudadana."
1499,3,responsabilidad_cívica,A,Acuerdo por unanimidad
1589,3,responsabilidad_cívica,A,Responsabilidad de los/as ciudadanos/as de partcipar políticamente a través de distintas formas o medios.
1809,3,responsabilidad_cívica,A,Es fundamental hacernos cargo de la responsabilidad que cada ciudadano tiene con su país. La participación es la base de la democracia. Hay que participar para legitimar las organizaciones y a quienes toman las decisiones del país. Falta mayor formación cívica.
2052,3,responsabilidad_cívica,A,"Tener una actitud y hacerse cargo de la ciudadanía, así como participar en la democracia."
3605,3,responsabilidad_cívica,A,"Debe ser responsabilidad de todos la participacion civica, por medio de la votación y opcion de participación ciudadana, así como la adecuada contribución, activa y justa a los tributos para lograr un crecimiento y desarrollo pais justo y para todos."
3693,3,responsabilidad_cívica,A,"Ciudadano informado y activo del proceso democrático, apegado a las leyes y normas básicas de convivencia del país."
4890,3,responsabilidad_cívica,A,debemos ser responsables actuando en los espacios necesarios de toma de decisiones
5777,3,responsabilidad_cívica,A,"Deber de sufragar. Ser activos en el desarrollo del país, participación."
6046,3,responsabilidad_cívica,P,- compromiso de participación en instancias de ciudadanía   - Voto obligatorio de cargos públicos políticos
7695,3,responsabilidad_cívica,A,Creación de políticas que fomenten la responsabilidad cívica.
7928,3,responsabilidad_cívica,A,"Debe tener rango constitucional la responsabilidad de los ciudadanos de participar de la democracia y las cosas públicas, en especial, tener una formación ciudadana que permita tener buenos ciudadanos."
8024,3,responsabilidad_cívica,A,Cada uno debe hacerse responsable de sus decisiones y de cómo esta afectan al entorno.
8167,3,responsabilidad_cívica,P,P
9281,3,responsabilidad_cívica,A,No es posible exigir un Estado presente ante la ausencia de sus ciudadanos. La participación cívica es nuestra responsabilidad.
10388,3,responsabilidad_cívica,A,por que somos un país subdesarrollado y garantiza que todo ciudadano cumpla con su deber con la nacion
10984,3,responsabilidad_cívica,A,Los ciudadanos deben tener el deber y la responsabilidad de hacer uso de su derechos a elegir el destino de su país y sus comunidades a través de la participación en los procesos electroales. Debe quedar de manifiesto la importancia de este deber cívico y de cómo estas decisiones influyen
11666,3,responsabilidad_cívica,A,Es responsabilidad del Estado entregar una formación ciudadana integral. Es deber de los ciudadanos cumplir con los deberes fiscales y el bien común.
12057,3,responsabilidad_cívica,A,"Los ciudadanos deben involucrarse activamente y hacerse responsables del rumbo que toma el  estado, evitando limitarse a ser meros espectadores"
12280,3,responsabilidad_cívica,A,Hacerse cargo de la realidad del país y las decisiones que se deban tomar colectivamente.
12411,3,responsabilidad_cívica,A,"La participación como derecho conlleva como contra parte la responsabilidad cívica, entendida como una forma de hacerse cargo respecto de lo que se quiere como sociedad."
12571,3,responsabilidad_cívica,A,Obligatoriedad
13075,3,responsabilidad_cívica,A,"Con énfasis en el deber ciudadano de la información, estar informado adecuadamente, y a la obligación de participar en procesos democráticos, una obligación como responsabilidad."
13924,3,responsabilidad_cívica,A,- Participar en procesos sociales  - Proteger la democracia
14683,3,responsabilidad_cívica,A,Las personas deben ser parte de las decisiones que en el país se toman. Esto participando de forma responsable en los distintos mecanismos de participación ciudadana.
