idEla,tema,concepto,acuerdo,fundamento
200,2,reunión_pacífica,A,"Garantizar el derecho ala protesta, derogar el termino ""Pacifico"" por ser considerado ambiguo."
411,2,reunión_pacífica,A,Derecho a reunirse libre y pacíficamente.
574,2,reunión_pacífica,A,"Considerando que nos encontramos en un régimen democrático por excelencia, nos otorga el derecho de reunión, ejerciendo la libertad de influencia frente a las autoridades."
586,2,reunión_pacífica,A,"junto a lo anterior debe permitir congregarse en forma accidental, transitoria, momentánea u organizada para discutir cualquier asunto político, religioso, etc."
595,2,reunión_pacífica,A,Cuando ocurren marchas o reuniones pacíficas y el sistema de seguridad pública llega de forma abrupta e interrumpen formando conflictos.
692,2,reunión_pacífica,A,"Derecho a reunirse de forma accidental, transitoria u organizada y deliberar cualquier asunto libre y pacíficamente."
998,2,reunión_pacífica,P,posibilidad de participar en la toma de decisiones colectivas
1341,2,reunión_pacífica,A,"Creemos que el estado debe garantizar el derecho a reunión privada o publica, sea esa para expresar pensamientos, credos, sin autorización gubernamental, ya que estas son reuniones  donde no se pone en peligro la vida humana ni hay desorden."
1632,2,reunión_pacífica,P,"La posibilidad de reunirse sin autorización, ni siquiera de la autoridad, siempre que sea con fines pacíficos."
1894,2,reunión_pacífica,A,"Defendemos la libertad que tienen las personas, para congregarse de manera accidental u organizada que permita deliberar, cualquier asunto, como sentimiento u opinión de carácter social, político, religioso, ya sea en recintos públicos o privados."
2195,2,reunión_pacífica,A,Aspecto basico y fundamental de una sociedad.
2519,2,reunión_pacífica,A,"debe permitir congregarse en forma accidental, transitoria, momentánea u organizada para discutir cualquier asunto público, social, religioso y cultural en recintos públicos"
2601,2,reunión_pacífica,A,"Es el derecho a reuniones en lugares públicos, sin autorización previa para difundir el evangelio garantizado en la actual constitución artículo 19 punto 13."
2738,2,reunión_pacífica,A,"El derecho a reunirse de forma libre, accidental, transitoria, momentánea u organizada que permita discutir cualquier asunto, sentimiento u opinión, ya sea político, social, religioso, económico en recintos públicos o privados."
2928,2,reunión_pacífica,A,todos debemos reunirnos en todo ámbito pacíficamente  a debatir o a compartir
3065,2,reunión_pacífica,A,manifestaciones en base al respeto
3225,2,reunión_pacífica,A,"Debe permitirse a los ciudadanos el derecho a reunirse libremente, para discutir cualquier asunto político, religioso o de cualquier índole en recinto público o privado."
3269,2,reunión_pacífica,A,"Se debe permitir el derecho a lo ciudadanos a reunirse, de forma accidental, transitoria, momentánea u organizada, que permita discutir y deliberar cualquier asunto y manifestar algún sentimiento y opinión, de carácter político, económico, social, religioso, cultural, gremial."
3472,2,reunión_pacífica,A,"Entendiéndolo como la libertad que asiste a las personas para congregarse de forma accidental, momentánea u organizada que permite la discusión y manifestación de algún sentimiento u opinión ya sea político, religioso, cultural etc, con la limitación del respeto por el O.P, la seguridad y la moral."
3492,2,reunión_pacífica,A,consideramos que esto es muy relevante para la sociedad
3949,2,reunión_pacífica,A,"Porque la experiencia de la dictadura deja esa enseñanza. Además, que sea muy pacífica. Que el gobierno no incite a la violencia."
4302,2,reunión_pacífica,A,"TODA PERSONA TIENE DERECHO A PARTICIPAR DE UNA REUNION O ACTO PACIFICO, SIN DALAR LO PUBLICO NI LO PRIVADO."
4490,2,reunión_pacífica,A,para expresar organizar libremente
4711,2,reunión_pacífica,A,"Derecho a reunirnos pacíficamente y sin autorización previa en lugares públicos para la libre difusión del evangelio, entre otros similares. Derecho garantizado en la actual constitución en el artículo 19 punto 13."
4768,2,reunión_pacífica,A,"siempre a reunirnos ,movilizarnos ."
5073,2,reunión_pacífica,A,"ES UN DERECHO BÁSICO  POR EXCELENCIA PARA EXPRESAR O EJERCER INFLUENCIA FRENTE A AUTORIDADES ES UN DERECHO A CONGREGARSE ,CUAL SE AL FIN"
5076,2,reunión_pacífica,A,método de expresión fundamental
5912,2,reunión_pacífica,A,"Los ciudadanos tienen derecho a reunirse de manera pacifica, mientras no se afecte el bien común."
6031,2,reunión_pacífica,A,"Junto con el derecho de asociación, debe permitirse a los ciudadanos el derecho a reunirse, entendiendo como la libertad que tienen las personas para congregarse de forma accidental, transitoria, momentánea u organizada que permita discutir y deliberar cualquier asunto o manifestar algún sentimient"
6165,2,reunión_pacífica,A,"Derecho a expresarse, movilizarse y asociarse libremente de acuerdo a los intereses, reclamos y temas que las personas deseen, respetando los derechos."
6427,2,reunión_pacífica,A,"para que pueda existir participación ciudadana, es necesario que pueda existir la reunión pacífica, para conversar temas relevantes, para informase"
6804,2,reunión_pacífica,A,"Vinculado a los derechos de asociación y libertad de conciencia, debe permitirse a las personas que se congreguen de forma pacífica y transitoria, de manera que se les garantice la manifestación libre de sus creencias."
6953,2,reunión_pacífica,A,"Defendemos el derecho a reunirnos según nuestros fines en forma pacífica, ya sea como al interior de un recinto y en forma Pública."
7152,2,reunión_pacífica,A,"Derecho  a reunión en lugares públicos, plazas de armas, sin autorización previa para la predicación. Actividades artístico- musicales autorizadas. Derecho garantizado en la actual constitución artículo 19 punto 13."
7218,2,reunión_pacífica,A,"La  libertad  de reunión  en los  términos  ya  garantizados en nuestra actual  carta  fundamental, constituye una expresión  esencial de la libertad, ya que esta no existe  si se limita  al individuo  a reunirse con quien la  norma  indique  o el estado  permita."
7399,2,reunión_pacífica,A,"Derecho del ciudadano es la libertad de reunirse en forma privada o pública, para tratar cualquier asunto. Asegurando libertad de culto, adoración y prédica pública."
8665,2,reunión_pacífica,A,"Porque podemos expresar nuestras opiniones , necesidades"
8676,2,reunión_pacífica,P,No todos lo ven igual. Debe ser un derecho poder reunirse masivamente (como una marcha) y expresarse pacíficamente pero depende de los ciudadanos que las reuniones sean pacíficas. Así también el Estado debe entregar los mejores escenarios.
8685,2,reunión_pacífica,A,"El derecho a reunirse, entendiendo como la libertad que tienen las personas para congregarse de forma accidental, transitoria, momentánea u organizada que permita discutir y deliberar cualquier asunto"
9579,2,reunión_pacífica,A,Se debe garantizar sedes sociales a todos los clubes deportivos que posean al menos 25 años de existencia
9631,2,reunión_pacífica,A,"Derecho a reunión en lugares privados o públicos, para cualquier fin legítimo, entretenimiento, manifestar opiniones sobre cuestiones públicas, etc."
9700,2,reunión_pacífica,A,"Debe permitirse a los ciudadanos el derecho a reunirse, entendiéndose que pueda ocurrir de forma accidental, transitoria, momentánea u organizada en recintos públicos o privados. Este derecho es uno de los más básicos y debe respetarse porque va en pos del cumplimiento de todos los otros derechos."
9709,2,reunión_pacífica,A,debe permitirse a los ciudadanos el derecho a reunirse
9956,2,reunión_pacífica,A,"Derecho a manifestarse pacíficamente en la vía pública, respetando los derechos de los demás ciudadanos."
10085,2,reunión_pacífica,A,"Cada grupo de persona tiene el derecho de congregarse de forma accidental, transitoria, momentánea u organizada que le permita discutir y deliberar cualquier asunto, sentimiento u opinión."
10110,2,reunión_pacífica,A,"Consideramos que para establecer una mejor convivencia social,  ya que el derecho a reunión es fundamental,"
10422,2,reunión_pacífica,A,"Acuerdo total, se menciona como ejemplo el mismo encuentro local autoconvocado e incluso encuentros sociales recreativos. Sin éste no habría progreso."
10689,2,reunión_pacífica,A,Fundamental en todo régimen democrático.
11057,2,reunión_pacífica,A,"en un régimen democrático por excelencia, el derecho de reunión constituye uno de los elementos básicos por excelencia, toda vez que permite a la ciudadanía ejercer su influencie frente a las autoridades respecto de situaciones relacionadas, con el ejercicio del poder o en los intereses propios de"
11102,2,reunión_pacífica,A,TENER DERECHO A PROTESTAR LIBREMENTE DE FORMA PACIFICA SIN IRRUPCIONES DE LA POLICÍA
11390,2,reunión_pacífica,A,"Permitir que la comunidad se reuna para debatir, demandar y proponer a las autoridades"
11548,2,reunión_pacífica,A,"Consideramos que es un derecho importantísimo de los ciudadanos el poder manifestarse libremente, expresar sus ideas y opiniones pero en un ambiente pacífico, libre de violencia y en el cual se respeten los derechos de todas las personas."
12184,2,reunión_pacífica,A,"Derecho de ciudadanos a reunirse libremente, de forma accidental, transitoria, momentánea u organizada que permita discutir y deliberar cualquier asunto o manifestar algún sentimiento u opinión, de carácter político, social, religioso, etc, lo cual permitirá que la ciudadanía ejerza influencia."
12629,2,reunión_pacífica,A,nos podemos reunir donde creamos y sin tener que estar nerviosos o preocupándonos por que alguna autoridad nos fiscalice
12642,2,reunión_pacífica,A,"recordando lo dramática que era la imposibilidad de reunirse 2 o más personas en años no muy lejanos, acordamos todos que este acto tan simple no puede volver a ser prohibido jamás."
12751,2,reunión_pacífica,A,Que siga siempre la democracia
12754,2,reunión_pacífica,A,el ser humano siempre ha tendido naturalmente a asociarse según gustos y referendarios y nadie debe ser coartado de reunirse de manera pacifica
12904,2,reunión_pacífica,A,Un derecho fundamental que debe quedar estipulado en la Constitución.
13495,2,reunión_pacífica,A,Libertad para congregarse libremente en recinto públicos y privados.
13647,2,reunión_pacífica,A,"Junto a lo anterior debe permitir congregarse en forma accidental, transitoria, momentania u organizada para discutir cualquier asunto político, religioso, etc."
13753,2,reunión_pacífica,A,Derecho a reunirse sin coarsión.
14288,2,reunión_pacífica,A,"COMO CIUDADANOS CREEMOS QUE TENEMOS DERECHO A REUNIRNOS DE FORMA PACIFICA, POR DIFERENTES MOTIVOS, EN LUGARES PRIVADOS O PÚBLICOS."
15098,2,reunión_pacífica,A,toda persona debiera tener el derecho de reunirse sin confrontación
15196,2,reunión_pacífica,P,debe ser un derecho porque no siempre escuchan a la gente y todos pueden dar sus opiniones
15224,2,reunión_pacífica,A,"El derecho a reunirse pacíficamente y resguardando el bien de cada miembro de la sociedad sea o no parte del grupo de reunión. Estas reuniones pueden surgir de manera espontanea o planificada donde se puede discutir o manifestar toda opinión o sentimiento, publica o en privado, en base a la democra"
15394,2,reunión_pacífica,A,Todos los miembros de la sociedad deben tener el derecho de reunirse cuando quieran y con quien quieran. Nadie puede ni debe impedírselo
15652,2,reunión_pacífica,A,Hacerlo valer como un Derecho para asegurar una buena organización.
